"offPlayer","offTeam","offHeightInches","offWeight","offSpeed","offLeft","offSlot","offRight","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","defPlayer","defTeam","defHeightInches","defWeight","defSpeed","defLeft","defSlot","defRight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade","advantage","expectedSnaps"
"DeAndre Hopkins","TEN","73","212","4.57","49","25","25","83","24","0.45","70","2.11","69.8","All Defenders","BUF","","","","","","","","","","","","","48.4833952","29.009944"
"DeAndre Hopkins","TEN","73","212","4.57","49","25","25","83","24","0.45","70","2.11","69.8","Rasul Douglas","BUF","74","209","4.59","48","2","44","218","10","0.21","71","0.84","62.4","58.71","10.9796448"
"DeAndre Hopkins","TEN","73","212","4.57","49","25","25","83","24","0.45","70","2.11","69.8","Christian Benford","BUF","73","205","","44","1","52","228","10","0.13","57","0.48","76.1","19.63","10.9796448"
"DeAndre Hopkins","TEN","73","212","4.57","49","25","25","83","24","0.45","70","2.11","69.8","Taron Johnson","BUF","71","192","4.5","","82","","40","20","0.52","75","2.22","64.2","77.49","7.0506543"
"Mike Evans","TB","77","231","4.53","46","32","23","186","21","0.46","64","1.67","75.4","All Defenders","BLT","","","","","","","","","","","","","60.8222688","32.8249878"
"Mike Evans","TB","77","231","4.53","46","32","23","186","21","0.46","64","1.67","75.4","Brandon Stephens","BLT","73","215","","","3","94","251","15","0.27","65","1.27","65.3","66.32","10.0087752"
"Mike Evans","TB","77","231","4.53","46","32","23","186","21","0.46","64","1.67","75.4","Nate Wiggins","BLT","74","185","4.28","92","4","","117","17","0.29","65","1.79","54.4","92.59","10.0087752"
"Mike Evans","TB","77","231","4.53","46","32","23","186","21","0.46","64","1.67","75.4","Marlon Humphrey","BLT","72","201","4.41","48","42","1","233","14","0.27","70","0.93","73.9","31.7","12.8074374"
"Odell Beckham Jr.","MIA","71","200","4.43","33","56","11","9","11","","","","52.7","All Defenders","IND","","","","","","","","","","","","","6.7824293","23.1525069"
"Odell Beckham Jr.","MIA","71","200","4.43","33","56","11","9","11","","","","52.7","Jaylon Jones","IND","74","203","4.57","13","1","80","218","16","0.26","63","1.56","64.3","21.19","6.721125"
"Odell Beckham Jr.","MIA","71","200","4.43","33","56","11","9","11","","","","52.7","Samuel Womack III","IND","70","189","","93","","3","106","8","0.12","44","0.25","87.8","0.44","6.721125"
"Odell Beckham Jr.","MIA","71","200","4.43","33","56","11","9","11","","","","52.7","Kenny Moore II","IND","69","190","","13","72","","131","15","0.31","68","0.73","75.5","1.2","9.7102569"
"Davante Adams","NYJ","73","215","4.56","38","29","33","126","21","0.36","69","1.66","64.4","All Defenders","PIT","","","","","","","","","","","","","67.4714887","36.5917573"
"Davante Adams","NYJ","73","215","4.56","38","29","33","126","21","0.36","69","1.66","64.4","Joey Porter Jr.","PIT","74","193","4.46","42","3","48","209","11","0.21","70","1","49.9","74.22","13.9143414"
"Davante Adams","NYJ","73","215","4.56","38","29","33","126","21","0.36","69","1.66","64.4","Donte Jackson","PIT","70","180","4.32","48","3","45","195","14","0.16","56","0.79","59","59.88","13.9143414"
"Davante Adams","NYJ","73","215","4.56","38","29","33","126","21","0.36","69","1.66","64.4","Beanie Bishop Jr.","PIT","70","184","","1","92","","154","18","0.38","68","1.4","52.9","68.81","8.7630746"
"Amari Cooper","BUF","73","211","4.42","42","21","37","232","22","0.26","48","1.08","63","All Defenders","TEN","","","","","","","","","","","","","46.2679786","40.5418546"
"Amari Cooper","BUF","73","211","4.42","42","21","37","232","22","0.26","48","1.08","63","L'Jarius Sneed","TEN","73","192","4.37","39","5","53","155","14","0.17","43","0.69","36.3","94.78","15.522565"
"Amari Cooper","BUF","73","211","4.42","42","21","37","232","22","0.26","48","1.08","63","Jarvis Brownlee Jr.","TEN","72","190","","48","7","40","98","16","0.14","56","0.53","80","7.36","15.522565"
"Amari Cooper","BUF","73","211","4.42","42","21","37","232","22","0.26","48","1.08","63","Roger McCreary","TEN","71","190","4.5","3","89","","116","18","0.19","67","0.73","63.7","30.57","9.4967246"
"Nelson Agholor","BLT","72","200","4.42","30","48","19","87","16","0.21","50","1.31","61.8","All Defenders","TB","","","","","","","","","","","","","15.9423766","22.4417869"
"Nelson Agholor","BLT","72","200","4.42","30","48","19","87","16","0.21","50","1.31","61.8","Tyrek Funderburk","TB","","","","","","","","","","","","","20.01","3.1374209"
"Nelson Agholor","BLT","72","200","4.42","30","48","19","87","16","0.21","50","1.31","61.8","Zyon McCollum","TB","74","199","4.33","96","2","","254","13","0.23","47","0.93","89.3","0.79","14.4782745"
"Nelson Agholor","BLT","72","200","4.42","30","48","19","87","16","0.21","50","1.31","61.8","Tykee Smith","TB","70","205","4.46","1","92","","198","18","0.3","72","1.11","76.6","13.59","4.8260915"
"Tyler Lockett","SEA","70","182","4.4","32","32","36","225","16","0.28","68","1.38","72","All Defenders","ATL","","","","","","","","","","","","","59.4359526","34.0829296"
"Tyler Lockett","SEA","70","182","4.4","32","32","36","225","16","0.28","68","1.38","72","Mike Hughes","ATL","70","189","4.53","37","","54","155","15","0.2","70","0.97","71.9","38.29","11.9105203"
"Tyler Lockett","SEA","70","182","4.4","32","32","36","225","16","0.28","68","1.38","72","A.J. Terrell","ATL","73","195","4.42","52","","42","212","12","0.21","76","0.91","67.5","60.09","11.9105203"
"Tyler Lockett","SEA","70","182","4.4","32","32","36","225","16","0.28","68","1.38","72","Dee Alford","ATL","71","175","","","93","","144","24","0.44","82","1.65","54.8","83.22","10.261889"
"Stefon Diggs","HST","72","191","4.46","19","56","22","217","22","0.43","79","1.81","77.8","All Defenders","GB","","","","","","","","","","","","","77.4480903","32.8377512"
"Stefon Diggs","HST","72","191","4.46","19","56","22","217","22","0.43","79","1.81","77.8","Jaire Alexander","GB","70","196","4.38","51","1","44","149","13","0.3","60","1.44","75","38.5","9.8445825"
"Stefon Diggs","HST","72","191","4.46","19","56","22","217","22","0.43","79","1.81","77.8","Keisean Nixon","GB","70","200","","16","56","15","213","14","0.23","63","0.88","62.2","88.92","9.8445825"
"Stefon Diggs","HST","72","191","4.46","19","56","22","217","22","0.43","79","1.81","77.8","Javon Bullard","GB","71","195","4.47","1","32","1","194","10","0.17","75","0.9","53.5","98.02","13.1485862"
"Sterling Shepard","TB","70","196","4.48","40","26","34","93","11","0.22","70","0.84","56.4","All Defenders","BLT","","","","","","","","","","","","","33.940355","16.9575994"
"Sterling Shepard","TB","70","196","4.48","40","26","34","93","11","0.22","70","0.84","56.4","Brandon Stephens","BLT","73","215","","","3","94","251","15","0.27","65","1.27","65.3","26.8","5.9201087"
"Sterling Shepard","TB","70","196","4.48","40","26","34","93","11","0.22","70","0.84","56.4","Nate Wiggins","BLT","74","185","4.28","92","4","","117","17","0.29","65","1.79","54.4","64.93","5.9201087"
"Sterling Shepard","TB","70","196","4.48","40","26","34","93","11","0.22","70","0.84","56.4","Marlon Humphrey","BLT","72","201","4.41","48","42","1","233","14","0.27","70","0.93","73.9","6.35","5.1173821"
"Tyler Boyd","TEN","74","203","4.58","10","81","9","133","15","0.19","65","0.95","59.8","All Defenders","BUF","","","","","","","","","","","","","53.9234738","30.503858"
"Tyler Boyd","TEN","74","203","4.58","10","81","9","133","15","0.19","65","0.95","59.8","Rasul Douglas","BUF","74","209","4.59","48","2","44","218","10","0.21","71","0.84","62.4","38.5","2.142672"
"Tyler Boyd","TEN","74","203","4.58","10","81","9","133","15","0.19","65","0.95","59.8","Christian Benford","BUF","73","205","","44","1","52","228","10","0.13","57","0.48","76.1","8.33","2.142672"
"Tyler Boyd","TEN","74","203","4.58","10","81","9","133","15","0.19","65","0.95","59.8","Taron Johnson","BUF","71","192","4.5","","82","","40","20","0.52","75","2.22","64.2","58.91","26.2185139"
"Demarcus Robinson","LA","73","203","4.59","42","36","22","177","12","0.21","55","1.07","65.8","All Defenders","LV","","","","","","","","","","","","","63.731701","33.9834892"
"Demarcus Robinson","LA","73","203","4.59","42","36","22","177","12","0.21","55","1.07","65.8","Jakorian Bennett","LV","71","195","4.3","","3","95","182","13","0.12","43","0.63","56.3","63.03","11.3862206"
"Demarcus Robinson","LA","73","203","4.59","42","36","22","177","12","0.21","55","1.07","65.8","Jack Jones","LV","71","180","4.52","88","6","","196","13","0.27","69","0.84","55","64.76","11.3862206"
"Demarcus Robinson","LA","73","203","4.59","42","36","22","177","12","0.21","55","1.07","65.8","Nate Hobbs","LV","73","195","","8","69","14","180","14","0.25","64","0.97","59.3","63.4","11.211048"
"Tyreek Hill","MIA","70","191","","25","35","38","145","27","0.4","59","1.97","67.5","All Defenders","IND","","","","","","","","","","","","","27.6347934","32.2146836"
"Tyreek Hill","MIA","70","191","","25","35","38","145","27","0.4","59","1.97","67.5","Jaylon Jones","IND","74","203","4.57","13","1","80","218","16","0.26","63","1.56","64.3","62.58","10.1170081"
"Tyreek Hill","MIA","70","191","","25","35","38","145","27","0.4","59","1.97","67.5","Samuel Womack III","IND","70","189","","93","","3","106","8","0.12","44","0.25","87.8","8.54","10.1170081"
"Tyreek Hill","MIA","70","191","","25","35","38","145","27","0.4","59","1.97","67.5","Kenny Moore II","IND","69","190","","13","72","","131","15","0.31","68","0.73","75.5","14.25","11.9806674"
"JuJu Smith-Schuster","KC","73","215","4.54","30","44","25","87","14","0.34","75","1.69","62.3","All Defenders","SF","","","","","","","","","","","","","40.3946667","25.6123377"
"JuJu Smith-Schuster","KC","73","215","4.54","30","44","25","87","14","0.34","75","1.69","62.3","Isaac Yiadom","SF","73","188","4.52","30","2","64","162","14","0.23","59","1.1","70","32.48","7.3991198"
"JuJu Smith-Schuster","KC","73","215","4.54","30","44","25","87","14","0.34","75","1.69","62.3","Charvarius Ward","SF","73","196","","92","4","","161","14","0.24","57","1.23","53.4","65.65","7.3991198"
"JuJu Smith-Schuster","KC","73","215","4.54","30","44","25","87","14","0.34","75","1.69","62.3","Deommodore Lenoir","SF","70","200","","","75","17","206","17","0.19","62","0.85","67.3","28.53","10.8140981"
"Cooper Kupp","LA","74","208","4.62","20","69","11","70","39","0.55","67","2.1","71.7","All Defenders","LV","","","","","","","","","","","","","78.2814575","37.8085539"
"Cooper Kupp","LA","74","208","4.62","20","69","11","70","39","0.55","67","2.1","71.7","Jakorian Bennett","LV","71","195","4.3","","3","95","182","13","0.12","43","0.63","56.3","77.85","5.0513453"
"Cooper Kupp","LA","74","208","4.62","20","69","11","70","39","0.55","67","2.1","71.7","Jack Jones","LV","71","180","4.52","88","6","","196","13","0.27","69","0.84","55","79.05","5.0513453"
"Cooper Kupp","LA","74","208","4.62","20","69","11","70","39","0.55","67","2.1","71.7","Nate Hobbs","LV","73","195","","8","69","14","180","14","0.25","64","0.97","59.3","78.22","27.7058634"
"Chris Godwin","TB","73","208","4.42","19","62","19","200","26","0.62","84","2.55","87.6","All Defenders","BLT","","","","","","","","","","","","","84.8066984","34.3595653"
"Chris Godwin","TB","73","208","4.42","19","62","19","200","26","0.62","84","2.55","87.6","Brandon Stephens","BLT","73","215","","","3","94","251","15","0.27","65","1.27","65.3","91.55","10.6576768"
"Chris Godwin","TB","73","208","4.42","19","62","19","200","26","0.62","84","2.55","87.6","Nate Wiggins","BLT","74","185","4.28","92","4","","117","17","0.29","65","1.79","54.4","99.27","10.6576768"
"Chris Godwin","TB","73","208","4.42","19","62","19","200","26","0.62","84","2.55","87.6","Marlon Humphrey","BLT","72","201","4.41","48","42","1","233","14","0.27","70","0.93","73.9","67.48","13.0442118"
"Noah Brown","WAS","74","215","","12","18","70","83","22","0.36","72","2.04","71.7","All Defenders","CAR","","","","","","","","","","","","","54.675572","30.2560039"
"Noah Brown","WAS","74","215","","12","18","70","83","22","0.36","72","2.04","71.7","Mike Jackson","CAR","73","210","4.45","48","1","49","190","19","0.34","65","1.48","63.9","64.62","10.4485776"
"Noah Brown","WAS","74","215","","12","18","70","83","22","0.36","72","2.04","71.7","Jaycee Horn","CAR","73","200","","45","1","47","188","14","0.24","48","0.8","68.2","52.69","10.4485776"
"Noah Brown","WAS","74","215","","12","18","70","83","22","0.36","72","2.04","71.7","Troy Hill","CAR","71","180","4.55","","92","1","131","12","0.2","88","0.89","63.2","45.79","9.3588487"
"Tim Patrick","DET","76","212","","34","28","38","61","16","0.36","80","2.3","72.1","All Defenders","MIN","","","","","","","","","","","","","67.8145312","16.1215121"
"Tim Patrick","DET","76","212","","34","28","38","61","16","0.36","80","2.3","72.1","Stephon Gilmore","MIN","72","190","4.38","41","4","47","219","16","0.2","67","0.93","68.7","60.17","5.7936684"
"Tim Patrick","DET","76","212","","34","28","38","61","16","0.36","80","2.3","72.1","Shaquill Griffin","MIN","72","198","4.38","42","7","46","166","13","0.14","43","0.46","59.7","76.3","5.7936684"
"Tim Patrick","DET","76","212","","34","28","38","61","16","0.36","80","2.3","72.1","Byron Murphy Jr.","MIN","71","190","4.55","31","36","24","227","21","0.39","73","1.78","60.8","66.74","4.5341753"
"Darius Slayton","NYG","73","194","4.39","37","22","41","216","17","0.28","65","1.39","61.8","All Defenders","PHI","","","","","","","","","","","","","25.2577324","31.501825"
"Darius Slayton","NYG","73","194","4.39","37","22","41","216","17","0.28","65","1.39","61.8","Quinyon Mitchell","PHI","72","196","4.33","","1","97","175","15","0.21","56","1.27","72","22.41","11.2863681"
"Darius Slayton","NYG","73","194","4.39","37","22","41","216","17","0.28","65","1.39","61.8","Darius Slay","PHI","72","190","4.36","94","","","154","10","0.22","75","0.67","67.7","33.61","11.2863681"
"Darius Slayton","NYG","73","194","4.39","37","22","41","216","17","0.28","65","1.39","61.8","Cooper DeJean","PHI","73","207","","","83","","29","14","0.11","50","0.45","71.7","18.3","8.9290887"
"Michael Pittman Jr.","IND","76","223","4.52","35","26","39","178","22","0.36","64","1.53","67.5","All Defenders","MIA","","","","","","","","","","","","","51.8561977","32.6488359"
"Michael Pittman Jr.","IND","76","223","4.52","35","26","39","178","22","0.36","64","1.53","67.5","Kendall Fuller","MIA","71","198","","40","1","56","89","8","0.1","43","0.69","68.1","37.24","12.0415858"
