Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,10,JAX,306.5,2.4,0.8,22.5,0.2,0,0,0,0,0,0,0,27.4,27.41
2,Tyreek Hill,MIA,WR,10,CLE,0,0,0,6.4,0,7.8,105,0.6,0,0,0,0,25.4,25.44
3,Jalen Hurts,PHI,QB,10,WAS,256.7,1.7,0.7,53.3,0.5,0,0,0,0,0,0,0,24.6,24.6
4,Josh Allen,BUF,QB,10,MIN,269,2,0.9,42.2,0.4,0,0,0,0,0,0,0,24.4,24.38
5,Christian McCaffrey,SF,RB,10,LAC,0,0,0,83.5,0.7,4.9,38.9,0.3,0,0,0,0,23,23.04
6,Derrick Henry,TEN,RB,10,DEN,0,0,0,103.9,0.8,2,15.6,0,0,0,0,0,21.6,21.65
7,Saquon Barkley,NYG,RB,10,HOU,0,0,0,96.7,0.8,3.5,26.3,0.1,0,0,0,0,21.1,21.1
8,Austin Ekeler,LAC,RB,10,SF,0,0,0,51,0.5,6.5,47.8,0.3,0,0,0,0,21.1,21.08
9,Davante Adams,LV,WR,10,IND,0,0,0,0.6,0,7.4,93.8,0.7,0,0,0,0,20.9,20.94
10,Justin Fields,CHI,QB,10,DET,166.7,1.3,0.7,65.8,0.5,0,0,0,0,0,0,0,20.6,20.65
11,Stefon Diggs,BUF,WR,10,MIN,0,0,0,0,0,7.4,94.5,0.6,0,0,0,0,20.4,20.35
12,Tua Tagovailoa,MIA,QB,10,CLE,280.2,1.9,0.8,7.7,0.1,0,0,0,0,0,0,0,19.4,19.38
13,Justin Jefferson,MIN,WR,10,BUF,0,0,0,2,0,6.8,97.7,0.4,0,0,0,0,19.1,19.07
14,Alvin Kamara,NO,RB,10,PIT,0,0,0,65.9,0.4,4.6,38.8,0.2,0,0,0,0,18.6,18.57
15,Travis Kelce,KC,TE,10,JAX,0,0,0,1.1,0,6.7,80.7,0.6,0,0,0,0,18.5,18.48
16,Tom Brady,TB,QB,10,SEA,278.3,1.8,0.6,1.7,0.1,0,0,0,0,0,0,0,18.4,18.4
17,Dak Prescott,DAL,QB,10,GB,247.5,1.8,0.7,14.6,0.1,0,0,0,0,0,0,0,18.4,18.36
18,Justin Herbert,LAC,QB,10,SF,251.3,1.6,0.7,13.5,0.2,0,0,0,0,0,0,0,18.2,18.2
19,Geno Smith,SEA,QB,10,TB,237.8,1.6,0.7,18,0.2,0,0,0,0,0,0,0,18.1,18.11
20,Daniel Jones,NYG,QB,10,HOU,191.9,1.2,0.7,43.4,0.3,0,0,0,0,0,0,0,17.8,17.82
21,Cooper Kupp,LAR,WR,10,ARI,0,0,0,3.1,0,6.9,76.6,0.5,0,0,0,0,17.8,17.77
22,Jimmy Garoppolo,SF,QB,10,LAC,255.4,1.8,0.8,5.7,0.1,0,0,0,0,0,0,0,17.7,17.69
23,Travis Etienne Jr.,JAX,RB,10,KC,0,0,0,87.5,0.6,2.8,21.3,0.1,0,0,0,0,17.7,17.68
24,A.J. Brown,PHI,WR,10,WAS,0,0,0,1.8,0,5.6,83,0.6,0,0,0,0,17.6,17.58
