Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Tyreek Hill,MIA,WR,14,LAC,0,0,0,3.7,0,7.8,106.8,0.7,0,0,0,0,26,25.95
2,Justin Jefferson,MIN,WR,14,DET,0,0,0,1.8,0,7.2,106,0.7,0,0,0,0,25.2,25.18
3,Josh Allen,BUF,QB,14,NYJ,261.1,1.9,0.9,42.8,0.4,0,0,0,0,0,0,0,23.6,23.62
4,Jalen Hurts,PHI,QB,14,NYG,238.7,1.6,0.6,52.2,0.5,0,0,0,0,0,0,0,23.5,23.47
5,Patrick Mahomes,KC,QB,14,DEN,295,2.1,0.7,21.9,0.2,0,0,0,0,0,0,0,22.8,22.79
6,Joe Burrow,CIN,QB,14,CLE,284.3,2.1,0.8,16.9,0.2,0,0,0,0,0,0,0,21.8,21.76
7,Stefon Diggs,BUF,WR,14,NYJ,0,0,0,0,0,7.4,92,0.7,0,0,0,0,20.8,20.8
8,Davante Adams,LV,WR,14,LAR,0,0,0,0.1,0,7.1,94,0.7,0,0,0,0,20.7,20.71
9,Justin Herbert,LAC,QB,14,MIA,287.7,1.9,0.7,15.4,0.1,0,0,0,0,0,0,0,20.4,20.45
10,Tua Tagovailoa,MIA,QB,14,LAC,284.4,2,0.8,6.9,0.1,0,0,0,0,0,0,0,19.8,19.77
11,Austin Ekeler,LAC,RB,14,MIA,0,0,0,51.9,0.5,5.8,39.2,0.3,0,0,0,0,19.6,19.61
12,Kyler Murray,ARI,QB,14,NE,240.1,1.4,0.8,35,0.3,0,0,0,0,0,0,0,19.5,19.5
13,CeeDee Lamb,DAL,WR,14,HOU,0,0,0,4.9,0,6.4,89,0.6,0,0,0,0,19.4,19.39
14,Dak Prescott,DAL,QB,14,HOU,254.8,2,0.7,12.9,0.1,0,0,0,0,0,0,0,19.3,19.28
