Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Cooper Kupp,LAR,WR,6,CAR,0,0,0,3.1,0,8.6,101.6,0.8,0,0,0,0,26.8,26.77
2,Josh Allen,BUF,QB,6,KC,294.6,2.3,0.8,41.1,0.4,0,0,0,0,0,0,0,26.6,26.59
3,Justin Jefferson,MIN,WR,6,MIA,0,0,0,1.4,0,7,101.1,0.6,0,0,0,0,23.8,23.85
4,Lamar Jackson,BAL,QB,6,NYG,233.9,1.7,0.8,61.6,0.3,0,0,0,0,0,0,0,23.2,23.22
5,Kyler Murray,ARI,QB,6,SEA,270.8,1.8,0.8,36.4,0.4,0,0,0,0,0,0,0,23.2,23.17
6,Jalen Hurts,PHI,QB,6,DAL,235.9,1.4,0.9,53.3,0.6,0,0,0,0,0,0,0,23,22.97
7,Patrick Mahomes,KC,QB,6,BUF,282.8,2.2,0.7,21,0.2,0,0,0,0,0,0,0,22.6,22.61
8,Stefon Diggs,BUF,WR,6,KC,0,0,0,0,0,7.4,92.8,0.7,0,0,0,0,20.9,20.88
9,Tom Brady,TB,QB,6,PIT,296.8,2.2,0.7,1.5,0.1,0,0,0,0,0,0,0,20.6,20.62
10,Saquon Barkley,NYG,RB,6,BAL,0,0,0,83.6,0.6,4.2,29.5,0.2,0,0,0,0,20.2,20.21
11,Justin Herbert,LAC,QB,6,DEN,267.2,1.9,0.7,14.2,0.2,0,0,0,0,0,0,0,20.1,20.11
12,Austin Ekeler,LAC,RB,6,DEN,0,0,0,60.1,0.5,5.2,36.8,0.3,0,0,0,0,19.6,19.59
13,Aaron Rodgers,GB,QB,6,NYJ,261.9,2.1,0.4,5.5,0.1,0,0,0,0,0,0,0,19.5,19.53
14,Joe Burrow,CIN,QB,6,NO,264.9,1.8,0.8,12.3,0.2,0,0,0,0,0,0,0,19.3,19.33
