Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,2,LAC,302.1,2.5,0.8,21.2,0.2,0,0,0,0,0,0,0,27.6,27.6
2,Cooper Kupp,LAR,WR,2,ATL,0,0,0,1.3,0,8.2,105.6,0.8,0,0,0,0,26.6,26.59
3,Josh Allen,BUF,QB,2,TEN,297.1,2.3,0.9,37.4,0.4,0,0,0,0,0,0,0,26.3,26.32
4,Justin Jefferson,MIN,WR,2,PHI,0,0,0,1.1,0,7,105.5,0.7,0,0,0,0,24.8,24.76
5,Jonathan Taylor,IND,RB,2,JAX,0,0,0,106.4,0.9,2.7,20.4,0.1,0,0,0,0,24.3,24.28
6,Justin Herbert,LAC,QB,2,KC,297.1,2.2,0.8,22.5,0.2,0,0,0,0,0,0,0,23.3,23.33
7,Kyler Murray,ARI,QB,2,LV,260.3,1.7,0.8,39,0.4,0,0,0,0,0,0,0,22.7,22.71
8,Lamar Jackson,BAL,QB,2,MIA,250.9,1.7,0.8,48.5,0.3,0,0,0,0,0,0,0,22.7,22.69
9,Jalen Hurts,PHI,QB,2,MIN,246.7,1.6,0.8,46.5,0.4,0,0,0,0,0,0,0,22.5,22.52
10,Russell Wilson,DEN,QB,2,HOU,283.9,2.1,0.8,18,0.2,0,0,0,0,0,0,0,22,21.96
11,Christian McCaffrey,CAR,RB,2,NYG,0,0,0,72.3,0.5,5.4,42.6,0.3,0,0,0,0,21.6,21.59
12,Davante Adams,LV,WR,2,ARI,0,0,0,0,0,7.5,96.5,0.7,0,0,0,0,21.2,21.25
13,Joe Burrow,CIN,QB,2,DAL,269.2,2,0.7,11.5,0.2,0,0,0,0,0,0,0,20.4,20.42
14,Aaron Rodgers,GB,QB,2,CHI,253.5,2.2,0.3,5,0.1,0,0,0,0,0,0,0,19.7,19.74
