player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Diontae Johnson,33441,WR,PIT,1,15,0,25,4.0,0,80.0,,0,0,20.0,1,2,0,41.6,62.4,0,10,0.0,0,16,4,100.0,16,122.9,5,31.3,1,20,8,2.0,5.0,1.25,0,13.6,2,28.6,0.0,0,2,33.3,1,0,0,30.0,47.3,0,3,0.0,0,24,2,95.8,23,39.6,7,30.4,0,4,4,2.0,2.0,0.17
Davante Adams,8688,WR,GB,1,13,0,12,11.0,0,100.0,,0,0,0.0,0,1,0,64.7,79.1,0,19,0.0,0,6,1,100.0,6,118.8,1,16.7,0,19,8,8.0,19.0,3.17,0,6.9,0,85.7,100.0,1,1,0.0,0,3,0,74.6,73.9,0,30,0.0,0,24,6,95.8,23,108.3,7,30.4,0,70,28,4.7,11.7,3.04
DeVante Parker,9447,WR,MIA,1,13,0,17,13.0,0,37.5,40.0,2,5,0.0,0,3,0,70.5,77.2,0,11,0.0,0,15,3,100.0,15,46.9,8,53.3,0,26,4,1.3,8.7,1.73,0,11.4,0,20.0,0.0,0,1,0.0,0,1,0,64.7,58.7,0,20,0.0,0,24,1,95.8,23,43.8,5,21.7,0,20,3,3.0,20.0,0.87
Ja'Marr Chase,84270,WR,CIN,1,12,0,7,12.8,0,100.0,100.0,2,2,0.0,0,2,0,72.1,80.5,0,35,0.0,0,17,4,70.6,12,118.8,4,33.3,0,76,25,6.3,19.0,6.33,0,9.7,2,100.0,100.0,2,2,0.0,0,4,0,75.6,92.4,0,72,0.0,0,26,7,100.0,26,158.3,7,26.9,3,190,126,18.0,27.1,7.31
Braxton Berrios,47961,WR,NYJ,1,12,0,22,11.0,0,60.0,100.0,1,1,0.0,0,2,0,70.5,75.4,0,11,0.0,0,11,3,90.9,10,66.3,5,50.0,0,17,7,2.3,5.7,1.7,0,3.0,0,66.7,,0,0,0.0,0,4,0,72.1,87.0,0,11,0.0,0,19,4,100.0,19,123.6,6,31.6,1,38,30,7.5,9.5,2.0
Justin Jefferson,61398,WR,MIN,1,11,0,18,4.5,0,50.0,100.0,1,1,0.0,0,1,0,64.7,66.2,0,7,0.0,0,8,1,75.0,6,58.3,2,33.3,0,7,1,1.0,7.0,1.17,0,14.6,0,42.9,100.0,1,1,25.0,1,2,0,36.2,58.4,0,16,0.0,0,27,3,100.0,27,58.0,7,25.9,0,34,5,1.7,11.3,1.26
Darnell Mooney,48236,WR,CHI,1,11,0,6,23.5,0,0.0,0.0,0,1,,0,0,0,,52.7,0,0,0.0,0,9,0,100.0,9,39.6,2,22.2,0,0,0,,,0.0,0,8.6,1,75.0,,0,0,0.0,0,3,0,74.6,73.5,0,18,0.0,0,25,6,96.0,24,98.4,8,33.3,0,65,39,6.5,10.8,2.71
Amon-Ra St. Brown,84470,WR,DET,1,11,0,11,12.0,0,100.0,,0,0,0.0,0,1,0,64.7,86.5,0,31,0.0,0,3,1,100.0,3,118.8,1,33.3,0,31,19,19.0,31.0,10.33,0,8.8,0,75.0,,0,0,0.0,0,4,0,74.6,75.6,1,20,0.0,0,26,6,92.3,24,63.0,8,33.3,0,73,35,5.8,12.2,3.04
Dalton Schultz,47304,TE,DAL,1,10,0,9,2.0,0,0.0,,0,0,,0,0,0,,54.1,0,0,40.0,4,10,0,60.0,6,39.6,1,16.7,0,0,0,,,0.0,0,3.0,2,75.0,0.0,0,1,0.0,0,3,0,74.6,80.0,0,14,15.6,5,32,6,75.0,24,92.7,8,33.3,0,54,32,5.3,9.0,2.25
Marquez Callaway,42295,WR,NO,1,10,0,20,18.7,0,66.7,100.0,1,1,33.3,1,2,0,29.9,85.3,0,30,0.0,0,7,2,100.0,7,109.7,3,42.9,0,58,6,3.0,29.0,8.29,0,6.8,0,100.0,,0,0,0.0,0,2,0,72.1,78.8,0,15,0.0,0,14,4,100.0,14,107.3,4,28.6,0,39,12,3.0,9.8,2.79
