player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Najee Harris,57121,HB,PIT,1,19,0,25,-2.0,0,100.0,,0,0,0.0,0,2,0,68.3,84.4,0,18,11.1,1,9,2,88.9,8,118.8,2,25.0,0,25,29,14.5,12.5,3.13,0,0.3,4,69.2,,0,0,30.8,4,2,0,28.1,51.0,0,9,2.4,1,42,9,92.9,39,75.8,13,33.3,0,50,39,4.3,5.6,1.28
Davante Adams,8688,WR,GB,1,18,0,12,8.3,0,100.0,,0,0,0.0,0,5,0,74.6,92.5,0,19,0.0,0,10,6,90.0,9,150.7,6,66.7,1,64,14,2.3,10.7,7.11,0,18.1,0,50.0,33.3,1,3,0.0,0,4,0,73.4,88.9,0,25,0.0,0,18,5,83.3,15,68.3,10,66.7,0,59,13,2.6,11.8,3.93
Chase Claypool,42312,WR,PIT,1,15,0,25,7.0,0,33.3,,0,0,0.0,0,0,0,64.7,54.9,1,5,0.0,0,9,1,100.0,9,2.8,3,33.3,0,5,6,6.0,5.0,0.56,0,6.6,0,70.0,50.0,1,2,22.2,2,4,0,31.8,60.7,0,29,0.0,0,39,7,94.9,37,91.7,10,27.0,0,75,27,3.9,10.7,2.03
Jakobi Meyers,47468,WR,NE,1,14,0,19,13.5,0,100.0,,0,0,0.0,0,1,0,68.3,61.3,0,27,0.0,0,17,2,100.0,17,118.8,2,11.8,0,34,7,3.5,17.0,2.0,0,12.8,0,54.5,100.0,3,3,0.0,0,1,0,74.6,58.5,0,17,0.0,0,36,6,100.0,36,66.5,11,30.6,0,50,3,0.5,8.3,1.39
Jaylen Waddle,84088,WR,MIA,1,13,0,17,6.0,0,100.0,,0,0,0.0,0,0,0,64.7,51.4,0,7,0.0,0,17,1,82.4,14,95.8,1,7.1,0,7,1,1.0,7.0,0.5,0,2.8,1,90.0,,0,0,0.0,0,1,1,77.3,61.3,0,9,0.0,0,31,9,93.5,29,85.0,10,34.5,0,44,28,3.1,4.9,1.52
Cole Beasley,7330,WR,BUF,1,13,0,4,8.0,0,100.0,,0,0,0.0,0,1,0,64.7,68.1,0,11,0.0,0,8,1,87.5,7,112.5,1,14.3,0,11,3,3.0,11.0,1.57,0,5.2,0,100.0,100.0,1,1,0.0,0,4,0,77.3,82.0,0,22,0.0,0,17,9,100.0,17,104.2,9,52.9,0,81,34,3.8,9.0,4.76
Cooper Kupp,11824,WR,LA,1,12,0,26,8.0,0,66.7,0.0,0,1,0.0,0,2,0,68.3,73.4,0,22,0.0,0,11,2,81.8,9,130.6,3,33.3,1,24,8,4.0,12.0,2.67,0,10.3,1,71.4,,0,0,16.7,1,2,0,45.8,69.5,0,22,0.0,0,18,5,100.0,18,96.7,7,38.9,0,59,14,2.8,11.8,3.28
DJ Moore,48267,WR,CAR,1,12,0,5,6.8,0,60.0,50.0,1,2,0.0,0,1,0,70.5,64.2,0,13,0.0,0,13,3,84.6,11,69.6,5,45.5,0,21,2,0.7,7.0,1.91,0,19.0,1,80.0,100.0,1,1,0.0,0,4,0,72.1,81.8,0,29,0.0,0,18,4,94.4,17,118.8,5,29.4,0,89,30,7.5,22.3,5.24
Keenan Allen,7857,WR,LAC,1,12,0,27,6.8,0,83.3,100.0,2,2,0.0,0,3,0,74.6,85.5,0,15,0.0,0,17,5,88.2,15,94.4,6,40.0,0,40,16,3.2,8.0,2.67,0,3.5,0,50.0,50.0,1,2,0.0,0,1,0,68.3,60.8,0,6,0.0,0,17,2,100.0,17,56.3,4,23.5,0,6,1,0.5,3.0,0.35
Mike Gesicki,47153,TE,MIA,1,12,0,17,8.0,0,75.0,0.0,0,1,0.0,0,1,0,70.5,71.8,0,9,8.3,1,12,3,75.0,9,83.3,4,44.4,0,18,4,1.3,6.0,2.0,0,4.2,0,83.3,,0,0,0.0,0,2,0,73.4,65.3,0,10,3.7,1,27,5,92.6,25,91.0,6,24.0,0,35,13,2.6,7.0,1.4
Michael Pittman Jr.,29049,WR,IND,1,11,0,14,10.4,0,60.0,0.0,0,2,0.0,0,3,0,70.5,77.7,0,12,0.0,0,17,3,82.4,14,76.3,5,35.7,0,29,22,7.3,9.7,2.07,0,14.0,0,66.7,100.0,1,1,0.0,0,1,0,68.3,61.9,0,18,0.0,0,19,2,94.7,18,86.8,3,16.7,0,21,0,0.0,10.5,1.17
Justin Jefferson,61398,WR,MIN,1,11,0,18,7.8,0,100.0,100.0,1,1,0.0,0,5,0,73.4,91.2,0,15,0.0,0,11,5,100.0,11,146.3,5,45.5,1,48,11,2.2,9.6,4.36,0,8.0,0,75.0,,0,0,0.0,0,2,0,70.5,77.8,0,28,0.0,0,21,3,95.2,20,116.7,4,20.0,0,62,35,11.7,20.7,3.1
Calvin Ridley,48262,WR,ATL,1,11,0,2,0.3,0,100.0,,0,0,0.0,0,1,0,70.5,58.1,0,20,0.0,0,15,3,86.7,13,104.2,3,23.1,0,27,26,8.7,9.0,2.08,0,13.3,0,33.3,0.0,0,1,0.0,0,1,0,64.7,56.6,0,19,0.0,0,16,1,100.0,16,56.3,3,18.8,0,19,6,6.0,19.0,1.19
Travis Kelce,7844,TE,KC,1,11,0,16,13.2,1,60.0,100.0,2,2,0.0,0,4,0,74.6,90.3,1,28,6.3,2,32,6,84.4,27,49.6,10,37.0,0,89,29,4.8,14.8,3.3,0,12.0,0,100.0,,0,0,0.0,0,1,0,64.7,71.5,0,15,0.0,0,5,1,100.0,5,118.8,1,20.0,0,15,3,3.0,15.0,3.0
Giovani Bernard,7818,HB,TB,1,10,0,30,1.0,0,100.0,100.0,1,1,0.0,0,0,0,64.7,60.5,0,1,44.4,4,9,1,44.4,4,79.2,1,25.0,0,1,0,0.0,1.0,0.25,0,-2.6,0,80.0,,0,0,0.0,0,1,1,72.1,37.3,0,8,5.3,1,19,4,94.7,18,79.2,5,27.8,0,10,25,6.3,2.5,0.56
Brandin Cooks,8655,WR,HST,1,10,0,13,8.3,0,100.0,100.0,1,1,0.0,0,0,0,70.5,65.6,0,11,0.0,0,12,3,100.0,12,104.2,3,25.0,0,27,2,0.7,9.0,2.25,0,16.2,0,83.3,0.0,0,1,0.0,0,4,0,73.4,85.0,0,30,0.0,0,20,5,80.0,16,118.1,6,37.5,0,74,12,2.4,14.8,4.63
Stefon Diggs,9579,WR,BUF,1,10,0,4,7.0,0,0.0,0.0,0,1,,0,0,0,,53.8,0,0,0.0,0,8,0,87.5,7,39.6,1,14.3,0,0,0,,,0.0,0,15.2,0,66.7,100.0,1,1,0.0,0,2,0,72.1,72.9,0,13,0.0,0,21,4,100.0,21,82.6,6,28.6,0,36,6,1.5,9.0,1.71
Deebo Samuel,48274,WR,SF,1,10,0,28,10.7,0,33.3,33.3,1,3,0.0,0,1,0,28.8,54.5,0,4,0.0,0,10,1,90.0,9,42.4,3,33.3,0,4,0,0.0,4.0,0.44,0,1.6,0,60.0,0.0,0,1,25.0,1,2,0,36.2,59.2,0,19,0.0,0,26,3,96.2,25,82.1,5,20.0,0,36,27,9.0,12.0,1.44
Mike Evans,8642,WR,TB,1,10,0,30,3.0,0,100.0,,0,0,0.0,0,0,0,64.7,55.2,0,5,0.0,0,8,1,87.5,7,87.5,1,14.3,0,5,2,2.0,5.0,0.71,0,8.2,0,100.0,,0,0,0.0,0,5,0,73.4,77.1,0,17,0.0,0,31,5,96.8,30,118.8,5,16.7,0,68,27,5.4,13.6,2.27
Corey Davis,11760,WR,NYJ,1,10,0,22,7.2,0,60.0,33.3,1,3,0.0,0,2,0,70.5,67.8,0,11,0.0,0,17,3,100.0,17,72.1,5,29.4,0,24,4,1.3,8.0,1.41,0,13.0,0,100.0,,0,0,0.0,0,1,0,64.7,69.1,0,13,0.0,0,6,1,83.3,5,118.8,1,20.0,0,13,0,0.0,13.0,2.6
Kalif Raymond,11028,WR,DET,1,10,0,11,3.0,0,75.0,,0,0,0.0,0,2,0,70.5,61.7,0,22,6.3,1,16,3,81.3,13,101.0,4,30.8,0,35,33,11.0,11.7,2.69,0,15.8,0,60.0,0.0,0,1,25.0,1,2,0,36.2,72.6,0,19,0.0,0,11,3,100.0,11,79.6,5,45.5,0,33,2,0.7,11.0,3.0
D.K. Metcalf,47864,WR,SEA,1,9,0,29,,0,,,0,0,,0,0,0,,56.6,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,13.4,0,100.0,100.0,1,1,0.0,0,5,0,73.4,90.9,0,28,0.0,0,18,5,94.4,17,158.3,5,29.4,1,90,23,4.6,18.0,5.29
Mike Williams,11762,WR,LAC,1,9,0,27,9.2,0,66.7,50.0,1,2,20.0,1,3,0,41.6,77.0,0,20,0.0,0,17,4,88.2,15,130.6,6,40.0,2,48,6,1.5,12.0,3.2,0,11.0,2,100.0,,0,0,0.0,0,3,0,70.5,84.1,0,43,0.0,0,14,3,100.0,14,118.8,3,21.4,0,74,41,13.7,24.7,5.29
Odell Beckham Jr.,8647,WR,CLV,1,9,0,8,18.3,0,66.7,,0,0,0.0,0,2,0,68.3,86.2,0,26,0.0,0,8,2,100.0,8,109.7,3,37.5,0,39,0,0.0,19.5,4.88,0,12.8,0,50.0,100.0,1,1,0.0,0,1,0,68.3,64.1,0,16,0.0,0,14,2,100.0,14,67.7,4,28.6,0,23,6,3.0,11.5,1.64
George Kittle,11901,TE,SF,1,9,0,28,-6.0,0,100.0,,0,0,0.0,0,0,0,64.7,54.8,0,0,30.0,3,10,1,60.0,6,79.2,1,16.7,0,0,6,6.0,0.0,0.0,0,11.9,3,71.4,100.0,1,1,0.0,0,4,0,73.4,92.0,1,39,17.9,5,28,5,78.6,22,72.6,7,31.8,0,85,44,8.8,17.0,3.86
Jalen Reagor,61697,WR,PHI,1,8,0,24,13.2,0,80.0,,0,0,0.0,0,2,0,72.1,72.0,1,24,0.0,0,19,4,94.7,18,67.1,5,27.8,0,48,13,3.3,12.0,2.67,0,6.7,0,33.3,0.0,0,1,0.0,0,0,0,64.7,52.7,0,5,0.0,0,26,1,88.5,23,42.4,3,13.0,0,5,5,5.0,5.0,0.22
Chase Edmonds,45851,HB,ARZ,1,8,0,1,4.0,0,50.0,,0,0,0.0,0,0,0,64.7,46.6,0,7,20.0,1,5,1,60.0,3,58.3,2,66.7,0,7,2,2.0,7.0,2.33,0,-1.5,2,100.0,,0,0,0.0,0,1,0,74.6,83.6,0,12,4.3,1,23,6,91.3,21,95.8,6,28.6,0,42,51,8.5,7.0,2.0
