player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Tom Brady,698,QB,TB,1,77.1,48,50,11.2,2.42,0,4,8.0,68.0,34,0,8,8.1,51,3,21,30,80.6,84.7,84.0,,0,1,52,1,12.5,104.6,2.0,1,0,1,1,3,1,1.9,410,8.2
Ben Roethlisberger,1732,QB,PIT,1,58.7,46,46,6.5,2.19,0,0,0.0,52.2,24,0,10,11.1,48,3,10,25,31.5,42.8,42.7,60.0,0,1,50,0,20.0,56.3,4.2,2,0,0,0,1,3,6.0,123,2.7
Joe Burrow,28022,QB,CIN,1,86.5,37,39,7.4,2.44,0,3,6.8,76.9,30,0,16,6.3,45,2,13,7,80.9,80.3,84.1,45.9,1,0,50,0,25.0,148.0,8.9,4,2,0,1,4,0,0.0,446,11.4
Tua Tagovailoa,60326,QB,MIA,1,59.5,37,38,9.7,2.81,0,1,2.6,47.4,18,0,12,18.2,43,4,11,17,17.2,47.6,53.8,36.6,0,1,44,0,33.3,53.1,9.3,4,1,0,1,0,3,6.8,205,5.4
Kyler Murray,38334,QB,ARZ,1,78.8,33,38,9.1,2.64,1,3,7.3,68.4,26,0,12,0.0,41,0,12,1,81.1,69.9,70.9,58.8,0,0,46,0,8.3,105.5,2.4,1,2,0,4,2,1,2.2,263,6.9
Dak Prescott,10769,QB,DAL,1,78.8,33,38,5.3,2.84,4,0,0.0,63.2,24,0,16,7.7,42,2,14,9,18.9,64.4,70.2,42.2,0,0,48,0,6.3,105.8,2.4,1,3,0,1,3,2,4.2,226,5.9
Aaron Rodgers,2241,QB,GB,1,83.8,37,38,6.5,2.35,0,3,7.7,76.3,29,0,7,6.5,40,2,17,12,79.2,90.2,89.6,59.2,0,0,41,0,0.0,114.8,0.0,0,2,0,1,2,0,0.0,288,7.6
Baker Mayfield,46518,QB,CLV,1,62.5,32,38,8.8,2.75,4,0,0.0,42.1,16,0,17,20.0,48,4,9,8,80.7,47.4,46.6,61.9,0,2,51,0,52.9,53.1,18.8,9,1,0,2,2,1,2.0,185,4.9
Tim Boyle,21956,QB,DET,1,65.7,35,37,7.0,2.5,1,1,2.6,59.5,22,0,7,4.3,38,1,13,11,28.4,62.4,59.9,64.4,1,3,41,0,0.0,65.4,0.0,0,1,0,0,2,3,7.3,262,7.1
Sean Mannion,9522,QB,MIN,1,72.7,33,36,7.0,2.68,1,1,2.6,61.1,22,0,13,8.3,39,2,9,18,79.4,68.9,64.4,74.4,0,0,41,0,15.4,84.1,5.1,2,1,0,2,1,0,0.0,189,5.3
Taylor Heinicke,9896,QB,WAS,1,87.1,31,36,5.3,2.66,3,2,5.3,75.0,27,0,14,0.0,42,0,15,32,79.6,56.5,54.8,64.1,0,1,44,0,21.4,81.6,7.1,3,2,1,1,0,3,6.8,247,6.9
Patrick Mahomes,11765,QB,KC,1,81.8,33,35,9.3,2.96,0,3,7.9,74.3,26,0,13,3.7,37,1,12,16,79.0,83.8,79.5,73.1,0,0,40,0,0.0,113.9,0.0,0,2,0,2,2,2,5.0,259,7.4
Andy Dalton,6187,QB,CHI,1,65.5,29,35,9.0,2.61,2,0,0.0,51.4,18,0,10,5.3,40,1,10,6,79.2,45.2,45.2,57.4,0,1,41,0,20.0,63.2,5.0,2,3,1,3,1,3,7.3,173,4.9
Matthew Stafford,4924,QB,LA,1,85.7,35,35,7.3,2.69,0,2,5.6,74.3,26,0,8,13.3,36,4,14,26,27.9,68.4,69.2,60.0,0,2,37,1,12.5,96.0,2.8,1,0,0,0,2,3,8.1,309,8.8
Zach Wilson,82096,QB,NYJ,1,72.4,29,33,7.6,2.65,0,1,2.9,57.6,19,0,13,9.5,34,2,14,22,78.7,68.1,69.5,53.1,1,0,35,0,7.7,89.7,2.9,1,0,0,3,1,1,2.9,234,7.1
Tyler Huntley,46448,QB,BLT,1,75.9,29,32,9.9,2.43,0,1,3.1,62.5,20,0,11,9.1,39,2,10,3,79.9,73.3,70.1,74.1,0,1,40,1,45.5,66.8,12.8,5,2,2,1,0,2,5.0,197,6.2
Davis Mills,52269,QB,HST,1,70.0,30,32,6.0,2.65,0,1,2.7,65.6,21,0,15,0.0,36,0,6,13,28.4,49.8,50.1,58.3,0,1,41,0,20.0,75.4,8.3,3,1,0,2,1,3,7.3,163,5.1
Justin Herbert,28237,QB,LAC,1,85.7,28,31,6.0,2.89,1,1,3.1,71.0,22,0,5,8.3,32,2,14,27,78.6,79.4,75.9,69.7,0,0,33,0,0.0,114.6,0.0,0,1,0,2,2,0,0.0,237,7.6
Derek Carr,8671,QB,LV,1,77.4,31,31,8.8,2.79,0,2,6.5,77.4,24,0,14,0.0,33,0,13,23,77.9,60.5,62.1,,0,2,33,1,14.3,84.7,6.1,2,0,0,0,1,3,9.1,255,8.2
Mac Jones,60323,QB,NE,1,82.8,29,30,9.0,2.4,0,2,6.7,73.3,22,0,3,8.3,31,2,14,19,78.0,89.9,85.5,71.9,0,0,32,0,0.0,128.1,0.0,0,1,0,1,3,0,0.0,227,7.6
Russell Wilson,7077,QB,SEA,1,78.6,28,29,7.7,2.24,0,2,6.7,69.0,20,0,5,9.1,33,2,14,29,79.0,85.8,81.1,74.7,0,0,34,0,20.0,133.0,3.0,1,2,0,1,4,0,0.0,236,8.1
Taysom Hill,12112,QB,NO,1,87.0,23,28,7.6,2.64,0,0,0.0,60.7,17,0,14,15.0,34,3,11,20,79.8,70.8,68.6,69.9,0,0,34,1,14.3,97.6,5.9,2,4,2,3,1,1,2.9,222,7.9
Trevor Lawrence,77632,QB,JAX,1,66.7,27,27,7.6,2.71,0,1,3.7,63.0,17,0,9,5.6,31,1,9,15,77.6,42.2,41.6,60.6,0,3,31,0,22.2,57.1,6.5,2,2,0,0,1,3,9.7,193,7.1
Carson Wentz,10636,QB,IND,1,69.6,23,27,7.6,3.12,0,0,0.0,59.3,16,0,15,0.0,29,0,6,14,78.2,55.7,53.3,65.0,2,0,32,0,6.7,86.7,3.4,1,1,0,2,1,1,3.1,148,5.5
Jalen Hurts,40291,QB,PHI,1,70.8,24,26,10.3,3.6,0,0,0.0,65.4,17,0,13,0.0,29,0,10,24,78.5,73.5,70.7,67.7,0,0,29,0,7.7,90.9,3.4,1,2,0,2,0,0,0.0,214,8.2
Sam Darnold,29048,QB,CAR,1,82.6,23,26,4.2,2.88,0,0,0.0,65.4,17,0,17,10.5,34,2,8,5,27.9,40.4,38.6,62.6,0,1,36,0,41.2,61.7,20.6,7,1,0,3,0,3,8.3,132,5.1
Josh Allen,46601,QB,BUF,1,56.5,23,26,10.7,3.51,0,0,0.0,42.3,11,0,7,15.4,30,2,10,4,80.5,70.6,53.3,90.5,0,3,35,0,0.0,17.0,0.0,0,4,0,3,0,2,5.7,120,4.6
Drew Lock,39517,QB,DEN,1,76.0,25,25,8.6,3.11,0,1,3.6,72.0,18,0,4,5.3,28,1,11,10,78.0,64.5,64.9,56.7,0,0,31,0,25.0,116.3,3.6,1,2,0,0,1,1,3.2,245,9.8
