,,,,,Games,,Passing,,,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
1,Tom Brady,NWE,42,QB,12,12,297,486,3268,5,34,0,26,5.80%,88,19.50%,334,73.90%
2,Jameis Winston,TAM,25,QB,12,12,281,467,3659,9,17,2,19,4.20%,92,20.50%,318,71.00%
3,Jared Goff,LAR,25,QB,12,12,283,453,3419,14,6,1,22,4.90%,92,20.60%,318,71.30%
4,Dak Prescott,DAL,26,QB,12,12,298,447,3788,4,10,1,26,6.00%,59,13.50%,351,80.50%
5,Matt Ryan,ATL,34,QB,11,11,301,447,3246,13,19,1,12,2.80%,60,14.10%,328,76.80%
6,Philip Rivers,LAC,38,QB,12,12,288,445,3434,11,11,3,21,4.90%,69,16.00%,328,76.10%
7,Carson Wentz,PHI,27,QB,12,12,271,434,2840,11,6,1,21,4.90%,81,19.00%,300,70.30%
8,Kyler Murray,ARI,22,QB,12,12,273,427,2866,15,17,3,16,3.90%,75,18.40%,298,73.20%
9,Aaron Rodgers,GNB,36,QB,12,12,266,413,3065,2,24,1,13,3.40%,78,20.10%,298,76.80%
10,Baker Mayfield,CLE,24,QB,12,12,244,407,2917,15,14,1,25,6.40%,70,17.90%,277,70.70%
11,Deshaun Watson,HOU,24,QB,12,12,267,386,3133,1,12,1,17,4.60%,61,16.40%,296,79.40%
12,Russell Wilson,SEA,31,QB,12,12,258,383,3177,6,12,2,13,3.50%,68,18.40%,282,76.40%
13,Andy Dalton,CIN,32,QB,9,9,226,375,2495,10,9,4,18,5.00%,70,19.30%,262,72.40%
14,Daniel Jones,NYG,22,QB,11,10,228,370,2374,5,10,0,14,3.90%,68,18.90%,258,71.70%
15,Derek Carr,OAK,28,QB,12,12,259,367,2843,7,16,1,16,4.60%,41,11.70%,283,80.90%
16,Josh Allen,BUF,23,QB,12,12,225,366,2591,6,22,3,23,6.70%,65,19.10%,259,76.00%
17,Kyle Allen,CAR,23,QB,10,10,225,366,2457,11,22,0,23,6.70%,58,16.90%,266,77.30%
18,Mitchell Trubisky,CHI,25,QB,11,11,230,361,2196,5,5,1,19,5.40%,61,17.20%,274,77.20%
19,Kirk Cousins,MIN,31,QB,12,12,248,358,3032,7,21,0,16,4.70%,51,15.10%,272,80.70%
20,Jimmy Garoppolo,SFO,28,QB,12,12,247,358,2896,6,5,2,19,5.40%,50,14.20%,283,80.60%
21,Patrick Mahomes,KAN,24,QB,10,10,227,352,2983,5,14,0,18,5.30%,67,19.80%,258,76.30%
22,Gardner Minshew,JAX,23,QB,10,8,204,334,2432,5,15,1,16,5.00%,54,17.00%,238,74.80%
23,Ryan Fitzpatrick,MIA,37,QB,11,9,208,331,2266,11,3,3,17,5.20%,57,17.50%,239,73.50%
24,Jacoby Brissett,IND,27,QB,11,11,209,325,2245,10,15,3,16,5.20%,47,15.30%,236,76.90%
25,Lamar Jackson,BAL,22,QB,12,12,214,322,2532,8,6,2,9,2.90%,58,18.50%,239,76.10%
26,Sam Darnold,NYJ,22,QB,9,9,196,311,2154,8,16,1,16,5.40%,54,18.40%,222,75.50%
27,Matthew Stafford,DET,31,QB,8,8,187,291,2499,5,5,2,9,3.20%,59,20.80%,201,70.80%
28,Mason Rudolph,PIT,24,QB,9,8,162,263,1636,4,14,0,12,4.80%,52,20.90%,174,69.90%
29,Joe Flacco,DEN,34,QB,8,8,171,262,1822,9,12,1,15,6.00%,40,16.10%,194,77.90%
30,Drew Brees,NOR,40,QB,7,7,177,240,1791,4,5,5,8,3.50%,29,12.60%,190,82.60%
31,Teddy Bridgewater,NOR,27,qb,7,5,132,195,1370,4,9,0,16,8.60%,22,11.80%,151,81.20%
32,Case Keenum,WAS,31,QB,8,7,126,188,1343,5,3,2,9,4.90%,30,16.40%,135,73.80%
33,Ryan Tannehill,TEN,31,QB,8,6,128,176,1602,3,3,2,4,2.30%,18,10.50%,142,83.00%
34,Marcus Mariota,TEN,26,QB,6,6,94,159,1179,2,9,2,10,6.80%,31,20.90%,106,71.60%
35,Dwayne Haskins,WAS,22,qb,6,4,72,133,801,3,5,0,12,9.40%,26,20.30%,92,71.90%
36,Nick Foles,JAX,30,qb,4,4,77,117,736,2,5,0,4,3.60%,13,11.60%,88,78.60%
37,Josh Rosen,MIA,22,qb,6,3,58,109,567,7,1,0,8,7.40%,24,22.20%,73,67.60%
38,Jeff Driskel,DET,26,qb,3,3,62,105,685,2,5,2,3,3.10%,23,23.50%,68,69.40%
39,Matt Moore,KAN,35,qb,5,2,59,91,659,3,1,1,3,3.40%,15,16.90%,68,76.40%
