,,,,,Games,,Passing,,,,,,,,,,,
31,Ryan Tannehill,TEN,31,QB,10,8,171,239,2272,4,3,3,5,2.10%,29,12.40%,189,81.10%
32,Teddy Bridgewater,NOR,27,qb,8,5,132,195,1370,4,9,0,16,8.60%,22,11.80%,151,81.20%
33,Dwayne Haskins,WAS,22,qb,8,6,107,188,1232,4,6,1,14,7.70%,36,19.90%,132,72.90%
34,Case Keenum,WAS,31,QB,8,7,126,188,1343,5,3,2,9,4.90%,30,16.40%,135,73.80%
35,Marcus Mariota,TEN,26,qb,6,6,94,159,1179,2,9,2,10,6.80%,31,20.90%,106,71.60%
36,Eli Manning,NYG,38,qb,4,4,91,147,1042,4,4,0,4,2.80%,28,19.60%,106,74.10%
37,David Blough,DET,24,qb,3,3,70,121,745,3,4,0,5,4.30%,27,23.10%,73,62.40%
38,Devlin Hodges,PIT,23,qb,6,4,80,118,884,2,9,0,4,3.70%,21,19.30%,85,78.00%
39,Nick Foles,JAX,30,qb,4,4,77,117,736,2,5,0,4,3.60%,13,11.60%,88,78.60%
40,Josh Rosen,MIA,22,qb,6,3,58,109,567,7,1,0,8,7.40%,24,22.20%,73,67.60%
41,Jeff Driskel,DET,26,qb,3,3,62,105,685,2,5,2,3,3.10%,23,23.50%,68,69.40%
42,Drew Lock,DEN,23,qb,3,3,58,95,651,0,2,0,6,6.50%,19,20.40%,64,68.80%
43,Matt Moore,KAN,35,qb,5,2,59,91,659,3,1,1,3,3.40%,15,16.90%,68,76.40%
44,Cam Newton,CAR,30,qb,2,2,50,89,572,2,2,1,3,3.50%,26,30.20%,54,62.80%
45,Ryan Finley,CIN,25,qb,3,3,41,87,474,2,3,0,4,4.80%,19,22.60%,52,61.90%
46,Brandon Allen,DEN,27,qb,3,3,39,84,515,2,9,0,3,4.00%,18,24.00%,51,68.00%
47,Luke Falk,NYJ,25,qb,3,2,47,73,416,3,2,0,4,5.60%,11,15.50%,53,74.60%
48,Matt Schaub,ATL,38,qb,6,1,50,67,580,0,1,2,0,0.00%,10,15.60%,50,78.10%
49,Brian Hoyer,IND,34,qb,3,1,35,65,372,0,1,0,3,4.70%,14,21.90%,45,70.30%
50,Chase Daniel,CHI,33,qb,3,1,45,64,435,1,0,0,4,6.30%,9,14.10%,51,79.70%
51,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,2,0,0,7,11.30%,12,19.40%,44,71.00%
52,Colt McCoy,WAS,33,qb,1,1,18,27,122,1,0,0,0,0.00%,6,22.20%,20,74.10%
53,Robert Griffin,BAL,29,,6,0,12,17,129,0,0,0,0,0.00%,1,5.90%,15,88.20%
54,Matt Barkley,BUF,29,,1,0,9,16,127,1,0,0,1,6.30%,4,25.00%,10,62.50%
55,Mike Glennon,OAK,30,,2,0,6,10,56,0,0,0,0,0.00%,3,30.00%,7,70.00%
56,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,0,1,0,0,0.00%,2,40.00%,3,60.00%
57,Tyrod Taylor,LAC,30,,7,0,4,6,33,0,0,0,1,16.70%,1,16.70%,5,83.30%
58,Josh McCown,PHI,40,,3,0,3,5,24,1,0,0,1,20.00%,0,0.00%,4,80.00%
59,Jaylen Samuels,PIT,23,rb,12,4,4,5,35,0,0,0,0,0.00%,1,20.00%,4,80.00%
60,Tim Boyle,GNB,25,,3,0,3,4,15,0,0,0,0,0.00%,1,25.00%,3,75.00%
61,Ryan Griffin,TAM,30,,2,0,2,4,18,0,1,0,0,0.00%,1,33.30%,2,66.70%
62,Taysom Hill,NOR,29,qb,14,3,2,4,35,0,0,0,0,0.00%,1,25.00%,2,50.00%
63,Jarrett Stidham,NWE,23,,3,0,2,4,14,0,0,0,0,0.00%,2,50.00%,2,50.00%
64,Garrett Gilbert,CLE,28,,5,0,0,3,0,0,1,0,1,50.00%,0,0.00%,1,50.00%
65,Johnny Hekker,LAR,29,P,14,0,2,3,28,0,0,0,0,0.00%,0,0.00%,0,0.00%
66,Odell Beckham,CLE,27,WR,14,14,1,2,20,0,0,0,0,0.00%,0,0.00%,2,100.00%
67,Blake Bortles,LAR,27,,3,0,1,2,3,0,1,0,0,0.00%,0,0.00%,1,100.00%
68,Julian Edelman,NWE,33,WR,14,12,2,2,47,0,0,0,0,0.00%,0,0.00%,2,100.00%
69,DeAndre Hopkins*,HOU,27,WR,14,14,1,2,6,0,0,0,0,0.00%,0,0.00%,1,50.00%
70,Brett Kern*,TEN,33,P,14,0,1,2,11,0,0,0,0,0.00%,0,0.00%,0,0.00%
71,Christian McCaffrey*,CAR,23,RB,14,14,0,2,0,0,1,0,0,0.00%,1,100.00%,0,0.00%
72,Kenjon Barner,ATL,29,,12,0,1,1,3,0,0,0,0,0.00%,0,0.00%,1,100.00%
73,John Brown,BUF,29,WR,14,14,1,1,28,0,0,0,0,0.00%,0,0.00%,1,100.00%
74,Randall Cobb,DAL,29,wr,13,5,0,1,0,0,1,0,0,0.00%,0,0.00%,0,0.00%
75,Dustin Colquitt,KAN,37,P,14,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
76,Logan Cooke,JAX,24,P,14,0,1,1,9,0,0,0,0,0.00%,0,0.00%,0,0.00%
77,Jake Elliott,PHI,24,K,14,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
78,Alex Erickson,CIN,27,wr,14,4,1,1,26,0,0,0,0,0.00%,0,0.00%,1,100.00%
79,Josh Gordon,2TM,28,,11,7,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
80,Matt Haack,MIA,25,P,14,0,1,1,1,0,0,0,0,0.00%,0,0.00%,0,0.00%
81,Brett Hundley,ARI,26,,1,0,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
82,Alvin Kamara,NOR,24,RB,12,8,1,1,13,0,0,0,0,0.00%,0,0.00%,1,100.00%
83,Sam Koch,BAL,37,P,14,0,1,1,-2,0,0,0,0,0.00%,0,0.00%,0,0.00%
84,Cooper Kupp,LAR,26,WR,14,12,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
85,Andy Lee,ARI,37,P,13,0,1,1,26,0,0,0,0,0.00%,0,0.00%,0,0.00%
86,A.J. McCarron,HOU,29,,1,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
87,Zach Pascal,IND,25,WR,14,11,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
88,Dante Pettis,SFO,24,wr,11,4,1,1,16,0,0,0,0,0.00%,0,0.00%,1,100.00%
89,Bilal Powell,NYJ,31,rb,11,1,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
90,Emmanuel Sanders,2TM,32,,15,14,1,1,35,0,0,0,0,0.00%,0,0.00%,1,100.00%
91,Steven Sims,WAS,22,wr,14,1,0,1,0,0,1,0,0,0.00%,0,0.00%,0,0.00%
92,Courtland Sutton,DEN,24,WR,14,12,1,1,38,0,0,0,0,0.00%,0,0.00%,1,100.00%
93,Alex Tanney,NYG,32,,1,0,1,1,1,0,0,0,0,0.00%,0,0.00%,1,100.00%
94,James White,NWE,27,rb,13,1,1,1,35,0,0,0,0,0.00%,0,0.00%,1,100.00%
