,,,,,Games,,Passing,,,RPO,,,,,,PlayAction,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds
1,Tom Brady,NWE,42,QB,13,13,316,522,3437,19,110,19,110,0,0,104,809
2,Jameis Winston,TAM,25,QB,13,13,314,512,4115,9,82,8,80,1,2,83,790
3,Dak Prescott,DAL,26,QB,13,13,325,496,4122,43,349,37,308,6,41,113,1046
4,Jared Goff,LAR,25,QB,13,13,305,484,3712,0,0,0,0,0,0,135,1137
5,Carson Wentz,PHI,27,QB,13,13,304,484,3165,68,372,57,321,7,51,120,690
6,Matt Ryan,ATL,34,QB,12,12,321,481,3559,30,218,30,218,0,0,90,639
7,Philip Rivers,LAC,38,QB,13,13,304,467,3748,32,358,32,358,0,0,76,727
8,Kyler Murray,ARI,22,QB,13,13,293,457,3060,96,683,61,479,30,204,120,797
9,Aaron Rodgers,GNB,36,QB,13,13,284,441,3260,25,77,23,77,0,0,101,808
10,Deshaun Watson,HOU,24,QB,13,13,295,436,3425,81,575,57,467,21,108,101,697
11,Baker Mayfield,CLE,24,QB,13,13,255,431,3109,50,386,48,387,1,-1,116,938
12,Russell Wilson,SEA,31,QB,13,13,280,419,3422,45,338,33,309,8,29,111,853
13,Andy Dalton,CIN,32,QB,10,10,248,413,2757,28,138,25,132,3,6,96,593
14,Kyle Allen,CAR,23,QB,11,11,253,407,2750,46,378,43,374,1,4,101,673
15,Josh Allen,BUF,23,QB,13,13,242,405,2737,35,193,26,168,7,25,86,603
16,Derek Carr,OAK,28,QB,13,13,284,401,3106,9,36,9,36,0,0,68,499
17,Jimmy Garoppolo,SFO,28,QB,13,13,273,393,3245,17,242,16,242,0,0,102,1095
18,Patrick Mahomes,KAN,24,QB,11,11,253,392,3266,61,444,55,418,5,26,103,741
19,Mitchell Trubisky,CHI,25,QB,12,12,253,392,2440,26,149,19,107,7,42,82,565
20,Kirk Cousins,MIN,31,QB,13,13,272,388,3274,0,0,0,0,0,0,119,1110
21,Gardner Minshew,JAX,23,QB,11,9,228,371,2594,17,193,15,193,1,0,53,528
22,Daniel Jones,NYG,22,QB,11,10,228,370,2374,29,221,21,193,5,28,77,483
23,Ryan Fitzpatrick,MIA,37,QB,12,10,229,368,2511,12,57,10,57,0,0,50,393
24,Jacoby Brissett,IND,27,QB,12,12,228,361,2496,52,308,44,280,7,28,98,635
25,Sam Darnold,NYJ,22,QB,10,10,216,347,2424,30,208,27,202,2,6,74,541
26,Lamar Jackson,BAL,22,QB,13,13,230,347,2677,150,1150,68,553,78,597,138,741
27,Matthew Stafford,DET,31,QB,8,8,187,291,2499,14,90,8,52,5,38,72,633
28,Drew Brees,NOR,40,QB,8,8,206,280,2140,1,15,1,15,0,0,32,300
29,Mason Rudolph,PIT,24,QB,9,8,162,263,1636,14,89,13,88,1,1,42,165
30,Joe Flacco,DEN,34,QB,8,8,171,262,1822,4,16,4,16,0,0,41,287
31,Ryan Tannehill,TEN,31,QB,9,7,149,203,1993,6,74,4,69,2,5,60,810
32,Teddy Bridgewater,NOR,27,qb,7,5,132,195,1370,0,0,0,0,0,0,34,360
33,Case Keenum,WAS,31,QB,8,7,126,188,1343,12,48,12,48,0,0,38,364
34,Dwayne Haskins,WAS,22,qb,7,5,88,160,971,6,22,5,22,0,0,35,171
35,Marcus Mariota,TEN,26,qb,6,6,94,159,1179,18,141,13,123,5,18,46,449
36,Eli Manning,NYG,38,qb,3,3,71,119,759,11,90,11,90,0,0,28,172
37,Nick Foles,JAX,30,qb,4,4,77,117,736,6,36,5,23,1,13,15,92
38,Josh Rosen,MIA,22,qb,6,3,58,109,567,11,26,10,26,0,0,20,40
39,Jeff Driskel,DET,26,qb,3,3,62,105,685,8,40,0,0,8,40,21,44
40,Matt Moore,KAN,35,qb,5,2,59,91,659,14,137,13,137,0,0,33,343
41,Cam Newton,CAR,30,qb,2,2,50,89,572,15,116,12,116,2,0,24,195
42,Ryan Finley,CIN,25,qb,3,3,41,87,474,3,1,2,0,1,1,16,131
43,Brandon Allen,DEN,27,qb,3,3,39,84,515,8,25,7,14,1,11,25,273
44,Devlin Hodges,PIT,23,qb,5,3,57,80,682,10,49,8,50,2,-1,15,80
45,David Blough,DET,24,qb,2,2,46,78,485,0,0,0,0,0,0,17,135
46,Luke Falk,NYJ,25,qb,3,2,47,73,416,3,22,3,22,0,0,16,113
47,Matt Schaub,ATL,38,qb,6,1,50,67,580,2,0,2,0,0,0,13,143
48,Brian Hoyer,IND,34,qb,3,1,35,65,372,3,30,3,30,0,0,10,80
49,Chase Daniel,CHI,33,qb,3,1,45,64,435,4,26,4,26,0,0,15,82
50,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,0,0,0,0,0,0,1,8
51,Drew Lock,DEN,23,qb,2,2,40,55,443,2,32,2,32,0,0,14,132
52,Colt McCoy,WAS,33,qb,1,1,18,27,122,0,0,0,0,0,0,6,40
53,Matt Barkley,BUF,29,,1,0,9,16,127,0,0,0,0,0,0,0,0
54,Robert Griffin,BAL,29,,5,0,12,16,129,6,37,5,28,0,9,4,13
55,Mike Glennon,OAK,30,,2,0,6,10,56,0,0,0,0,0,0,0,0
56,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,2,1,2,1,0,0,4,1
57,Tyrod Taylor,LAC,30,,7,0,4,6,33,2,0,1,-2,1,2,4,12
58,Josh McCown,PHI,40,,3,0,3,5,24,1,13,1,13,0,0,1,13
59,Jaylen Samuels,PIT,23,rb,11,4,4,5,35,12,47,1,0,10,47,5,0
60,Tim Boyle,GNB,25,,3,0,3,4,15,1,7,1,7,0,0,2,12
61,Ryan Griffin,TAM,30,,1,0,2,4,18,0,0,0,0,0,0,0,0
62,Taysom Hill,NOR,29,qb,13,2,2,4,35,7,17,0,0,6,17,6,0
63,Jarrett Stidham,NWE,23,,3,0,2,4,14,0,0,0,0,0,0,0,0
64,Garrett Gilbert,CLE,28,,5,0,0,3,0,0,0,0,0,0,0,0,0
65,Odell Beckham,CLE,27,WR,13,13,1,2,20,16,0,0,0,0,0,38,0
66,Blake Bortles,LAR,27,,3,0,1,2,3,1,1,0,0,1,1,3,0
67,Julian Edelman,NWE,33,WR,13,11,2,2,47,7,15,1,15,0,0,35,15
68,Johnny Hekker,LAR,29,P,13,0,1,2,23,0,0,0,0,0,0,0,0
69,DeAndre Hopkins,HOU,27,WR,13,13,1,2,6,16,6,1,6,0,0,20,0
70,Kenjon Barner,ATL,29,,11,0,1,1,3,0,0,0,0,0,0,0,0
71,John Brown,BUF,29,WR,13,13,1,1,28,8,0,0,0,0,0,23,28
72,Randall Cobb,DAL,29,wr,12,5,0,1,0,7,0,0,0,0,0,18,0
73,Dustin Colquitt,KAN,37,P,13,0,0,1,0,0,0,0,0,0,0,0,0
74,Logan Cooke,JAX,24,P,13,0,1,1,9,0,0,0,0,0,0,0,0
75,Jake Elliott,PHI,24,K,13,0,0,1,0,0,0,0,0,0,0,0,0
76,Alex Erickson,CIN,27,wr,13,3,1,1,26,5,26,1,26,0,0,10,26
77,Matt Haack,MIA,25,P,13,0,1,1,1,0,0,0,0,0,0,0,0
78,Brett Hundley,ARI,26,,1,0,0,1,0,1,0,0,0,0,0,0,0
79,Alvin Kamara,NOR,24,RB,11,8,1,1,13,6,37,0,0,6,37,10,0
80,Brett Kern,TEN,33,P,13,0,1,1,11,0,0,0,0,0,0,0,0
81,Sam Koch,BAL,37,P,13,0,1,1,-2,0,0,0,0,0,0,0,0
82,Cooper Kupp,LAR,26,WR,13,11,0,1,0,0,0,0,0,0,0,14,0
83,Andy Lee,ARI,37,P,12,0,1,1,26,0,0,0,0,0,0,0,0
84,Christian McCaffrey,CAR,23,RB,13,13,0,1,0,28,68,0,0,21,68,20,0
85,A.J. McCarron,HOU,29,,1,0,0,1,0,0,0,0,0,0,0,0,0
86,Zach Pascal,IND,25,WR,13,11,0,1,0,5,0,0,0,0,0,16,0
87,Dante Pettis,SFO,24,wr,11,4,1,1,16,2,0,0,0,0,0,1,0
88,Bilal Powell,NYJ,31,rb,11,1,0,1,0,5,15,0,0,4,15,3,0
89,Emmanuel Sanders,2TM,32,,14,13,1,1,35,3,0,0,0,0,0,20,35
90,Steven Sims,WAS,22,,13,0,0,1,0,3,4,0,0,1,4,5,0
91,Courtland Sutton,DEN,24,WR,13,11,1,1,38,1,0,0,0,0,0,11,0
92,James White,NWE,27,rb,12,1,1,1,35,5,1,0,0,3,1,8,0
