,,,,,Games,,Passing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
1,Jameis Winston,TAM,25,QB,15,15,367,602,4908,6247,10.4,3126,8.5,5.2,1782,4.9
2,Tom Brady,NWE,42,QB,15,15,357,584,3836,4328,7.4,2099,5.9,3.6,1737,4.9
3,Jared Goff,LAR,25,QB,15,15,365,581,4319,4433,7.6,2174,6,3.7,2145,5.9
4,Carson Wentz,PHI,27,QB,15,15,365,567,3750,4528,8,2081,5.7,3.7,1669,4.6
5,Matt Ryan,ATL,34,QB,14,14,378,565,4153,4696,8.3,2623,6.9,4.6,1530,4
6,Dak Prescott,DAL,26,QB,15,15,365,563,4599,5222,9.3,2818,7.7,5,1781,4.9
7,Philip Rivers,LAC,38,QB,15,15,359,545,4334,4694,8.6,2305,6.4,4.2,2029,5.7
8,Aaron Rodgers*,GNB,36,QB,15,15,326,514,3679,4258,8.3,1828,5.6,3.6,1851,5.7
9,Baker Mayfield,CLE,24,QB,15,15,305,507,3548,3994,7.9,1754,5.8,3.5,1794,5.9
10,Andy Dalton,CIN,32,QB,12,12,298,500,3304,3623,7.2,1721,5.8,3.4,1583,5.3
11,Kyler Murray,ARI,22,QB,15,15,323,500,3397,3568,7.1,1684,5.2,3.4,1713,5.3
12,Deshaun Watson*,HOU,24,QB,15,15,333,495,3852,4403,8.9,2173,6.5,4.4,1679,5
13,Mitchell Trubisky,CHI,25,QB,14,14,300,479,2931,3858,8.1,1625,5.4,3.4,1306,4.4
14,Russell Wilson*,SEA,31,QB,15,15,316,476,3877,4578,9.6,2260,7.2,4.7,1617,5.1
15,Derek Carr,OAK,28,QB,15,15,332,467,3663,3059,6.6,1748,5.3,3.7,1915,5.8
16,Ryan Fitzpatrick,MIA,37,QB,14,12,283,461,3209,4067,8.8,2050,7.2,4.4,1159,4.1
17,Patrick Mahomes*,KAN,24,QB,13,13,303,459,3857,4119,9,1961,6.5,4.3,1896,6.3
18,Josh Allen,BUF,23,QB,15,15,268,456,3084,4200,9.2,1766,6.6,3.9,1318,4.9
19,Jimmy Garoppolo,SFO,28,QB,15,15,311,454,3693,2933,6.5,1687,5.4,3.7,2006,6.5
20,Kyle Allen,CAR,23,QB,12,12,278,448,3027,3654,8.2,1498,5.4,3.3,1529,5.5
21,Kirk Cousins,MIN,31,QB,15,15,307,444,3603,3395,7.6,1818,5.9,4.1,1785,5.8
22,Gardner Minshew,JAX,23,QB,13,11,258,431,2976,3099,7.2,1518,5.9,3.5,1458,5.7
23,Jacoby Brissett,IND,27,QB,14,14,260,422,2780,3337,7.9,1387,5.3,3.3,1393,5.4
24,Daniel Jones,NYG,22,QB,12,11,256,412,2726,3137,7.6,1387,5.4,3.4,1339,5.2
25,Sam Darnold,NYJ,22,QB,12,12,250,405,2825,3375,8.3,1439,5.8,3.6,1386,5.5
26,Lamar Jackson*,BAL,22,QB,15,15,265,401,3127,3523,8.8,1745,6.6,4.4,1382,5.2
27,Drew Brees*,NOR,40,QB,10,10,262,348,2726,2228,6.4,1396,5.3,4,1330,5.1
28,Matthew Stafford,DET,31,QB,8,8,187,291,2499,3097,10.6,1609,8.6,5.5,890,4.8
29,Mason Rudolph,PIT,24,QB,10,8,176,283,1765,2237,7.9,841,4.8,3,924,5.3
30,Ryan Tannehill,TEN,31,QB,11,9,188,266,2544,2443,9.2,1365,7.3,5.1,1179,6.3
31,Joe Flacco,DEN,34,QB,8,8,171,262,1822,1747,6.7,912,5.3,3.5,910,5.3
32,Case Keenum,WAS,31,qb,9,7,142,210,1501,1454,6.9,801,5.6,3.8,700,4.9
33,Dwayne Haskins,WAS,22,qb,9,7,119,203,1365,1751,8.6,750,6.3,3.7,615,5.2
34,Teddy Bridgewater,NOR,27,qb,8,5,132,195,1370,1215,6.2,639,4.8,3.3,731,5.5
35,Marcus Mariota,TEN,26,qb,6,6,94,159,1179,1113,7,597,6.4,3.8,582,6.2
36,Eli Manning,NYG,38,qb,4,4,91,147,1042,1199,8.2,625,6.9,4.3,417,4.6
