,,,,,Games,,Passing,,,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
56,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,0,1,0,0,0.00%,2,40.00%,3,60.00%
57,Tyrod Taylor,LAC,30,,7,0,4,6,33,0,0,0,1,16.70%,1,16.70%,5,83.30%
58,Josh McCown,PHI,40,,3,0,3,5,24,1,0,0,1,20.00%,0,0.00%,4,80.00%
59,Jaylen Samuels,PIT,23,rb,11,4,4,5,35,0,0,0,0,0.00%,1,20.00%,4,80.00%
60,Tim Boyle,GNB,25,,3,0,3,4,15,0,0,0,0,0.00%,1,25.00%,3,75.00%
61,Ryan Griffin,TAM,30,,1,0,2,4,18,0,1,0,0,0.00%,1,33.30%,2,66.70%
62,Taysom Hill,NOR,29,qb,13,2,2,4,35,0,0,0,0,0.00%,1,25.00%,2,50.00%
63,Jarrett Stidham,NWE,23,,3,0,2,4,14,0,0,0,0,0.00%,2,50.00%,2,50.00%
64,Garrett Gilbert,CLE,28,,5,0,0,3,0,0,1,0,1,50.00%,0,0.00%,1,50.00%
65,Odell Beckham,CLE,27,WR,13,13,1,2,20,0,0,0,0,0.00%,0,0.00%,2,100.00%
66,Blake Bortles,LAR,27,,3,0,1,2,3,0,1,0,0,0.00%,0,0.00%,1,100.00%
67,Julian Edelman,NWE,33,WR,13,11,2,2,47,0,0,0,0,0.00%,0,0.00%,2,100.00%
68,Johnny Hekker,LAR,29,P,13,0,1,2,23,0,0,0,0,0.00%,0,0.00%,0,0.00%
69,DeAndre Hopkins,HOU,27,WR,13,13,1,2,6,0,0,0,0,0.00%,0,0.00%,1,50.00%
70,Kenjon Barner,ATL,29,,11,0,1,1,3,0,0,0,0,0.00%,0,0.00%,1,100.00%
71,John Brown,BUF,29,WR,13,13,1,1,28,0,0,0,0,0.00%,0,0.00%,1,100.00%
