,,,,,Games,,Passing,,,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
1,Tom Brady,NWE,42,QB,11,11,273,439,2942,4,29,0,24,5.90%,80,19.50%,308,75.10%
2,Jameis Winston,TAM,25,QB,11,11,260,434,3391,8,17,2,18,4.30%,84,20.20%,294,70.80%
3,Philip Rivers,LAC,38,QB,11,11,268,416,3169,11,9,3,21,5.20%,64,15.80%,308,76.20%
4,Jared Goff,LAR,25,QB,11,11,251,410,2995,13,4,0,20,4.90%,87,21.40%,285,70.20%
5,Dak Prescott,DAL,26,QB,11,11,266,398,3433,2,10,1,24,6.20%,56,14.50%,310,80.10%
6,Matt Ryan,ATL,34,QB,10,10,266,397,2934,11,17,0,12,3.20%,51,13.40%,290,76.30%
7,Kyler Murray,ARI,22,QB,11,11,254,393,2703,13,16,3,16,4.30%,67,17.90%,277,74.10%
8,Carson Wentz,PHI,27,QB,11,11,243,388,2530,11,5,1,20,5.20%,69,18.10%,269,70.40%
9,Aaron Rodgers,GNB,36,QB,11,11,245,380,2822,2,24,1,11,3.10%,69,19.40%,274,77.20%
10,Baker Mayfield,CLE,24,QB,11,11,226,375,2721,14,13,1,24,6.60%,62,17.20%,257,71.20%
11,Deshaun Watson,HOU,24,QB,11,11,249,361,2899,1,10,1,17,4.90%,58,16.60%,274,78.30%
12,Russell Wilson,SEA,31,QB,11,11,237,352,2937,5,12,2,13,3.80%,61,18.00%,259,76.60%
13,Josh Allen,BUF,23,QB,11,11,206,342,2360,6,22,3,23,7.30%,62,19.60%,240,75.70%
14,Andy Dalton,CIN,32,QB,8,8,204,338,2252,10,8,4,16,4.90%,62,19.00%,237,72.70%
15,Derek Carr,OAK,28,QB,11,11,239,337,2621,5,13,1,16,5.00%,38,11.80%,263,81.40%
16,Jimmy Garoppolo,SFO,28,QB,11,11,232,337,2731,5,5,2,18,5.50%,47,14.20%,266,80.60%
17,Daniel Jones,NYG,22,QB,10,9,208,333,2134,5,8,0,13,4.00%,58,17.80%,235,72.30%
18,Patrick Mahomes,KAN,24,QB,9,9,212,323,2808,5,12,0,15,4.80%,59,19.00%,239,76.80%
19,Mitchell Trubisky,CHI,25,QB,10,10,201,323,1858,5,5,1,18,5.70%,57,18.00%,245,77.30%
20,Kyle Allen,CAR,23,QB,9,9,198,320,2179,11,19,0,17,5.60%,51,16.90%,233,77.40%
21,Kirk Cousins,MIN,31,QB,11,11,226,320,2756,6,19,0,13,4.30%,44,14.60%,246,81.70%
22,Gardner Minshew,JAX,23,QB,9,8,188,307,2285,5,14,1,16,5.50%,47,16.10%,218,74.70%
23,Lamar Jackson,BAL,22,QB,11,11,200,299,2427,8,6,2,9,3.10%,52,17.90%,222,76.30%
24,Ryan Fitzpatrick,MIA,37,QB,10,8,181,292,1901,10,2,3,17,5.90%,51,17.80%,212,73.90%
25,Matthew Stafford,DET,31,QB,8,8,187,291,2499,5,5,2,9,3.20%,59,20.80%,201,70.80%
26,Jacoby Brissett,IND,27,QB,10,10,184,285,1926,10,13,3,13,4.80%,38,14.10%,207,77.00%
27,Sam Darnold,NYJ,22,QB,8,8,168,263,1915,8,13,1,9,3.60%,46,18.50%,186,74.70%
28,Mason Rudolph,PIT,24,QB,9,8,162,263,1636,4,14,0,12,4.80%,52,20.90%,174,69.90%
29,Joe Flacco,DEN,34,QB,8,8,171,262,1822,9,12,1,15,6.00%,40,16.10%,194,77.90%
30,Drew Brees,NOR,40,QB,6,6,159,210,1607,2,3,5,5,2.50%,26,12.90%,168,83.20%
31,Teddy Bridgewater,NOR,27,qb,7,5,132,195,1370,4,9,0,16,8.60%,22,11.80%,151,81.20%
32,Case Keenum,WAS,31,QB,8,7,126,188,1343,5,3,2,9,4.90%,30,16.40%,135,73.80%
33,Marcus Mariota,TEN,26,QB,6,6,94,159,1179,2,9,2,10,6.80%,31,20.90%,106,71.60%
34,Ryan Tannehill,TEN,31,qb,7,5,111,154,1420,3,2,2,2,1.30%,17,11.30%,122,81.30%
35,Josh Rosen,MIA,22,qb,6,3,58,109,567,7,1,0,8,7.40%,24,22.20%,73,67.60%
36,Dwayne Haskins,WAS,22,qb,5,3,59,108,654,3,4,0,8,7.70%,20,19.20%,75,72.10%
37,Jeff Driskel,DET,26,qb,3,3,62,105,685,2,5,2,3,3.10%,23,23.50%,68,69.40%
38,Nick Foles,JAX,30,qb,3,3,70,103,643,2,3,0,3,3.00%,12,12.00%,77,77.00%
39,Matt Moore,KAN,35,qb,4,2,59,91,659,3,1,1,3,3.40%,15,16.90%,68,76.40%
40,Eli Manning,NYG,38,qb,2,2,56,89,556,4,3,0,2,2.30%,17,19.80%,63,73.30%
41,Cam Newton,CAR,30,qb,2,2,50,89,572,2,2,1,3,3.50%,26,30.20%,54,62.80%
42,Ryan Finley,CIN,25,qb,3,3,41,87,474,2,3,0,4,4.80%,19,22.60%,52,61.90%
43,Brandon Allen,DEN,27,qb,3,3,39,84,515,2,9,0,3,4.00%,18,24.00%,51,68.00%
44,Luke Falk,NYJ,25,qb,3,2,47,73,416,3,2,0,4,5.60%,11,15.50%,53,74.60%
45,Matt Schaub,ATL,38,qb,5,1,50,67,580,0,1,2,0,0.00%,10,15.60%,50,78.10%
46,Brian Hoyer,IND,34,qb,3,1,35,65,372,0,1,0,3,4.70%,14,21.90%,45,70.30%
47,Chase Daniel,CHI,33,qb,3,1,45,64,435,1,0,0,4,6.30%,9,14.10%,51,79.70%
