,,,,,Games,,Passing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
1,Tom Brady,NWE,42,QB,11,11,273,439,2942,3262,7.4,1646,6,3.7,1296,4.7
2,Jameis Winston,TAM,25,QB,11,11,260,434,3391,4422,10.2,2174,8.4,5,1217,4.7
3,Philip Rivers,LAC,38,QB,11,11,268,416,3169,3710,8.9,1762,6.6,4.2,1407,5.3
4,Jared Goff,LAR,25,QB,11,11,251,410,2995,3325,8.1,1556,6.2,3.8,1439,5.7
5,Dak Prescott,DAL,26,QB,11,11,266,398,3433,3807,9.6,2063,7.8,5.2,1370,5.2
6,Matt Ryan,ATL,34,QB,10,10,266,397,2934,3425,8.6,1880,7.1,4.7,1054,4
7,Kyler Murray,ARI,22,QB,11,11,254,393,2703,2882,7.3,1404,5.5,3.6,1299,5.1
8,Carson Wentz,PHI,27,QB,11,11,243,388,2530,3285,8.5,1522,6.3,3.9,1008,4.1
9,Aaron Rodgers,GNB,36,QB,11,11,245,380,2822,3208,8.4,1398,5.7,3.7,1424,5.8
10,Baker Mayfield,CLE,24,QB,11,11,226,375,2721,2861,7.6,1344,5.9,3.6,1377,6.1
11,Deshaun Watson,HOU,24,QB,11,11,249,361,2899,3284,9.1,1655,6.6,4.6,1244,5
12,Russell Wilson,SEA,31,QB,11,11,237,352,2937,3339,9.5,1759,7.4,5,1178,5
13,Josh Allen,BUF,23,QB,11,11,206,342,2360,3042,8.9,1338,6.5,3.9,1022,5
14,Andy Dalton,CIN,32,QB,8,8,204,338,2252,2284,6.8,1162,5.7,3.4,1090,5.3
15,Derek Carr,OAK,28,QB,11,11,239,337,2621,2268,6.7,1292,5.4,3.8,1329,5.6
16,Jimmy Garoppolo,SFO,28,QB,11,11,232,337,2731,2213,6.6,1222,5.3,3.6,1509,6.5
17,Daniel Jones,NYG,22,QB,10,9,208,333,2134,2496,7.5,1042,5,3.1,1092,5.3
18,Patrick Mahomes,KAN,24,QB,9,9,212,323,2808,3068,9.5,1365,6.4,4.2,1443,6.8
19,Mitchell Trubisky,CHI,25,QB,10,10,201,323,1858,2513,7.8,1007,5,3.1,851,4.2
20,Kyle Allen,CAR,23,QB,9,9,198,320,2179,2623,8.2,1145,5.8,3.6,1034,5.2
21,Kirk Cousins,MIN,31,QB,11,11,226,320,2756,2481,7.8,1372,6.1,4.3,1384,6.1
22,Gardner Minshew,JAX,23,QB,9,8,188,307,2285,2312,7.5,1162,6.2,3.8,1123,6
23,Lamar Jackson,BAL,22,QB,11,11,200,299,2427,2667,8.9,1342,6.7,4.5,1085,5.4
24,Ryan Fitzpatrick,MIA,37,QB,10,8,181,292,1901,2567,8.8,1197,6.6,4.1,704,3.9
