,,,,,Games,,Passing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
61,Ryan Griffin,TAM,30,,1,0,2,4,18,12,3,5,2.5,1.3,13,6.5
62,Taysom Hill,NOR,29,qb,13,2,2,4,35,73,18.3,32,16,8,3,1.5
63,Jarrett Stidham,NWE,23,,3,0,2,4,14,21,5.3,9,4.5,2.3,5,2.5
64,Garrett Gilbert,CLE,28,,5,0,0,3,0,47,15.7,0,,0,0,
65,Odell Beckham,CLE,27,WR,13,13,1,2,20,65,32.5,15,15,7.5,5,5
66,Blake Bortles,LAR,27,,3,0,1,2,3,-3,-1.5,-3,-3,-1.5,6,6
67,Julian Edelman,NWE,33,WR,13,11,2,2,47,9,4.5,9,4.5,4.5,38,19
68,Johnny Hekker,LAR,29,P,13,0,1,2,23,7,3.5,3,3,1.5,20,20
69,DeAndre Hopkins,HOU,27,WR,13,13,1,2,6,9,4.5,0,0,0,6,6
70,Kenjon Barner,ATL,29,,11,0,1,1,3,-4,-4,-4,-4,-4,7,7
71,John Brown,BUF,29,WR,13,13,1,1,28,21,21,21,21,21,7,7
72,Randall Cobb,DAL,29,wr,12,5,0,1,0,0,0,0,,0,0,
73,Dustin Colquitt,KAN,37,P,13,0,0,1,0,4,4,0,,0,0,
74,Logan Cooke,JAX,24,P,13,0,1,1,9,6,6,6,6,6,3,3
75,Jake Elliott,PHI,24,K,13,0,0,1,0,6,6,0,,0,0,
76,Alex Erickson,CIN,27,wr,13,3,1,1,26,23,23,23,23,23,3,3
77,Matt Haack,MIA,25,P,13,0,1,1,1,1,1,1,1,1,0,0
78,Brett Hundley,ARI,26,,1,0,0,1,0,44,44,0,,0,0,
79,Alvin Kamara,NOR,24,RB,11,8,1,1,13,11,11,11,11,11,2,2
80,Brett Kern,TEN,33,P,13,0,1,1,11,3,3,3,3,3,8,8
81,Sam Koch,BAL,37,P,13,0,1,1,-2,-5,-5,-5,-5,-5,3,3
82,Cooper Kupp,LAR,26,WR,13,11,0,1,0,19,19,0,,0,0,
83,Andy Lee,ARI,37,P,12,0,1,1,26,26,26,26,26,26,0,0
84,Christian McCaffrey,CAR,23,RB,13,13,0,1,0,0,0,0,,0,0,
85,A.J. McCarron,HOU,29,,1,0,0,1,0,5,5,0,,0,0,
86,Zach Pascal,IND,25,WR,13,11,0,1,0,21,21,0,,0,0,
87,Dante Pettis,SFO,24,wr,11,4,1,1,16,-4,-4,-4,-4,-4,20,20
88,Bilal Powell,NYJ,31,rb,11,1,0,1,0,13,13,0,,0,0,
89,Emmanuel Sanders,2TM,32,,14,13,1,1,35,22,22,22,22,22,13,13
90,Steven Sims,WAS,22,,13,0,0,1,0,5,5,0,,0,0,
91,Courtland Sutton,DEN,24,WR,13,11,1,1,38,37,37,37,37,37,1,1
92,James White,NWE,27,rb,12,1,1,1,35,8,8,8,8,8,27,27
