,,,,,Games,,Passing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Scrm,Yds/Scr
1,Philip Rivers,LAC,38,QB,11,11,268,416,3169,23,2.5,87,36,38,5,5.6
2,Jameis Winston,TAM,25,QB,10,10,242,406,3078,36,2.4,157,48,38,21,7.6
3,Tom Brady,NWE,42,QB,10,10,256,402,2752,16,2.4,137,36,19,0,
4,Kyler Murray,ARI,22,QB,11,11,254,393,2703,35,2.3,107,45,14,18,8.3
5,Jared Goff,LAR,25,QB,10,10,225,373,2783,16,2.7,124,35,31,4,4
6,Dak Prescott,DAL,26,QB,10,10,247,365,3221,12,2.6,99,28,37,12,7.3
7,Matt Ryan,ATL,34,QB,9,9,243,351,2663,23,2.6,107,36,31,11,6.8
8,Aaron Rodgers,GNB,36,QB,10,10,225,347,2718,22,2.5,89,45,27,15,8.1
9,Carson Wentz,PHI,27,QB,10,10,210,343,2274,25,2.4,111,35,27,17,7
10,Baker Mayfield,CLE,24,QB,10,10,202,341,2394,26,2.3,121,47,11,8,9.5
11,Andy Dalton,CIN,32,QB,8,8,204,338,2252,29,2.2,124,28,17,6,7.2
12,Deshaun Watson,HOU,24,QB,10,10,230,331,2601,31,2.5,109,29,30,28,7.1
13,Russell Wilson,SEA,31,QB,10,10,224,327,2737,27,2.4,150,42,33,28,8
14,Patrick Mahomes,KAN,24,QB,9,9,212,323,2808,11,2.4,78,35,24,12,11.8
15,Kirk Cousins,MIN,31,QB,11,11,226,320,2756,22,2.7,88,32,19,9,5.6
16,Josh Allen,BUF,23,QB,10,10,191,317,2175,22,2.3,125,36,29,30,6.2
17,Jimmy Garoppolo,SFO,28,QB,10,10,218,317,2478,19,2.3,134,29,25,6,6.5
18,Derek Carr,OAK,28,QB,10,10,224,310,2494,15,2.5,67,38,9,8,4.9
19,Gardner Minshew,JAX,23,QB,9,8,188,307,2285,21,2.5,107,45,18,30,8
20,Daniel Jones,NYG,22,QB,9,8,187,297,1984,32,2.4,95,34,42,19,8.2
21,Matthew Stafford,DET,31,QB,8,8,187,291,2499,18,2.4,87,23,20,10,5.6
22,Kyle Allen,CAR,23,QB,8,8,175,284,1923,28,2.4,81,32,20,5,4.8
23,Mitchell Trubisky,CHI,25,QB,9,9,176,282,1580,23,2.3,82,37,16,7,5.1
24,Lamar Jackson,BAL,22,QB,10,10,185,279,2258,19,2.6,98,23,6,31,10.6
25,Joe Flacco,DEN,34,QB,8,8,171,262,1822,26,2.4,76,41,14,5,4.2
26,Jacoby Brissett,IND,27,QB,9,9,168,260,1797,15,2.7,75,27,27,22,5.5
27,Ryan Fitzpatrick,MIA,37,QB,9,7,160,253,1687,24,2.4,89,35,30,14,6.9
28,Mason Rudolph,PIT,24,QB,8,7,154,247,1551,13,2.6,96,34,25,7,6
29,Sam Darnold,NYJ,22,QB,7,7,148,234,1600,22,2.4,90,33,22,2,13.5
30,Teddy Bridgewater,NOR,27,QB,7,5,132,195,1370,11,2.6,46,22,9,12,3.3
31,Case Keenum,WAS,31,QB,7,7,126,188,1343,12,2.4,49,31,19,2,7
32,Drew Brees,NOR,40,QB,5,5,129,171,1296,7,2.3,49,16,13,0,
33,Marcus Mariota,TEN,26,QB,6,6,94,159,1179,25,2.4,57,23,12,13,6.7
34,Ryan Tannehill,TEN,31,qb,6,4,97,136,1161,17,2.6,46,13,11,7,11.3
35,Josh Rosen,MIA,22,qb,6,3,58,109,567,16,2.4,28,17,15,3,4.3
36,Matt Moore,KAN,35,qb,4,2,59,91,659,8,2.4,21,6,11,1,3
37,Eli Manning,NYG,38,qb,2,2,56,89,556,2,2.3,26,9,5,1,6
38,Cam Newton,CAR,30,qb,2,2,50,89,572,6,2.3,43,12,5,1,3
39,Dwayne Haskins,WAS,22,qb,4,2,46,79,498,14,2.6,28,11,5,6,6.8
40,Luke Falk,NYJ,25,qb,3,2,47,73,416,16,2.4,33,12,9,0,
41,Jeff Driskel,DET,26,qb,2,2,42,72,478,5,2.7,16,16,8,8,9.1
42,Brian Hoyer,IND,34,qb,3,1,35,65,372,5,2.5,30,7,7,2,3.5
43,Chase Daniel,CHI,33,qb,3,1,45,64,435,7,2.5,12,8,5,1,2
44,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,2,2.3,17,14,2,1,7
45,Ryan Finley,CIN,25,qb,2,2,29,61,282,7,2.7,28,17,2,5,12.4
46,Brandon Allen,DEN,27,qb,2,2,29,59,433,5,2.5,20,4,2,3,7
47,Matt Schaub,ATL,38,qb,4,1,45,58,525,2,2.3,16,1,6,0,
48,Nick Foles,JAX,30,qb,2,2,38,55,371,2,2.4,9,3,3,0,
49,Devlin Hodges,PIT,23,qb,2,1,22,29,200,0,2.5,9,2,0,2,11.5
50,Colt McCoy,WAS,33,qb,1,1,18,27,122,6,2.4,7,3,3,2,7
51,Matt Barkley,BUF,29,,1,0,9,16,127,1,2.2,10,1,0,0,
52,Robert Griffin,BAL,29,,3,0,11,13,90,1,2.6,7,0,0,0,
53,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,2,2.6,4,1,1,0,
54,Josh McCown,PHI,40,,3,0,3,5,24,0,1.9,0,0,0,0,
55,Jaylen Samuels,PIT,23,rb,8,2,4,5,35,0,1.2,3,0,1,0,
56,Jarrett Stidham,NWE,23,,3,0,2,4,14,1,2.4,2,0,0,0,
57,Mike Glennon,OAK,30,,1,0,2,3,36,0,2.5,0,0,0,0,
58,Odell Beckham,CLE,27,WR,10,10,1,2,20,0,2.3,0,0,0,0,
59,Julian Edelman,NWE,33,WR,10,9,2,2,47,0,3.7,0,0,1,0,
60,Johnny Hekker,LAR,29,P,10,0,1,2,23,0,0,0,0,0,0,
61,Taysom Hill,NOR,29,qb,10,1,2,2,35,1,3,1,0,0,1,11
62,Kenjon Barner,ATL,29,,8,0,1,1,3,0,1.2,1,0,0,0,
63,Randall Cobb,DAL,29,wr,9,4,0,1,0,0,4.8,0,1,0,0,
64,Dustin Colquitt,KAN,37,P,11,0,0,1,0,0,0,0,0,0,0,
65,Jake Elliott,PHI,24,K,10,0,0,1,0,0,0,0,0,0,0,
66,Garrett Gilbert,CLE,28,,2,0,0,1,0,0,2.5,0,0,0,0,
67,DeAndre Hopkins,HOU,27,WR,10,10,0,1,0,0,2.8,0,0,0,0,
68,Brett Hundley,ARI,26,,1,0,0,1,0,1,2.7,1,0,0,0,
69,Alvin Kamara,NOR,24,RB,8,6,1,1,13,0,1.5,1,0,0,0,
70,Brett Kern,TEN,33,P,10,0,1,1,11,0,0,0,0,0,0,
71,Sam Koch,BAL,37,P,10,0,1,1,-2,0,0,0,0,0,0,
72,Andy Lee,ARI,37,P,10,0,1,1,26,0,0,0,0,0,0,
73,Christian McCaffrey,CAR,23,RB,10,10,0,1,0,0,1.8,1,1,0,0,
74,A.J. McCarron,HOU,29,,1,0,0,1,0,1,2.8,1,0,0,0,
75,Zach Pascal,IND,25,WR,10,8,0,1,0,0,3.1,0,0,0,0,
76,Dante Pettis,SFO,24,wr,10,4,1,1,16,0,1.2,0,0,0,0,
77,Bilal Powell,NYJ,31,,8,0,0,1,0,0,4,0,0,0,0,
78,Courtland Sutton,DEN,24,WR,10,8,1,1,38,0,4.3,1,0,0,0,
79,Tyrod Taylor,LAC,30,,5,0,1,1,7,0,2.1,1,0,0,0,
