,,,,,Games,,Passing,,,RPO,,,,,,PlayAction,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds
1,Jameis Winston,TAM,25,QB,15,15,367,602,4908,9,82,8,80,1,2,104,1105
2,Tom Brady,NWE,42,QB,15,15,357,584,3836,21,119,21,119,0,0,123,976
3,Jared Goff,LAR,25,QB,15,15,365,581,4319,2,3,0,0,2,3,173,1432
4,Carson Wentz,PHI,27,QB,15,15,365,567,3750,70,377,59,326,7,51,149,889
5,Matt Ryan,ATL,34,QB,14,14,378,565,4153,30,218,30,218,0,0,109,792
6,Dak Prescott,DAL,26,QB,15,15,365,563,4599,50,421,42,374,8,47,127,1181
7,Philip Rivers,LAC,38,QB,15,15,359,545,4334,35,394,35,394,0,0,88,823
8,Aaron Rodgers*,GNB,36,QB,15,15,326,514,3679,28,96,26,96,0,0,122,911
9,Baker Mayfield,CLE,24,QB,15,15,305,507,3548,59,424,57,425,1,-1,125,963
10,Andy Dalton,CIN,32,QB,12,12,298,500,3304,32,164,28,156,4,8,110,664
11,Kyler Murray,ARI,22,QB,15,15,323,500,3397,102,751,64,507,33,244,136,881
12,Deshaun Watson*,HOU,24,QB,15,15,333,495,3852,93,637,65,517,25,120,118,813
13,Mitchell Trubisky,CHI,25,QB,14,14,300,479,2931,40,203,26,132,14,71,100,657
14,Russell Wilson*,SEA,31,QB,15,15,316,476,3877,48,356,36,327,8,29,134,1020
15,Derek Carr,OAK,28,QB,15,15,332,467,3663,15,115,14,103,1,12,86,671
16,Ryan Fitzpatrick,MIA,37,QB,14,12,283,461,3209,15,75,13,75,0,0,70,513
17,Patrick Mahomes*,KAN,24,QB,13,13,303,459,3857,69,483,62,455,6,28,116,866
18,Josh Allen,BUF,23,QB,15,15,268,456,3084,41,262,31,235,8,27,103,787
19,Jimmy Garoppolo,SFO,28,QB,15,15,311,454,3693,21,270,20,270,0,0,121,1263
20,Kyle Allen,CAR,23,QB,12,12,278,448,3027,49,398,45,391,2,7,113,744
21,Kirk Cousins,MIN,31,QB,15,15,307,444,3603,1,46,1,46,0,0,130,1235
22,Gardner Minshew,JAX,23,QB,13,11,258,431,2976,19,197,16,194,2,3,61,590
23,Jacoby Brissett,IND,27,QB,14,14,260,422,2780,58,333,50,305,7,28,115,729
24,Daniel Jones,NYG,22,QB,12,11,256,412,2726,31,232,23,204,5,28,81,494
25,Sam Darnold,NYJ,22,QB,12,12,250,405,2825,32,236,29,230,2,6,88,644
26,Lamar Jackson*,BAL,22,QB,15,15,265,401,3127,172,1256,76,585,92,671,157,793
27,Drew Brees*,NOR,40,QB,10,10,262,348,2726,1,15,1,15,0,0,44,419
28,Matthew Stafford,DET,31,QB,8,8,187,291,2499,14,90,8,52,5,38,72,633
29,Mason Rudolph,PIT,24,QB,10,8,176,283,1765,14,89,13,88,1,1,42,165
30,Ryan Tannehill,TEN,31,QB,11,9,188,266,2544,6,74,4,69,2,5,76,1000
31,Joe Flacco,DEN,34,QB,8,8,171,262,1822,4,16,4,16,0,0,41,287
32,Case Keenum,WAS,31,qb,9,7,142,210,1501,12,48,12,48,0,0,41,381
33,Dwayne Haskins,WAS,22,qb,9,7,119,203,1365,7,35,6,35,0,0,45,335
34,Teddy Bridgewater,NOR,27,qb,8,5,132,195,1370,0,0,0,0,0,0,34,360
35,Marcus Mariota,TEN,26,qb,6,6,94,159,1179,18,141,13,123,5,18,46,449
36,Eli Manning,NYG,38,qb,4,4,91,147,1042,14,112,14,112,0,0,37,282
37,David Blough,DET,24,qb,4,4,82,145,862,0,0,0,0,0,0,28,171
38,Devlin Hodges,PIT,23,qb,7,5,91,135,968,14,67,12,68,2,-1,21,116
39,Drew Lock,DEN,23,qb,4,4,83,128,843,7,72,7,72,0,0,29,251
40,Nick Foles,JAX,30,qb,4,4,77,117,736,6,36,5,23,1,13,15,92
41,Josh Rosen,MIA,22,qb,6,3,58,109,567,11,26,10,26,0,0,20,40
42,Jeff Driskel,DET,26,qb,3,3,62,105,685,8,40,0,0,8,40,21,44
43,Matt Moore,KAN,35,qb,6,2,59,91,659,14,137,13,137,0,0,33,343
44,Cam Newton,CAR,30,qb,2,2,50,89,572,15,116,12,116,2,0,24,195
45,Ryan Finley,CIN,25,qb,3,3,41,87,474,3,1,2,0,1,1,16,131
46,Brandon Allen,DEN,27,qb,3,3,39,84,515,8,25,7,14,1,11,25,273
47,Luke Falk,NYJ,25,qb,3,2,47,73,416,3,22,3,22,0,0,16,113
48,Matt Schaub,ATL,38,qb,6,1,50,67,580,2,0,2,0,0,0,13,143
49,Brian Hoyer,IND,34,qb,4,1,35,65,372,3,30,3,30,0,0,10,80
50,Chase Daniel,CHI,33,qb,3,1,45,64,435,4,26,4,26,0,0,15,82
51,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,0,0,0,0,0,0,1,8
52,Will Grier,CAR,24,qb,1,1,27,44,224,0,0,0,0,0,0,7,60
53,Colt McCoy,WAS,33,qb,1,1,18,27,122,0,0,0,0,0,0,6,40
54,Robert Griffin,BAL,29,,6,0,12,17,129,9,44,5,28,3,16,5,13
55,Matt Barkley,BUF,29,,1,0,9,16,127,0,0,0,0,0,0,0,0
56,Mike Glennon,OAK,30,,2,0,6,10,56,0,0,0,0,0,0,0,0
57,Brett Hundley,ARI,26,,2,0,4,10,49,4,34,2,28,1,6,3,28
58,Taysom Hill,NOR,29,qb,15,4,3,6,55,8,24,0,0,7,24,9,0
59,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,2,1,2,1,0,0,4,1
60,Tyrod Taylor,LAC,30,,8,0,4,6,33,3,-1,1,-2,2,1,5,12
61,Josh McCown,PHI,40,,3,0,3,5,24,1,13,1,13,0,0,1,13
62,Jaylen Samuels,PIT,23,rb,13,4,4,5,35,12,47,1,0,10,47,5,0
