,,,,,Games,,Passing,,,RPO,,,,,,PlayAction,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds
1,Jameis Winston,TAM,25,QB,14,14,342,554,4573,9,82,8,80,1,2,94,1025
2,Tom Brady,NWE,42,QB,14,14,331,551,3565,19,110,19,110,0,0,113,835
3,Jared Goff,LAR,25,QB,14,14,338,535,3996,2,3,0,0,2,3,150,1257
4,Carson Wentz,PHI,27,QB,14,14,334,527,3431,70,377,59,326,7,51,139,758
5,Matt Ryan,ATL,34,QB,13,13,346,520,3769,30,218,30,218,0,0,97,674
6,Dak Prescott,DAL,26,QB,14,14,340,519,4334,49,411,41,364,8,47,123,1159
7,Philip Rivers,LAC,38,QB,14,14,332,506,4055,32,358,32,358,0,0,83,763
8,Kyler Murray,ARI,22,QB,14,14,312,482,3279,102,751,64,507,33,244,133,861
9,Baker Mayfield,CLE,24,QB,14,14,285,474,3356,54,414,52,415,1,-1,120,953
10,Aaron Rodgers*,GNB,36,QB,14,14,300,474,3463,26,83,24,83,0,0,109,853
11,Deshaun Watson*,HOU,24,QB,14,14,314,463,3668,90,603,62,483,25,120,109,750
12,Kyle Allen,CAR,23,QB,12,12,278,448,3027,49,398,45,391,2,7,113,744
13,Mitchell Trubisky,CHI,25,QB,13,13,282,445,2774,32,184,23,125,9,59,90,650
14,Russell Wilson*,SEA,31,QB,14,14,300,445,3708,48,356,36,327,8,29,125,974
15,Andy Dalton,CIN,32,QB,11,11,265,444,2908,31,164,27,156,4,8,104,654
16,Derek Carr,OAK,28,QB,14,14,306,437,3372,10,48,9,36,1,12,76,561
17,Josh Allen,BUF,23,QB,14,14,255,430,2876,38,209,28,182,8,27,95,666
18,Jimmy Garoppolo,SFO,28,QB,14,14,295,427,3445,20,270,19,270,0,0,114,1173
19,Patrick Mahomes*,KAN,24,QB,12,12,280,426,3606,62,454,56,428,5,26,109,831
20,Kirk Cousins,MIN,31,QB,14,14,291,413,3481,1,46,1,46,0,0,125,1221
21,Ryan Fitzpatrick,MIA,37,QB,13,11,252,409,2790,14,75,12,75,0,0,60,469
22,Gardner Minshew,JAX,23,QB,12,10,245,400,2795,19,197,16,194,2,3,58,557
23,Jacoby Brissett,IND,27,QB,13,13,246,395,2661,58,333,50,305,7,28,107,693
24,Sam Darnold,NYJ,22,QB,11,11,234,379,2642,30,208,27,202,2,6,84,599
25,Lamar Jackson*,BAL,22,QB,14,14,245,370,2889,153,1160,68,553,81,607,145,761
26,Daniel Jones,NYG,22,QB,11,10,228,370,2374,29,221,21,193,5,28,77,483
27,Drew Brees*,NOR,40,QB,9,9,235,310,2447,1,15,1,15,0,0,37,371
28,Matthew Stafford,DET,31,QB,8,8,187,291,2499,14,90,8,52,5,38,72,633
29,Mason Rudolph,PIT,24,QB,9,8,162,263,1636,14,89,13,88,1,1,42,165
