,,,,,Games,,Passing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
1,Philip Rivers,LAC,38,QB,11,11,268,416,3169,3710,8.9,1762,6.6,4.2,1407,5.3
2,Jameis Winston,TAM,25,QB,10,10,242,406,3078,4138,10.2,1977,8.2,4.9,1101,4.5
3,Tom Brady,NWE,42,QB,10,10,256,402,2752,2877,7.2,1503,5.9,3.7,1249,4.9
4,Kyler Murray,ARI,22,QB,11,11,254,393,2703,2882,7.3,1404,5.5,3.6,1299,5.1
5,Jared Goff,LAR,25,QB,10,10,225,373,2783,3013,8.1,1444,6.4,3.9,1339,6
6,Dak Prescott,DAL,26,QB,10,10,247,365,3221,3622,9.9,1989,8.1,5.4,1232,5
7,Matt Ryan,ATL,34,QB,9,9,243,351,2663,2973,8.5,1687,6.9,4.8,976,4
8,Aaron Rodgers,GNB,36,QB,10,10,225,347,2718,2978,8.6,1403,6.2,4,1315,5.8
9,Carson Wentz,PHI,27,QB,10,10,210,343,2274,3005,8.8,1363,6.5,4,911,4.3
10,Baker Mayfield,CLE,24,QB,10,10,202,341,2394,2577,7.6,1162,5.8,3.4,1232,6.1
11,Andy Dalton,CIN,32,QB,8,8,204,338,2252,2284,6.8,1162,5.7,3.4,1090,5.3
12,Deshaun Watson,HOU,24,QB,10,10,230,331,2601,2861,8.6,1420,6.2,4.3,1181,5.1
13,Russell Wilson,SEA,31,QB,10,10,224,327,2737,2952,9,1622,7.2,5,1115,5
14,Patrick Mahomes,KAN,24,QB,9,9,212,323,2808,3068,9.5,1365,6.4,4.2,1443,6.8
15,Kirk Cousins,MIN,31,QB,11,11,226,320,2756,2481,7.8,1372,6.1,4.3,1384,6.1
16,Josh Allen,BUF,23,QB,10,10,191,317,2175,2855,9,1226,6.4,3.9,949,5
17,Jimmy Garoppolo,SFO,28,QB,10,10,218,317,2478,2092,6.6,1109,5.1,3.5,1369,6.3
18,Derek Carr,OAK,28,QB,10,10,224,310,2494,2132,6.9,1255,5.6,4,1239,5.5
19,Gardner Minshew,JAX,23,QB,9,8,188,307,2285,2312,7.5,1162,6.2,3.8,1123,6
20,Daniel Jones,NYG,22,QB,9,8,187,297,1984,2266,7.6,969,5.2,3.3,1015,5.4
21,Matthew Stafford,DET,31,QB,8,8,187,291,2499,3097,10.6,1609,8.6,5.5,890,4.8
22,Kyle Allen,CAR,23,QB,8,8,175,284,1923,2379,8.4,1033,5.9,3.6,890,5.1
23,Mitchell Trubisky,CHI,25,QB,9,9,176,282,1580,2154,7.6,858,4.9,3,722,4.1
24,Lamar Jackson,BAL,22,QB,10,10,185,279,2258,2531,9.1,1239,6.7,4.4,1019,5.5
25,Joe Flacco,DEN,34,QB,8,8,171,262,1822,1747,6.7,912,5.3,3.5,910,5.3
26,Jacoby Brissett,IND,27,QB,9,9,168,260,1797,1878,7.2,828,4.9,3.2,969,5.8
27,Ryan Fitzpatrick,MIA,37,QB,9,7,160,253,1687,2236,8.8,1068,6.7,4.2,619,3.9
28,Mason Rudolph,PIT,24,QB,8,7,154,247,1551,1951,7.9,703,4.6,2.8,848,5.5
29,Sam Darnold,NYJ,22,QB,7,7,148,234,1600,1942,8.3,845,5.7,3.6,755,5.1
30,Teddy Bridgewater,NOR,27,QB,7,5,132,195,1370,1215,6.2,639,4.8,3.3,731,5.5
31,Case Keenum,WAS,31,QB,7,7,126,188,1343,1306,6.9,716,5.7,3.8,627,5
