,,,,,Games,,Passing,,,RPO,,,,,,PlayAction,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds
1,Philip Rivers,LAC,38,QB,11,11,268,416,3169,29,316,29,316,0,0,61,567
2,Jameis Winston,TAM,25,QB,10,10,242,406,3078,8,76,7,74,1,2,62,570
3,Tom Brady,NWE,42,QB,10,10,256,402,2752,16,100,16,100,0,0,80,678
4,Kyler Murray,ARI,22,QB,11,11,254,393,2703,85,641,53,434,28,207,100,733
5,Jared Goff,LAR,25,QB,10,10,225,373,2783,0,0,0,0,0,0,102,818
6,Dak Prescott,DAL,26,QB,10,10,247,365,3221,39,336,33,295,6,41,99,886
7,Matt Ryan,ATL,34,QB,9,9,243,351,2663,25,186,25,186,0,0,66,549
8,Aaron Rodgers,GNB,36,QB,10,10,225,347,2718,22,73,21,73,0,0,74,623
9,Carson Wentz,PHI,27,QB,10,10,210,343,2274,39,234,31,197,5,37,75,471
10,Baker Mayfield,CLE,24,QB,10,10,202,341,2394,35,297,33,298,1,-1,87,681
11,Andy Dalton,CIN,32,QB,8,8,204,338,2252,20,95,17,89,3,6,77,427
12,Deshaun Watson,HOU,24,QB,10,10,230,331,2601,67,519,50,442,16,77,87,578
13,Russell Wilson,SEA,31,QB,10,10,224,327,2737,31,255,22,242,7,13,76,599
14,Patrick Mahomes,KAN,24,QB,9,9,212,323,2808,52,384,47,359,4,25,85,595
15,Kirk Cousins,MIN,31,QB,11,11,226,320,2756,0,0,0,0,0,0,98,938
16,Josh Allen,BUF,23,QB,10,10,191,317,2175,22,136,17,115,5,21,70,501
17,Jimmy Garoppolo,SFO,28,QB,10,10,218,317,2478,17,242,16,242,0,0,82,804
18,Derek Carr,OAK,28,QB,10,10,224,310,2494,8,37,8,37,0,0,49,432
19,Gardner Minshew,JAX,23,QB,9,8,188,307,2285,16,194,14,194,1,0,47,527
20,Daniel Jones,NYG,22,QB,9,8,187,297,1984,25,197,19,177,3,20,63,431
21,Matthew Stafford,DET,31,QB,8,8,187,291,2499,14,90,8,52,5,38,72,633
22,Kyle Allen,CAR,23,QB,8,8,175,284,1923,38,309,35,305,1,4,69,480
23,Mitchell Trubisky,CHI,25,QB,9,9,176,282,1580,22,107,17,93,5,14,45,219
24,Lamar Jackson,BAL,22,QB,10,10,185,279,2258,106,856,51,432,52,424,87,559
25,Joe Flacco,DEN,34,QB,8,8,171,262,1822,4,16,4,16,0,0,41,287
26,Jacoby Brissett,IND,27,QB,9,9,168,260,1797,41,230,37,219,3,11,71,468
27,Ryan Fitzpatrick,MIA,37,QB,9,7,160,253,1687,11,57,9,57,0,0,36,313
28,Mason Rudolph,PIT,24,QB,8,7,154,247,1551,14,89,13,88,1,1,40,165
29,Sam Darnold,NYJ,22,QB,7,7,148,234,1600,21,90,20,88,1,2,49,299
30,Teddy Bridgewater,NOR,27,QB,7,5,132,195,1370,0,0,0,0,0,0,34,360
31,Case Keenum,WAS,31,QB,7,7,126,188,1343,12,48,12,48,0,0,38,364
32,Drew Brees,NOR,40,QB,5,5,129,171,1296,1,15,1,15,0,0,14,73
33,Marcus Mariota,TEN,26,QB,6,6,94,159,1179,18,141,13,123,5,18,46,449
34,Ryan Tannehill,TEN,31,qb,6,4,97,136,1161,3,5,1,0,2,5,22,226
35,Josh Rosen,MIA,22,qb,6,3,58,109,567,11,26,10,26,0,0,20,40
36,Matt Moore,KAN,35,qb,4,2,59,91,659,14,137,13,137,0,0,33,343
37,Eli Manning,NYG,38,qb,2,2,56,89,556,10,79,10,79,0,0,23,151
38,Cam Newton,CAR,30,qb,2,2,50,89,572,15,115,12,115,2,0,17,146
39,Dwayne Haskins,WAS,22,qb,4,2,46,79,498,4,9,3,9,0,0,19,101
40,Luke Falk,NYJ,25,qb,3,2,47,73,416,3,22,3,22,0,0,16,113
41,Jeff Driskel,DET,26,qb,2,2,42,72,478,4,16,0,0,4,16,14,21
42,Brian Hoyer,IND,34,qb,3,1,35,65,372,3,30,3,30,0,0,10,80
43,Chase Daniel,CHI,33,qb,3,1,45,64,435,4,26,4,26,0,0,15,82
44,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,0,0,0,0,0,0,1,8
45,Ryan Finley,CIN,25,qb,2,2,29,61,282,1,0,1,0,0,0,12,62
46,Brandon Allen,DEN,27,qb,2,2,29,59,433,5,23,4,12,1,11,17,207
47,Matt Schaub,ATL,38,qb,4,1,45,58,525,2,0,2,0,0,0,13,143
48,Nick Foles,JAX,30,qb,2,2,38,55,371,1,7,1,7,0,0,5,33
49,Devlin Hodges,PIT,23,qb,2,1,22,29,200,5,49,4,42,1,7,8,71
50,Colt McCoy,WAS,33,qb,1,1,18,27,122,0,0,0,0,0,0,6,40
51,Matt Barkley,BUF,29,,1,0,9,16,127,0,0,0,0,0,0,0,0
52,Robert Griffin,BAL,29,,3,0,11,13,90,5,37,4,28,0,9,3,13
53,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,2,1,2,1,0,0,4,1
54,Josh McCown,PHI,40,,3,0,3,5,24,1,13,1,13,0,0,1,13
55,Jaylen Samuels,PIT,23,rb,8,2,4,5,35,6,16,1,0,4,16,4,0
56,Jarrett Stidham,NWE,23,,3,0,2,4,14,0,0,0,0,0,0,0,0
57,Mike Glennon,OAK,30,,1,0,2,3,36,0,0,0,0,0,0,0,0
58,Odell Beckham,CLE,27,WR,10,10,1,2,20,13,0,0,0,0,0,31,0
59,Julian Edelman,NWE,33,WR,10,9,2,2,47,6,15,1,15,0,0,30,15
60,Johnny Hekker,LAR,29,P,10,0,1,2,23,0,0,0,0,0,0,0,0
61,Taysom Hill,NOR,29,qb,10,1,2,2,35,6,16,0,0,5,16,3,0
62,Kenjon Barner,ATL,29,,8,0,1,1,3,0,0,0,0,0,0,0,0
63,Randall Cobb,DAL,29,wr,9,4,0,1,0,7,0,0,0,0,0,16,0
64,Dustin Colquitt,KAN,37,P,11,0,0,1,0,0,0,0,0,0,0,0,0
65,Jake Elliott,PHI,24,K,10,0,0,1,0,0,0,0,0,0,0,0,0
66,Garrett Gilbert,CLE,28,,2,0,0,1,0,0,0,0,0,0,0,0,0
67,DeAndre Hopkins,HOU,27,WR,10,10,0,1,0,14,0,0,0,0,0,18,0
68,Brett Hundley,ARI,26,,1,0,0,1,0,1,0,0,0,0,0,0,0
69,Alvin Kamara,NOR,24,RB,8,6,1,1,13,5,32,0,0,5,32,8,0
70,Brett Kern,TEN,33,P,10,0,1,1,11,0,0,0,0,0,0,0,0
71,Sam Koch,BAL,37,P,10,0,1,1,-2,0,0,0,0,0,0,0,0
72,Andy Lee,ARI,37,P,10,0,1,1,26,0,0,0,0,0,0,0,0
73,Christian McCaffrey,CAR,23,RB,10,10,0,1,0,28,68,0,0,21,68,14,0
74,A.J. McCarron,HOU,29,,1,0,0,1,0,0,0,0,0,0,0,0,0
75,Zach Pascal,IND,25,WR,10,8,0,1,0,4,0,0,0,0,0,12,0
76,Dante Pettis,SFO,24,wr,10,4,1,1,16,2,0,0,0,0,0,1,0
77,Bilal Powell,NYJ,31,,8,0,0,1,0,0,0,0,0,0,0,0,0
78,Courtland Sutton,DEN,24,WR,10,8,1,1,38,0,0,0,0,0,0,8,0
79,Tyrod Taylor,LAC,30,,5,0,1,1,7,1,2,0,0,1,2,0,0
