,,,,,Games,,Passing,,,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
1,Jameis Winston,TAM,25,QB,15,15,367,602,4908,11,21,2,22,3.80%,120,20.70%,407,70.30%
2,Tom Brady,NWE,42,QB,15,15,357,584,3836,6,40,0,32,5.90%,110,20.20%,400,73.50%
3,Jared Goff,LAR,25,QB,15,15,365,581,4319,15,15,1,27,4.80%,114,20.20%,406,71.90%
4,Carson Wentz,PHI,27,QB,15,15,365,567,3750,15,10,1,26,4.70%,97,17.40%,406,73.00%
5,Matt Ryan,ATL,34,QB,14,14,378,565,4153,15,24,1,17,3.10%,74,13.70%,413,76.50%
6,Dak Prescott,DAL,26,QB,15,15,365,563,4599,7,14,1,33,6.00%,82,15.00%,425,77.60%
7,Philip Rivers,LAC,38,QB,15,15,359,545,4334,12,15,3,25,4.70%,78,14.80%,408,77.40%
8,Aaron Rodgers*,GNB,36,QB,15,15,326,514,3679,3,30,1,22,4.60%,95,19.70%,372,77.00%
9,Baker Mayfield,CLE,24,QB,15,15,305,507,3548,19,16,2,29,5.90%,86,17.60%,348,71.20%
10,Andy Dalton,CIN,32,QB,12,12,298,500,3304,13,16,7,24,5.00%,89,18.70%,342,71.70%
11,Kyler Murray,ARI,22,QB,15,15,323,500,3397,17,21,3,17,3.60%,86,18.10%,351,73.70%
12,Deshaun Watson*,HOU,24,QB,15,15,333,495,3852,6,15,2,21,4.40%,80,16.70%,367,76.80%
13,Mitchell Trubisky,CHI,25,QB,14,14,300,479,2931,7,5,3,28,5.90%,86,18.30%,351,74.50%
14,Russell Wilson*,SEA,31,QB,15,15,316,476,3877,9,19,2,15,3.30%,84,18.50%,345,75.80%
15,Derek Carr,OAK,28,QB,15,15,332,467,3663,8,24,1,22,5.00%,50,11.30%,366,82.80%
16,Ryan Fitzpatrick,MIA,37,QB,14,12,283,461,3209,15,7,3,26,5.80%,79,17.50%,326,72.30%
17,Patrick Mahomes*,KAN,24,QB,13,13,303,459,3857,5,19,0,22,5.00%,82,18.60%,340,77.30%
18,Josh Allen,BUF,23,QB,15,15,268,456,3084,10,25,3,31,7.20%,86,20.10%,314,73.40%
19,Jimmy Garoppolo,SFO,28,QB,15,15,311,454,3693,6,7,2,27,6.10%,62,13.90%,357,80.20%
20,Kyle Allen,CAR,23,QB,12,12,278,448,3027,12,25,1,26,6.20%,71,16.80%,323,76.50%
21,Kirk Cousins,MIN,31,QB,15,15,307,444,3603,9,24,0,17,4.00%,65,15.50%,332,79.00%
22,Gardner Minshew,JAX,23,QB,13,11,258,431,2976,8,18,1,18,4.40%,80,19.40%,299,72.60%
23,Jacoby Brissett,IND,27,QB,14,14,260,422,2780,12,20,3,22,5.50%,72,18.00%,299,74.90%
24,Daniel Jones,NYG,22,QB,12,11,256,412,2726,6,12,0,16,4.00%,73,18.30%,289,72.30%
25,Sam Darnold,NYJ,22,QB,12,12,250,405,2825,10,20,2,23,6.00%,69,18.00%,286,74.70%
26,Lamar Jackson*,BAL,22,QB,15,15,265,401,3127,12,11,2,14,3.60%,68,17.50%,295,76.00%
27,Drew Brees*,NOR,40,QB,10,10,262,348,2726,4,7,5,11,3.30%,37,11.00%,282,83.90%
28,Matthew Stafford,DET,31,QB,8,8,187,291,2499,5,5,2,9,3.20%,59,20.80%,201,70.80%
29,Mason Rudolph,PIT,24,QB,10,8,176,283,1765,4,14,0,16,5.90%,54,20.10%,192,71.40%
30,Ryan Tannehill,TEN,31,QB,11,9,188,266,2544,6,5,3,9,3.50%,30,11.60%,210,81.40%
31,Joe Flacco,DEN,34,QB,8,8,171,262,1822,9,12,1,15,6.00%,40,16.10%,194,77.90%
32,Case Keenum,WAS,31,qb,9,7,142,210,1501,6,4,2,9,4.40%,34,16.70%,151,74.00%
33,Dwayne Haskins,WAS,22,qb,9,7,119,203,1365,4,6,1,14,7.10%,38,19.40%,145,74.00%
34,Teddy Bridgewater,NOR,27,qb,8,5,132,195,1370,4,9,0,16,8.60%,22,11.80%,151,81.20%
35,Marcus Mariota,TEN,26,qb,6,6,94,159,1179,2,9,2,10,6.80%,31,20.90%,106,71.60%
36,Eli Manning,NYG,38,qb,4,4,91,147,1042,4,4,0,4,2.80%,28,19.60%,106,74.10%
37,David Blough,DET,24,qb,4,4,82,145,862,5,5,0,6,4.30%,33,23.60%,86,61.40%
38,Devlin Hodges,PIT,23,qb,7,5,91,135,968,2,10,0,5,4.00%,21,16.80%,99,79.20%
39,Drew Lock,DEN,23,qb,4,4,83,128,843,0,2,0,8,6.30%,22,17.50%,92,73.00%
40,Nick Foles,JAX,30,qb,4,4,77,117,736,2,5,0,4,3.60%,13,11.60%,88,78.60%
41,Josh Rosen,MIA,22,qb,6,3,58,109,567,7,1,0,8,7.40%,24,22.20%,73,67.60%
42,Jeff Driskel,DET,26,qb,3,3,62,105,685,2,5,2,3,3.10%,23,23.50%,68,69.40%
43,Matt Moore,KAN,35,qb,6,2,59,91,659,3,1,1,3,3.40%,15,16.90%,68,76.40%
44,Cam Newton,CAR,30,qb,2,2,50,89,572,2,2,1,3,3.50%,26,30.20%,54,62.80%
45,Ryan Finley,CIN,25,qb,3,3,41,87,474,2,3,0,4,4.80%,19,22.60%,52,61.90%
46,Brandon Allen,DEN,27,qb,3,3,39,84,515,2,9,0,3,4.00%,18,24.00%,51,68.00%
47,Luke Falk,NYJ,25,qb,3,2,47,73,416,3,2,0,4,5.60%,11,15.50%,53,74.60%
48,Matt Schaub,ATL,38,qb,6,1,50,67,580,0,1,2,0,0.00%,10,15.60%,50,78.10%
49,Brian Hoyer,IND,34,qb,4,1,35,65,372,0,1,0,3,4.70%,14,21.90%,45,70.30%
50,Chase Daniel,CHI,33,qb,3,1,45,64,435,1,0,0,4,6.30%,9,14.10%,51,79.70%
51,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,2,0,0,7,11.30%,12,19.40%,44,71.00%
52,Will Grier,CAR,24,qb,1,1,27,44,224,0,3,0,1,2.40%,7,17.10%,29,70.70%
53,Colt McCoy,WAS,33,qb,1,1,18,27,122,1,0,0,0,0.00%,6,22.20%,20,74.10%
54,Robert Griffin,BAL,29,,6,0,12,17,129,0,0,0,0,0.00%,1,5.90%,15,88.20%
55,Matt Barkley,BUF,29,,1,0,9,16,127,1,0,0,1,6.30%,4,25.00%,10,62.50%
56,Mike Glennon,OAK,30,,2,0,6,10,56,0,0,0,0,0.00%,3,30.00%,7,70.00%
57,Brett Hundley,ARI,26,,2,0,4,10,49,0,0,0,1,10.00%,1,10.00%,7,70.00%
58,Taysom Hill,NOR,29,qb,15,4,3,6,55,0,0,0,0,0.00%,1,16.70%,3,50.00%
59,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,0,1,0,0,0.00%,2,40.00%,3,60.00%
60,Tyrod Taylor,LAC,30,,8,0,4,6,33,0,0,0,1,16.70%,1,16.70%,5,83.30%
61,Josh McCown,PHI,40,,3,0,3,5,24,1,0,0,1,20.00%,0,0.00%,4,80.00%
62,Jaylen Samuels,PIT,23,rb,13,4,4,5,35,0,0,0,0,0.00%,1,20.00%,4,80.00%
63,Tim Boyle,GNB,25,,3,0,3,4,15,0,0,0,0,0.00%,1,25.00%,3,75.00%
64,Ryan Griffin,TAM,30,,2,0,2,4,18,0,1,0,0,0.00%,1,33.30%,2,66.70%
65,Jarrett Stidham,NWE,23,,3,0,2,4,14,0,0,0,0,0.00%,2,50.00%,2,50.00%
66,Garrett Gilbert,CLE,28,,5,0,0,3,0,0,1,0,1,50.00%,0,0.00%,1,50.00%
67,Johnny Hekker,LAR,29,P,15,0,2,3,28,0,0,0,0,0.00%,0,0.00%,0,0.00%
68,Odell Beckham,CLE,27,WR,15,15,1,2,20,0,0,0,0,0.00%,0,0.00%,2,100.00%
69,Blake Bortles,LAR,27,,3,0,1,2,3,0,1,0,0,0.00%,0,0.00%,1,100.00%
70,Logan Cooke,JAX,24,P,15,0,2,2,16,0,0,0,0,0.00%,0,0.00%,0,0.00%
71,Julian Edelman,NWE,33,WR,15,13,2,2,47,0,0,0,0,0.00%,0,0.00%,2,100.00%
72,DeAndre Hopkins*,HOU,27,WR,15,15,1,2,6,0,0,0,0,0.00%,0,0.00%,1,50.00%
73,Brett Kern*,TEN,33,P,15,0,1,2,11,0,0,0,0,0.00%,0,0.00%,0,0.00%
74,Christian McCaffrey*,CAR,23,RB,15,15,0,2,0,0,1,0,0,0.00%,1,100.00%,0,0.00%
75,Kenjon Barner,ATL,29,,13,0,1,1,3,0,0,0,0,0.00%,0,0.00%,1,100.00%
76,Andrew Beck,DEN,23,fb,15,5,1,1,6,0,0,0,0,0.00%,0,0.00%,1,100.00%
77,John Brown,BUF,29,WR,15,15,1,1,28,0,0,0,0,0.00%,0,0.00%,1,100.00%
78,Randall Cobb,DAL,29,wr,14,5,0,1,0,0,1,0,0,0.00%,0,0.00%,0,0.00%
79,Dustin Colquitt,KAN,37,P,15,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
80,Stefon Diggs,MIN,26,WR,15,15,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
81,Jake Elliott,PHI,24,K,15,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
82,Alex Erickson,CIN,27,wr,15,5,1,1,26,0,0,0,0,0.00%,0,0.00%,1,100.00%
83,Josh Gordon,2TM,28,,11,7,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
84,Matt Haack,MIA,25,P,15,0,1,1,1,0,0,0,0,0.00%,0,0.00%,0,0.00%
85,Kelvin Harmon,WAS,23,wr,15,7,1,1,11,0,0,0,0,0.00%,0,0.00%,1,100.00%
86,Alvin Kamara,NOR,24,RB,13,9,1,1,13,0,0,0,0,0.00%,0,0.00%,1,100.00%
87,Sam Koch,BAL,37,P,15,0,1,1,-2,0,0,0,0,0.00%,0,0.00%,0,0.00%
88,Cooper Kupp,LAR,26,WR,15,13,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
89,Andy Lee,ARI,37,P,14,0,1,1,26,0,0,0,0,0.00%,0,0.00%,0,0.00%
90,A.J. McCarron,HOU,29,,1,0,0,1,0,0,0,0,0,0.00%,0,0.00%,0,0.00%
91,Michael Palardy,CAR,27,P,15,0,1,1,12,0,0,0,0,0.00%,0,0.00%,0,0.00%
92,Zach Pascal,IND,25,WR,15,12,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
93,Dante Pettis,SFO,24,wr,11,4,1,1,16,0,0,0,0,0.00%,0,0.00%,1,100.00%
94,Bilal Powell,NYJ,31,rb,12,1,0,1,0,0,0,0,0,0.00%,1,100.00%,0,0.00%
95,Emmanuel Sanders,2TM,32,,16,15,1,1,35,0,0,0,0,0.00%,0,0.00%,1,100.00%
96,Steven Sims,WAS,22,wr,15,1,0,1,0,0,1,0,0,0.00%,0,0.00%,0,0.00%
97,Courtland Sutton,DEN,24,WR,15,13,1,1,38,0,0,0,0,0.00%,0,0.00%,1,100.00%
98,Alex Tanney,NYG,32,,1,0,1,1,1,0,0,0,0,0.00%,0,0.00%,1,100.00%
99,James White,NWE,27,rb,14,1,1,1,35,0,0,0,0,0.00%,0,0.00%,1,100.00%
