,,,,,Games,,Passing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
1,Tom Brady,NWE,42,QB,12,12,297,486,3268,3760,7.7,1844,6.2,3.8,1424,4.8
2,Jameis Winston,TAM,25,QB,12,12,281,467,3659,4759,10.2,2332,8.3,5,1327,4.7
3,Jared Goff,LAR,25,QB,12,12,283,453,3419,3554,7.8,1718,6.1,3.8,1701,6
4,Dak Prescott,DAL,26,QB,12,12,298,447,3788,4138,9.3,2296,7.7,5.1,1492,5
5,Matt Ryan,ATL,34,QB,11,11,301,447,3246,3770,8.4,2103,7,4.7,1143,3.8
6,Philip Rivers,LAC,38,QB,12,12,288,445,3434,3910,8.8,1918,6.7,4.3,1516,5.3
7,Carson Wentz,PHI,27,QB,12,12,271,434,2840,3791,8.7,1729,6.4,4,1111,4.1
8,Kyler Murray,ARI,22,QB,12,12,273,427,2866,3057,7.2,1468,5.4,3.4,1398,5.1
9,Aaron Rodgers,GNB,36,QB,12,12,266,413,3065,3480,8.4,1556,5.8,3.8,1509,5.7
10,Baker Mayfield,CLE,24,QB,12,12,244,407,2917,3217,7.9,1457,6,3.6,1460,6
11,Deshaun Watson,HOU,24,QB,12,12,267,386,3133,3479,9,1778,6.7,4.6,1355,5.1
12,Russell Wilson,SEA,31,QB,12,12,258,383,3177,3586,9.4,1850,7.2,4.8,1327,5.1
13,Andy Dalton,CIN,32,QB,9,9,226,375,2495,2542,6.8,1274,5.6,3.4,1221,5.4
14,Daniel Jones,NYG,22,QB,11,10,228,370,2374,2769,7.5,1178,5.2,3.2,1196,5.2
15,Derek Carr,OAK,28,QB,12,12,259,367,2843,2438,6.6,1385,5.3,3.8,1458,5.6
16,Josh Allen,BUF,23,QB,12,12,225,366,2591,3248,8.9,1446,6.4,4,1145,5.1
17,Kyle Allen,CAR,23,QB,10,10,225,366,2457,3041,8.3,1320,5.9,3.6,1137,5.1
18,Mitchell Trubisky,CHI,25,QB,11,11,230,361,2196,2848,7.9,1245,5.4,3.4,951,4.1
19,Kirk Cousins,MIN,31,QB,12,12,248,358,3032,2747,7.7,1475,5.9,4.1,1557,6.3
20,Jimmy Garoppolo,SFO,28,QB,12,12,247,358,2896,2371,6.6,1329,5.4,3.7,1567,6.3
21,Patrick Mahomes,KAN,24,QB,10,10,227,352,2983,3327,9.5,1440,6.3,4.1,1543,6.8
22,Gardner Minshew,JAX,23,QB,10,8,204,334,2432,2418,7.2,1231,6,3.7,1201,5.9
23,Ryan Fitzpatrick,MIA,37,QB,11,9,208,331,2266,2918,8.8,1447,7,4.4,819,3.9
24,Jacoby Brissett,IND,27,QB,11,11,209,325,2245,2378,7.3,1037,5,3.2,1208,5.8
25,Lamar Jackson,BAL,22,QB,12,12,214,322,2532,2864,8.9,1421,6.6,4.4,1111,5.2
26,Sam Darnold,NYJ,22,QB,9,9,196,311,2154,2510,8.1,1114,5.7,3.6,1040,5.3
27,Matthew Stafford,DET,31,QB,8,8,187,291,2499,3097,10.6,1609,8.6,5.5,890,4.8
