,,,,,Games,,Passing,,,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
1,Philip Rivers,LAC,38,QB,11,11,268,416,3169,11,9,3,21,5.20%,64,15.80%,308,76.20%
2,Jameis Winston,TAM,25,QB,10,10,242,406,3078,8,15,2,16,4.10%,81,20.80%,275,70.70%
3,Tom Brady,NWE,42,QB,10,10,256,402,2752,3,26,0,19,5.10%,70,18.60%,283,75.30%
4,Kyler Murray,ARI,22,QB,11,11,254,393,2703,13,16,3,16,4.30%,67,17.90%,277,74.10%
5,Jared Goff,LAR,25,QB,10,10,225,373,2783,13,3,0,19,5.10%,79,21.40%,257,69.50%
6,Dak Prescott,DAL,26,QB,10,10,247,365,3221,2,9,1,22,6.20%,49,13.80%,285,80.30%
7,Matt Ryan,ATL,34,QB,9,9,243,351,2663,9,14,0,12,3.60%,44,13.10%,266,78.90%
8,Aaron Rodgers,GNB,36,QB,10,10,225,347,2718,2,23,1,8,2.50%,62,19.20%,249,77.10%
9,Carson Wentz,PHI,27,QB,10,10,210,343,2274,10,5,1,20,5.90%,61,18.10%,236,70.00%
10,Baker Mayfield,CLE,24,QB,10,10,202,341,2394,14,13,1,23,7.00%,55,16.80%,232,70.90%
11,Andy Dalton,CIN,32,QB,8,8,204,338,2252,10,8,4,16,4.90%,62,19.00%,237,72.70%
12,Deshaun Watson,HOU,24,QB,10,10,230,331,2601,2,8,1,17,5.30%,50,15.50%,257,79.80%
13,Russell Wilson,SEA,31,QB,10,10,224,327,2737,5,10,2,11,3.50%,56,17.80%,243,77.10%
14,Patrick Mahomes,KAN,24,QB,9,9,212,323,2808,5,12,0,15,4.80%,59,19.00%,239,76.80%
15,Kirk Cousins,MIN,31,QB,11,11,226,320,2756,6,19,0,13,4.30%,44,14.60%,246,81.70%
16,Josh Allen,BUF,23,QB,10,10,191,317,2175,5,20,2,21,7.10%,59,20.00%,222,75.30%
17,Jimmy Garoppolo,SFO,28,QB,10,10,218,317,2478,5,5,1,17,5.50%,44,14.10%,250,80.40%
18,Derek Carr,OAK,28,QB,10,10,224,310,2494,5,13,0,13,4.40%,35,11.80%,240,80.80%
19,Gardner Minshew,JAX,23,QB,9,8,188,307,2285,5,14,1,16,5.50%,47,16.10%,218,74.70%
20,Daniel Jones,NYG,22,QB,9,8,187,297,1984,5,6,0,12,4.10%,50,17.20%,215,73.90%
21,Matthew Stafford,DET,31,QB,8,8,187,291,2499,5,5,2,9,3.20%,59,20.80%,201,70.80%
22,Kyle Allen,CAR,23,QB,8,8,175,284,1923,9,15,0,14,5.20%,47,17.50%,207,77.00%
23,Mitchell Trubisky,CHI,25,QB,9,9,176,282,1580,4,5,1,16,5.80%,47,17.00%,217,78.60%
24,Lamar Jackson,BAL,22,QB,10,10,185,279,2258,8,5,2,8,2.90%,51,18.80%,205,75.40%
25,Joe Flacco,DEN,34,QB,8,8,171,262,1822,9,12,1,15,6.00%,40,16.10%,194,77.90%
26,Jacoby Brissett,IND,27,QB,9,9,168,260,1797,10,13,2,12,4.90%,34,13.90%,190,77.60%
27,Ryan Fitzpatrick,MIA,37,QB,9,7,160,253,1687,9,2,2,16,6.40%,42,16.90%,186,74.70%
28,Mason Rudolph,PIT,24,QB,8,7,154,247,1551,3,12,0,12,5.10%,48,20.40%,166,70.60%
29,Sam Darnold,NYJ,22,QB,7,7,148,234,1600,8,11,1,8,3.60%,42,18.90%,163,73.40%
30,Teddy Bridgewater,NOR,27,QB,7,5,132,195,1370,4,9,0,16,8.60%,22,11.80%,151,81.20%
31,Case Keenum,WAS,31,QB,7,7,126,188,1343,5,3,2,9,4.90%,30,16.40%,135,73.80%
32,Drew Brees,NOR,40,QB,5,5,129,171,1296,2,2,4,5,3.00%,24,14.50%,136,82.40%
33,Marcus Mariota,TEN,26,QB,6,6,94,159,1179,2,9,2,10,6.80%,31,20.90%,106,71.60%
34,Ryan Tannehill,TEN,31,qb,6,4,97,136,1161,2,1,2,2,1.50%,16,12.00%,107,80.50%
35,Josh Rosen,MIA,22,qb,6,3,58,109,567,7,1,0,8,7.40%,24,22.20%,73,67.60%
36,Matt Moore,KAN,35,qb,4,2,59,91,659,3,1,1,3,3.40%,15,16.90%,68,76.40%
37,Eli Manning,NYG,38,qb,2,2,56,89,556,4,3,0,2,2.30%,17,19.80%,63,73.30%
38,Cam Newton,CAR,30,qb,2,2,50,89,572,2,2,1,3,3.50%,26,30.20%,54,62.80%
39,Dwayne Haskins,WAS,22,qb,4,2,46,79,498,2,4,0,7,9.30%,11,14.70%,59,78.70%
40,Luke Falk,NYJ,25,qb,3,2,47,73,416,3,2,0,4,5.60%,11,15.50%,53,74.60%
41,Jeff Driskel,DET,26,qb,2,2,42,72,478,1,3,2,3,4.50%,15,22.40%,46,68.70%
42,Brian Hoyer,IND,34,qb,3,1,35,65,372,0,1,0,3,4.70%,14,21.90%,45,70.30%
