Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Cooper Kupp,LAR,WR,18,SF,0,0,0,2,0,8.4,107.4,0.8,0,0,0,0,27,27.04
2,Jonathan Taylor,IND,RB,18,JAX,0,0,0,114.2,1.1,2.3,18,0.1,0,0,0,0,25.6,25.62
3,Josh Allen,BUF,QB,18,NYJ,275.7,2.1,0.8,39.9,0.4,0,0,0,0,0,0,0,24.8,24.82
4,Kyler Murray,ARI,QB,18,SEA,274.4,1.8,0.8,32.9,0.3,0,0,0,0,0,0,0,22.3,22.27
5,Patrick Mahomes,KC,QB,18,DEN,286.8,2.2,0.7,20.8,0.1,0,0,0,0,0,0,0,22.2,22.15
6,Justin Herbert,LAC,QB,18,LV,282.1,2,0.8,18.2,0.2,0,0,0,0,0,0,0,21.4,21.4
7,Taysom Hill,NO,TE,18,ATL,205.4,1.2,0.7,50.2,0.5,0,0,0,0,0,0,0,20.1,20.14
8,Justin Jefferson,MIN,WR,18,CHI,0,0,0,0.5,0,6.5,90.7,0.7,0,0,0,0,19.7,19.72
9,Tom Brady,TB,QB,18,CAR,277.2,2.1,0.8,3,0.1,0,0,0,0,0,0,0,19.5,19.49
10,Matthew Stafford,LAR,QB,18,SF,282,2.1,0.8,4.2,0,0,0,0,0,0,0,0,19.2,19.2
11,Austin Ekeler,LAC,RB,18,LV,0,0,0,58.2,0.5,4.6,36.6,0.3,0,0,0,0,18.8,18.78
12,Ryan Tannehill,TEN,QB,18,HOU,233.5,1.6,0.7,18.8,0.3,0,0,0,0,0,0,0,18.6,18.62
13,Dalvin Cook,MIN,RB,18,CHI,0,0,0,89.1,0.7,2.9,20.2,0.1,0,0,0,0,18.5,18.53
14,Derek Carr,LV,QB,18,LAC,279.4,1.6,0.7,8.1,0.1,0,0,0,0,0,0,0,18.1,18.09
15,Tyreek Hill,KC,WR,18,DEN,0,0,0,4.4,0,6.1,78.8,0.6,0,0,0,0,18,18.02
16,Russell Wilson,SEA,QB,18,ARI,243.6,1.7,0.6,16.3,0.1,0,0,0,0,0,0,0,18,17.97
16,Kirk Cousins,MIN,QB,18,CHI,257.7,1.8,0.8,8.6,0.1,0,0,0,0,0,0,0,18,17.97
18,Stefon Diggs,BUF,WR,18,NYJ,0,0,0,0,0,6.3,79.8,0.6,0,0,0,0,17.9,17.88
19,Tyler Huntley,BAL,QB,18,PIT,202.5,1.2,0.8,40.8,0.3,0,0,0,0,0,0,0,17.8,17.78
20,Dak Prescott,DAL,QB,18,PHI,228.8,1.7,0.5,12.3,0.2,0,0,0,0,0,0,0,17.7,17.68
20,Alvin Kamara,NO,RB,18,ATL,0,0,0,63.7,0.5,4.1,31.1,0.2,0,0,0,0,17.7,17.68
22,Carson Wentz,IND,QB,18,JAX,233.2,1.7,0.8,14.3,0.1,0,0,0,0,0,0,0,17.2,17.16
23,Deebo Samuel,SF,WR,18,LAR,0,0,0,17.9,0.2,4.8,69.7,0.4,0,0,0,0,17.1,17.06
24,Najee Harris,PIT,RB,18,BAL,0,0,0,73.5,0.5,3.8,23.6,0.1,0,0,0,0,17,17.01
25,A.J. Brown,TEN,WR,18,HOU,0,0,0,0.4,0,5.5,78.3,0.6,0,0,0,0,17,16.97
26,Travis Kelce,KC,TE,18,DEN,0,0,0,0.5,0,6,74.1,0.6,0,0,0,0,17,16.96
27,Josh Jacobs,LV,RB,18,LAC,0,0,0,66.6,0.6,3.6,24.5,0.1,0,0,0,0,16.8,16.81
28,Keenan Allen,LAC,WR,18,LV,0,0,0,0,0,6.5,71.9,0.5,0,0,0,0,16.7,16.69
29,David Montgomery,CHI,RB,18,MIN,0,0,0,72.5,0.6,3.2,20.9,0.1,0,0,0,0,16.6,16.64
30,Jimmy Garoppolo,SF,QB,18,LAR,257.5,1.5,0.9,6.1,0.1,0,0,0,0,0,0,0,16.4,16.41
31,Tua Tagovailoa,MIA,QB,18,NE,231,1.4,0.9,12.1,0.2,0,0,0,0,0,0,0,16.2,16.15
32,Diontae Johnson,PIT,WR,18,BAL,0,0,0,2.7,0,6.1,73,0.4,0,0,0,0,16,15.97
33,Mike Evans,TB,WR,18,CAR,0,0,0,0,0,5.2,70.1,0.6,0,0,0,0,15.8,15.81
34,Taylor Heinicke,WAS,QB,18,NYG,221.4,1.4,1,17.3,0.1,0,0,0,0,0,0,0,15.7,15.69
35,Amon-Ra St. Brown,DET,WR,18,GB,0,0,0,2.1,0,6.3,67.6,0.4,0,0,0,0,15.7,15.67
36,Mac Jones,NE,QB,18,MIA,239.4,1.5,0.8,7.9,0,0,0,0,0,0,0,0,15.5,15.47
37,Gardner Minshew,PHI,QB,18,DAL,210.1,1.4,0.8,18.4,0.1,0,0,0,0,0,0,0,15.4,15.44
38,James Conner,ARI,RB,18,SEA,0,0,0,55.2,0.7,2.7,22.1,0.1,0,0,0,0,15.1,15.13
39,DK Metcalf,SEA,WR,18,ARI,0,0,0,0,0,4.8,66.6,0.6,0,0,0,0,15.1,15.06
40,Mark Andrews,BAL,TE,18,PIT,0,0,0,0,0,5.4,65.8,0.5,0,0,0,0,15,14.98
41,Brandin Cooks,HOU,WR,18,TEN,0,0,0,0.1,0,5.5,68.8,0.4,0,0,0,0,14.8,14.79
