Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Cooper Kupp,LAR,WR,14,ARI,0,0,0,1.1,0,7.9,100.9,0.7,0,0,0,0,25.2,25.2
2,Justin Jefferson,MIN,WR,14,PIT,0,0,0,1,0,7.2,105.3,0.7,0,0,0,0,24.9,24.93
3,Josh Allen,BUF,QB,14,TB,275.3,2,0.9,31.3,0.4,0,0,0,0,0,0,0,23.4,23.44
4,Kyler Murray,ARI,QB,14,LAR,267.9,1.8,0.8,31.1,0.4,0,0,0,0,0,0,0,22.4,22.43
5,Lamar Jackson,BAL,QB,14,CLE,241.3,1.4,0.9,64.2,0.3,0,0,0,0,0,0,0,22.4,22.37
6,Patrick Mahomes,KC,QB,14,LV,288.7,2.3,0.6,17.1,0.1,0,0,0,0,0,0,0,22.4,22.36
7,Justin Herbert,LAC,QB,14,NYG,284.6,2,0.8,20.5,0.2,0,0,0,0,0,0,0,21.7,21.73
8,Dak Prescott,DAL,QB,14,WAS,290,2.1,0.7,14.2,0.2,0,0,0,0,0,0,0,21.7,21.72
9,Aaron Rodgers,GB,QB,14,CHI,276.1,2.2,0.4,10.2,0.2,0,0,0,0,0,0,0,21.6,21.56
10,Davante Adams,GB,WR,14,CHI,0,0,0,0,0,7.3,93.3,0.8,0,0,0,0,21.3,21.33
11,Austin Ekeler,LAC,RB,14,NYG,0,0,0,64.3,0.6,5.1,41.7,0.3,0,0,0,0,21,21
12,Tom Brady,TB,QB,14,BUF,295.3,2.3,0.8,2.3,0.1,0,0,0,0,0,0,0,20.9,20.94
13,Taysom Hill,NO,TE,14,NYJ,196.1,1.3,0.8,49,0.5,0,0,0,0,0,0,0,20,20.04
14,Tyreek Hill,KC,WR,14,LV,0,0,0,4.5,0.1,6.6,82.2,0.7,0,0,0,0,20,19.97
15,Russell Wilson,SEA,QB,14,HOU,259.3,1.9,0.6,16.5,0.1,0,0,0,0,0,0,0,19.5,19.52
16,Matthew Stafford,LAR,QB,14,ARI,294.7,2,0.8,4.5,0,0,0,0,0,0,0,0,19.3,19.34
17,Cam Newton,CAR,QB,14,ATL,219.1,1.4,0.9,35.5,0.4,0,0,0,0,0,0,0,19.3,19.31
18,Alvin Kamara,NO,RB,14,NYJ,0,0,0,68.4,0.6,4.1,35.9,0.2,0,0,0,0,19.2,19.23
19,Stefon Diggs,BUF,WR,14,TB,0,0,0,0.1,0,7,85.3,0.6,0,0,0,0,19,19.04
20,Kirk Cousins,MIN,QB,14,PIT,268.4,1.9,0.7,7.5,0.1,0,0,0,0,0,0,0,18.9,18.89
21,Joe Burrow,CIN,QB,14,SF,256.4,1.9,0.8,8.6,0.1,0,0,0,0,0,0,0,18.3,18.32
22,Derek Carr,LV,QB,14,KC,283.2,1.6,0.7,8.1,0.1,0,0,0,0,0,0,0,18.2,18.24
23,Leonard Fournette,TB,RB,14,BUF,0,0,0,65.8,0.5,4.8,31.9,0.1,0,0,0,0,18.1,18.07
24,Antonio Gibson,WAS,RB,14,DAL,0,0,0,78.5,0.6,3.7,24,0.1,0,0,0,0,18,18.05
25,Ryan Tannehill,TEN,QB,14,JAX,229.5,1.7,0.7,15.8,0.2,0,0,0,0,0,0,0,18,17.96
26,Taylor Heinicke,WAS,QB,14,DAL,240.9,1.6,0.8,21.5,0.1,0,0,0,0,0,0,0,17.9,17.89
27,Najee Harris,PIT,RB,14,MIN,0,0,0,74.4,0.6,3.8,25.4,0.1,0,0,0,0,17.9,17.88
28,Travis Kelce,KC,TE,14,LV,0,0,0,0.5,0,6.4,77.8,0.6,0,0,0,0,17.8,17.83
29,Teddy Bridgewater,DEN,QB,14,DET,250.1,1.7,0.8,12.1,0.1,0,0,0,0,0,0,0,17.7,17.71
30,Jimmy Garoppolo,SF,QB,14,CIN,258.3,1.7,0.8,6.3,0.1,0,0,0,0,0,0,0,17.5,17.46
31,Diontae Johnson,PIT,WR,14,MIN,0,0,0,1.7,0,6.4,78.4,0.5,0,0,0,0,17.3,17.31
32,Ezekiel Elliott,DAL,RB,14,WAS,0,0,0,66.7,0.6,3.5,23.2,0.2,0,0,0,0,17.2,17.19
33,Chris Godwin,TB,WR,14,BUF,0,0,0,1,0,6.5,75.4,0.5,0,0,0,0,17,17.04
