Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Cooper Kupp,LAR,WR,15,SEA,0,0,0,1.4,0,8.7,110.1,0.7,0,0,0,0,27,26.95
2,Davante Adams,GB,WR,15,BAL,0,0,0,0,0,7.7,100.7,0.8,0,0,0,0,25.6,25.57
3,Tom Brady,TB,QB,15,NO,310.2,2.4,0.7,2.4,0.1,0,0,0,0,0,0,0,25,25.05
4,Justin Jefferson,MIN,WR,15,CHI,0,0,0,1,0,6.9,101.5,0.7,0,0,0,0,24.2,24.25
5,Kyler Murray,ARI,QB,15,DET,269.6,2,0.6,38,0.4,0,0,0,0,0,0,0,24.2,24.18
6,Josh Allen,BUF,QB,15,CAR,263.6,2.1,0.8,30.7,0.4,0,0,0,0,0,0,0,23.4,23.41
7,Matthew Stafford,LAR,QB,15,SEA,307,2.1,0.7,3.4,0,0,0,0,0,0,0,0,23.2,23.22
8,Justin Herbert,LAC,QB,15,KC,295,2,0.8,21.2,0.2,0,0,0,0,0,0,0,22.2,22.22
9,Patrick Mahomes,KC,QB,15,LAC,283.9,2.1,0.6,19.4,0.1,0,0,0,0,0,0,0,21.6,21.6
10,Aaron Rodgers,GB,QB,15,BAL,288.6,2.2,0.4,8.5,0.1,0,0,0,0,0,0,0,21.3,21.29
11,Dak Prescott,DAL,QB,15,NYG,281.4,2,0.7,14,0.2,0,0,0,0,0,0,0,21,20.96
12,Dalvin Cook,MIN,RB,15,CHI,0,0,0,96.8,0.8,3.3,25.1,0.1,0,0,0,0,20.8,20.79
13,Jalen Hurts,PHI,QB,15,WAS,203.8,1.3,0.6,49.5,0.5,0,0,0,0,0,0,0,20.6,20.6
14,Jonathan Taylor,IND,RB,15,NE,0,0,0,95.6,0.9,2.6,22.1,0.1,0,0,0,0,20.3,20.27
15,Taysom Hill,NO,TE,15,TB,190.8,1.2,1,51.6,0.5,0,0,0,0,0,0,0,19.4,19.39
16,Kirk Cousins,MIN,QB,15,CHI,269.6,2,0.8,7.6,0.1,0,0,0,0,0,0,0,19.1,19.14
17,Tua Tagovailoa,MIA,QB,15,NYJ,259.9,1.8,0.8,12.2,0.2,0,0,0,0,0,0,0,19.1,19.12
18,Justin Fields,CHI,QB,15,MIN,208.3,1.4,1,42.5,0.3,0,0,0,0,0,0,0,18.8,18.78
19,Najee Harris,PIT,RB,15,TEN,0,0,0,75.8,0.6,3.9,25.8,0.2,0,0,0,0,18.8,18.76
20,Jimmy Garoppolo,SF,QB,15,ATL,264.4,1.8,0.8,6.3,0.2,0,0,0,0,0,0,0,18.7,18.71
21,Chris Godwin,TB,WR,15,NO,0,0,0,1.2,0,7.2,83.8,0.5,0,0,0,0,18.7,18.7
22,Tyreek Hill,KC,WR,15,LAC,0,0,0,4.9,0.1,6.1,78.4,0.6,0,0,0,0,18.6,18.63
23,Alvin Kamara,NO,RB,15,TB,0,0,0,62.3,0.5,4.4,36.2,0.2,0,0,0,0,18.4,18.35
24,Leonard Fournette,TB,RB,15,NO,0,0,0,64.3,0.5,4.6,30.6,0.2,0,0,0,0,18.2,18.19
25,Diontae Johnson,PIT,WR,15,TEN,0,0,0,2.7,0,6.6,81.3,0.5,0,0,0,0,17.9,17.9
26,Joe Burrow,CIN,QB,15,DEN,253.8,1.8,0.9,8.7,0.1,0,0,0,0,0,0,0,17.8,17.82
27,George Kittle,SF,TE,15,ATL,0,0,0,0.7,0,6.1,79.9,0.6,0,0,0,0,17.8,17.76
28,Stefon Diggs,BUF,WR,15,CAR,0,0,0,0,0,6.3,78.2,0.6,0,0,0,0,17.7,17.72
29,Derek Carr,LV,QB,15,CLE,276,1.5,0.7,8,0.1,0,0,0,0,0,0,0,17.5,17.54
30,Keenan Allen,LAC,WR,15,KC,0,0,0,0,0,6.9,76.6,0.5,0,0,0,0,17.5,17.46
31,Nick Chubb,CLE,RB,15,LV,0,0,0,91.2,0.6,2.5,15.2,0.1,0,0,0,0,17.2,17.24
32,Austin Ekeler,LAC,RB,15,KC,0,0,0,52.4,0.4,4.2,35.6,0.3,0,0,0,0,17.1,17.1
33,Russell Wilson,SEA,QB,15,LAR,237.2,1.6,0.7,14,0.1,0,0,0,0,0,0,0,17.1,17.09
34,Ben Roethlisberger,PIT,QB,15,TEN,268.1,1.8,0.8,1.2,0,0,0,0,0,0,0,0,17,17.04
35,Hunter Renfrow,LV,WR,15,CLE,0,0,0,0.4,0,7.1,75.6,0.4,0,0,0,0,17,17
36,Deebo Samuel,SF,WR,15,ATL,0,0,0,40.7,0.4,3.7,49.6,0.3,0,0,0,0,16.8,16.83
37,Ryan Tannehill,TEN,QB,15,PIT,227.9,1.4,0.8,17.5,0.2,0,0,0,0,0,0,0,16.8,16.77
38,Mike Evans,TB,WR,15,NO,0,0,0,0.2,0,5.1,74.1,0.7,0,0,0,0,16.7,16.73
39,Carson Wentz,IND,QB,15,NE,233.2,1.6,0.8,13.1,0.1,0,0,0,0,0,0,0,16.6,16.64
40,Tyler Huntley,BAL,QB,15,GB,209.9,1.2,0.9,32.5,0.2,0,0,0,0,0,0,0,16.4,16.45
41,Teddy Bridgewater,DEN,QB,15,CIN,244.1,1.5,0.8,9.7,0.1,0,0,0,0,0,0,0,16.4,16.43
42,Joe Mixon,CIN,RB,15,DEN,0,0,0,79.4,0.6,2.5,18.5,0.1,0,0,0,0,16.4,16.39
43,Cordarrelle Patterson,ATL,RB,15,SF,0,0,0,52.2,0.4,3.5,34.9,0.3,0,0,0,0,16.3,16.31
44,Josh Jacobs,LV,RB,15,CLE,0,0,0,62,0.6,3.5,23.9,0.1,0,0,0,0,16.2,16.19
45,CeeDee Lamb,DAL,WR,15,NYG,0,0,0,3.3,0,5.5,72.9,0.5,0,0,0,0,16.1,16.12
46,Travis Kelce,KC,TE,15,LAC,0,0,0,0.5,0,5.8,72.1,0.5,0,0,0,0,16.1,16.06
47,Matt Ryan,ATL,QB,15,SF,248.9,1.5,0.8,4,0.1,0,0,0,0,0,0,0,16,15.96
48,DK Metcalf,SEA,WR,15,LAR,0,0,0,0.1,0,5.1,71.6,0.6,0,0,0,0,15.9,15.87
49,Mac Jones,NE,QB,15,IND,239.5,1.5,0.8,6.5,0.1,0,0,0,0,0,0,0,15.8,15.83
50,James Robinson,JAX,RB,15,HOU,0,0,0,69.4,0.6,2.8,19.4,0.1,0,0,0,0,15.8,15.78
51,David Montgomery,CHI,RB,15,MIN,0,0,0,67.8,0.5,3,22.1,0.1,0,0,0,0,15.5,15.49
52,Ja'Marr Chase,CIN,WR,15,DEN,0,0,0,1.5,0,4.8,72.2,0.5,0,0,0,0,15.2,15.17
53,Aaron Jones,GB,RB,15,BAL,0,0,0,48,0.4,3.4,28.1,0.3,0,0,0,0,15.1,15.11
54,Trevor Lawrence,JAX,QB,15,HOU,225.6,1.2,1,17.9,0.1,0,0,0,0,0,0,0,15,15.01
55,Antonio Gibson,WAS,RB,15,PHI,0,0,0,67.1,0.5,2.9,19.9,0.1,0,0,0,0,15,15
56,Rob Gronkowski,TB,TE,15,NO,0,0,0,0,0,5,63.9,0.6,0,0,0,0,15,14.99
57,James Conner,ARI,RB,15,DET,0,0,0,57.5,0.8,2,16.8,0.1,0,0,0,0,14.7,14.73
57,Saquon Barkley,NYG,RB,15,DAL,0,0,0,56.7,0.4,3.6,25.6,0.1,0,0,0,0,14.7,14.73
59,Cam Newton,CAR,QB,15,BUF,171.5,0.9,0.9,34.2,0.3,0,0,0,0,0,0,0,14.7,14.68
60,Amari Cooper,DAL,WR,15,NYG,0,0,0,0.5,0,5,65.4,0.5,0,0,0,0,14.6,14.59
61,Zach Wilson,NYJ,QB,15,MIA,214.6,1.2,1,11.7,0.2,0,0,0,0,0,0,0,14.6,14.55
62,Ezekiel Elliott,DAL,RB,15,NYG,0,0,0,58.8,0.6,2.7,17.4,0.1,0,0,0,0,14.4,14.42
63,Tee Higgins,CIN,WR,15,DEN,0,0,0,0.9,0,4.9,68.3,0.4,0,0,0,0,14.2,14.22
