Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,1,CLE,313,2.4,0.5,16.8,0.2,0,0,0,0,0,0,0,27.4,27.4
2,Tom Brady,TB,QB,1,DAL,309.2,2.4,0.8,1.5,0.1,0,0,0,0,0,0,0,24.8,24.82
3,Kyler Murray,ARI,QB,1,TEN,266.4,1.7,0.8,47.3,0.5,0,0,0,0,0,0,0,24.2,24.19
4,Lamar Jackson,BAL,QB,1,LV,223.5,1.7,0.8,60.9,0.5,0,0,0,0,0,0,0,23.9,23.93
5,Christian McCaffrey,CAR,RB,1,NYJ,0,0,0,79,0.7,5.5,44.5,0.3,0,0,0,0,23.8,23.75
6,Josh Allen,BUF,QB,1,PIT,278,2,0.9,31.4,0.4,0,0,0,0,0,0,0,23.6,23.56
7,Davante Adams,GB,WR,1,NO,0,0,0,0,0,7.7,93.9,0.9,0,0,0,0,22.4,22.39
8,Russell Wilson,SEA,QB,1,IND,283.1,2.1,0.7,26.8,0.1,0,0,0,0,0,0,0,22.2,22.2
9,Alvin Kamara,NO,RB,1,GB,0,0,0,64.6,0.6,5.6,48.6,0.2,0,0,0,0,21.6,21.62
10,Derrick Henry,TEN,RB,1,ARI,0,0,0,108.4,0.8,1.5,9.9,0.1,0,0,0,0,21.5,21.53
11,Jalen Hurts,PHI,QB,1,ATL,235.1,1.4,0.7,48.2,0.4,0,0,0,0,0,0,0,21.3,21.32
12,Dalvin Cook,MIN,RB,1,CIN,0,0,0,97.1,0.8,3.4,28.8,0.1,0,0,0,0,21.3,21.29
13,Tyreek Hill,KC,WR,1,CLE,0,0,0,5.8,0.1,6.2,89.6,0.8,0,0,0,0,21.1,21.14
14,Aaron Rodgers,GB,QB,1,NO,277.8,2.2,0.5,11.2,0.1,0,0,0,0,0,0,0,21,21.03
15,Dak Prescott,DAL,QB,1,TB,279.7,1.9,0.7,17.7,0.2,0,0,0,0,0,0,0,21,20.96
16,Ryan Tannehill,TEN,QB,1,ARI,257.3,2,0.6,17.8,0.2,0,0,0,0,0,0,0,20.6,20.57
17,Justin Herbert,LAC,QB,1,WAS,267.7,1.8,0.8,19.2,0.2,0,0,0,0,0,0,0,20.1,20.13
18,Travis Kelce,KC,TE,1,CLE,0,0,0,0.1,0,7,89.1,0.7,0,0,0,0,20.1,20.12
19,Stefon Diggs,BUF,WR,1,PIT,0,0,0,0.3,0,7.2,90.4,0.6,0,0,0,0,19.9,19.87
20,Trevor Lawrence,JAX,QB,1,HOU,257.2,1.8,0.7,18.2,0.2,0,0,0,0,0,0,0,19.7,19.71
21,Matthew Stafford,LAR,QB,1,CHI,286.5,1.9,0.7,6.1,0.1,0,0,0,0,0,0,0,19.5,19.47
21,Kirk Cousins,MIN,QB,1,CIN,273.3,2,0.8,8.4,0.1,0,0,0,0,0,0,0,19.5,19.47
21,Matt Ryan,ATL,QB,1,PHI,295.1,1.9,0.8,4.7,0.1,0,0,0,0,0,0,0,19.5,19.47
24,DeAndre Hopkins,ARI,WR,1,TEN,0,0,0,0.1,0,7.2,91.1,0.5,0,0,0,0,19.3,19.32
25,Calvin Ridley,ATL,WR,1,PHI,0,0,0,0.7,0,6.3,92.9,0.6,0,0,0,0,19.3,19.26
26,Ryan Fitzpatrick,WAS,QB,1,LAC,259.9,1.6,1,16.3,0.2,0,0,0,0,0,0,0,18.5,18.53
27,Baker Mayfield,CLE,QB,1,KC,264.7,1.8,0.8,9.8,0.1,0,0,0,0,0,0,0,18.5,18.47
28,Joe Burrow,CIN,QB,1,MIN,266.7,1.7,0.7,12.4,0.1,0,0,0,0,0,0,0,18.4,18.41
29,A.J. Brown,TEN,WR,1,ARI,0,0,0,0.1,0,5.6,83.1,0.7,0,0,0,0,18.1,18.12
30,Sam Darnold,CAR,QB,1,NYJ,255.9,1.7,0.8,13.3,0.1,0,0,0,0,0,0,0,18.1,18.07
31,Jimmy Garoppolo,SF,QB,1,DET,264.4,1.8,0.7,4.3,0.1,0,0,0,0,0,0,0,18,18.01
32,Justin Jefferson,MIN,WR,1,CIN,0,0,0,0.2,0,5.9,89.3,0.5,0,0,0,0,17.8,17.85
33,Jameis Winston,NO,QB,1,GB,256.2,1.7,1,12.9,0.1,0,0,0,0,0,0,0,17.7,17.74
34,Ben Roethlisberger,PIT,QB,1,BUF,270.6,1.9,0.9,1.1,0,0,0,0,0,0,0,0,17.5,17.53
35,Teddy Bridgewater,DEN,QB,1,NYG,243.8,1.5,0.8,14.3,0.2,0,0,0,0,0,0,0,17.5,17.48
36,DK Metcalf,SEA,WR,1,IND,0,0,0,0,0,5.4,84.7,0.6,0,0,0,0,17.5,17.47
37,Austin Ekeler,LAC,RB,1,WAS,0,0,0,51.8,0.2,5.2,41.2,0.3,0,0,0,0,17.4,17.4
38,Tyrod Taylor,HOU,QB,1,JAX,226.3,1.4,0.7,23,0.2,0,0,0,0,0,0,0,17.4,17.35
39,Carson Wentz,IND,QB,1,SEA,248.4,1.5,0.9,13,0.2,0,0,0,0,0,0,0,17.3,17.34
40,Derek Carr,LV,QB,1,BAL,262.5,1.6,0.7,6.6,0.1,0,0,0,0,0,0,0,17.3,17.26
41,Tua Tagovailoa,MIA,QB,1,NE,247.3,1.6,0.9,12.2,0.1,0,0,0,0,0,0,0,17.1,17.11
42,Zach Wilson,NYJ,QB,1,CAR,234.4,1.4,0.9,18.7,0.2,0,0,0,0,0,0,0,17,17.05
43,Aaron Jones,GB,RB,1,NO,0,0,0,69.8,0.6,3.4,25.5,0.1,0,0,0,0,17,17.03
44,Mac Jones,NE,QB,1,MIA,254.5,1.6,0.8,6.7,0.1,0,0,0,0,0,0,0,17,16.95
45,Joe Mixon,CIN,RB,1,MIN,0,0,0,71.9,0.5,3.2,22.9,0.2,0,0,0,0,16.8,16.78
46,George Kittle,SF,TE,1,DET,0,0,0,0.1,0,5.9,77.6,0.5,0,0,0,0,16.7,16.67
47,Keenan Allen,LAC,WR,1,WAS,0,0,0,0.4,0,6.5,69.9,0.5,0,0,0,0,16.5,16.53
48,Daniel Jones,NYG,QB,1,DEN,223.3,1.4,1,25.3,0.1,0,0,0,0,0,0,0,16.5,16.46
49,Darren Waller,LV,TE,1,BAL,0,0,0,0,0,6.3,72.3,0.5,0,0,0,0,16.4,16.43
50,James Robinson,JAX,RB,1,HOU,0,0,0,68.4,0.5,3,21.1,0.2,0,0,0,0,16,16.05
