Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,13,DEN,313.2,2.4,0.8,19.2,0.2,0,0,0,0,0,0,0,27.4,27.35
2,Cooper Kupp,LAR,WR,13,JAX,0,0,0,1.5,0,8.2,102.4,0.8,0,0,0,0,26.4,26.39
3,Jonathan Taylor,IND,RB,13,HOU,0,0,0,103.5,1,3,25.9,0.2,0,0,0,0,26,26.04
4,Tom Brady,TB,QB,13,ATL,319.3,2.4,0.7,1.3,0.2,0,0,0,0,0,0,0,26,26
5,Matthew Stafford,LAR,QB,13,JAX,334.5,2.3,0.7,3,0,0,0,0,0,0,0,0,25.1,25.08
6,Lamar Jackson,BAL,QB,13,PIT,244.2,1.8,0.8,63,0.3,0,0,0,0,0,0,0,24.2,24.17
7,Josh Allen,BUF,QB,13,NE,266.7,2,0.9,30.1,0.4,0,0,0,0,0,0,0,23.1,23.08
8,Dak Prescott,DAL,QB,13,NO,282.7,2.3,0.6,16.1,0.2,0,0,0,0,0,0,0,22.6,22.62
9,Justin Herbert,LAC,QB,13,CIN,282,2,0.8,19.9,0.2,0,0,0,0,0,0,0,21.6,21.57
10,Kirk Cousins,MIN,QB,13,DET,292.6,2.1,0.8,8.2,0.1,0,0,0,0,0,0,0,20.6,20.62
11,Kyler Murray,ARI,QB,13,CHI,269.1,1.8,0.6,20.2,0.2,0,0,0,0,0,0,0,20.5,20.48
12,Austin Ekeler,LAC,RB,13,CIN,0,0,0,57.1,0.5,5.1,43.1,0.4,0,0,0,0,20.4,20.42
13,Tyreek Hill,KC,WR,13,DEN,0,0,0,6.4,0.1,6.6,83.2,0.7,0,0,0,0,20.4,20.36
14,Joe Burrow,CIN,QB,13,LAC,258.1,2.1,0.7,11.4,0.2,0,0,0,0,0,0,0,20.3,20.26
15,Joe Mixon,CIN,RB,13,LAC,0,0,0,93.1,0.8,3,20.6,0.2,0,0,0,0,20.2,20.17
16,Russell Wilson,SEA,QB,13,SF,262.8,1.9,0.7,16,0.1,0,0,0,0,0,0,0,19.5,19.51
17,Derek Carr,LV,QB,13,WAS,288,1.8,0.6,8.4,0.1,0,0,0,0,0,0,0,19.5,19.46
18,Carson Wentz,IND,QB,13,HOU,256.1,1.8,0.6,14.6,0.2,0,0,0,0,0,0,0,19.4,19.4
