player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Trevor Lawrence,77632,QB,JAX,1,62.2,45,50,9.9,2.43,1,2,3.9,56.0,28,0,22,0.0,56,0,16,15,81.5,45.3,47.8,54.5,2,3,58,1,18.2,65.2,7.1,4,2,0,2,3,5,8.6,257,5.1
Joe Flacco,4332,QB,CLV,1,68.3,41,45,7.4,2.43,0,1,2.2,57.8,26,0,9,7.1,47,2,11,8,80.7,68.6,66.4,66.1,1,1,48,0,11.1,92.0,2.1,1,0,0,3,3,0,0.0,311,6.9
Patrick Mahomes,11765,QB,KC,1,73.0,37,43,6.1,2.65,1,3,6.7,58.1,25,0,17,7.4,45,2,15,16,80.0,81.3,78.3,64.4,3,1,47,0,5.9,74.9,2.2,1,1,0,2,1,0,0.0,271,6.3
Lamar Jackson,46416,QB,BLT,1,71.1,38,43,13.2,3.64,1,2,4.5,55.8,24,1,22,11.1,53,3,21,3,81.4,65.6,60.3,73.3,1,1,54,1,9.1,92.8,3.8,2,8,0,3,3,2,3.7,316,7.3
Josh Allen,46601,QB,BUF,1,69.4,36,42,8.5,3.28,0,2,4.5,54.8,23,0,23,8.0,49,2,13,4,81.6,68.5,63.1,74.2,1,1,52,0,13.0,68.8,6.1,3,4,1,4,1,2,3.8,233,5.5
Matthew Stafford,4924,QB,LA,1,67.6,37,41,10.0,2.77,0,2,4.4,56.1,23,0,24,8.0,43,2,13,26,80.2,66.2,66.7,60.0,1,0,47,1,8.3,103.1,4.7,2,0,0,3,3,1,2.1,294,7.2
Desmond Ridder,55086,QB,ATL,1,69.2,39,40,10.1,2.66,0,2,4.7,65.0,26,0,9,3.7,45,1,16,2,23.2,58.9,60.9,49.7,0,1,48,0,33.3,90.3,6.7,3,2,1,0,1,3,6.3,347,8.7
Jordan Love,40306,QB,GB,1,67.6,37,39,6.6,2.52,1,3,7.5,64.1,25,0,14,0.0,41,0,12,12,29.2,58.6,65.0,32.3,0,1,42,0,14.3,76.7,4.9,2,0,0,1,1,2,4.8,218,5.6
Gardner Minshew,41401,QB,IND,1,76.3,38,39,6.3,2.47,0,0,0.0,66.7,26,0,7,10.3,43,3,15,14,79.9,75.7,73.2,65.4,0,1,45,0,42.9,81.1,7.0,3,1,0,1,1,0,0.0,240,6.2
Dak Prescott,10769,QB,DAL,1,68.4,38,39,7.6,2.63,1,3,7.0,61.5,24,0,15,7.7,43,2,13,9,31.9,73.8,74.3,56.7,0,0,49,0,20.0,99.4,7.0,3,1,0,0,2,1,2.0,271,6.9
