player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Brandin Cooks,8655,WR,HST,1,16,0,13,16.7,0,42.9,66.7,2,3,25.0,1,1,0,36.2,58.7,1,27,0.0,0,25,3,88.0,22,21.4,7,31.8,0,39,1,0.3,13.0,1.77,0,15.7,0,100.0,,0,0,0.0,0,5,0,75.6,93.3,0,38,0.0,0,18,7,100.0,18,158.3,7,38.9,2,118,14,2.0,16.9,6.56
Antonio Brown,5718,WR,TB,1,15,0,30,7.0,2,71.4,0.0,0,1,0.0,0,3,0,73.4,89.9,0,30,0.0,0,19,5,84.2,16,147.6,7,43.8,1,78,56,11.2,15.6,4.88,0,11.9,0,75.0,,0,0,0.0,0,4,0,74.6,82.4,0,25,0.0,0,21,6,100.0,21,135.4,8,38.1,1,60,37,6.2,10.0,2.86
DeVante Parker,9447,WR,MIA,1,14,0,17,11.4,0,62.5,100.0,2,2,16.7,1,4,0,45.8,78.5,1,31,0.0,0,18,5,88.9,16,59.4,8,50.0,0,86,11,2.2,17.2,5.38,0,10.5,0,33.3,0.0,0,2,33.3,1,2,0,29.9,54.4,0,17,0.0,0,39,2,100.0,39,50.7,6,15.4,0,30,16,8.0,15.0,0.77
Tyler Lockett,9502,WR,SEA,1,14,0,29,14.0,0,50.0,,0,0,0.0,0,1,0,68.3,64.4,0,4,0.0,0,13,2,100.0,13,95.8,4,30.8,1,8,4,2.0,4.0,0.62,0,3.3,0,100.0,,0,0,0.0,0,4,0,77.3,75.5,0,26,0.0,0,26,9,100.0,26,101.9,9,34.6,0,76,46,5.1,8.4,2.92
Emmanuel Sanders,5606,WR,NO,1,13,0,20,16.0,0,0.0,0.0,0,1,100.0,1,0,0,27.9,40.4,0,0,0.0,0,4,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0,0,6.0,0,72.7,0.0,0,1,0.0,0,2,0,76.5,67.7,0,9,0.0,0,23,8,100.0,23,83.5,11,47.8,0,55,30,3.8,6.9,2.39
Darnell Mooney,48236,WR,CHI,1,13,0,6,1.0,0,100.0,,0,0,0.0,0,1,0,72.1,72.5,0,5,0.0,0,4,4,100.0,4,81.3,4,100.0,0,14,10,2.5,3.5,3.5,0,9.4,3,75.0,0.0,0,1,0.0,0,2,0,74.6,72.3,0,53,0.0,0,20,6,95.0,19,104.2,8,42.1,0,76,24,4.0,12.7,4.0
Calvin Ridley,48262,WR,ATL,1,12,0,2,2.7,0,66.7,100.0,1,1,33.3,1,0,1,29.9,33.6,0,0,0.0,0,15,2,86.7,13,70.1,3,23.1,0,-1,-2,-1.0,-0.5,-0.08,0,6.6,1,62.5,0.0,0,1,16.7,1,2,0,45.8,58.9,0,12,0.0,0,27,5,100.0,27,72.4,8,29.6,0,35,13,2.6,7.0,1.3
Justin Jefferson,61398,WR,MIN,1,12,0,18,7.6,1,60.0,,0,0,0.0,0,2,0,70.5,72.9,0,14,0.0,0,21,3,90.5,19,81.3,5,26.3,0,35,6,2.0,11.7,1.84,0,10.1,2,85.7,0.0,0,1,0.0,0,4,1,74.6,73.5,0,38,0.0,0,20,6,90.0,18,118.8,7,38.9,0,98,40,6.7,16.3,5.44
Lynn Bowden,61361,WR,MIA,1,11,0,17,8.3,1,33.3,0.0,0,1,0.0,0,0,0,64.7,51.9,1,3,0.0,0,18,1,88.9,16,2.8,3,18.8,0,3,7,7.0,3.0,0.19,0,3.1,2,87.5,0.0,0,1,0.0,0,3,0,75.6,58.3,0,10,0.0,0,40,7,100.0,40,88.0,8,20.0,0,41,19,2.7,5.9,1.03
Marvin Jones Jr.,7158,WR,DET,1,11,0,11,14.5,0,50.0,,0,0,0.0,0,1,0,64.7,66.6,1,16,0.0,0,9,1,88.9,8,37.5,2,25.0,0,16,0,0.0,16.0,2.0,0,18.4,0,77.8,0.0,0,1,0.0,0,6,0,75.6,90.4,0,43,0.0,0,25,7,92.0,23,158.3,9,39.1,2,164,40,5.7,23.4,7.13
Chase Claypool,42312,WR,PIT,1,11,0,25,25.3,0,33.3,100.0,1,1,0.0,0,1,0,64.7,73.7,0,28,0.0,0,9,1,88.9,8,108.3,3,37.5,1,28,0,0.0,28.0,3.5,0,17.5,1,50.0,33.3,1,3,0.0,0,4,0,72.1,86.8,0,41,0.0,0,18,4,100.0,18,81.8,8,44.4,0,73,14,3.5,18.3,4.06
