player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Darren Waller,9637,TE,LV,1,16,0,23,7.5,2,62.5,,0,0,0.0,0,3,0,73.4,89.8,0,38,11.5,3,26,5,76.9,20,140.6,8,40.0,1,90,73,14.6,18.0,4.5,0,10.1,0,100.0,100.0,2,2,0.0,0,6,0,76.5,91.8,0,29,7.7,2,26,8,88.5,23,158.3,8,34.8,1,110,33,4.1,13.8,4.78
DeAndre Hopkins,7808,WR,ARZ,1,13,0,1,5.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,78.1,0,4,0.0,0,1,1,100.0,1,122.9,1,100.0,1,4,0,0.0,4.0,4.0,0,5.3,1,63.6,50.0,2,4,0.0,0,4,0,75.6,62.5,0,10,0.0,0,40,7,95.0,38,73.3,11,28.9,0,48,21,3.0,6.9,1.26
Corey Davis,11760,WR,TEN,1,12,0,31,23.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,73.6,0,17,0.0,0,9,1,66.7,6,158.3,1,16.7,1,17,0,0.0,17.0,2.83,0,11.5,1,90.9,0.0,0,1,0.0,0,7,0,78.7,90.7,0,43,0.0,0,32,10,93.8,30,118.8,11,36.7,0,165,51,5.1,16.5,5.5
Diontae Johnson,33441,WR,PIT,1,12,0,25,4.8,1,60.0,50.0,1,2,25.0,1,1,0,36.2,61.7,0,8,0.0,0,16,3,93.8,15,104.2,5,33.3,1,13,13,4.3,4.3,0.87,0,6.9,1,71.4,,0,0,28.6,2,3,0,29.2,62.8,0,17,0.0,0,29,5,96.6,28,96.1,7,25.0,0,58,16,3.2,11.6,2.07
Travis Kelce,7844,TE,KC,1,12,0,16,14.7,1,66.7,0.0,0,1,0.0,0,1,0,68.3,74.8,0,28,7.1,1,14,2,85.7,12,109.0,3,25.0,0,37,19,9.5,18.5,3.08,0,13.1,2,66.7,0.0,0,1,14.3,1,6,0,49.2,91.5,0,20,13.6,3,22,6,86.4,19,140.5,9,47.4,1,99,35,5.8,16.5,5.21
Marvin Jones Jr.,7158,WR,DET,1,12,0,11,,0,,,0,0,,0,0,0,,55.3,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0,0,20.0,0,70.0,100.0,1,1,0.0,0,4,0,75.6,79.9,0,25,0.0,0,31,7,96.8,30,135.8,10,33.3,1,101,5,0.7,14.4,3.37
Davante Adams,8688,WR,GB,1,12,0,12,7.6,0,71.4,50.0,2,4,0.0,0,4,0,73.4,81.6,0,24,0.0,0,16,5,100.0,16,131.5,7,43.8,1,51,24,4.8,10.2,3.19,0,10.6,0,100.0,100.0,1,1,0.0,0,3,0,73.4,81.2,0,42,0.0,0,18,5,100.0,18,158.3,5,27.8,1,70,17,3.4,14.0,3.89
Cole Beasley,7330,WR,BUF,1,11,0,4,7.0,0,50.0,50.0,1,2,0.0,0,1,0,68.3,62.4,0,5,0.0,0,15,1,73.3,11,95.8,2,18.2,1,5,0,0.0,5.0,0.45,0,11.6,0,88.9,100.0,1,1,0.0,0,8,0,76.5,91.6,0,35,0.0,0,23,8,95.7,22,118.8,9,40.9,0,125,27,3.4,15.6,5.68
Michael Gallup,26075,WR,DAL,1,11,0,9,19.0,0,50.0,100.0,1,1,0.0,0,2,0,68.3,74.2,0,13,0.0,0,16,2,93.8,15,108.3,4,26.7,1,24,0,0.0,12.0,1.6,0,12.0,0,71.4,,0,0,0.0,0,4,0,73.4,68.4,0,28,0.0,0,29,5,100.0,29,98.5,7,24.1,0,62,24,4.8,12.4,2.14
Adam Thielen,8288,WR,MIN,1,11,0,18,28.0,0,0.0,0.0,0,1,,0,0,0,,53.7,0,0,0.0,0,13,0,92.3,12,39.6,1,8.3,0,0,0,,,0.0,0,9.1,1,77.8,50.0,1,2,0.0,0,4,0,76.5,79.5,0,14,0.0,0,36,7,88.9,32,100.0,9,28.1,0,72,20,2.9,10.3,2.25
