player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Cooper Kupp,11824,WR,LA,1,19,0,26,9.8,1,45.5,100.0,1,1,16.7,1,3,0,45.8,56.9,1,22,0.0,0,36,5,97.2,35,24.1,11,31.4,0,58,30,6.0,11.6,1.66,0,3.0,3,83.3,,0,0,0.0,0,1,0,74.6,78.2,0,14,0.0,0,21,5,95.2,20,96.5,6,30.0,0,43,24,4.8,8.6,2.15
D.K. Metcalf,47864,WR,SEA,1,15,0,29,12.2,0,60.0,50.0,1,2,0.0,0,3,0,70.5,85.1,0,9,0.0,0,12,3,91.7,11,106.7,5,45.5,1,18,3,1.0,6.0,1.64,0,9.1,1,90.0,0.0,0,1,0.0,0,5,0,77.3,91.5,0,46,0.0,0,24,9,100.0,24,152.1,10,41.7,1,143,60,6.7,15.9,5.96
Alvin Kamara,11822,HB,NO,1,12,0,20,2.5,0,50.0,,0,0,33.3,1,1,0,29.9,58.6,0,13,9.1,1,11,2,81.8,9,56.3,4,44.4,0,10,11,5.5,5.0,1.11,0,-0.5,0,87.5,100.0,1,1,12.5,1,3,0,52.1,68.9,0,47,7.4,2,27,7,88.9,24,111.5,8,33.3,0,86,83,11.9,12.3,3.58
Michael Gallup,26075,WR,DAL,1,12,0,9,9.0,0,40.0,,0,0,0.0,0,2,0,68.3,77.3,0,10,0.0,0,8,2,100.0,8,48.8,5,62.5,0,16,17,8.5,8.0,2.0,0,5.6,1,71.4,,0,0,16.7,1,2,0,45.8,63.5,0,14,0.0,0,32,5,96.9,31,88.4,7,22.6,0,45,33,6.6,9.0,1.45
Davante Adams,8688,WR,GB,1,11,0,12,13.0,0,100.0,100.0,1,1,0.0,0,2,0,68.3,89.9,0,14,0.0,0,6,2,100.0,6,150.0,2,33.3,1,21,3,1.5,10.5,3.5,0,16.0,0,42.9,50.0,1,2,0.0,0,2,0,70.5,59.8,0,15,0.0,0,39,3,84.6,33,53.3,7,21.2,0,26,10,3.3,8.7,0.79
Keenan Allen,7857,WR,LAC,1,11,0,27,6.7,0,83.3,100.0,2,2,0.0,0,4,0,73.4,78.8,0,22,0.0,0,19,5,100.0,19,98.6,6,31.6,0,46,10,2.0,9.2,2.42,0,1.8,0,75.0,0.0,0,1,0.0,0,0,0,70.5,54.1,0,5,0.0,0,27,3,92.6,25,77.1,4,16.0,0,12,11,3.7,4.0,0.48
Anthony Miller,48160,WR,CHI,1,11,0,6,7.2,0,80.0,,0,0,0.0,0,2,0,72.1,77.3,0,15,0.0,0,15,4,100.0,15,102.5,5,33.3,0,43,15,3.8,10.8,2.87,0,5.3,1,66.7,,0,0,20.0,1,1,0,41.6,55.9,0,16,0.0,0,22,4,100.0,22,78.5,6,27.3,0,30,5,1.3,7.5,1.36
Julio Jones,6158,WR,ATL,1,10,0,2,19.0,0,0.0,0.0,0,2,100.0,1,0,0,28.0,45.8,0,0,0.0,0,14,0,85.7,12,39.6,3,25.0,0,0,0,,,0.0,0,15.4,2,100.0,,0,0,0.0,0,7,0,75.6,92.9,0,28,0.0,0,20,7,100.0,20,118.8,7,35.0,0,137,29,4.1,19.6,6.85
Brandon Aiyuk,84109,WR,SF,1,10,0,28,1.0,0,100.0,,0,0,0.0,0,0,0,68.3,73.8,0,9,0.0,0,12,2,91.7,11,104.2,2,18.2,0,18,16,8.0,9.0,1.64,0,12.7,0,71.4,33.3,1,3,0.0,0,3,0,73.4,70.7,0,33,0.0,0,32,5,96.9,31,103.3,7,22.6,0,70,8,1.6,14.0,2.26
Jarvis Landry,8698,WR,CLV,1,10,0,8,19.7,0,33.3,50.0,1,2,0.0,0,1,0,64.7,68.4,0,25,0.0,0,8,1,87.5,7,64.6,3,42.9,0,25,6,6.0,25.0,3.57,0,6.0,1,42.9,,0,0,40.0,2,1,0,28.0,54.8,0,19,0.0,0,16,3,100.0,16,53.9,7,43.8,0,27,22,7.3,9.0,1.69
