player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
DJ Chark Jr.,47702,WR,JAX,1,14,0,15,9.8,0,40.0,0.0,0,2,0.0,0,1,0,68.3,63.0,0,10,0.0,0,14,2,92.9,13,47.9,5,38.5,0,10,4,2.0,5.0,0.77,0,16.9,0,55.6,0.0,0,3,0.0,0,2,0,73.4,64.6,1,14,0.0,0,28,5,100.0,28,25.0,9,32.1,0,35,5,1.0,7.0,1.25
Jamison Crowder,9538,WR,NYJ,1,13,0,22,7.9,0,71.4,50.0,1,2,0.0,0,2,0,73.4,69.9,0,13,0.0,0,27,5,96.3,26,84.8,7,26.9,0,39,14,2.8,7.8,1.5,0,7.2,0,33.3,0.0,0,1,0.0,0,0,0,68.3,50.1,0,8,0.0,0,16,2,100.0,16,42.4,6,37.5,0,9,6,3.0,4.5,0.56
Will Fuller V,10655,WR,HST,1,11,0,13,23.3,0,33.3,0.0,0,1,0.0,0,1,0,64.7,64.0,0,17,0.0,0,11,1,81.8,9,53.5,3,33.3,0,17,4,4.0,17.0,1.89,0,14.1,2,71.4,,0,0,0.0,0,4,0,73.4,84.0,0,53,0.0,0,24,5,100.0,24,153.3,7,29.2,1,106,28,5.6,21.2,4.42
Justin Jefferson,61398,WR,MIN,1,11,0,18,10.5,0,100.0,100.0,2,2,0.0,0,3,0,72.1,89.7,0,35,0.0,0,14,4,85.7,12,118.8,4,33.3,0,58,16,4.0,14.5,4.83,0,14.9,1,71.4,100.0,1,1,0.0,0,3,0,73.4,90.3,2,49,0.0,0,23,5,87.0,20,113.7,7,35.0,2,108,39,7.8,21.6,5.4
Terry McLaurin,48229,WR,WAS,1,11,0,32,,0,,,0,0,,0,0,0,,52.7,0,0,0.0,0,7,0,71.4,5,0.0,0,0.0,0,0,0,,,0.0,0,11.4,1,55.6,,0,0,0.0,0,4,0,73.4,74.7,1,20,0.0,0,35,5,100.0,35,38.4,9,25.7,0,64,39,7.8,12.8,1.83
A.J. Green,6156,WR,CIN,1,11,0,7,10.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,73.2,0,10,0.0,0,4,1,100.0,4,108.3,1,25.0,0,10,0,0.0,10.0,2.5,0,13.4,1,70.0,25.0,1,4,0.0,0,6,0,75.6,84.5,0,19,0.0,0,31,7,100.0,31,96.2,10,32.3,0,86,17,2.4,12.3,2.77
CeeDee Lamb,61570,WR,DAL,1,10,0,9,9.5,1,50.0,0.0,0,1,0.0,0,1,0,68.3,60.7,1,11,0.0,0,16,2,93.8,15,16.7,4,26.7,0,9,13,6.5,4.5,0.6,0,6.0,2,83.3,100.0,1,1,16.7,1,3,0,29.2,62.3,0,27,0.0,0,31,5,87.1,27,104.9,6,22.2,0,55,23,4.6,11.0,2.04
Davante Adams,8688,WR,GB,1,10,0,12,6.2,0,60.0,0.0,0,1,0.0,0,3,0,70.5,77.2,1,13,0.0,0,10,3,100.0,10,36.7,5,50.0,0,29,18,6.0,9.7,2.9,0,8.0,0,60.0,0.0,0,1,0.0,0,1,0,70.5,60.2,1,18,0.0,0,27,3,96.3,26,39.2,5,19.2,0,32,7,2.3,10.7,1.23
George Kittle,11901,TE,SF,1,10,0,28,11.5,0,50.0,0.0,0,1,0.0,0,1,0,64.7,84.2,0,44,20.0,1,5,1,60.0,3,135.4,2,66.7,1,44,33,33.0,44.0,14.67,0,5.4,1,75.0,,0,0,25.0,2,6,0,29.8,59.2,0,18,14.3,4,28,6,85.7,24,98.4,8,33.3,0,65,39,6.5,10.8,2.71
DJ Moore,48267,WR,CAR,1,10,0,5,19.3,0,50.0,100.0,1,1,50.0,2,2,0,29.9,73.7,0,38,0.0,0,8,2,87.5,7,95.8,4,57.1,0,50,5,2.5,25.0,7.14,0,8.0,1,50.0,0.0,0,1,25.0,1,2,0,36.2,57.9,1,22,0.0,0,31,3,90.3,28,34.0,6,21.4,0,43,30,10.0,14.3,1.54
