player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Tyler Lockett,9502,WR,SEA,1,20,0,29,7.3,2,75.0,66.7,2,3,14.3,1,5,0,49.2,89.9,0,16,0.0,0,21,6,100.0,21,131.8,8,38.1,2,53,22,3.7,8.8,2.52,0,17.5,0,72.7,66.7,2,3,11.1,1,6,0,54.5,85.9,1,47,0.0,0,34,8,94.1,32,107.2,11,34.4,1,139,8,1.0,17.4,4.34
Diontae Johnson,33441,WR,PIT,1,15,0,25,4.8,1,77.8,,0,0,0.0,0,6,0,75.6,89.0,1,14,0.0,0,20,7,95.0,19,97.7,9,47.4,2,67,42,6.0,9.6,3.53,0,12.3,0,33.3,,0,0,33.3,1,0,0,29.9,47.2,1,7,0.0,0,25,2,96.0,24,2.8,6,25.0,0,13,8,4.0,6.5,0.54
Davante Adams,8688,WR,GB,1,14,0,12,9.4,0,90.0,100.0,1,1,0.0,0,8,0,77.3,94.4,0,45,0.0,0,19,9,94.7,18,158.3,10,55.6,2,161,78,8.7,17.9,8.94,0,4.0,0,100.0,,0,0,0.0,0,2,0,72.1,77.9,0,15,0.0,0,14,4,100.0,14,103.1,4,28.6,0,35,19,4.8,8.8,2.5
A.J. Green,6156,WR,CIN,1,13,0,7,15.2,0,50.0,66.7,2,3,0.0,0,2,0,70.5,78.7,0,22,0.0,0,11,3,100.0,11,73.6,6,54.5,0,43,4,1.3,14.3,3.91,0,15.1,1,57.1,25.0,1,4,0.0,0,3,0,72.1,67.0,0,13,0.0,0,32,4,96.9,31,72.9,7,22.6,0,39,15,3.8,9.8,1.26
JuJu Smith-Schuster,11817,WR,PIT,1,13,0,25,8.0,0,80.0,,0,0,0.0,0,2,0,72.1,70.7,0,21,0.0,0,21,4,95.2,20,95.0,5,25.0,0,34,7,1.8,8.5,1.7,0,8.9,0,62.5,0.0,0,3,0.0,0,3,0,73.4,65.5,1,28,0.0,0,28,5,96.4,27,41.1,8,29.6,0,51,24,4.8,10.2,1.89
Keenan Allen,7857,WR,LAC,1,13,0,27,9.0,1,66.7,100.0,1,1,0.0,0,4,0,72.1,83.9,0,26,0.0,0,20,4,90.0,18,95.1,6,33.3,0,54,18,4.5,13.5,3.0,0,7.1,3,85.7,,0,0,0.0,0,3,0,74.6,79.9,0,27,4.0,1,25,6,96.0,24,108.9,7,29.2,0,71,39,6.5,11.8,2.96
Tyler Boyd,10689,WR,CIN,1,13,0,7,5.0,0,50.0,,0,0,0.0,0,1,0,64.7,63.1,1,14,0.0,0,11,1,90.9,10,33.3,2,20.0,0,14,12,12.0,14.0,1.4,0,6.6,2,88.9,,0,0,0.0,0,4,0,76.5,75.4,0,16,0.0,0,35,8,94.3,33,99.5,9,27.3,0,71,31,3.9,8.9,2.15
Cole Beasley,7330,WR,BUF,1,12,0,4,29.0,0,0.0,,0,0,,0,0,0,,56.1,0,0,0.0,0,5,0,100.0,5,39.6,1,20.0,0,0,0,,,0.0,0,3.9,0,100.0,100.0,1,1,0.0,0,4,0,77.3,81.6,0,23,0.0,0,34,9,97.1,33,112.0,9,27.3,0,98,63,7.0,10.9,2.97
Stefon Diggs,9579,WR,BUF,1,11,0,4,18.0,0,0.0,,0,0,100.0,1,0,0,28.0,41.9,0,0,0.0,0,5,0,100.0,5,39.6,1,20.0,0,0,0,,,0.0,0,10.7,1,55.6,0.0,0,1,0.0,0,3,0,73.4,66.3,0,12,0.0,0,38,5,97.4,37,68.3,9,24.3,0,43,7,1.4,8.6,1.16
Travis Fulgham,48023,WR,PHI,1,11,0,24,7.7,0,66.7,,0,0,0.0,0,1,0,68.3,72.4,0,16,0.0,0,12,2,75.0,9,81.3,3,33.3,0,17,5,2.5,8.5,1.89,0,14.8,0,50.0,0.0,0,1,25.0,1,2,0,36.8,61.2,0,40,0.0,0,34,3,97.1,33,82.6,6,18.2,0,56,19,6.3,18.7,1.7
Terry McLaurin,48229,WR,WAS,1,11,0,32,7.3,0,50.0,50.0,1,2,0.0,0,1,0,68.3,66.1,0,13,0.0,0,10,2,90.0,9,62.5,4,44.4,0,18,7,3.5,9.0,2.0,0,13.4,0,80.0,100.0,1,1,0.0,0,1,0,72.1,69.3,0,52,0.0,0,15,4,100.0,15,158.3,5,33.3,1,71,26,6.5,17.8,4.73
DeAndre Hopkins,7808,WR,ARZ,1,11,0,1,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,11.5,1,90.9,100.0,3,3,0.0,0,5,1,78.0,69.3,0,35,0.0,0,46,10,95.7,44,136.0,11,25.0,1,103,21,2.1,10.3,2.34
Tyreek Hill,10799,WR,KC,1,10,0,16,2.3,1,66.7,,0,0,0.0,0,2,0,68.3,78.8,0,10,0.0,0,7,2,100.0,7,120.8,3,42.9,1,17,20,10.0,8.5,2.43,0,14.0,1,57.1,,0,0,20.0,1,1,0,41.6,56.9,0,15,0.0,0,17,4,100.0,17,72.3,7,41.2,0,38,14,3.5,9.5,2.24
Corey Davis,11760,WR,TEN,1,10,0,31,15.0,0,66.7,,0,0,0.0,0,0,0,68.3,55.5,0,7,0.0,0,12,2,91.7,11,75.7,3,27.3,0,13,1,0.5,6.5,1.18,0,8.2,0,50.0,100.0,1,1,0.0,0,1,0,70.5,60.9,0,7,0.0,0,20,3,100.0,20,56.3,6,30.0,0,18,3,1.0,6.0,0.9
Randall Cobb,6216,WR,HST,1,10,0,13,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,8.6,1,88.9,0.0,0,1,0.0,0,3,0,76.5,75.5,0,28,0.0,0,32,8,90.6,29,110.6,9,31.0,0,95,23,2.9,11.9,3.28
