player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Justin Herbert,28237,QB,LAC,1,72.9,48,52,7.0,2.34,1,0,0.0,59.6,31,0,25,11.4,55,4,16,27,24.5,62.7,63.0,55.3,2,1,59,0,12.0,75.5,5.5,3,0,0,1,1,4,6.8,316,6.1
Ben Roethlisberger,1732,QB,PIT,1,85.4,48,51,5.3,2.11,0,3,5.8,70.6,36,0,6,12.2,51,5,16,25,80.8,76.0,74.6,60.0,2,1,52,0,0.0,81.0,0.0,0,0,0,1,1,1,1.9,266,5.2
Patrick Mahomes,11765,QB,KC,1,84.1,44,49,10.1,2.53,0,8,14.8,75.5,37,0,18,0.0,53,0,21,16,39.2,90.1,86.4,74.5,1,0,58,0,11.1,124.7,3.8,2,2,0,4,3,2,3.4,462,9.4
Mitchell Trubisky,11757,QB,CHI,1,62.8,43,46,9.6,2.52,0,0,0.0,56.5,26,0,14,3.7,50,1,20,6,19.6,44.1,46.5,49.1,0,2,53,0,21.4,74.7,6.0,3,1,0,3,3,5,9.4,242,5.3
Kirk Cousins,7102,QB,MIN,1,85.4,41,45,8.6,2.51,1,3,6.5,75.6,34,0,19,2.9,49,1,20,18,32.3,84.6,85.2,68.0,0,0,51,3,10.5,115.7,4.1,2,2,1,2,3,2,3.9,307,6.8
Carson Wentz,10636,QB,PHI,1,71.8,39,45,7.8,2.68,1,0,0.0,55.6,25,0,21,10.7,54,3,12,24,81.6,57.0,51.6,78.5,1,1,58,0,28.6,73.8,11.1,6,3,1,3,2,1,1.7,215,4.8
Matthew Stafford,4924,QB,DET,1,80.0,40,42,7.7,2.65,1,0,0.0,66.7,28,0,12,12.5,47,4,18,11,32.0,68.5,66.8,62.6,0,1,52,0,33.3,84.9,8.5,4,1,0,1,1,1,1.9,295,7.0
Philip Rivers,1725,QB,IND,1,71.8,39,42,7.5,2.42,0,4,8.3,57.1,24,0,13,14.3,43,4,17,14,80.3,58.1,57.8,,0,1,49,0,7.7,84.9,2.3,1,0,0,3,2,2,4.1,295,7.0
Tom Brady,698,QB,TB,1,65.9,41,41,9.6,2.09,0,3,6.8,65.9,27,0,11,0.0,42,0,14,30,79.9,74.5,73.1,60.0,0,2,45,0,9.1,96.1,2.4,1,0,0,0,3,1,2.2,345,8.4
Matt Ryan,4317,QB,ATL,1,75.0,32,39,6.8,2.72,1,1,2.3,56.4,22,0,16,8.3,41,2,13,2,79.8,70.4,70.1,58.3,0,1,45,0,6.3,75.3,2.4,1,1,0,6,2,1,2.2,185,4.7
