"offPlayer","offTeam","offHeightInches","offWeight","offSpeed","offLeft","offSlot","offRight","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","defPlayer","defTeam","defHeightInches","defWeight","defSpeed","defLeft","defSlot","defRight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade","advantage","expectedSnaps"
"Brandon Aiyuk","SF","72","200","4.5","39","27","34","289","21","0.43","73","1.96","81.2","All Defenders","ARZ","","","","","","","","","","","","","93.67088955","39.71871733"
"Brandon Aiyuk","SF","72","200","4.5","39","27","34","289","21","0.43","73","1.96","81.2","Marco Wilson","ARZ","71","187","","30","6","60","374","14","0.23","61","1.1","45.6","100","16.14793754"
"Brandon Aiyuk","SF","72","200","4.5","39","27","34","289","21","0.43","73","1.96","81.2","Trayvon Mullen","ARZ","74","200","4.46","59","","41","37","8","0.23","100","1.46","51.1","100","13.06593871"
"Brandon Aiyuk","SF","72","200","4.5","39","27","34","289","21","0.43","73","1.96","81.2","Antonio Hamilton","ARZ","72","188","","50","17","31","121","22","0.35","63","1.6","84.1","70.82617151","10.46143265"
"Tyler Boyd","CIN","74","203","4.58","10","82","8","341","14","0.34","77","1.57","75.2","All Defenders","PIT","","","","","","","","","","","","","90.21107608","41.49044295"
"Tyler Boyd","CIN","74","203","4.58","10","82","8","341","14","0.34","77","1.57","75.2","Cameron Sutton","PIT","71","188","4.52","1","23","70","287","12","0.22","57","0.86","75.6","63.73557247","2.816583594"
"Tyler Boyd","CIN","74","203","4.58","10","82","8","341","14","0.34","77","1.57","75.2","Levi Wallace","PIT","72","179","4.63","62","5","31","202","21","0.36","57","1.79","54","85.51433354","2.527703226"
"Tyler Boyd","CIN","74","203","4.58","10","82","8","341","14","0.34","77","1.57","75.2","Arthur Maulet","PIT","70","190","4.62","1","89","","201","12","0.24","76","1.49","55.9","81.83194859","36.07393604"
"Davante Adams","LV","73","215","4.56","40","29","30","332","28","0.54","61","2.32","85.4","All Defenders","DEN","","","","","","","","","","","","","90","39.43270863"
"Davante Adams","LV","73","215","4.56","40","29","30","332","28","0.54","61","2.32","85.4","Damarri Mathis","DEN","71","195","4.39","48","","48","222","18","0.3","72","1.41","57.9","90","14.57720547"
"Davante Adams","LV","73","215","4.56","40","29","30","332","28","0.54","61","2.32","85.4","Patrick Surtain II","DEN","74","202","","39","1","58","331","12","0.12","56","0.48","87.4","94.56281534","11.607051"
"Davante Adams","LV","73","215","4.56","40","29","30","332","28","0.54","61","2.32","85.4","Essang Bassey","DEN","70","190","4.46","","58","","48","10","0.12","60","0.54","62.8","90","13.13120922"
"Deebo Samuel","SF","72","215","4.48","29","28","31","242","22","0.36","61","1.69","67.3","All Defenders","ARZ","","","","","","","","","","","","","89.14718202","39.71871733"
"Deebo Samuel","SF","72","215","4.48","29","28","31","242","22","0.36","61","1.69","67.3","Marco Wilson","ARZ","71","187","","30","6","60","374","14","0.23","61","1.1","45.6","100","11.76850884"
"Deebo Samuel","SF","72","215","4.48","29","28","31","242","22","0.36","61","1.69","67.3","Trayvon Mullen","ARZ","74","200","4.46","59","","41","37","8","0.23","100","1.46","51.1","100","13.56136761"
"Deebo Samuel","SF","72","215","4.48","29","28","31","242","22","0.36","61","1.69","67.3","Antonio Hamilton","ARZ","72","188","","50","17","31","121","22","0.35","63","1.6","84.1","70.7681764","11.86045031"
"Stefon Diggs","BUF","72","191","4.46","29","39","31","341","28","0.62","75","2.89","91","All Defenders","CLV","","","","","","","","","","","","","88.68543651","41.73904219"
"Stefon Diggs","BUF","72","191","4.46","29","39","31","341","28","0.62","75","2.89","91","Denzel Ward","CLV","71","190","4.32","46","1","44","181","17","0.32","67","1.78","45.5","92.1448107","14.12590447"
