"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Josh Allen",BUF,"vs. DEN","8.0","A+","23.6","-0.4","47% (8/17)","8%","Good"
"2","Joe Burrow",CIN,"vs. HOU","6.2","A","20.8","-0.7","46% (7/15)","1%","Bad"
"3","Dak Prescott",DAL,"vs. NYG","8.4","A","19.9","+1.7","56% (9/16)","2%","Bad"
"4","Lamar Jackson",BAL,"vs. CLE","5.4","A","18.7","-3.3","41% (5/12)","9%","Average"
"5","Justin Herbert",LAC,"vs. DET","7.6","A","18.2","-0.8","56% (9/16)","6%","Average"
"6","Jared Goff",DET,"at LAC","9.2","A","17.8","+2.3","56% (9/16)","5%","Great"
"7","Brock Purdy",SF,"at JAC","4.0","B+","17.4","+1.6","60% (9/15)","5%","Good"
"8","Geno Smith",SEA,"vs. WAS","7.0","B","17.1","-1.7","40% (6/15)","2%","Bad"
"9","C.J. Stroud",HOU,"at CIN","4.6","B","16.9","+4.3","50% (4/8)","5%","Good"
"10","Trevor Lawrence",JAC,"vs. SF","5.8","B","16.6","+0.9","40% (6/15)","5%","Average"
"11","Sam Howell",WAS,"at SEA","4.2","B","16.4","+2.9","66% (6/9)","1%","Poor"
"12","Kyler Murray",ARI,"vs. ATL","5.6","B-","16.2","-6.6","50% (1/2)","0%","N/A"
"13","Baker Mayfield",TB,"vs. TEN","6.8","C+","15.9","+0.6","53% (8/15)","4%","Average"
"14","Russell Wilson",DEN,"at BUF","5.6","C+","15.7","+0.2","46% (7/15)","5%","Good"
"15","Joshua Dobbs",MIN,"vs. NO","3.6","C","15.4","+1.4","46% (6/13)","5%","Average"
"16","Derek Carr",NO,"at MIN","5.2","C","15.1","-0.5","62% (10/16)","1%","Bad"
"17","Taylor Heinicke",ATL,"at ARI","9.9","C","14.9","-1.8","20% (2/10)","0%","Great"
"18","Will Levis",TEN,"at TB","6.6","C-","14.7","+3.8","33% (1/3)","7%","Good"
"19","Gardner Minshew II",IND,"at NE","5.4","D+","14.6","+1.5","28% (4/14)","4%","Average"
"20","Mac Jones",NE,"vs. IND","6.8","D","14.4","-0.9","31% (5/16)","0%","Poor"
"21","Jordan Love",GB,"at PIT","3.6","D","14.3","+1.6","46% (6/13)","3%","Average"
"22","Deshaun Watson",CLE,"at BAL","1.8","D","14.0","-2.4","50% (5/10)","2%","Great"
"23","Tyson Bagent",CHI,"vs. CAR","3.4","D","13.8","+2.7","66% (2/3)","12%","Bad"
"24","Bryce Young",CAR,"at CHI","9.9","D-","13.5","-1.3","28% (2/7)","2%","Bad"
"25","Kenny Pickett",PIT,"vs. GB","8.4","F","13.1","-3.1","26% (4/15)","4%","Bad"
"26","Zach Wilson",NYJ,"at LV","7.2","F","12.6","-3.0","20% (2/10)","2%","Bad"
"27","Aidan O'Connell",LV,"vs. NYJ","2.6","F","12.1","-4.4","0% (0/2)","12%","Bad"
"28","Tommy DeVito",NYG,"at DAL","3.6","F","11.5","-","-","2%","Great"
"29","Malik Willis",TEN,"at TB","6.8","F","0.0","-1.0","10% (1/10)","2%","Bad"
"30","Desmond Ridder",ATL,"at ARI","9.9","F","0.0","-1.3","28% (4/14)","8%","Poor"
"31","Clayton Tune",ARI,"vs. ATL","6.2","F","0.0","-3.0","0% (0/4)","0%","Bad"
"32","P.J. Walker",CLE,"at BAL","2.0","F","0.0","-2.4","16% (1/6)","1%","Bad"
"33","Mitch Trubisky",PIT,"vs. GB","8.8","F","0.0","+1.1","22% (2/9)","0%","Great"
"34","Jimmy Garoppolo",LV,"vs. NYJ","4.0","F","0.0","-1.2","33% (3/9)","4%","Average"
