"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Jalen Hurts",PHI,"at WAS","4 out of 5 stars","6.8","A+","23.2","+2.8","73% (11/15)","24%","Good"
"2","Patrick Mahomes II",KC,"at DEN","5 out of 5 stars","9.4","A","22.9","-0.2","47% (8/17)","7%","Average"
"3","Lamar Jackson",BAL,"at ARI","5 out of 5 stars","9.9","A","21.9","-2.0","41% (5/12)","11%","Average"
"4","Josh Allen",BUF,"vs. TB","2 out of 5 stars","4.4","A-","21.1","-1.4","41% (7/17)","8%","Good"
"5","Justin Herbert",LAC,"vs. CHI","5 out of 5 stars","9.4","A-","20.0","-2.3","50% (8/16)","8%","Average"
"6","Tua Tagovailoa",MIA,"vs. NE","4 out of 5 stars","7.8","B+","18.9","+0.4","46% (7/15)","2%","Average"
"7","Jared Goff",DET,"vs. LV","3 out of 5 stars","6.2","B+","18.0","+2.3","58% (10/17)","6%","Great"
"8","Trevor Lawrence",JAC,"at PIT","2 out of 5 stars","4.4","B","17.5","+0.5","37% (6/16)","5%","Average"
"9","C.J. Stroud",HOU,"at CAR","2 out of 5 stars","3.8","B","17.0","+2.1","50% (3/6)","5%","Average"
"10","Dak Prescott",DAL,"vs. LAR","2 out of 5 stars","4.4","B","16.8","+1.0","53% (8/15)","1%","Bad"
"11","Joe Burrow",CIN,"at SF","2 out of 5 stars","3.4","B-","16.5","-2.0","33% (5/15)","0%","Bad"
"12","Kirk Cousins",MIN,"at GB","3 out of 5 stars","6.2","B","16.3","+1.6","58% (10/17)","4%","Average"
"13","Russell Wilson",DEN,"vs. KC","2 out of 5 stars","4.4","C+","16.1","+0.1","40% (6/15)","4%","Good"
"14","Matthew Stafford",LAR,"at DAL","2 out of 5 stars","2.6","C","15.8","-0.4","60% (6/10)","3%","Bad"
"15","Derek Carr",NO,"at IND","3 out of 5 stars","5.6","C","15.5","-1.6","56% (9/16)","1%","Bad"
"16","Sam Howell",WAS,"vs. PHI","4 out of 5 stars","8.0","D+","15.4","+0.7","44% (4/9)","1%","Bad"
"17","Jordan Love",GB,"vs. MIN","3 out of 5 stars","6.4","C-","15.1","+1.5","38% (5/13)","4%","Good"
"18","Brock Purdy",SF,"vs. CIN","3 out of 5 stars","6.4","D","14.9","+1.4","57% (8/14)","6%","Good"
"19","Gardner Minshew II",IND,"vs. NO","2 out of 5 stars","2.8","D","14.8","+1.7","21% (3/14)","3%","Average"
"20","Geno Smith",SEA,"vs. CLE","3 out of 5 stars","5.4","D","14.6","-0.8","46% (7/15)","1%","Bad"
"21","Kenny Pickett",PIT,"vs. JAC","3 out of 5 stars","6.8","D","14.5","-2.7","28% (4/14)","7%","Average"
"22","Bryce Young",CAR,"vs. HOU","3 out of 5 stars","6.2","D","14.3","-1.6","20% (1/5)","0%","Bad"
"23","Desmond Ridder",ATL,"at TEN","4 out of 5 stars","7.8","D-","14.2","-0.6","26% (4/15)","9%","Poor"
"24","Baker Mayfield",TB,"at BUF","2 out of 5 stars","3.6","D-","14.0","+0.8","46% (7/15)","2%","Average"
"25","Jimmy Garoppolo",LV,"at DET","4 out of 5 stars","7.6","F","13.9","+0.3","44% (4/9)","4%","Good"
"26","Mac Jones",NE,"at MIA","4 out of 5 stars","8.2","F","13.8","-1.1","31% (5/16)","0%","Bad"
"27","Joshua Dobbs",ARI,"vs. BAL","2 out of 5 stars","3.4","F","13.7","+0.6","41% (5/12)","3%","Poor"
"28","Tyrod Taylor",NYG,"vs. NYJ","2 out of 5 stars","4.0","F","13.5","+0.7","18% (2/11)","2%","Average"
"29","Tyson Bagent",CHI,"at LAC","5 out of 5 stars","9.4","F","13.1","+1.4","100% (1/1)","9%","Bad"
"30","Zach Wilson",NYJ,"at NYG","4 out of 5 stars","8.2","F","12.6","-1.9","30% (3/10)","2%","Bad"
"31","Sam Darnold",SF,"vs. CIN","3 out of 5 stars","-","F","11.9","+2.0","44% (4/9)","0%","Bad"
"32","P.J. Walker",CLE,"at SEA","4 out of 5 stars","7.0","F","11.0","-3.2","14% (1/7)","1%","Bad"
"33","Will Levis",TEN,"vs. ATL","3 out of 5 stars","5.4","F","2.7","-0.1","0% (0/1)","0%","N/A"
"34","Malik Willis",TEN,"vs. ATL","3 out of 5 stars","5.6","F","0.0","-1.8","9% (1/11)","0%","Bad"
