"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","Philadelphia Eagles",PHI,"vs. WAS","9.9","A","9.0","+1.7","62% (10/16)"
"2","Kansas City Chiefs",KC,"at NYJ","5.4","A","7.6","-0.6","47% (8/17)"
"3","San Francisco 49ers",SF,"vs. ARI","2.0","A-","7.6","+1.7","50% (8/16)"
"4","Dallas Cowboys",DAL,"vs. NE","7.8","B","7.4","+4.1","56% (9/16)"
"5","Pittsburgh Steelers",PIT,"at HOU","5.2","B+","7.4","0.0","37% (6/16)"
"6","New Orleans Saints",NO,"vs. TB","5.4","B+","7.4","+0.6","37% (6/16)"
"7","Cleveland Browns",CLE,"vs. BAL","5.8","B","7.2","+0.5","37% (6/16)"
"8","Denver Broncos",DEN,"at CHI","9.9","B","7.2","-1.9","37% (6/16)"
"9","Baltimore Ravens",BAL,"at CLE","9.9","B-","7.2","+0.8","43% (7/16)"
"10","Cincinnati Bengals",CIN,"at TEN","9.9","B-","6.7","-0.6","50% (8/16)"
"11","Tampa Bay Buccaneers",TB,"at NO","6.8","C+","6.5","-2.0","25% (4/16)"
"12","Minnesota Vikings",MIN,"at CAR","9.9","C","6.5","-1.8","31% (5/16)"
"13","Seattle Seahawks",SEA,"at NYG","8.8","C+","6.4","+0.2","50% (8/16)"
"14","Los Angeles Chargers",LAC,"vs. LV","7.0","C","6.4","-0.3","52% (9/17)"
"15","Jacksonville Jaguars",JAC,"vs. ATL","7.6","C-","6.2","-0.2","50% (8/16)"
"16","Buffalo Bills",BUF,"vs. MIA","2.0","C-","6.1","+1.3","50% (8/16)"
"17","Houston Texans",HOU,"vs. PIT","5.4","D+","6.0","+0.2","56% (9/16)"
"18","Tennessee Titans",TEN,"vs. CIN","3.6","D+","6.0","+0.4","56% (9/16)"
"19","Los Angeles Rams",LAR,"at IND","4.2","D","6.0","-1.0","25% (4/16)"
"20","Indianapolis Colts",IND,"vs. LAR","3.8","D","6.0","+1.2","56% (9/16)"
"21","Miami Dolphins",MIA,"at BUF","2.2","D","5.9","-0.9","37% (6/16)"
"22","Detroit Lions",DET,"at GB","2.0","D","5.8","+0.8","50% (8/16)"
"23","Green Bay Packers",GB,"vs. DET","7.2","D-","5.7","+0.6","43% (7/16)"
"24","New England Patriots",NE,"at DAL","2.0","D-","5.7","+4.5","75% (12/16)"
"25","Carolina Panthers",CAR,"vs. MIN","5.8","D-","5.5","-0.1","56% (9/16)"
"26","New York Giants",NYG,"vs. SEA","2.0","F","5.4","-0.9","37% (6/16)"
"27","Atlanta Falcons",ATL,"at JAC","9.9","F","5.3","-1.2","37% (6/16)"
"28","New York Jets",NYJ,"vs. KC","6.8","F","5.3","+1.4","50% (8/16)"
"29","Chicago Bears",CHI,"vs. DEN","8.8","F","5.3","-3.4","12% (2/16)"
"30","Washington Commanders",WAS,"at PHI","4.0","F","5.0","+0.4","43% (7/16)"
"31","Las Vegas Raiders",LV,"at LAC","2.0","F","5.0","-1.5","37% (6/16)"
"32","Arizona Cardinals",ARI,"at SF","2.0","F","4.8","+1.4","56% (9/16)"
