"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Christian McCaffrey ",SF,"vs. DAL"," 5.6","A+","22.1","+4.0","68% (11/16)","31%","Great"
"2","Bijan Robinson ",ATL,"vs. HOU"," 9.4","A+","19.8","-1.0","50% (2/4)","19%","Poor"
"3","Josh Jacobs ",LV,"vs. GB"," 6.6","A","18.0","+1.6","50% (8/16)","18%","Bad"
"4","Tony Pollard ",DAL,"at SF"," 2.6","A","17.2","+2.9","60% (9/15)","25%","Bad"
"5","David Montgomery ",DET,"vs. CAR"," 9.9","A","17.1","+1.2","46% (7/15)","36%","Great"
"6","D'Andre Swift ",PHI,"at LAR"," 2.8","A","16.5","+1.6","50% (7/14)","19%","Average"
"7","Derrick Henry ",TEN,"at IND"," 6.4","A","15.8","+1.0","53% (8/15)","22%","Good"
"8","Joe Mixon ",CIN,"at ARI"," 7.2","A","15.6","-1.2","28% (4/14)","15%","Average"
"9","De'Von Achane ",MIA,"vs. NYG"," 6.8","A","15.3","+19.2","66% (2/3)","19%","Great"
"10","Travis Etienne Jr. ",JAC,"at BUF"," 5.6","A-","15.1","-0.8","62% (10/16)","5%","Great"
"11","Kyren Williams ",LAR,"vs. PHI"," 4.6","A-","15.0","+1.6","50% (6/12)","37%","Great"
"12","Alvin Kamara ",NO,"at NE"," 6.6","A-","14.5","-1.4","30% (4/13)","11%","Bad"
"13","Brian Robinson Jr. ",WAS,"vs. CHI"," 7.6","A-","14.3","+0.9","50% (8/16)","22%","Great"
"14","Aaron Jones ",GB,"at LV"," 6.6","B+","14.2","-0.9","50% (7/14)","15%","Great"
"15","James Cook ",BUF,"vs. JAC"," 6.0","B+","14.0","+1.9","62% (10/16)","11%","Bad"
"16","James Conner ",ARI,"vs. CIN"," 5.8","B+","13.9","+1.9","61% (8/13)","21%","Great"
"17","Isiah Pacheco ",KC,"at MIN"," 3.8","B+","13.8","-0.3","41% (7/17)","19%","Poor"
"18","Raheem Mostert ",MIA,"vs. NYG"," 7.2","B","13.8","+2.4","53% (8/15)","18%","Great"
"19","Rhamondre Stevenson ",NE,"vs. NO"," 6.2","B","13.6","-2.0","37% (6/16)","12%","Average"
"20","Breece Hall ",NYJ,"at DEN"," 8.6","B","13.5","+1.2","50% (3/6)","2%","Bad"
"21","Alexander Mattison ",MIN,"vs. KC"," 5.8","B","12.9","-1.2","31% (5/16)","27%","Bad"
"22","Dameon Pierce ",HOU,"at ATL"," 8.0","B-","12.8","-3.0","30% (4/13)","22%","Bad"
"23","Jahmyr Gibbs ",DET,"vs. CAR"," 9.6","B-","12.7","-4.3","0% (0/4)","6%","Bad"
"24","Miles Sanders ",CAR,"at DET"," 3.4","C+","12.6","-1.3","37% (6/16)","24%","Poor"
"25","Khalil Herbert ",CHI,"at WAS"," 6.4","C+","12.3","+0.1","33% (4/12)","9%","Average"
"26","Jonathan Taylor ",IND,"vs. TEN"," 6.2","C+","11.3","-3.2","28% (2/7)","0%","N/A"
"27","Najee Harris ",PIT,"vs. BAL"," 5.2","C+","11.3","-0.1","50% (8/16)","6%","Bad"
"28","Jaylen Warren ",PIT,"vs. BAL"," 5.4","C","10.7","+0.7","40% (6/15)","5%","Bad"
"29","Gus Edwards ",BAL,"at PIT"," 8.0","C","10.1","+0.3","50% (6/12)","6%","Great"
"30","Saquon Barkley ",NYG,"at MIA"," 9.8","C+","10.0","-2.3","35% (5/14)","35%","Great"
"31","Jaleel McLaughlin ",DEN,"vs. NYJ"," 5.8","C","9.7","+4.6","75% (3/4)","7%","Great"
"32","Samaje Perine ",DEN,"vs. NYJ"," 4.0","C","9.2","+0.8","37% (6/16)","7%","Bad"
"33","Tyjae Spears ",TEN,"at IND"," 7.4","C","8.8","-0.3","50% (2/4)","6%","Bad"
"34","Tyler Allgeier ",ATL,"vs. HOU"," 9.6","C","7.8","+1.7","50% (8/16)","19%","Great"
"35","Chuba Hubbard ",CAR,"at DET"," 4.4","C","7.5","+1.7","64% (9/14)","9%","Bad"
"36","AJ Dillon ",GB,"at LV"," 7.0","C-","7.4","-0.5","25% (4/16)","11%","Bad"
"37","Kenneth Gainwell ",PHI,"at LAR"," 3.6","C-","7.2","-0.3","33% (5/15)","8%","Bad"
"38","Antonio Gibson ",WAS,"vs. CHI"," 8.0","C-","7.2","-0.8","33% (5/15)","2%","Bad"
"39","Zack Moss ",IND,"vs. TEN"," 5.0","C-","7.1","+0.5","27% (3/11)","27%","Average"
"40","Jerick McKinnon ",KC,"at MIN"," 4.0","D+","7.0","+2.9","52% (9/17)","5%","Great"
"41","Roschon Johnson ",CHI,"at WAS"," 7.0","D+","6.9","+0.1","25% (1/4)","15%","Bad"
"42","Ezekiel Elliott ",NE,"vs. NO"," 6.4","D+","6.4","+1.5","64% (9/14)","3%","Bad"
"43","Matt Breida ",NYG,"at MIA"," 9.0","D+","6.1","+0.4","37% (6/16)","4%","Great"
"44","Dalvin Cook ",NYJ,"at DEN"," 8.2","D","6.0","-1.9","31% (5/16)","8%","Bad"
"45","Justice Hill ",BAL,"at PIT"," 8.2","D","5.8","-0.2","23% (3/13)","21%","Average"
"46","Devin Singletary ",HOU,"at ATL"," 7.6","D-","5.6","-0.7","43% (7/16)","4%","Great"
"47","Latavius Murray ",BUF,"vs. JAC"," 6.6","D-","5.0","+2.1","73% (11/15)","17%","Poor"
"48","Cam Akers ",MIN,"vs. KC"," 7.0","D-","4.7","+2.2","41% (5/12)","2%","Great"
"49","Ronnie Rivers ",LAR,"vs. PHI"," 4.2","F","4.6","-1.0","37% (3/8)","1%","Bad"
"50","Clyde Edwards-Helaire ",KC,"at MIN"," 3.2","F","4.2","-3.0","18% (2/11)","4%","Great"
"51","Tank Bigsby ",JAC,"at BUF"," 5.2","F","4.1","-1.2","25% (1/4)","17%","Great"
"52","Michael Carter ",NYJ,"at DEN"," 8.2","F","3.8","-0.7","40% (6/15)","1%","Bad"
"53","Damien Harris ",BUF,"vs. JAC"," 7.2","F","3.4","-1.4","40% (4/10)","10%","Poor"
"54","Melvin Gordon III ",BAL,"at PIT"," 7.4","F","3.4","-0.4","45% (5/11)","2%","Bad"
"55","Rico Dowdle ",DAL,"at SF"," 2.8","F","3.4","+0.3","28% (2/7)","7%","Poor"
"56","Kendre Miller ",NO,"at NE"," 5.4","F","3.2","-3.7","0% (0/2)","1%","Bad"
"57","Javonte Williams ",DEN,"vs. NYJ"," 4.4","D-","3.1","-4.9","0% (0/4)","5%","Bad"
"58","Emari Demercado ",ARI,"vs. CIN"," 6.8","F","2.9","-0.1","50% (2/4)","1%","Bad"
"59","Deuce Vaughn ",DAL,"at SF"," 2.8","F","2.8","-0.9","25% (1/4)","3%","Bad"
"60","Tony Jones Jr. ",NO,"at NE"," 5.0","F","2.8","+0.7","28% (2/7)","19%","Average"
"61","Ameer Abdullah ",LV,"vs. GB"," 6.6","F","2.7","+0.6","46% (7/15)","1%","Bad"
"62","Trayveon Williams ",CIN,"at ARI"," 7.6","F","2.7","-1.7","16% (1/6)","3%","Bad"
"63","Jordan Mason ",SF,"vs. DAL"," 5.0","F","2.5","-0.2","42% (6/14)","1%","Bad"
"64","Zamir White ",LV,"vs. GB"," 6.4","F","2.4","-1.6","9% (1/11)","2%","Bad"
"65","Cordarrelle Patterson ",ATL,"vs. HOU"," 9.0","F","2.1","+0.2","44% (4/9)","0%","N/A"
"66","Kyle Juszczyk ",SF,"vs. DAL"," 5.0","F","2.0","-0.4","33% (5/15)","12%","Bad"
"67","D'Ernest Johnson ",JAC,"at BUF"," 5.2","F","1.7","-0.9","28% (4/14)","0%","Bad"
"68","Gary Brightwell ",NYG,"at MIA"," 9.4","F","1.7","-0.7","26% (4/15)","1%","Bad"
"69","Alec Ingold ",MIA,"vs. NYG"," 6.8","F","1.4","+0.6","37% (6/16)","2%","Bad"
"70","Keaontay Ingram ",ARI,"vs. CIN"," 7.2","F","1.3","-1.4","14% (2/14)","1%","Bad"
"71","Mike Boone ",HOU,"at ATL"," 7.6","F","1.3","-1.0","25% (2/8)","0%","N/A"
"72","Keaton Mitchell ",BAL,"at PIT"," 8.0","F","1.1","-","-","0%","N/A"
"73","Craig Reynolds ",DET,"vs. CAR"," 9.8","F","1.1","-0.9","20% (2/10)","2%","Bad"
"74","Elijah Mitchell ",SF,"vs. DAL","-","F","1.1","-1.2","33% (2/6)","5%","Bad"
"75","Ty Chandler ",MIN,"vs. KC"," 5.8","F","0.9","-2.0","0% (0/9)","1%","Bad"
"76","Hunter Luepke ",DAL,"at SF"," 2.6","F","0.9","-","-","5%","Great"
"77","Chase Brown ",CIN,"at ARI"," 7.6","F","0.7","-0.9","0% (0/3)","0%","N/A"
"78","Boston Scott ",PHI,"at LAR"," 3.0","F","0.7","-0.1","35% (5/14)","0%","Bad"
"79","C.J. Ham ",MIN,"vs. KC"," 5.8","F","0.7","-0.4","15% (2/13)","0%","Bad"
"80","Ty Montgomery II ",NE,"vs. NO"," 6.2","F","0.7","-0.4","25% (1/4)","7%","Bad"
"81","Trey Sermon ",IND,"vs. TEN"," 6.6","F","0.7","-1.1","33% (1/3)","1%","Bad"
"82","JaMycal Hasty ",JAC,"at BUF","-","F","0.6","+1.7","30% (4/13)","6%","Bad"
"83","Salvon Ahmed ",MIA,"vs. NYG"," 6.8","F","0.5","-0.4","16% (2/12)","2%","Bad"
"84","Jakob Johnson ",LV,"vs. GB"," 6.6","F","0.5","-0.4","16% (2/12)","0%","Bad"
"85","Adam Prentice ",NO,"at NE"," 5.8","F","0.4","-","-","0%","N/A"
"86","Reggie Gilliam ",BUF,"vs. JAC"," 6.4","F","0.4","-0.6","25% (2/8)","0%","N/A"
"87","Jeff Wilson Jr. ",MIA,"vs. NYG"," 6.8","F","0.4","-0.2","54% (6/11)","0%","N/A"
"88","Patrick Ricard ",BAL,"at PIT"," 7.2","F","0.4","-0.7","20% (3/15)","0%","N/A"
"89","Patrick Taylor Jr. ",GB,"at LV"," 6.4","F","0.4","-0.4","37% (3/8)","7%","Bad"
"90","Khari Blasingame ",CHI,"at WAS","-","F","0.4","-","-","1%","Bad"
"91","Keith Smith ",ATL,"vs. HOU","-","F","0.4","-0.3","10% (1/10)","0%","N/A"
"92","Derrick Gore ",WAS,"vs. CHI","-","F","0.4","-","-","0%","N/A"
"93","Emanuel Wilson ",GB,"at LV"," 6.4","F","0.4","-1.6","0% (0/3)","1%","Bad"
"94","Zonovan Knight ",DET,"vs. CAR"," 9.9","F","0.4","-1.5","42% (3/7)","0%","Bad"
"95","Michael Burton ",DEN,"vs. NYJ","-","F","0.3","-0.3","18% (2/11)","0%","Bad"
"96","Chris Evans ",CIN,"at ARI"," 7.6","F","0.3","-0.3","22% (2/9)","0%","N/A"
"97","Eric Gray ",NYG,"at MIA"," 9.6","F","0.3","-1.6","0% (0/4)","0%","N/A"
"98","Royce Freeman ",LAR,"vs. PHI","-","F","0.3","-0.3","25% (1/4)","0%","N/A"
"99","Zach Evans ",LAR,"vs. PHI","-","F","0.3","-","-","0%","N/A"
"100","Kenyan Drake ",BAL,"at PIT"," 7.2","F","0.3","+1.9","54% (6/11)","0%","Bad"
"101","Chris Brooks ",MIA,"vs. NYG"," 6.8","F","0.3","-","-","1%","Bad"
"102","Nick Bawden ",NYJ,"at DEN","-","F","0.3","-","-","26%","Great"
"103","Malik Davis ",DAL,"at SF","-","F","0.3","-0.4","33% (3/9)","0%","N/A"
"104","Tyrion Davis-Price ",SF,"vs. DAL"," 5.4","F","0.3","-1.3","12% (1/8)","0%","N/A"
"105","Travis Homer ",CHI,"at WAS","-","F","0.3","-0.2","27% (3/11)","0%","N/A"
