"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Tyreek Hill",MIA,"vs. LV","5.8","A+","21.3","+1.0","53% (8/15)","16%","Good"
"2","CeeDee Lamb",DAL,"at CAR","5.2","A+","20.4","+2.6","56% (9/16)","16%","Poor"
"3","Amon-Ra St. Brown",DET,"vs. CHI","6.2","A+","20.1","+1.5","46% (7/15)","11%","Good"
"4","A.J. Brown",PHI,"at KC","5.4","A+","19.3","+3.2","62% (10/16)","22%","Average"
"5","Ja'Marr Chase",CIN,"at BAL","4.8","A+","18.6","-1.3","35% (5/14)","21%","Average"
"6","Keenan Allen",LAC,"at GB","4.0","A+","18.5","+2.5","56% (9/16)","12%","Good"
"7","Cooper Kupp",LAR,"vs. SEA","5.2","A","16.6","-3.2","40% (2/5)","13%","Bad"
"8","Stefon Diggs",BUF,"vs. NYJ","3.8","A","15.9","-1.8","35% (6/17)","13%","Good"
"9","Jaylen Waddle",MIA,"vs. LV","5.8","A","15.3","-1.6","35% (5/14)","13%","Poor"
"10","Brandon Aiyuk",SF,"vs. TB","6.6","A","15.0","+1.0","53% (8/15)","11%","Average"
"11","Tank Dell",HOU,"vs. ARI","9.4","A","14.9","+4.1","50% (4/8)","11%","Great"
"12","Puka Nacua",LAR,"vs. SEA","5.2","A","14.8","+2.6","55% (5/9)","10%","Average"
"13","Davante Adams",LV,"at MIA","6.4","A","14.7","-1.7","35% (6/17)","23%","Bad"
"14","Mike Evans",TB,"at SF","7.2","A","14.6","+2.0","46% (7/15)","17%","Good"
"15","Garrett Wilson",NYJ,"at BUF","9.8","A","14.5","-1.0","37% (6/16)","26%","Bad"
"16","DK Metcalf",SEA,"at LAR","3.8","A","14.5","-1.6","35% (5/14)","15%","Bad"
"17","DeVonta Smith",PHI,"at KC","5.6","A-","14.3","+1.8","56% (9/16)","7%","Great"
"18","Deebo Samuel",SF,"vs. TB","8.0","A-","14.3","-1.5","45% (5/11)","10%","Good"
"19","Christian Kirk",JAC,"vs. TEN","8.2","A-","14.1","-1.7","46% (7/15)","12%","Average"
"20","Marquise Brown",ARI,"at HOU","4.6","A-","14.0","-1.4","33% (5/15)","20%","Poor"
"21","Terry McLaurin",WAS,"vs. NYG","6.6","A-","13.7","-1.5","43% (7/16)","12%","Bad"
"22","Nico Collins",HOU,"vs. ARI","9.0","A-","13.6","+2.0","45% (5/11)","7%","Great"
"23","DeAndre Hopkins",TEN,"at JAC","7.0","B+","13.5","-1.5","28% (4/14)","20%","Poor"
"24","Adam Thielen",CAR,"vs. DAL","5.2","B+","13.2","+1.5","50% (8/16)","18%","Average"
"25","Tyler Lockett",SEA,"at LAR","3.4","B","13.0","+0.3","50% (7/14)","20%","Poor"
"26","Calvin Ridley",JAC,"vs. TEN","7.2","B-","12.8","-3.4","33% (3/9)","19%","Bad"
"27","DJ Moore",CHI,"at DET","6.4","B","12.6","+2.0","50% (8/16)","10%","Great"
"28","Courtland Sutton",DEN,"vs. MIN","6.8","B-","12.5","-0.3","57% (8/14)","18%","Great"
"29","Chris Godwin",TB,"at SF","7.2","C+","12.3","-0.1","33% (5/15)","18%","Bad"
"30","Tyler Boyd",CIN,"at BAL","5.0","C+","12.2","-0.7","43% (7/16)","7%","Average"
"31","Zay Flowers",BAL,"vs. CIN","4.2","C+","11.8","-2.2","30% (3/10)","11%","Bad"
"32","Jordan Addison",MIN,"at DEN","8.0","C+","11.2","+2.8","50% (5/10)","14%","Average"
"33","Amari Cooper",CLE,"vs. PIT","6.2","C+","11.1","+1.0","50% (8/16)","13%","Bad"
"34","Diontae Johnson",PIT,"at CLE","3.8","C+","11.1","-0.3","41% (5/12)","21%","Bad"
"35","Rashee Rice",KC,"vs. PHI","7.6","C+","10.2","+1.8","66% (6/9)","9%","Great"
"36","Jahan Dotson",WAS,"vs. NYG","6.0","C","9.9","+0.4","43% (7/16)","10%","Average"
"37","Jerry Jeudy",DEN,"vs. MIN","6.6","C","9.8","-0.6","38% (5/13)","11%","Bad"
"38","Jakobi Meyers",LV,"at MIA","7.0","C","9.7","+0.8","53% (8/15)","18%","Good"
"39","Christian Watson",GB,"vs. LAC","6.4","C","9.6","-0.8","41% (5/12)","17%","Bad"
"40","Rondale Moore",ARI,"at HOU","4.2","C","9.6","-2.5","18% (2/11)","3%","Good"
"41","Jaxon Smith-Njigba",SEA,"at LAR","3.0","C","9.6","-0.5","55% (5/9)","4%","Great"
"42","Gabe Davis",BUF,"vs. NYJ","4.0","C","9.6","-1.2","35% (6/17)","17%","Poor"
"43","Romeo Doubs",GB,"vs. LAC","7.4","C","9.5","+1.2","66% (8/12)","15%","Good"
"44","Brandin Cooks",DAL,"at CAR","5.4","C","9.5","0.0","33% (4/12)","7%","Average"
"45","George Pickens",PIT,"at CLE","3.6","C","9.5","-0.1","43% (7/16)","10%","Good"
"46","Jayden Reed",GB,"vs. LAC","7.6","C","9.3","+2.0","55% (5/9)","15%","Average"
"47","Curtis Samuel",WAS,"vs. NYG","5.6","C-","8.9","+0.3","53% (8/15)","14%","Poor"
"48","Robert Woods",HOU,"vs. ARI","9.4","C-","8.7","-0.8","42% (6/14)","11%","Bad"
"49","Trenton Irwin",CIN,"at BAL","5.4","C-","8.4","+2.0","46% (7/15)","9%","Poor"
"50","Quentin Johnston",LAC,"at GB","5.0","C-","8.2","-2.3","22% (2/9)","5%","Bad"
"51","Tutu Atwell",LAR,"vs. SEA","5.0","C-","8.2","+0.5","62% (10/16)","11%","Average"
"52","Elijah Moore",CLE,"vs. PIT","6.4","D+","8.1","-0.8","31% (5/16)","7%","Bad"
"53","Josh Reynolds",DET,"vs. CHI","5.8","D","8.1","0.0","40% (6/15)","10%","Average"
"54","K.J. Osborn",MIN,"at DEN","-","D+","7.8","+2.0","43% (7/16)","8%","Poor"
"55","Wan'Dale Robinson",NYG,"at WAS","8.8","D","7.7","+0.2","55% (5/9)","3%","Great"
"56","Jalen Guyton",LAC,"at GB","4.4","D","7.6","+3.5","50% (1/2)","8%","Good"
"57","Jonathan Mingo",CAR,"vs. DAL","4.6","D","7.6","-2.4","25% (2/8)","5%","Bad"
"58","Darnell Mooney",CHI,"at DET","7.0","D","7.3","-1.6","41% (5/12)","12%","Bad"
"59","Odell Beckham Jr.",BAL,"vs. CIN","3.4","D","7.2","-0.8","37% (3/8)","8%","Poor"
"60","Khalil Shakir",BUF,"vs. NYJ","3.0","D","7.2","+0.2","29% (5/17)","3%","Average"
"61","Rashod Bateman",BAL,"vs. CIN","3.8","D","7.1","-1.2","33% (3/9)","4%","Poor"
"62","Kyle Philips",TEN,"at JAC","5.8","D-","6.9","+1.1","60% (3/5)","4%","Bad"
"63","Darius Slayton",NYG,"at WAS","9.0","D-","6.8","-1.6","35% (6/17)","4%","Bad"
"64","Allen Lazard",NYJ,"at BUF","9.4","F","6.6","-2.5","20% (3/15)","7%","Average"
"65","Trey Palmer",TB,"at SF","7.6","F","6.4","+0.1","44% (4/9)","8%","Average"
"66","Michael Gallup",DAL,"at CAR","5.6","F","6.0","-0.5","37% (6/16)","4%","Bad"
"67","Jameson Williams",DET,"vs. CHI","6.0","F","5.9","-1.1","30% (3/10)","5%","Average"
"68","Marvin Mims Jr.",DEN,"vs. MIN","8.0","F","5.8","-0.2","22% (2/9)","6%","Average"
"69","Marquez Valdes-Scantling",KC,"vs. PHI","7.0","F","5.8","-1.6","25% (4/16)","8%","Bad"
"70","DJ Chark Jr.",CAR,"vs. DAL","-","F","5.7","+0.8","50% (7/14)","18%","Average"
"71","Dontayvion Wicks",GB,"vs. LAC","7.8","F","5.7","+0.9","66% (6/9)","3%","Average"
"72","Nick Westbrook-Ikhine",TEN,"at JAC","6.0","F","5.4","-0.3","37% (6/16)","10%","Great"
"73","Skyy Moore",KC,"vs. PHI","7.8","F","5.2","-1.4","25% (4/16)","7%","Bad"
"74","Justin Watson",KC,"vs. PHI","-","F","5.2","-0.8","40% (6/15)","6%","Bad"
"75","Jalin Hyatt",NYG,"at WAS","7.8","F","5.1","-0.9","40% (4/10)","7%","Bad"
"76","Michael Wilson",ARI,"at HOU","5.2","D+","4.8","+2.5","55% (5/9)","9%","Average"
"77","Jalen Tolbert",DAL,"at CAR","5.8","F","4.8","-0.2","18% (2/11)","5%","Poor"
