"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Christian McCaffrey",SF,"at ARI","7.8","A+","23.5","+2.1","62% (10/16)","31%","Great"
"2","Kyren Williams",LAR,"vs. WAS","7.4","A+","19.8","+3.7","50% (6/12)","26%","Good"
"3","Alvin Kamara",NO,"vs. NYG","7.2","A+","17.1","+1.2","53% (7/13)","22%","Poor"
"4","Rachaad White",TB,"at GB","7.8","A","16.3","+1.0","56% (9/16)","20%","Average"
"5","Saquon Barkley",NYG,"at NO","5.8","A","16.3","+0.3","46% (6/13)","28%","Good"
"6","Zack Moss",IND,"vs. PIT","3.4","A","16.2","+1.9","46% (7/15)","17%","Poor"
"7","Bijan Robinson",ATL,"at CAR","7.6","A","15.9","-1.9","38% (5/13)","16%","Great"
"8","Austin Ekeler",LAC,"at LV","8.8","A","15.8","-1.0","53% (7/13)","20%","Poor"
"9","Tony Pollard",DAL,"at BUF","8.0","A-","15.7","-2.7","33% (5/15)","18%","Bad"
"10","Derrick Henry",TEN,"vs. HOU","5.2","A-","15.6","+0.5","60% (9/15)","20%","Great"
"11","Jahmyr Gibbs",DET,"vs. DEN","9.2","A-","15.3","+1.1","45% (5/11)","15%","Good"
"12","Ezekiel Elliott",NE,"vs. KC","5.8","A-","15.3","+0.5","53% (8/15)","11%","Average"
"13","Joe Mixon",CIN,"vs. MIN","4.2","B+","15.3","-0.7","37% (6/16)","27%","Poor"
"14","Raheem Mostert",MIA,"vs. NYJ","5.4","B+","15.0","+3.7","62% (10/16)","16%","Great"
"15","Travis Etienne Jr.",JAC,"vs. BAL","5.6","B","14.6","+1.6","68% (11/16)","17%","Great"
"16","David Montgomery",DET,"vs. DEN","9.6","B","14.4","+2.0","53% (7/13)","25%","Good"
"17","Breece Hall",NYJ,"at MIA","8.6","B","13.7","+0.1","46% (6/13)","13%","Great"
"18","Javonte Williams",DEN,"at DET","6.0","B","13.2","-1.1","33% (4/12)","14%","Poor"
"19","D'Andre Swift",PHI,"at SEA","7.0","B","12.8","-0.6","37% (6/16)","16%","Average"
"20","De'Von Achane",MIA,"vs. NYJ","4.8","B","12.7","+9.1","57% (4/7)","13%","Great"
"21","Antonio Gibson",WAS,"at LAR","4.8","B","12.4","-0.2","50% (7/14)","5%","Good"
"22","Ty Chandler",MIN,"at CIN","5.8","B-","12.3","-0.3","26% (4/15)","3%","Average"
"23","James Cook",BUF,"vs. DAL","5.4","B-","12.2","+1.3","56% (9/16)","9%","Average"
"24","Chuba Hubbard",CAR,"vs. ATL","5.2","C+","12.0","+1.2","50% (8/16)","20%","Poor"
"25","Jaylen Warren",PIT,"at IND","7.4","C+","12.0","+1.0","50% (8/16)","7%","Great"
"26","Najee Harris",PIT,"at IND","7.6","C+","11.7","0.0","50% (8/16)","14%","Average"
"27","James Conner",ARI,"vs. SF","4.8","C+","11.7","-0.7","41% (5/12)","21%","Poor"
"28","Jerome Ford",CLE,"vs. CHI","5.4","C","11.5","+1.3","40% (6/15)","8%","Great"
"29","Kenneth Walker III",SEA,"vs. PHI","2.8","C","11.5","-0.7","42% (6/14)","28%","Poor"
"30","Zamir White",LV,"vs. LAC","5.2","C","11.1","-1.7","7% (1/14)","5%","Poor"
"31","Keaton Mitchell",BAL,"at JAC","4.4","C","10.8","+2.0","40% (2/5)","4%","Great"
"32","Aaron Jones",GB,"vs. TB","7.4","C","10.8","-2.7","40% (4/10)","13%","Average"
"33","Jerick McKinnon",KC,"at NE","7.6","C","10.2","+1.3","35% (5/14)","4%","Great"
"34","Devin Singletary",HOU,"at TEN","4.8","C","9.9","-0.3","50% (8/16)","10%","Average"
"35","Clyde Edwards-Helaire",KC,"at NE","5.0","C","9.3","-1.4","8% (1/12)","5%","Bad"
"36","Tyjae Spears",TEN,"vs. HOU","6.4","C-","9.1","+0.6","46% (6/13)","8%","Bad"
