"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"73","Raheem Blackshear",CAR,"at TB","-","F","0.4","+0.7","40% (4/10)","2%","Bad"
"74","Chase Brown",CIN,"at JAC","-","F","0.3","-0.6","20% (1/5)","1%","Bad"
"75","Adam Prentice",NO,"vs. DET","-","F","0.3","-","-","0%","N/A"
"76","Derrick Gore",WAS,"vs. MIA","8.2","F","0.3","-","-","9%","Bad"
"77","Sean Tucker",TB,"vs. CAR","9.9","F","0.3","-2.3","0% (0/7)","1%","Bad"
"78","Ty Montgomery II",NE,"vs. LAC","-","F","0.0","-0.4","25% (2/8)","4%","Bad"
"79","Zach Evans",LAR,"vs. CLE","-","F","0.0","-1.4","50% (1/2)","0%","Bad"
"80","La'Mical Perine",KC,"at GB","7.4","F","0.0","-0.3","0% (0/1)","0%","N/A"
"81","Keaontay Ingram",KC,"at GB","7.4","F","0.0","-2.7","15% (2/13)","0%","Bad"
"82","Kendre Miller",NO,"vs. DET","-","F","0.0","-0.4","42% (3/7)","1%","Bad"
"83","Godwin Igwebuike",PIT,"vs. ARI","-","F","0.0","-1.3","0% (0/2)","0%","N/A"
"84","Tony Jones Jr.",ARI,"at PIT","3.6","F","0.0","+0.5","37% (3/8)","0%","N/A"
"85","Nick Bawden",NYJ,"vs. ATL","-","F","0.0","-","-","11%","Great"
"86","James Robinson",GB,"vs. KC","6.8","F","0.0","-2.7","0% (0/2)","0%","N/A"
"87","Ke'Shawn Vaughn",TB,"vs. CAR","-","F","0.0","-1.6","10% (1/10)","5%","Bad"
"88","Alex Armah Jr.",WAS,"vs. MIA","-","F","0.0","-","-","0%","Bad"
"89","Elijah Dotson",LAC,"at NE","-","F","0.0","-2.1","0% (0/4)","2%","Bad"
"90","JaMycal Hasty",NE,"vs. LAC","-","F","0.0","+0.7","28% (2/7)","0%","N/A"
"91","Isaiah Spiller",LAC,"at NE","-","F","0.0","-1.4","11% (1/9)","2%","Bad"
"92","Anthony McFarland Jr.",PIT,"vs. ARI","-","F","0.0","+0.1","25% (1/4)","15%","Bad"
"93","Rashaad Penny",PHI,"vs. SF","-","F","0.0","-2.6","0% (0/2)","1%","Bad"
"94","Tyrion Davis-Price",SF,"at PHI","-","F","0.0","-0.4","33% (2/6)","1%","Bad"
