,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Christian McCaffrey,SFO,27,RB,14,14,244,1292,13,74,786,3.2,506,2.1,12,20.3
2,Josh Jacobs,LVR,25,RB,13,13,233,805,6,34,505,2.2,300,1.3,10,23.3
3,Derrick Henry,TEN,29,RB,14,14,230,884,10,50,465,2,419,1.8,17,13.5
4,Travis Etienne,JAX,24,RB,14,14,229,837,9,46,499,2.2,338,1.5,26,8.8
5,Rachaad White,TAM,24,RB,14,14,222,834,5,39,516,2.3,318,1.4,7,31.7
6,Joe Mixon,CIN,27,RB,14,14,211,815,8,48,529,2.5,286,1.4,8,26.4
7,Tony Pollard,DAL,26,RB,14,14,207,848,5,45,455,2.2,393,1.9,13,15.9
8,Raheem Mostert,MIA,31,RB,14,14,198,966,18,56,602,3,364,1.8,14,14.1
9,D'Andre Swift,PHI,24,RB,14,13,196,896,4,41,580,3,316,1.6,15,13.1
10,Saquon Barkley,NYG,26,RB,11,11,194,797,3,36,448,2.3,349,1.8,10,19.4
11,James Cook,BUF,24,RB,14,10,188,968,2,48,569,3,399,2.1,4,47
12,Chuba Hubbard,CAR,24,RB,14,9,188,731,4,46,423,2.3,308,1.6,12,15.7
13,Kyren Williams,LAR,23,RB,10,9,186,953,8,53,617,3.3,336,1.8,20,9.3
14,Najee Harris,PIT,25,RB,14,14,183,723,4,33,350,1.9,373,2,24,7.6
15,Javonte Williams,DEN,23,RB,13,11,182,677,1,31,380,2.1,297,1.6,9,20.2
16,David Montgomery,DET,26,RB,11,11,178,855,10,48,459,2.6,396,2.2,16,11.1
17,Zack Moss,IND,26,RB,13,8,177,764,5,41,441,2.5,323,1.8,3,59
18,Isiah Pacheco,KAN,24,RB,12,11,176,779,6,48,505,2.9,274,1.6,12,14.7
19,Bijan Robinson,ATL,21,RB,14,13,176,801,4,42,505,2.9,296,1.7,10,17.6
20,Kenneth Walker III,SEA,23,RB,12,12,176,720,7,36,499,2.8,221,1.3,14,12.6
21,Jerome Ford,CLE,24,RB,14,10,174,718,3,27,455,2.6,263,1.5,14,12.4
22,Alexander Mattison,MIN,25,RB,13,13,168,660,0,27,395,2.4,265,1.6,5,33.6
23,Devin Singletary,HOU,26,RB,14,7,167,711,3,28,456,2.7,255,1.5,7,23.9
24,Tyler Allgeier,ATL,23,RB,14,3,166,577,3,34,253,1.5,324,2,10,16.6
25,AJ Dillon,GNB,25,RB,13,6,164,574,1,30,297,1.8,277,1.7,4,41
