Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Stefon Diggs,BUF,30,WR,8,8,90,64,748,6,37,539,8.4,209,3.3,11.1,6,10.7,3,3.3,2,108.9
2,Tyreek Hill,MIA,29,WR,8,8,87,61,1014,8,45,632,10.4,382,6.3,11,6,10.2,6,6.9,2,130.1
3,Puka Nacua,LAR,22,WR,8,8,89,61,795,2,38,488,8,307,5,8.9,3,20.3,6,6.7,1,99.2
4,A.J. Brown,PHI,26,WR,8,8,83,60,939,5,43,650,10.8,289,4.8,13.2,6,10,4,4.8,2,119.5
5,Ja'Marr Chase,CIN,23,WR,7,7,85,60,656,4,40,336,5.6,320,5.3,7.7,4,15,2,2.4,1,103.8
6,Amon-Ra St. Brown,DET,24,WR,7,7,78,57,665,3,33,423,7.4,242,4.2,7.2,4,14.3,4,5.1,3,95.3
7,Adam Thielen,CAR,33,WR,7,7,70,57,581,4,35,365,6.4,216,3.8,7.3,2,28.5,3,4.3,0,120.3
8,Keenan Allen,LAC,31,WR,7,7,74,54,643,4,28,425,7.9,218,4,10,3,18,3,4.1,1,111.5
9,Travis Kelce,KAN,34,TE,7,7,68,54,583,4,31,320,5.9,263,4.9,6.9,2,27,3,4.4,2,109.7
10,T.J. Hockenson,MIN,26,TE,8,5,68,53,478,3,27,299,5.6,179,3.4,6.8,3,17.7,4,5.9,1,104.5
11,Evan Engram,JAX,29,TE,8,7,61,51,434,0,19,153,3,281,5.5,4,1,51,3,4.9,0,96.3
12,Michael Pittman Jr.,IND,26,WR,8,8,78,50,529,3,20,268,5.4,261,5.2,8.3,1,50,0,0,5,69.9
13,Davante Adams,LVR,31,WR,8,8,78,47,539,3,32,399,8.5,140,3,11.2,0,,3,3.8,4,72.5
14,CeeDee Lamb,DAL,24,WR,7,7,56,46,633,3,29,393,8.5,240,5.2,9.1,6,7.7,0,0,0,131.6
15,Zay Flowers,BAL,23,WR,8,8,61,44,461,1,19,264,6,197,4.5,7.9,7,6.3,1,1.6,1,92.3
16,D.J. Moore,CHI,26,WR,8,8,57,44,691,5,31,384,8.7,307,7,10.6,5,8.8,2,3.5,3,124.2
17,Chris Olave,NOR,23,WR,8,6,77,44,517,1,27,336,7.6,181,4.1,13.6,0,,2,2.6,2,71.2
18,Christian Kirk,JAX,27,WR,8,8,60,43,520,3,23,356,8.3,164,3.8,8.3,3,14.3,3,5,1,107.6
19,Sam LaPorta,DET,22,TE,8,6,59,43,434,4,22,247,5.7,187,4.3,7.1,5,8.6,4,6.8,0,116.1
20,Terry McLaurin,WAS,28,WR,8,8,63,42,495,2,23,371,8.8,124,3,10.9,2,21,4,6.3,1,94.3
21,Josh Downs,IND,22,WR,8,6,56,40,473,2,20,265,6.6,208,5.2,7.7,2,20,1,1.8,0,108.7
22,Alvin Kamara,NOR,28,RB,5,5,44,39,228,1,12,-25,-0.6,253,6.5,-0.3,4,9.8,2,4.5,0,95.8
23,DeVonta Smith,PHI,25,WR,8,8,57,39,482,3,18,364,9.3,118,3,12.1,1,39,2,3.5,3,89.9
24,Garrett Wilson,NYJ,23,WR,7,7,68,39,469,2,20,327,8.4,142,3.6,10.8,4,9.8,2,2.9,3,70
25,Marquise Brown,ARI,26,WR,8,8,69,38,416,4,26,296,7.8,120,3.2,11.6,2,19,3,4.3,0,92.4
26,Chris Godwin,TAM,27,WR,7,7,56,38,452,1,25,267,7,185,4.9,8.7,1,38,0,0,2,83.3
27,Jakobi Meyers,LVR,27,WR,7,7,57,38,404,5,24,325,8.6,79,2.1,10.3,2,19,0,0,4,87.2
28,Michael Thomas,NOR,30,WR,8,5,61,38,439,1,21,343,9,96,2.5,10.3,2,19,2,3.3,1,82.6
29,Kendrick Bourne,NWE,28,WR,8,5,55,37,406,4,15,203,5.5,203,5.5,10.4,2,18.5,1,1.8,3,90.4
30,Drake London,ATL,22,WR,8,8,57,37,438,2,24,339,9.2,99,2.7,9.8,1,37,2,3.5,2,85.3
