,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Josh Jacobs,LVR,25,RB,9,9,159,506,5,25,327,2.1,179,1.1,5,31.8
2,Travis Etienne,JAX,24,RB,8,8,151,583,7,31,329,2.2,254,1.7,17,8.9
3,Derrick Henry,TEN,29,RB,8,8,137,601,4,29,332,2.4,269,2,9,15.2
4,Christian McCaffrey,SFO,27,RB,8,8,137,652,9,38,347,2.5,305,2.2,6,22.8
5,D'Andre Swift,PHI,24,RB,9,8,135,614,3,30,419,3.1,195,1.4,11,12.3
6,Zack Moss,IND,26,RB,8,5,132,615,5,31,359,2.7,256,1.9,2,66
7,Saquon Barkley,NYG,26,RB,6,6,126,502,1,21,291,2.3,211,1.7,5,25.2
8,Joe Mixon,CIN,27,RB,8,8,126,490,3,30,306,2.4,184,1.5,3,42
9,Kenneth Walker III,SEA,23,RB,8,8,126,532,6,26,358,2.8,174,1.4,9,14
10,Isiah Pacheco,KAN,24,RB,9,8,124,525,3,30,348,2.8,177,1.4,12,10.3
11,Alexander Mattison,MIN,25,RB,9,9,122,434,0,16,251,2.1,183,1.5,3,40.7
12,Tony Pollard,DAL,26,RB,8,8,120,474,2,24,270,2.3,204,1.7,3,40
13,Tyler Allgeier,ATL,23,RB,9,2,116,371,3,24,155,1.3,216,1.9,9,12.9
14,Brian Robinson Jr.,WAS,24,RB,9,9,113,447,5,30,282,2.5,165,1.5,7,16.1
15,Rachaad White,TAM,24,RB,8,8,112,378,3,19,245,2.2,133,1.2,7,16
16,Gus Edwards,BAL,28,RB,9,4,110,478,7,29,286,2.6,192,1.7,7,15.7
17,Raheem Mostert,MIA,31,RB,9,9,109,605,11,32,401,3.7,204,1.9,7,15.6
18,Dameon Pierce,HOU,23,RB,7,7,109,327,1,12,139,1.3,188,1.7,10,10.9
19,James Cook,BUF,24,RB,9,6,108,506,1,27,273,2.5,233,2.2,2,54
20,Jerome Ford,CLE,24,RB,8,4,107,425,2,13,276,2.6,149,1.4,9,11.9
21,Rhamondre Stevenson,NWE,25,RB,9,9,106,394,3,19,200,1.9,194,1.8,7,15.1
22,Bijan Robinson,ATL,21,RB,9,8,103,517,1,26,342,3.3,175,1.7,7,14.7
23,Najee Harris,PIT,25,RB,8,8,100,382,2,20,183,1.8,199,2,14,7.1
24,Kyren Williams,LAR,23,RB,6,5,97,456,6,26,330,3.4,126,1.3,3,32.3
25,Alvin Kamara,NOR,28,RB,6,6,95,346,2,21,258,2.7,88,0.9,4,23.8
26,AJ Dillon,GNB,25,RB,8,3,94,306,1,16,153,1.6,153,1.6,3,31.3
27,Breece Hall,NYJ,22,RB,8,8,94,493,2,17,272,2.9,221,2.4,5,18.8
28,David Montgomery,DET,26,RB,5,5,94,385,6,23,246,2.6,139,1.5,12,7.8
29,Javonte Williams,DEN,23,RB,7,6,90,357,0,18,190,2.1,167,1.9,8,11.3
30,Jalen Hurts,PHI,25,QB,9,9,88,316,7,39,270,3.1,46,0.5,1,88
31,Chuba Hubbard,CAR,24,RB,8,3,85,328,1,24,182,2.1,146,1.7,9,9.4
32,Lamar Jackson,BAL,26,QB,9,9,84,440,5,32,309,3.7,131,1.6,6,14
