,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Josh Jacobs,LVR,25,RB,12,12,220,771,6,33,489,2.2,282,1.3,10,22
2,Christian McCaffrey,SFO,27,RB,12,12,210,1032,12,63,611,2.9,421,2,8,26.3
3,Travis Etienne,JAX,24,RB,12,12,205,771,8,42,467,2.3,304,1.5,23,8.9
4,Derrick Henry,TEN,29,RB,12,12,197,841,8,45,482,2.4,359,1.8,15,13.1
5,Joe Mixon,CIN,27,RB,12,12,180,689,6,42,430,2.4,259,1.4,6,30
6,Tony Pollard,DAL,26,RB,12,12,180,737,5,39,429,2.4,308,1.7,12,15
7,Isiah Pacheco,KAN,24,RB,12,11,176,779,6,48,505,2.9,274,1.6,12,14.7
8,Rachaad White,TAM,24,RB,12,12,176,643,5,31,423,2.4,220,1.3,7,25.1
9,D'Andre Swift,PHI,24,RB,12,11,167,783,4,36,523,3.1,260,1.6,14,11.9
10,Saquon Barkley,NYG,26,RB,9,9,165,697,1,31,412,2.5,285,1.7,6,27.5
11,Raheem Mostert,MIA,31,RB,12,12,162,828,14,45,518,3.2,310,1.9,13,12.5
12,Zack Moss,IND,26,RB,11,6,160,723,5,38,440,2.8,283,1.8,2,80
13,Brian Robinson Jr.,WAS,24,RB,13,13,160,664,5,42,388,2.4,276,1.7,15,10.7
14,Najee Harris,PIT,25,RB,12,12,159,661,4,32,345,2.2,316,2,21,7.6
15,Bijan Robinson,ATL,21,RB,12,11,159,756,3,39,482,3,274,1.7,9,17.7
16,Alexander Mattison,MIN,25,RB,12,12,158,594,0,24,354,2.2,240,1.5,4,39.5
17,Rhamondre Stevenson,NWE,25,RB,12,12,156,619,4,36,309,2,310,2,12,13
18,Jerome Ford,CLE,24,RB,12,8,154,647,3,26,414,2.7,233,1.5,11,14
19,James Cook,BUF,24,RB,12,8,153,731,1,36,410,2.7,321,2.1,2,76.5
20,Javonte Williams,DEN,23,RB,11,10,153,584,0,26,320,2.1,264,1.7,9,17
21,David Montgomery,DET,26,RB,9,9,151,704,10,40,413,2.7,291,1.9,15,10.1
22,AJ Dillon,GNB,25,RB,12,5,149,521,1,28,268,1.8,253,1.7,4,37.3
23,Kenneth Walker III,SEA,23,RB,10,10,149,613,6,28,435,2.9,178,1.2,9,16.6
24,Tyler Allgeier,ATL,23,RB,12,2,143,492,3,30,221,1.5,271,1.9,10,14.3
25,Chuba Hubbard,CAR,24,RB,12,7,143,557,4,35,333,2.3,224,1.6,9,15.9
26,Gus Edwards,BAL,28,RB,12,6,141,590,10,38,379,2.7,211,1.5,7,20.1
27,Breece Hall,NYJ,22,RB,12,12,137,585,2,20,319,2.3,266,1.9,9,15.2
28,Kyren Williams,LAR,23,RB,8,7,134,687,7,37,503,3.8,184,1.4,9,14.9
29,Alvin Kamara,NOR,28,RB,9,9,133,508,4,32,337,2.5,171,1.3,5,26.6
30,James Conner,ARI,28,RB,9,9,129,631,4,32,439,3.4,192,1.5,19,6.8
31,Dameon Pierce,HOU,23,RB,9,7,129,382,2,14,165,1.3,217,1.7,12,10.8
32,Devin Singletary,HOU,26,RB,12,5,128,525,2,20,345,2.7,180,1.4,6,21.3
33,Austin Ekeler,LAC,28,RB,9,9,126,446,4,22,249,2,197,1.6,7,18
34,Jalen Hurts,PHI,25,QB,12,12,121,430,12,50,373,3.1,57,0.5,1,121
35,Jahmyr Gibbs,DET,21,RB,10,3,117,626,5,26,361,3.1,265,2.3,10,11.7
36,Ezekiel Elliott,NWE,28,RB,12,0,112,429,2,26,279,2.5,150,1.3,1,112
