,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Tony Pollard,DAL,26,RB,3,3,62,264,2,16,146,2.4,118,1.9,2,31
2,Christian McCaffrey,SFO,27,RB,3,3,60,353,3,15,144,2.4,209,3.5,4,15
3,James Conner,ARI,28,RB,3,3,51,266,2,14,206,4,60,1.2,5,10.2
4,Derrick Henry,TEN,29,RB,3,3,51,163,1,9,81,1.6,82,1.6,3,17
5,Travis Etienne,JAX,24,RB,3,3,49,205,1,9,108,2.2,97,2,10,4.9
6,Zack Moss,IND,26,RB,2,2,48,210,1,14,128,2.7,82,1.7,2,24
7,Rachaad White,TAM,24,RB,3,3,48,150,1,8,74,1.5,76,1.6,4,12
8,Brian Robinson Jr.,WAS,24,RB,3,3,47,216,2,16,127,2.7,89,1.9,6,7.8
9,Kenneth Walker III,SEA,23,RB,3,3,47,204,4,13,142,3,62,1.3,7,6.7
10,Rhamondre Stevenson,NWE,25,RB,3,3,46,134,1,8,96,2.1,38,0.8,3,15.3
11,Josh Jacobs,LVR,25,RB,3,3,45,108,0,6,47,1,61,1.4,1,45
12,Joe Mixon,CIN,27,RB,3,3,45,180,1,11,78,1.7,102,2.3,2,22.5
13,D'Andre Swift,PHI,24,RB,3,2,45,308,1,16,219,4.9,89,2,7,6.4
14,James Cook,BUF,24,RB,3,3,44,267,0,12,144,3.3,123,2.8,2,22
15,Jerome Ford,CLE,24,RB,3,1,41,160,1,5,82,2,78,1.9,7,5.9
16,Raheem Mostert,MIA,31,RB,3,3,41,240,6,13,193,4.7,47,1.1,4,10.3
17,Miles Sanders,CAR,26,RB,3,3,41,139,1,6,78,1.9,61,1.5,3,13.7
18,Joshua Kelley,LAC,26,RB,3,2,40,142,1,12,95,2.4,47,1.2,3,13.3
19,Dameon Pierce,HOU,23,RB,3,3,40,100,1,3,54,1.4,46,1.2,4,10
20,AJ Dillon,GNB,25,RB,3,2,39,107,0,5,42,1.1,65,1.7,1,39
21,Alexander Mattison,MIN,25,RB,3,3,39,155,0,7,89,2.3,66,1.7,0,
22,Bijan Robinson,ATL,21,RB,3,3,39,213,0,13,126,3.2,87,2.2,3,13
23,Kyren Williams,LAR,23,RB,3,2,39,142,3,9,80,2.1,62,1.6,1,39
24,Tyler Allgeier,ATL,23,RB,3,1,38,135,2,9,38,1,97,2.6,8,4.8
25,David Montgomery,DET,26,RB,2,2,37,141,2,7,91,2.5,50,1.4,6,6.2
26,Javonte Williams,DEN,23,RB,3,3,36,138,0,6,53,1.5,85,2.4,4,9
27,Najee Harris,PIT,25,RB,3,3,35,139,0,7,63,1.8,76,2.2,4,8.8
28,Isiah Pacheco,KAN,24,RB,3,2,35,155,1,11,95,2.7,60,1.7,4,8.8
29,Lamar Jackson,BAL,26,QB,3,3,32,193,2,14,126,3.9,67,2.1,3,10.7
30,Jahmyr Gibbs,DET,21,RB,3,1,31,139,0,6,77,2.5,62,2,6,5.2
31,Jalen Hurts,PHI,25,QB,3,3,31,100,3,13,93,3,7,0.2,1,31
32,Saquon Barkley,NYG,26,RB,2,2,29,114,1,7,48,1.7,66,2.3,3,9.7
33,Gus Edwards,BAL,28,RB,3,1,29,145,1,10,102,3.5,43,1.5,0,
34,Nick Chubb,CLE,28,RB,2,2,28,170,0,8,100,3.6,70,2.5,2,14
35,Ezekiel Elliott,NWE,28,RB,3,0,28,122,0,8,89,3.2,33,1.2,0,
36,Kenneth Gainwell,PHI,24,RB,2,1,28,97,0,4,65,2.3,32,1.1,2,14
37,Jamaal Williams,NOR,28,RB,2,2,27,74,0,3,44,1.6,30,1.1,1,27
38,Breece Hall,NYJ,22,RB,3,3,26,154,0,4,41,1.6,113,4.3,1,26
39,Dalvin Cook,NYJ,28,RB,3,0,25,58,0,4,26,1,32,1.3,4,6.3
40,Justin Fields,CHI,24,QB,3,3,24,109,1,7,75,3.1,34,1.4,5,4.8
41,Daniel Jones,NYG,26,QB,3,3,24,107,1,9,99,4.1,8,0.3,0,
42,Khalil Herbert,CHI,25,RB,3,3,23,93,0,5,45,2,48,2.1,5,4.6
43,Cam Akers,LAR,24,RB,1,1,22,29,1,4,15,0.7,14,0.6,4,5.5
44,Clyde Edwards-Helaire,KAN,24,RB,3,1,22,77,1,5,56,2.5,21,1,2,11
45,Tony Jones,NOR,26,RB,3,1,21,70,2,6,45,2.1,25,1.2,0,
46,Devin Singletary,HOU,26,RB,3,0,20,70,0,1,47,2.4,23,1.2,0,
47,De'Von Achane,MIA,22,RB,2,0,19,208,2,6,161,8.5,47,2.5,0,
48,Justice Hill,BAL,26,RB,2,1,19,50,2,4,24,1.3,26,1.4,2,9.5
49,Rico Dowdle,DAL,25,RB,3,0,17,71,0,3,39,2.3,32,1.9,0,
50,Roschon Johnson,CHI,22,RB,3,0,17,90,1,5,62,3.6,28,1.6,1,17
51,Jaylen Warren,PIT,25,RB,3,0,17,55,0,2,33,1.9,22,1.3,1,17
52,Zach Charbonnet,SEA,22,RB,3,0,16,73,0,7,43,2.7,30,1.9,3,5.3
53,Austin Ekeler,LAC,28,RB,1,1,16,117,1,4,61,3.8,56,3.5,2,8
54,Taysom Hill,NOR,33,QB,3,1,16,91,0,5,46,2.9,45,2.8,3,5.3
