,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Josh Jacobs,LVR,25,RB,12,12,220,771,6,33,489,2.2,282,1.3,10,22
2,Travis Etienne,JAX,24,RB,11,11,194,726,7,38,431,2.2,295,1.5,23,8.4
3,Christian McCaffrey,SFO,27,RB,11,11,193,939,11,56,558,2.9,381,2,7,27.6
4,Derrick Henry,TEN,29,RB,11,11,176,739,6,38,387,2.2,352,2,14,12.6
5,Saquon Barkley,NYG,26,RB,9,9,165,697,1,31,412,2.5,285,1.7,6,27.5
6,Joe Mixon,CIN,27,RB,11,11,161,621,4,38,390,2.4,231,1.4,6,26.8
7,D'Andre Swift,PHI,24,RB,11,10,161,770,4,36,511,3.2,259,1.6,14,11.5
8,Tony Pollard,DAL,26,RB,11,11,160,669,4,33,398,2.5,271,1.7,8,20
9,Alexander Mattison,MIN,25,RB,12,12,158,594,0,24,354,2.2,240,1.5,4,39.5
10,Isiah Pacheco,KAN,24,RB,11,10,158,669,5,40,459,2.9,210,1.3,12,13.2
11,Rachaad White,TAM,24,RB,11,11,156,559,4,28,354,2.3,205,1.3,7,22.3
12,James Cook,BUF,24,RB,12,8,153,731,1,36,410,2.7,321,2.1,2,76.5
13,Brian Robinson Jr.,WAS,24,RB,12,12,153,611,5,40,365,2.4,246,1.6,13,11.8
14,Raheem Mostert,MIA,31,RB,11,11,151,785,13,42,508,3.4,277,1.8,10,15.1
15,Kenneth Walker III,SEA,23,RB,10,10,149,613,6,28,435,2.9,178,1.2,9,16.6
16,Rhamondre Stevenson,NWE,25,RB,11,11,147,580,4,33,286,1.9,294,2,11,13.4
17,Jerome Ford,CLE,24,RB,11,7,145,628,3,24,400,2.8,228,1.6,11,13.2
18,Najee Harris,PIT,25,RB,11,11,143,598,4,30,286,2,312,2.2,19,7.5
19,Gus Edwards,BAL,28,RB,12,6,141,590,10,38,379,2.7,211,1.5,7,20.1
20,Zack Moss,IND,26,RB,10,5,141,672,5,34,389,2.8,283,2,2,70.5
21,Bijan Robinson,ATL,21,RB,11,10,141,703,3,38,447,3.2,256,1.8,8,17.6
22,Javonte Williams,DEN,23,RB,10,9,140,538,0,23,301,2.2,237,1.7,9,15.6
23,Tyler Allgeier,ATL,23,RB,11,2,135,466,3,29,206,1.5,260,1.9,10,13.5
24,David Montgomery,DET,26,RB,8,8,133,648,9,35,370,2.8,278,2.1,15,8.9
25,AJ Dillon,GNB,25,RB,11,4,131,448,1,23,239,1.8,209,1.6,4,32.8
26,Breece Hall,NYJ,22,RB,11,11,124,569,2,19,308,2.5,261,2.1,9,13.8
27,Devin Singletary,HOU,26,RB,11,4,120,489,2,19,321,2.7,168,1.4,6,20
28,Alvin Kamara,NOR,28,RB,8,8,119,457,2,27,313,2.6,144,1.2,4,29.8
29,Chuba Hubbard,CAR,24,RB,11,6,118,453,2,29,265,2.2,188,1.6,9,13.1
30,Jalen Hurts,PHI,25,QB,11,11,114,410,11,49,353,3.1,57,0.5,1,114
31,Dameon Pierce,HOU,23,RB,8,7,114,341,1,13,149,1.3,192,1.7,11,10.4
32,Kyren Williams,LAR,23,RB,7,6,113,599,6,32,435,3.8,164,1.5,5,22.6
33,Austin Ekeler,LAC,28,RB,8,8,112,428,4,18,243,2.2,185,1.7,6,18.7
34,Lamar Jackson,BAL,26,QB,12,12,112,574,5,36,437,3.9,137,1.2,7,16
35,Jahmyr Gibbs,DET,21,RB,9,3,109,566,5,25,339,3.1,227,2.1,10,10.9
36,James Conner,ARI,28,RB,8,8,104,526,2,26,345,3.3,181,1.7,13,8
