,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Travis Etienne,JAX,24,RB,7,7,127,504,7,26,275,2.2,229,1.8,17,7.5
2,Christian McCaffrey,SFO,27,RB,7,7,125,598,8,34,307,2.5,291,2.3,6,20.8
3,Josh Jacobs,LVR,25,RB,7,7,118,347,2,17,205,1.7,142,1.2,3,39.3
4,Zack Moss,IND,26,RB,6,5,114,523,4,28,295,2.6,228,2,2,57
5,Kenneth Walker III,SEA,23,RB,6,6,109,450,6,25,290,2.7,160,1.5,9,12.1
6,D'Andre Swift,PHI,24,RB,7,6,101,514,2,27,357,3.5,157,1.6,9,11.2
7,Isiah Pacheco,KAN,24,RB,7,6,100,419,3,25,283,2.8,136,1.4,11,9.1
8,Derrick Henry,TEN,29,RB,6,6,98,425,3,20,229,2.3,196,2,8,12.3
9,Dameon Pierce,HOU,23,RB,6,6,97,281,1,11,127,1.3,154,1.6,9,10.8
10,Kyren Williams,LAR,23,RB,6,5,97,456,6,26,330,3.4,126,1.3,3,32.3
11,Tyler Allgeier,ATL,23,RB,7,2,96,301,2,20,125,1.3,176,1.8,9,10.7
12,Joe Mixon,CIN,27,RB,6,6,96,366,1,22,217,2.3,149,1.6,2,48
13,Tony Pollard,DAL,26,RB,6,6,96,370,2,21,212,2.2,158,1.6,2,48
14,David Montgomery,DET,26,RB,5,5,94,385,6,23,246,2.6,139,1.5,12,7.8
15,Alexander Mattison,MIN,25,RB,7,7,90,359,0,12,202,2.2,157,1.7,1,90
16,James Cook,BUF,24,RB,7,5,88,419,1,22,216,2.5,203,2.3,2,44
17,Rhamondre Stevenson,NWE,25,RB,7,7,87,268,2,13,162,1.9,106,1.2,4,21.8
18,Gus Edwards,BAL,28,RB,7,3,86,346,2,19,223,2.6,123,1.4,6,14.3
19,Brian Robinson Jr.,WAS,24,RB,7,7,85,325,4,23,196,2.3,129,1.5,7,12.1
20,Raheem Mostert,MIA,31,RB,7,7,84,474,9,26,307,3.7,167,2,6,14
21,Rachaad White,TAM,24,RB,6,6,83,266,1,11,172,2.1,94,1.1,5,16.6
22,Bijan Robinson,ATL,21,RB,7,6,81,404,0,22,266,3.3,138,1.7,7,11.6
23,AJ Dillon,GNB,25,RB,6,3,79,255,1,13,120,1.5,135,1.7,2,39.5
24,Jerome Ford,CLE,24,RB,6,3,78,344,2,10,228,2.9,116,1.5,9,8.7
25,Najee Harris,PIT,25,RB,6,6,77,300,1,16,141,1.8,159,2.1,14,5.5
26,Saquon Barkley,NYG,26,RB,4,4,74,284,1,13,165,2.2,119,1.6,4,18.5
27,Jalen Hurts,PHI,25,QB,7,7,74,274,6,34,228,3.1,46,0.6,1,74
28,Lamar Jackson,BAL,26,QB,7,7,69,363,5,26,273,4,90,1.3,6,11.5
29,Alvin Kamara,NOR,28,RB,4,4,69,261,1,17,187,2.7,74,1.1,2,34.5
30,James Conner,ARI,28,RB,5,5,68,364,2,16,272,4,92,1.4,6,11.3
31,Breece Hall,NYJ,22,RB,6,6,66,426,2,15,246,3.7,180,2.7,3,22
32,Joshua Kelley,LAC,26,RB,6,3,65,284,2,17,157,2.4,127,2,5,13
33,Javonte Williams,DEN,23,RB,6,5,63,272,0,14,121,1.9,151,2.4,6,10.5
34,Miles Sanders,CAR,26,RB,5,5,61,190,1,9,97,1.6,93,1.5,3,20.3
35,Ezekiel Elliott,NWE,28,RB,7,0,60,224,2,16,158,2.6,66,1.1,0,
36,Chuba Hubbard,CAR,24,RB,6,1,54,242,1,18,148,2.7,94,1.7,5,10.8
37,Khalil Herbert,CHI,25,RB,5,5,51,272,0,12,149,2.9,123,2.4,5,10.2
38,Jahmyr Gibbs,DET,21,RB,5,2,50,247,1,11,164,3.3,83,1.7,7,7.1
39,Kenneth Gainwell,PHI,24,RB,6,1,49,157,1,8,105,2.1,52,1.1,2,24.5
40,Justin Fields,CHI,24,QB,6,6,47,237,1,16,170,3.6,67,1.4,5,9.4
41,Austin Ekeler,LAC,28,RB,3,3,44,189,1,6,112,2.5,77,1.8,2,22
42,Cam Akers,2TM,24,,5,1,43,123,1,8,68,1.6,55,1.3,6,7.2
43,Joshua Dobbs,ARI,28,QB,7,7,41,232,2,17,162,4,70,1.7,2,20.5
44,Justice Hill,BAL,26,RB,6,3,41,196,3,12,131,3.2,65,1.6,6,6.8
45,Trevor Lawrence,JAX,24,QB,7,7,41,206,0,11,178,4.3,28,0.7,2,20.5
46,Jaylen Warren,PIT,25,RB,6,0,40,156,1,8,101,2.5,55,1.4,6,6.7
47,Dalvin Cook,NYJ,28,RB,6,0,39,109,0,7,52,1.3,57,1.5,6,6.5
