,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Christian McCaffrey,SFO,27,RB,4,4,80,459,6,23,209,2.6,250,3.1,4,20
2,Derrick Henry,TEN,29,RB,4,4,73,285,2,16,140,1.9,145,2,4,18.3
3,Tony Pollard,DAL,26,RB,4,4,73,311,2,18,173,2.4,138,1.9,2,36.5
4,Travis Etienne,JAX,24,RB,4,4,69,260,1,10,150,2.2,110,1.6,10,6.9
5,David Montgomery,DET,26,RB,3,3,69,262,5,16,168,2.4,94,1.4,12,5.8
6,Zack Moss,IND,26,RB,3,3,66,280,1,17,160,2.4,120,1.8,2,33
7,Dameon Pierce,HOU,23,RB,4,4,64,181,1,7,87,1.4,94,1.5,7,9.1
8,Kenneth Walker III,SEA,23,RB,4,4,64,283,5,17,221,3.5,62,1,7,9.1
9,Kyren Williams,LAR,23,RB,4,3,64,245,5,15,153,2.4,92,1.4,1,64
10,Rachaad White,TAM,24,RB,4,4,63,206,1,11,130,2.1,76,1.2,4,15.8
11,James Conner,ARI,28,RB,4,4,62,318,2,15,242,3.9,76,1.2,5,12.4
12,Josh Jacobs,LVR,25,RB,4,4,62,166,1,10,86,1.4,80,1.3,1,62
13,Brian Robinson Jr.,WAS,24,RB,4,4,61,261,3,20,151,2.5,110,1.8,7,8.7
14,Rhamondre Stevenson,NWE,25,RB,4,4,60,164,1,9,99,1.7,65,1.1,3,20
15,Joe Mixon,CIN,27,RB,4,4,59,247,1,15,128,2.2,119,2,2,29.5
16,D'Andre Swift,PHI,24,RB,4,3,59,364,2,17,250,4.2,114,1.9,9,6.6
17,Joshua Kelley,LAC,26,RB,4,3,57,207,1,15,114,2,93,1.6,4,14.3
18,James Cook,BUF,24,RB,4,4,56,296,1,14,173,3.1,123,2.2,2,28
19,Alexander Mattison,MIN,25,RB,4,4,56,250,0,10,141,2.5,109,1.9,0,
20,Isiah Pacheco,KAN,24,RB,4,3,55,270,2,16,189,3.4,81,1.5,8,6.9
21,Miles Sanders,CAR,26,RB,4,4,54,158,1,7,84,1.6,74,1.4,3,18
22,Bijan Robinson,ATL,21,RB,4,4,53,318,0,18,221,4.2,97,1.8,3,17.7
23,Jerome Ford,CLE,24,RB,4,2,50,186,1,6,106,2.1,80,1.6,8,6.3
24,Najee Harris,PIT,25,RB,4,4,49,210,0,10,82,1.7,128,2.6,8,6.1
25,Raheem Mostert,MIA,31,RB,4,4,48,249,6,14,202,4.2,47,1,4,12
26,Tyler Allgeier,ATL,23,RB,4,1,45,151,2,10,47,1,104,2.3,8,5.6
27,AJ Dillon,GNB,25,RB,4,2,44,118,0,6,53,1.2,65,1.5,1,44
28,Gus Edwards,BAL,28,RB,4,2,44,193,1,11,138,3.1,55,1.3,2,22
29,Khalil Herbert,CHI,25,RB,4,4,41,196,0,10,116,2.8,80,2,5,8.2
30,Lamar Jackson,BAL,26,QB,4,4,41,220,4,17,153,3.7,67,1.6,3,13.7
31,Jalen Hurts,PHI,25,QB,4,4,40,134,3,17,124,3.1,10,0.3,1,40
32,Jahmyr Gibbs,DET,21,RB,4,1,39,179,0,8,117,3,62,1.6,6,6.5
