Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,CeeDee Lamb,DAL,24,WR,15,15,151,109,1424,9,66,908,8.3,516,4.7,10.1,7,15.6,5,3.3,0,121.4
2,Keenan Allen,LAC,31,WR,13,13,150,108,1243,7,57,847,7.8,396,3.7,9.6,5,21.6,5,3.3,2,106.6
3,Tyreek Hill,MIA,29,WR,14,14,146,106,1641,12,75,1012,9.5,629,5.9,10.5,12,8.8,10,6.8,3,128.3
4,Amon-Ra St. Brown,DET,24,WR,14,14,146,106,1281,8,65,728,6.9,553,5.2,7.2,7,15.1,8,5.5,3,108.8
5,A.J. Brown,PHI,26,WR,15,15,152,101,1394,7,66,941,9.3,453,4.5,11.8,9,11.2,7,4.6,4,100.1
6,Michael Pittman Jr.,IND,26,WR,14,13,143,99,1062,4,49,594,6,468,4.7,7.9,2,49.5,2,1.4,6,82.6
7,Evan Engram,JAX,29,TE,15,13,124,98,824,3,38,375,3.8,449,4.6,5,3,32.7,6,4.8,2,95.7
8,Stefon Diggs,BUF,30,WR,15,15,145,96,1070,8,54,709,7.4,361,3.8,9.9,8,12,8,5.5,4,94.9
9,Puka Nacua,LAR,22,WR,15,15,146,96,1327,5,62,812,8.5,515,5.4,9.3,6,16,10,6.8,2,100.5
10,T.J. Hockenson,MIN,26,TE,15,11,127,95,960,5,48,624,6.6,336,3.5,7.7,4,23.8,4,3.1,1,105.8
11,Adam Thielen,CAR,33,WR,15,15,128,95,964,4,54,640,6.7,324,3.4,7.8,2,47.5,6,4.7,1,102.5
12,Ja'Marr Chase,CIN,23,WR,14,14,132,93,1156,7,60,635,6.8,521,5.6,8.6,6,15.5,5,3.8,2,108.6
13,Travis Kelce,KAN,34,TE,14,14,117,90,968,5,50,504,5.6,464,5.2,6.8,4,22.5,7,6,2,107.8
14,Garrett Wilson,NYJ,23,WR,15,15,153,88,958,3,43,656,7.5,302,3.4,10.2,10,8.8,6,3.9,5,69
15,Davante Adams,LVR,31,WR,15,15,146,85,972,5,47,672,7.9,300,3.5,11.2,1,85,6,4.1,6,72.6
16,D.J. Moore,CHI,26,WR,15,15,117,83,1141,7,53,686,8.3,455,5.5,11.1,8,10.4,3,2.6,3,111.1
17,Chris Olave,NOR,23,WR,14,10,129,81,1041,4,52,710,8.8,331,4.1,13.6,3,27,5,3.9,3,88.7
18,DeVonta Smith,PHI,25,WR,15,15,107,78,1036,7,46,750,9.6,286,3.7,11.7,4,19.5,4,3.7,3,113.3
19,Tyler Lockett,SEA,31,WR,15,15,113,76,813,4,45,610,8,203,2.7,10.6,1,76,4,3.5,4,85.2
20,David Njoku,CLE,27,TE,15,15,115,75,748,6,32,247,3.3,501,6.7,4.4,8,9.4,11,9.6,3,90.1
21,Zay Flowers,BAL,23,WR,15,15,105,74,752,4,39,406,5.5,346,4.7,8.1,8,9.3,4,3.8,1,99.4
22,Chris Godwin,TAM,27,WR,15,15,119,74,892,1,48,554,7.5,338,4.6,9,2,37,5,4.2,3,77.4
23,Sam LaPorta,DET,22,TE,15,12,101,74,776,9,40,463,6.3,313,4.2,7.5,9,8.2,5,5,2,116.6
24,Rashee Rice,KAN,23,WR,15,7,96,74,811,7,40,247,3.3,564,7.6,4.7,3,24.7,8,8.3,1,121.5
