Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Puka Nacua,LAR,22,WR,5,5,63,46,572,2,30,397,8.6,175,3.8,9.6,1,46,6,9.5,1,104.7
2,Ja'Marr Chase,CIN,23,WR,5,5,60,44,476,3,30,242,5.5,234,5.3,7.5,4,11,1,1.7,0,112.9
3,Stefon Diggs,BUF,30,WR,5,5,50,39,520,5,24,385,9.9,135,3.5,11.1,5,7.8,1,2,2,126.7
4,Adam Thielen,CAR,33,WR,5,5,46,38,394,3,25,241,6.3,153,4,7.4,1,38,1,2.2,0,124.1
5,Davante Adams,LVR,31,WR,5,5,54,37,442,3,26,336,9.1,106,2.9,10.8,0,,2,3.7,1,104.1
6,Tyreek Hill,MIA,29,WR,5,5,49,36,651,5,29,378,10.5,273,7.6,12.2,4,9,2,4.1,1,140.9
7,Justin Jefferson,MIN,24,WR,5,5,53,36,571,3,28,389,10.8,182,5.1,10.7,1,36,1,1.9,0,122.4
8,Keenan Allen,LAC,31,WR,4,4,44,35,434,3,19,274,7.8,160,4.6,9.1,1,35,1,2.3,0,130.5
9,A.J. Brown,PHI,26,WR,5,5,51,35,541,2,26,346,9.9,195,5.6,13.6,2,17.5,2,3.9,1,108.4
10,Michael Pittman Jr.,IND,26,WR,5,5,46,31,297,1,14,159,5.1,138,4.5,7.7,0,,0,0,0,92.4
11,T.J. Hockenson,MIN,26,TE,5,3,39,30,254,2,14,140,4.7,114,3.8,6.6,1,30,2,5.1,1,99.7
12,Christian Kirk,JAX,27,WR,5,5,43,30,335,1,15,232,7.7,103,3.4,7.4,2,15,2,4.7,0,100.4
13,Evan Engram,JAX,29,TE,5,5,37,29,260,0,12,87,3,173,6,4.2,1,29,4,10.8,0,95.9
14,Zay Flowers,BAL,23,WR,5,5,40,29,317,0,13,192,6.6,125,4.3,8.6,4,7.3,0,0,1,85.1
15,Travis Kelce,KAN,34,TE,4,4,37,27,222,3,12,113,4.2,109,4,5.8,2,13.5,2,5.4,1,103.7
16,CeeDee Lamb,DAL,24,WR,5,5,35,27,358,1,15,213,7.9,145,5.4,8.1,2,13.5,0,0,0,118.5
17,D.J. Moore,CHI,26,WR,5,5,34,27,531,5,21,302,11.2,229,8.5,13.1,3,9,1,2.9,0,158.3
18,DeAndre Hopkins,TEN,31,WR,5,5,42,26,356,0,19,300,11.5,56,2.2,13.3,1,26,2,4.8,3,59.2
19,Amon-Ra St. Brown,DET,24,WR,4,4,35,26,331,2,16,235,9,96,3.7,8.8,4,6.5,2,5.7,2,98.6
20,Michael Thomas,NOR,30,WR,5,3,39,26,284,0,15,238,9.2,46,1.8,10.9,1,26,0,0,0,88
21,Marquise Brown,ARI,26,WR,5,5,42,25,300,3,19,207,8.3,93,3.7,11.8,2,12.5,2,4.8,0,105.3
22,Nico Collins,HOU,24,WR,5,2,36,25,467,3,19,254,10.2,213,8.5,11.4,6,4.2,1,2.8,0,139.8
23,Sam LaPorta,DET,22,TE,5,4,31,25,289,3,14,158,6.3,131,5.2,7,4,6.3,2,6.5,0,137.8
24,Terry McLaurin,WAS,28,WR,5,5,31,25,261,1,13,195,7.8,66,2.6,11.2,1,25,0,0,0,112.5
25,Jakobi Meyers,LVR,27,WR,4,4,36,25,274,3,14,217,8.7,57,2.3,9.3,2,12.5,0,0,3,84.7
26,Chris Olave,NOR,23,WR,5,3,43,25,318,1,16,200,8,118,4.7,14.1,0,,0,0,2,69.7
27,Tutu Atwell,LAR,24,WR,5,5,40,24,279,2,17,216,9,63,2.6,10.2,0,,2,5,1,87.4
28,Garrett Wilson,NYJ,23,WR,5,5,43,24,279,2,12,175,7.3,104,4.3,10.3,3,8,2,4.7,3,62.1
29,Tyler Boyd,CIN,29,WR,5,5,34,23,166,0,7,99,4.3,67,2.9,5.7,0,,1,2.9,1,66.5
30,Josh Downs,IND,22,WR,5,3,33,23,255,0,11,139,6,116,5,6.8,1,23,1,3,0,92.4
31,Josh Jacobs,LVR,25,RB,5,5,30,23,193,0,9,8,0.3,185,8,0.9,1,23,0,0,1,78.9
32,Cole Kmet,CHI,24,TE,5,5,29,23,231,3,13,129,5.6,102,4.4,6.7,1,23,0,0,1,120
33,Curtis Samuel,WAS,27,WR,5,3,27,23,243,1,11,155,6.7,88,3.8,7.1,2,11.5,1,3.7,2,85.6
34,DeVonta Smith,PHI,25,WR,5,5,34,23,290,2,9,225,9.8,65,2.8,12.4,0,,0,0,2,89.1
35,Darren Waller,NYG,31,TE,5,5,34,23,239,0,11,148,6.4,91,4,9.1,0,,1,2.9,2,63.2
36,Zach Ertz,ARI,33,TE,5,5,34,22,146,1,6,107,4.9,39,1.8,7.7,0,,1,2.9,1,71.4
37,George Pickens,PIT,22,WR,5,5,40,22,393,2,14,258,11.7,135,6.1,12.4,1,22,0,0,1,95.1
38,Calvin Ridley,JAX,29,WR,5,5,36,22,333,2,16,278,12.6,55,2.5,12.3,0,,3,8.3,0,110.1
39,Brandon Aiyuk,SFO,25,WR,4,4,27,21,378,2,20,322,15.3,56,2.7,15.7,0,,1,3.7,0,143.4
40,Romeo Doubs,GNB,23,WR,5,4,37,21,228,3,14,187,8.9,41,2,10.6,0,,1,2.7,3,68.3
41,Chris Godwin,TAM,27,WR,4,4,30,21,255,0,14,150,7.1,105,5,8.7,0,,0,0,2,68.1
42,Dallas Goedert,PHI,28,TE,5,5,28,21,205,1,9,121,5.8,84,4,6.7,2,10.5,1,3.6,0,107
43,Bijan Robinson,ATL,21,RB,5,5,24,21,146,2,9,-29,-1.4,175,8.3,-1.1,4,5.3,2,8.3,0,119.8
44,Jonnu Smith,ATL,28,TE,5,1,27,21,246,0,11,122,5.8,124,5.9,6.7,2,10.5,2,7.4,1,89.2
45,Courtland Sutton,DEN,28,WR,5,5,31,21,229,3,11,175,8.3,54,2.6,9.8,0,,0,0,1,108.1
46,Jaylen Warren,PIT,25,RB,5,0,25,21,166,0,7,-37,-1.8,203,9.7,-1.4,4,5.3,1,4,0,94.3
47,Robert Woods,HOU,31,WR,5,5,40,21,221,0,14,162,7.7,59,2.8,9.2,0,,2,5,0,68.9
48,Mark Andrews,BAL,28,TE,4,3,28,20,225,3,12,137,6.9,88,4.4,6.6,3,6.7,3,10.7,0,130.8
49,Mike Evans,TAM,30,WR,4,4,31,20,337,3,12,234,11.7,103,5.2,13.5,2,10,3,9.7,0,133.4
50,Jake Ferguson,DAL,24,TE,5,4,28,20,175,1,9,72,3.6,103,5.2,4.1,3,6.7,3,10.7,0,99.6
51,Christian McCaffrey,SFO,27,RB,5,5,24,20,168,1,12,12,0.6,156,7.8,0.6,1,20,0,0,0,109.7
52,Deebo Samuel,SFO,27,WR,5,5,31,20,302,1,12,138,6.9,164,8.2,7.4,5,4,0,0,0,107.2
53,Jordan Addison,MIN,21,WR,5,2,29,19,249,3,10,187,9.8,62,3.3,12.3,1,19,0,0,1,112.6
54,Tank Dell,HOU,24,WR,5,3,28,19,324,2,13,227,11.9,97,5.1,12.9,0,,0,0,0,130.7
