,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Josh Jacobs,LVR,25,RB,10,10,186,622,5,30,416,2.2,206,1.1,10,18.6
2,Travis Etienne,JAX,24,RB,9,9,160,618,7,33,364,2.3,254,1.6,17,9.4
3,Christian McCaffrey,SFO,27,RB,9,9,153,747,9,44,415,2.7,332,2.2,6,25.5
4,Derrick Henry,TEN,29,RB,9,9,148,625,4,30,348,2.4,277,1.9,9,16.4
5,Kenneth Walker III,SEA,23,RB,9,9,145,595,6,28,417,2.9,178,1.2,9,16.1
6,Saquon Barkley,NYG,26,RB,7,7,139,568,1,26,341,2.5,227,1.6,5,27.8
7,Joe Mixon,CIN,27,RB,9,9,137,536,4,34,325,2.4,211,1.5,6,22.8
8,Tony Pollard,DAL,26,RB,9,9,135,529,2,27,304,2.3,225,1.7,5,27
9,D'Andre Swift,PHI,24,RB,9,8,135,614,3,30,419,3.1,195,1.4,11,12.3
10,Zack Moss,IND,26,RB,9,5,133,617,5,31,361,2.7,256,1.9,2,66.5
11,Rachaad White,TAM,24,RB,9,9,132,429,3,20,268,2,161,1.2,7,18.9
12,Alexander Mattison,MIN,25,RB,10,10,130,461,0,18,259,2,202,1.6,3,43.3
13,Rhamondre Stevenson,NWE,25,RB,10,10,126,482,3,25,241,1.9,241,1.9,9,14
14,Tyler Allgeier,ATL,23,RB,10,2,125,402,3,25,169,1.4,233,1.9,10,12.5
15,Bijan Robinson,ATL,21,RB,10,9,125,612,2,32,394,3.2,218,1.7,8,15.6
16,Jerome Ford,CLE,24,RB,9,5,124,532,2,19,328,2.6,204,1.6,9,13.8
17,Isiah Pacheco,KAN,24,RB,9,8,124,525,3,30,348,2.8,177,1.4,12,10.3
18,Gus Edwards,BAL,28,RB,10,5,121,502,8,30,299,2.5,203,1.7,7,17.3
19,Brian Robinson Jr.,WAS,24,RB,10,10,121,485,5,32,295,2.4,190,1.6,11,11
20,James Cook,BUF,24,RB,10,7,120,615,1,31,323,2.7,292,2.4,2,60
21,Najee Harris,PIT,25,RB,9,9,116,464,3,24,239,2.1,225,1.9,15,7.7
22,Javonte Williams,DEN,23,RB,8,7,111,436,0,20,232,2.1,204,1.8,8,13.9
23,Raheem Mostert,MIA,31,RB,9,9,109,605,11,32,401,3.7,204,1.9,7,15.6
24,Dameon Pierce,HOU,23,RB,7,7,109,327,1,12,139,1.3,188,1.7,10,10.9
25,Breece Hall,NYJ,22,RB,9,9,107,521,2,17,290,2.7,231,2.2,8,13.4
26,David Montgomery,DET,26,RB,6,6,106,501,7,26,294,2.8,207,2,12,8.8
27,Alvin Kamara,NOR,28,RB,7,7,104,388,2,24,282,2.7,106,1,4,26
28,AJ Dillon,GNB,25,RB,9,3,103,376,1,18,196,1.9,180,1.7,4,25.8
29,Kyren Williams,LAR,23,RB,6,5,97,456,6,26,330,3.4,126,1.3,3,32.3
30,Chuba Hubbard,CAR,24,RB,9,4,94,351,1,25,189,2,162,1.7,9,10.4
31,Austin Ekeler,LAC,28,RB,6,6,92,332,4,13,197,2.1,135,1.5,4,23
32,Lamar Jackson,BAL,26,QB,10,10,92,481,5,33,346,3.8,135,1.5,7,13.1
33,Devin Singletary,HOU,26,RB,9,2,92,359,1,14,224,2.4,135,1.5,5,18.4
34,Jahmyr Gibbs,DET,21,RB,7,3,90,476,4,20,267,3,209,2.3,10,9
35,Jalen Hurts,PHI,25,QB,9,9,88,316,7,39,270,3.1,46,0.5,1,88
36,Ezekiel Elliott,NWE,28,RB,10,0,86,331,2,23,217,2.5,114,1.3,1,86
37,D'Onta Foreman,CHI,27,RB,6,5,86,367,3,20,263,3.1,104,1.2,6,14.3
38,Jonathan Taylor,IND,24,RB,6,4,85,323,2,16,148,1.7,175,2.1,9,9.4
39,James Conner,ARI,28,RB,6,6,84,437,2,21,302,3.6,135,1.6,11,7.6
40,Joshua Kelley,LAC,26,RB,9,3,79,339,2,18,191,2.4,148,1.9,5,15.8
41,Miles Sanders,CAR,26,RB,8,5,71,224,1,12,100,1.4,124,1.7,4,17.8
42,Jaylen Warren,PIT,25,RB,9,0,71,364,2,20,210,3,154,2.2,11,6.5
43,Kareem Hunt,CLE,28,RB,7,2,70,228,6,20,143,2,85,1.2,2,35
44,Joshua Dobbs,2TM,28,,10,9,62,368,5,26,235,3.8,133,2.1,5,12.4
45,Aaron Jones,GNB,29,RB,6,6,62,231,2,10,164,2.6,67,1.1,3,20.7
46,Cam Akers,2TM,24,,7,1,60,167,2,12,100,1.7,67,1.1,6,10
47,Justice Hill,BAL,26,RB,9,4,60,258,3,14,177,3,81,1.4,6,10
48,Kenneth Gainwell,PHI,24,RB,8,1,54,175,2,10,120,2.2,55,1,2,27
49,Khalil Herbert,CHI,25,RB,5,5,51,272,0,12,149,2.9,123,2.4,5,10.2
50,Latavius Murray,BUF,33,RB,10,3,51,215,3,19,125,2.5,90,1.8,1,51
51,Taysom Hill,NOR,33,QB,10,6,50,261,3,19,176,3.5,85,1.7,7,7.1
52,Emari Demercado,ARI,24,RB,8,2,49,195,1,8,136,2.8,59,1.2,2,24.5
53,Josh Allen,BUF,27,QB,10,10,48,246,7,23,184,3.8,62,1.3,1,48
54,Dalvin Cook,NYJ,28,RB,9,0,47,147,0,9,87,1.9,60,1.3,6,7.8
55,Rico Dowdle,DAL,25,RB,9,0,47,212,1,11,119,2.5,93,2,1,47
56,Justin Fields,CHI,24,QB,6,6,47,237,1,16,170,3.6,67,1.4,5,9.4
57,Matt Breida,NYG,28,RB,10,4,45,120,1,5,67,1.5,53,1.2,1,45
58,Jamaal Williams,NOR,28,RB,6,2,45,131,0,6,81,1.8,50,1.1,2,22.5
59,Trevor Lawrence,JAX,24,QB,9,9,44,223,0,11,185,4.2,38,0.9,3,14.7
60,Jaleel McLaughlin,DEN,23,RB,9,1,44,276,1,9,158,3.6,118,2.7,2,22
61,Tyjae Spears,TEN,22,RB,9,0,44,234,1,12,115,2.6,119,2.7,3,14.7
62,Patrick Mahomes,KAN,28,QB,9,9,42,258,0,17,253,6,5,0.1,0,
63,Craig Reynolds,DET,27,RB,9,0,41,179,1,11,104,2.5,75,1.8,1,41
64,Darrell Henderson,LAR,26,RB,3,3,40,111,1,4,44,1.1,67,1.7,1,40
65,Daniel Jones,NYG,26,QB,6,6,40,206,1,15,181,4.5,25,0.6,0,
66,Russell Wilson,DEN,35,QB,9,9,40,231,0,21,204,5.1,27,0.7,1,40
67,De'Von Achane,MIA,22,RB,4,1,38,460,5,15,270,7.1,190,5,5,7.6
68,Zach Charbonnet,SEA,22,RB,8,0,38,214,0,17,135,3.6,79,2.1,4,9.5
69,Roschon Johnson,CHI,22,RB,8,0,38,167,1,8,119,3.1,48,1.3,1,38
70,Baker Mayfield,TAM,28,QB,9,9,38,134,0,10,75,2,59,1.6,1,38
