,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Cam Akers,LAR,24,RB,1,1,22,29,1,4,29,1.3,0,0,0,
2,Christian McCaffrey,SFO,27,RB,1,1,22,152,1,7,45,2,107,4.9,1,22
3,David Montgomery,DET,26,RB,1,1,21,74,1,4,51,2.4,23,1.1,1,21
4,Josh Jacobs,LVR,25,RB,1,1,19,48,0,3,11,0.6,37,1.9,1,19
5,Brian Robinson Jr.,WAS,24,RB,1,1,19,59,0,5,54,2.8,5,0.3,1,19
6,Nick Chubb,CLE,28,RB,1,1,18,106,0,7,69,3.8,37,2.1,1,18
7,Travis Etienne,JAX,24,RB,1,1,18,77,1,4,31,1.7,46,2.6,5,3.6
8,Miles Sanders,CAR,26,RB,1,1,18,72,0,2,47,2.6,25,1.4,1,18
9,Jamaal Williams,NOR,28,RB,1,1,18,45,0,2,30,1.7,15,0.8,0,
10,Rachaad White,TAM,24,RB,1,1,17,39,0,1,20,1.2,19,1.1,0,
11,Austin Ekeler,LAC,28,RB,1,1,16,117,1,4,61,3.8,56,3.5,2,8
12,Joshua Kelley,LAC,26,RB,1,0,16,91,1,8,64,4,27,1.7,3,5.3
13,Tyler Allgeier,ATL,23,RB,1,0,15,75,2,5,17,1.1,58,3.9,6,2.5
14,Jerome Ford,CLE,24,RB,1,0,15,36,0,1,18,1.2,18,1.2,0,
15,Derrick Henry,TEN,29,RB,1,1,15,63,0,4,44,2.9,19,1.3,0,
16,Kyren Williams,LAR,23,RB,1,0,15,52,2,3,52,3.5,0,0,0,
17,James Conner,ARI,28,RB,1,1,14,62,0,3,51,3.6,11,0.8,2,7
18,Kenneth Gainwell,PHI,24,RB,1,1,14,54,0,4,43,3.1,11,0.8,2,7
19,Tony Pollard,DAL,26,RB,1,1,14,70,2,5,42,3,28,2,0,
20,Dalvin Cook,NYJ,28,RB,1,0,13,33,0,2,33,2.5,0,0,0,
21,AJ Dillon,GNB,25,RB,1,0,13,19,0,0,19,1.5,0,0,0,
22,Deon Jackson,IND,24,RB,1,1,13,14,0,1,2,0.2,12,0.9,0,
23,Daniel Jones,NYG,26,QB,1,1,13,43,0,3,35,2.7,8,0.6,0,
24,Joe Mixon,CIN,27,RB,1,1,13,56,0,2,15,1.2,41,3.2,1,13
25,Javonte Williams,DEN,23,RB,1,1,13,52,0,2,6,0.5,46,3.5,2,6.5
26,Saquon Barkley,NYG,26,RB,1,1,12,51,0,2,20,1.7,31,2.6,0,
27,James Cook,BUF,24,RB,1,1,12,46,0,5,46,3.8,0,0,0,
28,Rhamondre Stevenson,NWE,25,RB,1,1,12,25,0,1,23,1.9,2,0.2,0,
29,Kenneth Walker III,SEA,23,RB,1,1,12,64,0,3,64,5.3,0,0,0,
30,Alexander Mattison,MIN,25,RB,1,1,11,34,0,1,13,1.2,21,1.9,0,
31,Dameon Pierce,HOU,23,RB,1,1,11,38,0,,23,2.1,15,1.4,2,5.5
32,Breece Hall,NYJ,22,RB,1,1,10,127,0,2,127,12.7,0,0,0,
33,Raheem Mostert,MIA,31,RB,1,1,10,37,1,3,25,2.5,12,1.2,2,5
34,Anthony Richardson,IND,21,QB,1,1,10,40,1,3,25,2.5,15,1.5,0,
35,Bijan Robinson,ATL,21,RB,1,1,10,56,0,2,30,3,26,2.6,1,10
36,Justin Fields,CHI,24,QB,1,1,9,59,0,2,59,6.6,0,0,0,
37,Jimmy Garoppolo,LVR,32,QB,1,1,9,11,0,2,6,0.7,5,0.6,1,9
38,Khalil Herbert,CHI,25,RB,1,1,9,27,0,1,27,3,0,0,0,
39,Chuba Hubbard,CAR,24,RB,1,0,9,60,0,6,22,2.4,38,4.2,4,2.3
40,Jalen Hurts,PHI,25,QB,1,1,9,37,0,2,37,4.1,0,0,0,
41,Aaron Jones,GNB,29,RB,1,1,9,41,1,3,41,4.6,0,0,0,
42,J.K. Dobbins,BAL,25,RB,1,1,8,22,1,1,18,2.3,4,0.5,0,
43,Gus Edwards,BAL,28,RB,1,0,8,32,0,1,26,3.3,6,0.8,0,
44,Justice Hill,BAL,26,RB,1,0,8,9,2,2,4,0.5,5,0.6,2,4
45,Baker Mayfield,TAM,28,QB,1,1,8,11,0,2,4,0.5,7,0.9,0,
46,Isiah Pacheco,KAN,24,RB,1,0,8,23,0,2,13,1.6,10,1.3,0,
47,Samaje Perine,DEN,28,RB,1,0,8,41,0,3,7,0.9,34,4.3,0,
48,Tank Bigsby,JAX,22,RB,1,0,7,13,1,3,5,0.7,8,1.1,2,3.5
49,Ezekiel Elliott,NWE,28,RB,1,0,7,29,0,3,26,3.7,3,0.4,0,
50,Jahmyr Gibbs,DET,21,RB,1,0,7,42,0,2,19,2.7,23,3.3,6,1.2
51,Trevor Lawrence,JAX,24,QB,1,1,7,21,0,2,19,2.7,2,0.3,0,
52,Devin Singletary,HOU,26,RB,1,0,7,15,0,,10,1.4,5,0.7,0,
53,Josh Allen,BUF,27,QB,1,1,6,36,0,3,36,6,0,0,0,
54,Rico Dowdle,DAL,25,RB,1,0,6,24,0,1,14,2.3,10,1.7,0,
55,Clyde Edwards-Helaire,KAN,24,RB,1,1,6,22,0,1,22,3.7,0,0,0,
56,Najee Harris,PIT,25,RB,1,1,6,31,0,3,24,4,7,1.2,0,
57,Lamar Jackson,BAL,26,QB,1,1,6,38,0,3,17,2.8,21,3.5,1,6
58,Patrick Mahomes,KAN,28,QB,1,1,6,45,0,3,45,7.5,0,0,0,
59,Deuce Vaughn,DAL,22,RB,1,0,6,8,0,,6,1,2,0.3,0,
60,D'Onta Foreman,CHI,27,RB,1,0,5,16,0,2,16,3.2,0,0,0,
61,Jared Goff,DET,29,QB,1,1,5,-1,0,1,-1,-0.2,0,0,0,
62,Justin Herbert,LAC,25,QB,1,1,5,18,1,4,18,3.6,0,0,0,
63,Keaontay Ingram,ARI,24,RB,1,0,5,-4,0,,-11,-2.2,7,1.4,3,1.7
64,Roschon Johnson,CHI,22,RB,1,0,5,20,1,3,20,4,0,0,0,
65,Elijah Mitchell,SFO,25,RB,1,0,5,10,0,,2,0.4,8,1.6,0,
66,Tua Tagovailoa,MIA,25,QB,1,1,5,5,0,1,5,1,0,0,0,
67,Patrick Taylor,GNB,25,RB,1,0,5,22,0,1,22,4.4,0,0,0,
68,Sean Tucker,TAM,22,RB,1,0,5,15,0,1,9,1.8,6,1.2,0,
69,Deshaun Watson,CLE,28,QB,1,1,5,45,1,3,30,6,15,3,1,5
70,C.J. Stroud,HOU,22,QB,1,1,4,20,0,1,20,5,0,0,0,
71,Zach Wilson,NYJ,24,QB,1,0,4,6,0,1,6,1.5,0,0,0,
72,Salvon Ahmed,MIA,25,RB,1,0,3,11,0,,3,1,8,2.7,1,3
73,Derek Carr,NOR,32,QB,1,1,3,4,0,0,4,1.3,0,0,0,
74,Ty Chandler,MIN,25,RB,1,0,3,0,0,0,-1,-0.3,1,0.3,0,
75,Zach Charbonnet,SEA,22,RB,1,0,3,11,0,,11,3.7,0,0,0,
76,Kirk Cousins,MIN,35,QB,1,1,3,7,0,1,6,2,1,0.3,0,
77,Joshua Dobbs,ARI,28,QB,1,1,3,-3,0,0,-3,-1,0,0,0,
78,Antonio Gibson,WAS,25,RB,1,0,3,9,0,,9,3,0,0,0,
79,Taysom Hill,NOR,33,QB,1,0,3,4,0,,4,1.3,0,0,0,
80,Jordan Love,GNB,25,QB,1,1,3,12,0,1,12,4,0,0,0,
81,Brock Purdy,SFO,24,QB,1,1,3,20,0,1,14,4.7,6,2,0,
82,Chris Rodriguez,WAS,23,RB,1,0,3,7,0,1,7,2.3,0,0,0,
83,Tyjae Spears,TEN,22,RB,1,0,3,27,0,1,22,7.3,5,1.7,0,
84,Matthew Stafford,LAR,35,QB,1,1,3,11,0,1,11,3.7,0,0,0,
85,Ryan Tannehill,TEN,35,QB,1,1,3,5,0,0,0,0,5,1.7,0,
86,KaVontae Turpin,DAL,27,WR,1,0,3,14,1,1,9,3,5,1.7,0,
87,Jaylen Warren,PIT,25,RB,1,0,3,6,0,0,3,1,3,1,0,
88,Bryce Young,CAR,22,QB,1,1,3,17,0,1,16,5.3,1,0.3,0,
89,Jamal Agnew,JAX,28,WR,1,0,2,-2,0,,-2,-1,0,0,0,
90,Keenan Allen,LAC,31,WR,1,1,2,6,0,1,6,3,0,0,0,
91,Matt Breida,NYG,28,RB,1,0,2,9,0,1,2,1,7,3.5,0,
92,DeeJay Dallas,SEA,25,RB,1,0,2,4,0,0,4,2,0,0,0,
93,Sam Darnold,SFO,26,QB,1,0,2,-2,0,,-2,-1,0,0,0,
94,Chase Edmonds,TAM,27,RB,1,0,2,8,0,1,7,3.5,1,0.5,0,
95,Chris Evans,CIN,26,RB,1,0,2,12,0,,7,3.5,5,2.5,0,
96,Erik Ezukanma,MIA,23,WR,1,0,2,17,0,1,11,5.5,6,3,0,
97,Zay Flowers,BAL,23,WR,1,1,2,9,0,0,9,4.5,0,0,0,
98,Jake Funk,IND,25,RB,1,0,2,10,0,0,10,5,0,0,0,
99,Sam Howell,WAS,23,QB,1,1,2,11,1,1,11,5.5,0,0,0,
100,Mac Jones,NWE,25,QB,1,1,2,15,0,1,15,7.5,0,0,0,
101,Elijah Moore,CLE,23,WR,1,1,2,19,0,1,13,6.5,6,3,0,
102,Rondale Moore,ARI,23,WR,1,1,2,12,0,0,12,6,0,0,0,
103,Latavius Murray,BUF,33,RB,1,0,2,8,0,0,8,4,0,0,0,
104,Deebo Samuel,SFO,27,WR,1,1,2,8,0,0,5,2.5,3,1.5,0,
105,Rashid Shaheed,NOR,25,WR,1,0,2,11,0,0,11,5.5,0,0,0,
106,Laviska Shenault Jr.,CAR,25,WR,1,0,2,5,0,0,3,1.5,2,1,0,
107,Trayveon Williams,CIN,26,RB,1,0,2,7,0,,2,1,5,2.5,0,
108,Gary Brightwell,NYG,24,RB,1,0,1,5,0,,2,2,3,3,0,
109,Marquise Brown,ARI,26,WR,1,1,1,29,0,1,29,29,0,0,0,
110,Noah Brown,HOU,27,WR,1,0,1,-1,0,,-4,-4,3,3,1,1
111,Jake Browning,CIN,27,QB,1,0,1,-1,0,,-1,-1,0,0,0,
112,Treylon Burks,TEN,23,WR,1,1,1,9,0,0,7,7,2,2,0,
113,Joe Burrow,CIN,27,QB,1,1,1,-1,0,0,-1,-1,0,0,0,
114,Michael Carter,NYJ,24,RB,1,0,1,6,0,,6,6,0,0,0,
115,Ja'Marr Chase,CIN,23,WR,1,1,1,2,0,0,0,0,2,2,0,
116,Sean Clifford,GNB,25,QB,1,0,1,0,0,,0,0,0,0,0,
117,Gerald Everett,LAC,29,TE,1,1,1,2,0,0,2,2,0,0,0,
118,Damien Harris,BUF,26,RB,1,0,1,3,0,,3,3,0,0,0,
119,Deonte Harty,BUF,26,WR,1,0,1,4,0,0,4,4,0,0,0,
120,Evan Hull,IND,23,RB,1,0,1,1,0,,1,1,0,0,0,
121,Rakim Jarrett,TAM,22,WR,1,0,1,0,0,,0,0,0,0,0,
122,D'Ernest Johnson,JAX,27,RB,1,0,1,-4,0,,-4,-4,0,0,0,
123,Tony Jones,NOR,26,RB,1,0,1,5,0,,3,3,2,2,0,
124,Cole Kmet,CHI,24,TE,1,1,1,0,0,0,0,0,0,0,0,
125,Ty Montgomery,NWE,30,WR,1,0,1,7,0,0,7,7,0,0,0,
126,Skyy Moore,KAN,23,WR,1,1,1,4,0,,2,2,2,2,0,
127,Kenny Pickett,PIT,25,QB,1,1,1,4,0,0,4,4,0,0,0,
128,Dak Prescott,DAL,30,QB,1,1,1,6,0,0,6,6,0,0,0,
129,Jayden Reed,GNB,23,WR,1,1,1,-2,0,0,-2,-2,0,0,0,
130,Jalen Reeves-Maybin,DET,28,LB,1,0,1,3,0,1,3,3,0,0,0,
131,Rashee Rice,KAN,23,WR,1,0,1,-3,0,0,-3,-3,0,0,0,
132,Desmond Ridder,ATL,24,QB,1,1,1,-1,0,0,-1,-1,0,0,0,
133,Curtis Samuel,WAS,27,WR,1,0,1,6,0,0,6,6,0,0,0,
134,Boston Scott,PHI,28,RB,1,0,1,3,0,,3,3,0,0,0,
135,Geno Smith,SEA,33,QB,1,1,1,6,0,0,6,6,0,0,0,
136,D'Andre Swift,PHI,24,RB,1,0,1,3,0,,2,2,1,1,0,
137,Kadarius Toney,KAN,24,WR,1,1,1,-1,0,,-1,-1,0,0,0,
138,Zamir White,LVR,24,RB,1,0,1,2,0,,0,0,2,2,0,
139,Russell Wilson,DEN,35,QB,1,1,1,1,0,0,1,1,0,0,0,
