,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Christian McCaffrey,SFO,27,RB,5,5,99,510,7,28,254,2.6,256,2.6,4,24.8
2,Travis Etienne,JAX,24,RB,5,5,95,396,3,17,216,2.3,180,1.9,16,5.9
3,Zack Moss,IND,26,RB,4,4,89,445,3,24,249,2.8,196,2.2,2,44.5
4,David Montgomery,DET,26,RB,4,4,88,371,6,23,238,2.7,133,1.5,12,7.3
5,Derrick Henry,TEN,29,RB,5,5,86,328,2,17,159,1.8,169,2,4,21.5
6,Joe Mixon,CIN,27,RB,5,5,84,328,1,20,187,2.2,141,1.7,2,42
7,Dameon Pierce,HOU,23,RB,5,5,84,247,1,9,118,1.4,129,1.5,9,9.3
8,Josh Jacobs,LVR,25,RB,5,5,82,235,2,13,125,1.5,110,1.3,1,82
9,Tony Pollard,DAL,26,RB,5,5,81,340,2,19,200,2.5,140,1.7,2,40.5
10,Kyren Williams,LAR,23,RB,5,4,77,298,5,17,187,2.4,111,1.4,1,77
11,D'Andre Swift,PHI,24,RB,5,4,76,434,2,20,302,4,132,1.7,9,8.4
12,Isiah Pacheco,KAN,24,RB,5,4,71,325,3,20,213,3,112,1.6,9,7.9
13,James Conner,ARI,28,RB,5,5,68,364,2,16,272,4,92,1.4,6,11.3
14,Rhamondre Stevenson,NWE,25,RB,5,5,68,188,1,9,109,1.6,79,1.2,3,22.7
15,Bijan Robinson,ATL,21,RB,5,5,67,364,0,21,235,3.5,129,1.9,6,11.2
16,Brian Robinson Jr.,WAS,24,RB,5,5,67,271,3,21,156,2.3,115,1.7,7,9.6
17,AJ Dillon,GNB,25,RB,5,3,64,194,1,12,88,1.4,106,1.7,2,32
18,Alexander Mattison,MIN,25,RB,5,5,64,276,0,10,156,2.4,120,1.9,0,
19,Kenneth Walker III,SEA,23,RB,4,4,64,283,5,17,165,2.6,118,1.8,7,9.1
20,Najee Harris,PIT,25,RB,5,5,63,247,0,12,119,1.9,128,2,8,7.9
21,Rachaad White,TAM,24,RB,4,4,63,206,1,11,130,2.1,76,1.2,4,15.8
22,Tyler Allgeier,ATL,23,RB,5,1,62,191,2,14,60,1,131,2.1,8,7.8
23,James Cook,BUF,24,RB,5,5,61,292,1,14,154,2.5,138,2.3,2,30.5
24,Miles Sanders,CAR,26,RB,5,5,61,190,1,9,97,1.6,93,1.5,3,20.3
25,Raheem Mostert,MIA,31,RB,5,5,58,314,7,17,209,3.6,105,1.8,4,14.5
26,Joshua Kelley,LAC,26,RB,4,3,57,207,1,15,115,2,92,1.6,4,14.3
27,Gus Edwards,BAL,28,RB,5,3,56,241,1,13,186,3.3,55,1,2,28
28,Jalen Hurts,PHI,25,QB,5,5,55,206,4,25,171,3.1,35,0.6,1,55
29,Breece Hall,NYJ,22,RB,5,5,54,387,1,12,220,4.1,167,3.1,3,18
30,Khalil Herbert,CHI,25,RB,5,5,51,272,0,12,149,2.9,123,2.4,5,10.2
31,Jerome Ford,CLE,24,RB,4,2,50,186,1,6,106,2.1,80,1.6,8,6.3
32,Lamar Jackson,BAL,26,QB,5,5,47,265,4,18,198,4.2,67,1.4,5,9.4
33,Ezekiel Elliott,NWE,28,RB,5,0,42,159,0,10,116,2.8,43,1,0,
34,Justin Fields,CHI,24,QB,5,5,39,191,1,14,134,3.4,57,1.5,5,7.8
35,Kenneth Gainwell,PHI,24,RB,4,1,39,128,0,6,85,2.2,43,1.1,2,19.5
36,Jahmyr Gibbs,DET,21,RB,4,1,39,179,0,8,117,3,62,1.6,6,6.5
37,De'Von Achane,MIA,22,RB,4,1,38,460,5,15,270,7.1,190,5,5,7.6
38,Daniel Jones,NYG,26,QB,5,5,38,197,1,15,172,4.5,25,0.7,0,
39,Javonte Williams,DEN,23,RB,4,4,38,138,0,6,53,1.4,85,2.2,4,9.5
40,Dalvin Cook,NYJ,28,RB,5,0,36,97,0,6,46,1.3,51,1.4,6,6
41,Chuba Hubbard,CAR,24,RB,5,0,35,154,0,13,65,1.9,89,2.5,4,8.8
42,Jaylen Warren,PIT,25,RB,5,0,34,124,0,7,88,2.6,36,1.1,5,6.8
43,Alvin Kamara,NOR,28,RB,2,2,33,131,1,7,105,3.2,26,0.8,2,16.5
44,Cam Akers,2TM,24,,3,1,32,84,1,5,53,1.7,31,1,4,8
45,Matt Breida,NYG,28,RB,5,3,30,82,1,4,43,1.4,39,1.3,1,30
46,Trevor Lawrence,JAX,24,QB,5,5,30,132,0,8,109,3.6,23,0.8,2,15
47,Saquon Barkley,NYG,26,RB,2,2,29,114,1,7,48,1.7,66,2.3,3,9.7
48,Justice Hill,BAL,26,RB,4,1,29,115,3,10,75,2.6,40,1.4,4,7.3
49,Nick Chubb,CLE,28,RB,2,2,28,170,0,8,100,3.6,70,2.5,2,14
50,Clyde Edwards-Helaire,KAN,24,RB,5,1,28,93,1,5,67,2.4,26,0.9,2,14
51,Joshua Dobbs,ARI,28,QB,5,5,27,142,1,12,104,3.9,38,1.4,1,27
52,Devin Singletary,HOU,26,RB,5,0,27,95,0,2,54,2,41,1.5,1,27
53,Tyjae Spears,TEN,22,RB,5,0,27,156,1,9,74,2.7,82,3,3,9
54,Jamaal Williams,NOR,28,RB,2,2,27,74,0,3,44,1.6,30,1.1,1,27
55,Rico Dowdle,DAL,25,RB,5,0,25,95,0,5,51,2,44,1.8,0,
56,Roschon Johnson,CHI,22,RB,5,0,25,122,1,6,88,3.5,34,1.4,1,25
57,Anthony Richardson,IND,21,QB,4,4,25,136,4,8,112,4.5,24,1,0,
58,Samaje Perine,DEN,28,RB,5,1,24,88,0,5,36,1.5,52,2.2,0,
59,Taysom Hill,NOR,33,QB,5,2,23,120,0,7,69,3,51,2.2,4,5.8
60,Patrick Mahomes,KAN,28,QB,5,5,23,154,0,12,154,6.7,0,0,0,
