,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
66,Deuce Vaughn,DAL,22,RB,2,0,9,24,0,1,20,2.2,4,0.4,0,
67,Jaylen Warren,PIT,25,RB,2,0,9,26,0,1,12,1.3,14,1.6,1,9
68,Zach Wilson,NYJ,24,QB,2,1,9,42,0,3,34,3.8,8,0.9,0,
69,J.K. Dobbins,BAL,25,RB,1,1,8,22,1,1,18,2.3,4,0.5,0,
70,Damien Harris,BUF,26,RB,2,0,8,36,1,3,23,2.9,13,1.6,0,
71,Latavius Murray,BUF,33,RB,2,0,8,30,1,2,18,2.3,12,1.5,0,
72,Tank Bigsby,JAX,22,RB,2,0,7,13,1,3,5,0.7,8,1.1,2,3.5
73,Zach Charbonnet,SEA,22,RB,2,0,7,27,0,2,14,2,13,1.9,2,3.5
74,Clyde Edwards-Helaire,KAN,24,RB,2,1,7,22,0,1,22,3.1,0,0,2,3.5
75,Keaontay Ingram,ARI,24,RB,2,0,7,2,0,,-1,-0.1,3,0.4,3,2.3
76,Mac Jones,NWE,25,QB,2,2,7,40,0,5,40,5.7,0,0,0,
77,Dak Prescott,DAL,30,QB,2,2,7,20,0,2,5,0.7,15,2.1,0,
78,Deebo Samuel,SFO,27,WR,2,2,7,46,1,2,29,4.1,17,2.4,0,
79,Matthew Stafford,LAR,35,QB,2,2,7,28,0,2,28,4,0,0,0,
80,C.J. Stroud,HOU,22,QB,2,2,7,21,0,1,21,3,0,0,0,
81,Russell Wilson,DEN,35,QB,2,2,7,57,0,6,56,8,1,0.1,0,
82,Salvon Ahmed,MIA,25,RB,2,0,6,24,0,1,9,1.5,15,2.5,2,3
83,Derek Carr,NOR,32,QB,2,2,6,0,0,0,0,0,0,0,0,
84,Joshua Dobbs,ARI,28,QB,2,2,6,38,1,3,28,4.7,10,1.7,1,6
85,Justin Herbert,LAC,25,QB,2,2,6,17,1,4,17,2.8,0,0,0,
86,Brock Purdy,SFO,24,QB,2,2,6,25,1,3,19,3.2,6,1,0,
87,Boston Scott,PHI,28,RB,2,0,6,43,0,3,35,5.8,8,1.3,2,3
88,Patrick Taylor,GNB,25,RB,2,0,6,23,0,1,5,0.8,18,3,2,3
89,Erik Ezukanma,MIA,23,WR,2,0,5,22,0,1,9,1.8,13,2.6,1,5
90,D'Onta Foreman,CHI,27,RB,1,0,5,16,0,2,7,1.4,9,1.8,0,
91,Antonio Gibson,WAS,25,RB,2,0,5,18,0,1,9,1.8,9,1.8,0,
92,Jared Goff,DET,29,QB,2,2,5,-1,0,1,-1,-0.2,0,0,0,
93,Jordan Love,GNB,25,QB,2,2,5,35,0,2,27,5.4,8,1.6,1,5
94,Elijah Mitchell,SFO,25,RB,1,0,5,10,0,,2,0.4,8,1.6,0,
95,Kenny Pickett,PIT,25,QB,2,2,5,-2,0,0,-2,-0.4,0,0,0,
96,KaVontae Turpin,DAL,27,WR,2,0,5,20,1,2,13,2.6,7,1.4,1,5
97,Zamir White,LVR,24,RB,2,0,5,24,0,1,13,2.6,11,2.2,0,
98,Bryce Young,CAR,22,QB,2,2,5,51,0,2,49,9.8,2,0.4,0,
99,Ty Chandler,MIN,25,RB,2,0,4,0,0,0,-1,-0.3,1,0.3,0,
100,Elijah Dotson,LAC,24,RB,2,0,4,6,0,,3,0.8,3,0.8,0,
101,Chase Edmonds,TAM,27,RB,2,0,4,20,0,2,17,4.3,3,0.8,0,
102,Sam Howell,WAS,23,QB,2,2,4,24,1,2,14,3.5,10,2.5,0,
103,Geno Smith,SEA,33,QB,2,2,4,26,0,0,26,6.5,0,0,0,
104,Ryan Tannehill,TEN,35,QB,2,2,4,17,1,1,10,2.5,7,1.8,0,
105,Matt Breida,NYG,28,RB,2,0,3,14,0,1,7,2.3,7,2.3,0,
106,Michael Carter,NYJ,24,RB,2,0,3,14,0,1,10,3.3,4,1.3,0,
107,Kirk Cousins,MIN,35,QB,2,2,3,7,0,1,6,2,1,0.3,0,
108,DeeJay Dallas,SEA,25,RB,2,0,3,7,0,0,5,1.7,2,0.7,0,
109,Devin Duvernay,BAL,26,WR,2,0,3,15,0,,12,4,3,1,0,
110,Zay Flowers,BAL,23,WR,2,2,3,15,0,0,15,5,0,0,0,
111,Elijah Moore,CLE,23,WR,2,1,3,24,0,1,15,5,9,3,0,
112,Rashaad Penny,PHI,27,RB,1,0,3,9,0,1,9,3,0,0,0,
113,Craig Reynolds,DET,27,RB,2,0,3,7,0,,4,1.3,3,1,1,3
114,Chris Rodriguez,WAS,23,RB,2,0,3,7,0,1,7,2.3,0,0,0,
115,Laviska Shenault Jr.,CAR,25,WR,2,0,3,12,0,0,5,1.7,7,2.3,0,
116,Emanuel Wilson,GNB,24,RB,1,0,3,5,0,,2,0.7,3,1,0,
117,Jamal Agnew,JAX,28,WR,2,0,2,-2,0,0,-2,-1,0,0,0,
118,Keenan Allen,LAC,31,WR,2,2,2,6,0,1,6,3,0,0,0,
119,Kyle Allen,BUF,27,QB,1,0,2,-2,0,,-2,-1,0,0,0,
120,Andrew Beck,HOU,27,FB,2,2,2,2,0,1,1,0.5,1,0.5,0,
121,Joe Burrow,CIN,27,QB,2,2,2,4,0,0,4,2,0,0,0,
122,Sam Darnold,SFO,26,QB,1,0,2,-2,0,,-2,-1,0,0,0,
123,Chris Evans,CIN,26,RB,1,0,2,12,0,,7,3.5,5,2.5,0,
124,Jake Funk,IND,25,RB,2,0,2,10,0,0,10,5,0,0,0,
125,D'Ernest Johnson,JAX,27,RB,2,0,2,4,0,0,4,2,0,0,0,
126,Marvin Mims,DEN,21,WR,2,0,2,10,0,0,3,1.5,7,3.5,0,
127,Gardner Minshew II,IND,27,QB,2,0,2,3,0,0,1,0.5,2,1,0,
128,Rondale Moore,ARI,23,WR,2,1,2,12,0,0,12,6,0,0,0,
129,Puka Nacua,LAR,22,WR,2,2,2,4,0,1,0,0,4,2,0,
130,Dare Ogunbowale,HOU,29,RB,1,0,2,4,0,1,1,0.5,3,1.5,0,
131,Curtis Samuel,WAS,27,WR,2,1,2,19,0,1,6,3,13,6.5,0,
132,Rashid Shaheed,NOR,25,WR,2,0,2,11,0,0,11,5.5,0,0,0,
133,Pierre Strong,CLE,25,RB,2,0,2,1,1,1,1,0.5,0,0,0,
134,Kadarius Toney,KAN,24,WR,2,1,2,2,0,0,0,0,2,1,0,
135,Trayveon Williams,CIN,26,RB,2,0,2,7,0,,2,1,5,2.5,0,
136,Devon Achane,MIA,22,RB,1,0,1,5,0,,5,5,0,0,0,
137,Tutu Atwell,LAR,24,WR,2,2,1,5,0,0,4,4,1,1,0,
138,Calvin Austin,PIT,24,WR,2,0,1,-2,0,0,-2,-2,0,0,0,
139,Gary Brightwell,NYG,24,RB,2,0,1,5,0,,2,2,3,3,0,
140,Chase Brown,CIN,23,RB,1,0,1,2,0,,2,2,0,0,0,
141,Marquise Brown,ARI,26,WR,2,2,1,29,0,1,29,29,0,0,0,
142,Noah Brown,HOU,27,WR,1,0,1,-1,0,,-1,-1,0,0,1,1
143,Jake Browning,CIN,27,QB,1,0,1,-1,0,,-1,-1,0,0,0,
144,Treylon Burks,TEN,23,WR,2,2,1,9,0,0,7,7,2,2,0,
145,Michael Burton,DEN,31,FB,2,0,1,3,0,1,0,0,3,3,0,
146,Ja'Marr Chase,CIN,23,WR,2,2,1,2,0,0,0,0,2,2,0,
