"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"149","Browns","DST","CLE",4.41,0.267,0.0567,3.9,4.66,-1.02,-0.806,-1.42,143,138,153,24,"20",NA,NA,35
"150","Raiders","DST","LVR",4.41,1.32,0,3.61,5.21,-1.02,-1.1,-0.869,143,151,134,24,"20",NA,NA,99
"151","Deebo Samuel","WR","SF",8.34,1.48,0.115,7.06,9.43,-1.04,-0.914,-1.4,145,139,152,50,"10",NA,NA,79
"152","Matthew Stafford","QB","DET",18.7,0.667,0.747,16.8,19.5,-1.05,-1.08,-1.42,146,150,154,15,"8",NA,NA,23
"153","Patriots","DST","NE",4.35,0.0247,0.253,4.1,4.94,-1.07,-0.609,-1.14,147,129,139,25,"21",NA,NA,3
"154","Tee Higgins","WR","CIN",8.22,0.089,0.167,6.56,9.35,-1.16,-1.41,-1.48,148,153,156,51,"10",NA,NA,1
"155","Scott Miller","WR","TB",8.05,1.47,0.0688,6.91,9.04,-1.32,-1.06,-1.79,149,149,165,52,"10",NA,NA,77
"156","Titans","DST","TEN",4.1,0.593,0.2,3.74,4.46,-1.33,-0.97,-1.62,150,145,159,26,"22",NA,NA,61
"157","Laviska Shenault","WR","JAC",7.98,0.356,0.0437,7.6,8.95,-1.39,-0.372,-1.88,151,119,167,53,"10",NA,NA,7
"158","Anthony Miller","WR","CHI",7.94,0.904,0.37,7.27,8.95,-1.44,-0.706,-1.88,152,133,166,54,"10",NA,NA,42
"159","Ian Thomas","TE","CAR",4.4,1.45,0.12,3.08,5.74,-1.47,-1.96,-1.3,153,170,146,28,"11",NA,NA,89
"160","Sony Michel","RB","NE",6.54,0.728,0.389,4.38,8.25,-1.51,-2.24,-0.889,154,177,136,35,"15",NA,NA,51
"161","Giants","DST","NYG",3.9,0.0593,0.0375,3.06,4.13,-1.53,-1.65,-1.95,155,159,168,27,"23",NA,NA,6
"162","Chargers","DST","LAC",3.86,0.6,0.292,3.17,4.51,-1.56,-1.54,-1.57,156,157,157,28,"24",NA,NA,65
"163","Darren Fells","TE","HOU",4.28,0.326,0.0758,2.53,5.25,-1.59,-2.51,-1.78,157,183,164,29,"11",NA,NA,9
"164","Dawson Knox","TE","BUF",4.2,0.178,0.0942,4.03,4.44,-1.67,-1,-2.6,158,146,183,30,"11",NA,NA,1
"165","Jack Doyle","TE","IND",4.11,1.01,0.18,3.33,5.83,-1.76,-1.71,-1.2,159,160,142,31,"12",NA,NA,60
"166","Tom Brady","QB","TB",18,1.52,0.753,16.5,19.4,-1.79,-1.41,-1.59,160,152,158,16,"8",NA,NA,83
"167","Randall Cobb","WR","HOU",7.57,0.676,0.0506,6.45,8.43,-1.81,-1.52,-2.41,161,156,181,55,"11",NA,NA,23
"168","Christian Kirk","WR","ARI",7.52,1.22,0.0344,6.13,8.74,-1.86,-1.84,-2.1,163,162,172,56,"11",NA,NA,61
"169","Falcons","DST","ATL",3.57,0.489,0.515,2.76,3.9,-1.86,-1.95,-2.18,162,168,173,29,"25",NA,NA,48
"170","Cordarrelle Patterson","RB","CHI",6.15,NA,0.03,6.15,6.15,-1.89,-0.47,-2.99,165,121,193,36,"15",NA,NA,NA
"171","Marquez Valdes-Scantling","WR","GB",7.48,2.21,0.585,5.26,9.58,-1.89,-2.71,-1.25,164,190,144,57,"11",NA,NA,92
"172","Nyheim Hines","RB","IND",6.12,0.704,0.252,5.02,7.89,-1.92,-1.6,-1.25,166,158,143,37,"16",NA,NA,49
"173","Dan Arnold","TE","ARI",3.93,1.13,0.095,1.93,4.77,-1.94,-3.1,-2.27,167,204,176,32,"12",NA,NA,74
"174","Gerald Everett","TE","LAR",3.84,1.09,0.256,1.6,5.08,-2.03,-3.44,-1.96,168,221,169,33,"12",NA,NA,69
"175","Malcolm Brown","RB","LAR",5.87,1.81,0.0483,3.55,8.05,-2.18,-3.07,-1.09,169,203,138,38,"16",NA,NA,96
"176","D'Andre Swift","RB","DET",5.82,1.2,0.0175,3.68,6.74,-2.22,-2.94,-2.4,170,199,180,39,"16",NA,NA,84
"177","Giovani Bernard","RB","CIN",5.8,0.921,0.016,4.77,7.37,-2.24,-1.85,-1.77,171,163,163,40,"16",NA,NA,67
"178","Joshua Kelley","RB","LAC",5.79,0.46,0.0065,5.12,7.14,-2.26,-1.5,-2,172,154,170,41,"16",NA,NA,30
"179","Duke Johnson","RB","HOU",5.78,1.23,0.03,3.33,6.86,-2.26,-3.29,-2.28,173,211,177,42,"16",NA,NA,86
"180","Jamaal Williams","RB","GB",5.75,1.07,0.227,4.5,6.91,-2.29,-2.12,-2.23,175,172,175,43,"16",NA,NA,76
"181","James OShaughnessy","TE","JAC",3.58,0.423,0.0682,3.18,4.05,-2.29,-1.85,-2.99,174,165,191,34,"12",NA,NA,20
"182","Adam Trautman","TE","NO",3.51,1.47,0.133,1.9,5.57,-2.36,-3.13,-1.47,176,205,155,35,"12",NA,NA,91
"183","Lions","DST","DET",3.06,0.83,0,2.4,3.79,-2.37,-2.31,-2.29,177,179,179,30,"25",NA,NA,87
"184","Kendrick Bourne","WR","SF",6.9,1.48,0.011,4.43,10.8,-2.48,-3.54,-0.06,178,225,108,58,"11",NA,NA,79
"185","N'Keal Harry","WR","NE",6.89,0.96,0.0736,6.17,7.66,-2.49,-1.8,-3.17,179,161,195,59,"11",NA,NA,49
"186","Richard Rodgers","TE","FA",3.38,0.18,0.23,3.18,3.65,-2.49,-1.85,-3.39,180,164,202,36,"13",NA,NA,3
"187","J.K. Dobbins","RB","BAL",5.52,1.87,0.341,4.19,7.09,-2.52,-2.43,-2.05,181,180,171,44,"17",NA,NA,97
"188","Kirk Cousins","QB","MIN",17.2,1.03,0.283,15.1,18.3,-2.55,-2.81,-2.71,182,191,184,17,"9",NA,NA,63
"189","Danny Amendola","WR","DET",6.82,1.38,0.16,5.73,7.92,-2.56,-2.24,-2.92,183,176,189,60,"11",NA,NA,75
"190","Zach Pascal","WR","IND",6.66,0.371,0.225,6,7.72,-2.72,-1.97,-3.11,184,171,194,61,"12",NA,NA,10
"191","Baker Mayfield","QB","CLE",16.9,0.401,1.35,15.3,17.4,-2.83,-2.61,-3.52,187,185,206,18,"10",NA,NA,9
"192","LeSean McCoy","RB","TB",5.18,0.546,0.0991,3.24,6.41,-2.86,-3.38,-2.73,189,218,185,45,"17",NA,NA,37
"193","Larry Fitzgerald","WR","ARI",6.43,2.36,0.0567,4.63,8.62,-2.95,-3.34,-2.22,192,214,174,62,"12",NA,NA,96
"194","Alexander Mattison","RB","MIN",5.08,0.218,0.00283,3.16,5.94,-2.96,-3.46,-3.2,193,222,196,46,"17",NA,NA,10
"195","Chase Edmonds","RB","ARI",5.08,0.673,0.105,4.4,5.67,-2.96,-2.22,-3.47,194,174,204,47,"17",NA,NA,46
"196","Dontrelle Inman","WR","WAS",6.37,1.26,0.138,5.16,7.58,-3,-2.81,-3.25,196,192,199,63,"12",NA,NA,65
"197","Dion Lewis","RB","NYG",4.97,0.262,0.005,3.79,5.18,-3.07,-2.83,-3.96,197,194,218,48,"17",NA,NA,14
"198","Chris Thompson","RB","JAC",4.97,1.12,0.0199,3.24,5.91,-3.07,-3.38,-3.23,198,217,198,49,"17",NA,NA,81
"199","Brian Hill","RB","ATL",4.95,0.242,0.167,4.17,6.41,-3.09,-2.45,-2.73,200,181,186,50,"17",NA,NA,13
"200","Isaiah Ford","WR","MIA",6.24,0.101,0.0584,5.77,6.34,-3.14,-2.2,-4.49,202,173,237,64,"12",NA,NA,1
"201","KJ Hamler","WR","DEN",6.18,0.867,0.0616,5.31,7.04,-3.2,-2.66,-3.79,203,188,213,65,"12",NA,NA,39
"202","J.D. McKissic","RB","WAS",4.78,0.907,0.0958,3.77,5.51,-3.26,-2.85,-3.63,206,195,208,51,"17",NA,NA,66
"203","Cordarrelle Patterson","WR","CHI",6.12,1.36,0.025,5.07,7.01,-3.26,-2.9,-3.83,205,198,214,66,"12",NA,NA,72
"204","Greg Ward","WR","PHI",6.09,4.05,0.0597,3.63,8.55,-3.29,-4.34,-2.29,208,251,178,67,"12",NA,NA,99
"205","Mecole Hardman","WR","KC",6.03,0.79,0.17,4.83,6.8,-3.35,-3.14,-4.04,210,206,220,68,"12",NA,NA,31
"206","Gus Edwards","RB","BAL",4.69,0.761,0.0173,3.75,6.19,-3.36,-2.87,-2.95,211,197,190,52,"17",NA,NA,56
"207","Devine Ozigbo","RB","JAC",4.67,0,0.08,4.67,4.67,-3.37,-1.95,-4.47,212,167,236,53,"17",NA,NA,1
"208","Travis Homer","RB","SEA",4.59,0.341,0.23,4.38,4.8,-3.45,-2.24,-4.34,214,175,228,54,"18",NA,NA,23
"209","Andy Isabella","WR","ARI",5.86,1.55,0.0148,4.67,7.32,-3.52,-3.31,-3.52,215,213,205,69,"12",NA,NA,82
"210","Braxton Berrios","WR","NYJ",5.85,0.904,0.23,4.04,6.88,-3.53,-3.94,-3.95,216,236,217,70,"13",NA,NA,44
"211","Royce Freeman","RB","DEN",4.36,0.533,0.0102,3.93,4.78,-3.68,-2.69,-4.35,220,189,229,55,"18",NA,NA,36
"212","Boston Scott","RB","PHI",4.35,0.356,0.205,3.97,4.7,-3.69,-2.65,-4.44,221,187,234,56,"18",NA,NA,24
"213","Nelson Agholor","WR","LVR",5.62,0.971,0.139,3,6.32,-3.76,-4.97,-4.52,223,280,239,71,"13",NA,NA,52
"214","Kerryon Johnson","RB","DET",4.15,0.559,0.244,3.13,4.68,-3.9,-3.49,-4.46,225,224,235,57,"18",NA,NA,39
"215","Kenny Stills","WR","HOU",5.48,0.83,0.0667,4.81,6.23,-3.9,-3.16,-4.61,226,207,242,72,"13",NA,NA,35
"216","Darrel Williams","RB","KC",3.9,0.293,0.0768,1.73,4.71,-4.14,-4.89,-4.43,232,275,233,58,"19",NA,NA,19
"217","Carson Wentz","QB","PHI",15.6,1.77,0.0977,14.1,17.1,-4.18,-3.8,-3.86,234,229,216,19,"10",NA,NA,89
"218","Jalen Richard","RB","LVR",3.82,0.84,0.114,3.23,4.45,-4.22,-3.39,-4.69,237,219,243,59,"19",NA,NA,61
"219","Teddy Bridgewater","QB","CAR",15.5,2.95,0.0737,11.7,18.5,-4.27,-6.23,-2.51,238,308,182,20,"10",NA,NA,99
"220","JaMycal Hasty","RB","FA",3.71,1.65,0.0625,2.71,4.71,-4.33,-3.91,-4.43,240,231,232,60,"19",NA,NA,93
"221","Derek Carr","QB","LVR",15.4,1.92,0.0148,12.6,17.4,-4.35,-5.33,-3.54,241,291,207,21,"10",NA,NA,94
"222","Daniel Jones","QB","NYG",15.4,0.28,0.302,13.5,15.6,-4.36,-4.36,-5.32,243,253,266,22,"11",NA,NA,6
"223","Jordan Wilkins","RB","IND",3.65,0.283,0.248,3.24,3.96,-4.4,-3.38,-5.18,244,216,260,61,"19",NA,NA,17
"224","Jordan Howard","RB","MIA",3.4,0.326,0.0174,1.54,4.13,-4.64,-5.08,-5.01,247,286,254,62,"19",NA,NA,20
"225","Nick Mullens","QB","SF",15.1,0.423,0.331,13.6,16.6,-4.66,-4.26,-4.39,250,248,230,23,"11",NA,NA,11
"226","Josh Adams","RB","FA",3.38,0.0299,0.181,3.32,3.51,-4.66,-3.3,-5.63,249,212,277,63,"19",NA,NA,1
"227","Tony Pollard","RB","DAL",3.2,0.146,0.12,2.09,4.22,-4.84,-4.53,-4.92,258,259,251,64,"20",NA,NA,4
"228","T.J. Yeldon","RB","BUF",3.08,0.61,0.111,1.92,3.71,-4.96,-4.7,-5.43,260,265,271,65,"20",NA,NA,43
"229","Nick Foles","QB","CHI",14.8,0.138,0.285,13.5,15.2,-4.99,-4.37,-5.74,263,255,285,24,"11",NA,NA,1
"230","Matt Breida","RB","MIA",2.97,0.726,0.0252,1.87,3.54,-5.07,-4.75,-5.6,269,268,276,66,"20",NA,NA,50
"231","Wayne Gallman","RB","NYG",2.94,0.52,0.0223,1.65,3.51,-5.1,-4.97,-5.63,271,279,279,67,"20",NA,NA,34
"232","Damien Harris","RB","NE",2.92,0.218,0.0111,2.7,3.43,-5.12,-3.92,-5.7,272,234,283,68,"20",NA,NA,9
"233","Kalen Ballage","RB","FA",2.91,1.08,0.214,1.51,4.07,-5.13,-5.11,-5.06,273,287,256,69,"20",NA,NA,77
"234","Philip Rivers","QB","IND",14.5,2.62,0.199,12.2,16.7,-5.28,-5.72,-4.31,277,299,227,25,"12",NA,NA,97
"235","Corey Clement","RB","PHI",2.7,0.199,0.0104,1.89,3.08,-5.35,-4.73,-6.06,278,266,294,70,"20",NA,NA,6
"236","DeeJay Dallas","RB","SEA",2.69,0.95,0.0167,1.97,3.62,-5.36,-4.65,-5.52,279,264,274,71,"20",NA,NA,70
"237","Devontae Booker","RB","LVR",2.67,0.265,0.0462,2.39,3.37,-5.37,-4.23,-5.77,280,247,287,72,"20",NA,NA,16
"238","Sam Darnold","QB","NYJ",14.3,1.46,0.11,11.8,15.9,-5.48,-6.05,-5.09,284,304,257,26,"12",NA,NA,77
"239","Justin Herbert","QB","LAC",14.2,0.715,2.06,13.6,14.9,-5.59,-4.34,-6.04,287,252,293,27,"13",NA,NA,26
"240","Brian Hoyer","QB","NE",12.1,0.735,1.23,10.7,13.7,-7.65,-7.24,-7.32,317,320,307,28,"14",NA,NA,29
"241","Dwayne Haskins","QB","WAS",10.9,1.1,0.929,9.02,12.7,-8.88,-8.88,-8.31,325,328,319,29,"15",NA,NA,69
"242","Brett Rypien","QB","FA",9.95,1.5,8.81,2.06,13.6,-9.81,-15.8,-7.42,326,329,309,30,"16",NA,NA,80
"243","Andy Dalton","QB","DAL",1.15,0.911,0.00483,0.143,2.14,-18.6,-17.8,-18.8,327,331,334,31,"16",NA,NA,49
"244","Mitchell Trubisky","QB","CHI",1.14,0.948,0.0835,0.104,4.44,-18.6,-17.8,-16.5,328,332,331,32,"16",NA,NA,54
"245","Jeff Driskel","QB","DEN",1.06,0.878,0.046,0.0756,9.74,-18.7,-17.8,-11.2,329,333,330,33,"17",NA,NA,46
"246","Matt Barkley","QB","BUF",1.01,1.05,0.036,-0.0548,2.11,-18.8,-18,-18.9,330,336,335,34,"17",NA,NA,66
"247","Jameis Winston","QB","NO",0.977,0.836,0.178,0.0256,2.78,-18.8,-17.9,-18.2,331,334,332,35,"17",NA,NA,40
"248","Jarrett Stidham","QB","NE",0.798,0.741,0.158,0.288,1.41,-19,-17.6,-19.6,332,330,337,36,"17",NA,NA,31
