"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"1","Matt Ryan","ATL","QB","310","robust",294.75,13.669572,1.85,0.103782,0.7,0.118608,7,1.33434,0.081951511898651,0.014826,0.166666666666667,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Patrick Mahomes","KC","QB","2558125","robust",289.3,10.089093,2.2,0.14826,0.47,0.177912,21.8,1.33434,0.2,0.0190520816014547,0.0833333333333333,0.012355,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Deshaun Watson","HOU","QB","2558063","robust",284.73,5.63388000000002,2,0.029652,0.6,0.22239,28,1.2038712,0.3,0.0342134637112744,0.12,0.014826,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Tom Brady","TB","QB","2504211","robust",278.66,13.86231,2.09,0.0741300000000001,0.5,0.07413,2.6,0.59304,0.088,0.014826,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Russell Wilson","SEA","QB","2532975","robust",276.66,10.3040700000001,2.65,0.289107,0.55,0.07413,27.105,1.77912,0.104513290378472,0.029652,0.116666666666667,0.012355,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Justin Herbert","LAC","QB","2565045","robust",293.1675,0.667169999999983,2.175,0.163086,0.8825,0.07413,19.365,1.591324,0.157185505082198,0.0497308467767551,0.15,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Matthew Stafford","DET","QB","79860","robust",292.82,0.0741299999999747,1.94,0.0593040000000001,0.7,0.059304,8.88,1.11195,0.045,0.059304,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Aaron Rodgers","GB","QB","2506363","robust",275,10.3782,2,0.0518909999999999,0.4,0.00741300000000001,10.47,1.18608,0.04,0.0262206866606335,0.166666666666667,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ben Roethlisberger","PIT","QB","2506109","robust",268.8,12.97275,2,0.0593040000000001,0.7,0.14826,4.45,1.40847,0.05,0.029652,0.0666666666666667,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Drew Brees","NO","QB","2504775","robust",271.425,16.3086,1.85,0.22239,0.545,0.0815430000000001,1.9,0.5070492,0.1,0.0369846984114833,0.133333333333333,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
