"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Dalvin Cook","RB","MIN",24.2,0.375,2.93,23.3,24.6,14.4,14.8,13.1,1,1,1,1,"1",NA,NA,30
"2","Austin Ekeler","RB","LAC",21.2,0.79,2.08,20.2,22.1,11.4,11.7,10.7,2,2,5,2,"2",NA,NA,52
"3","Davante Adams","WR","GB",22.2,1.54,1.15,20,24.9,10.9,10.9,12.7,3,3,2,1,"1",NA,NA,75
"4","Travis Kelce","TE","KC",18.1,1.82,1.19,16.4,20,10.8,10.2,11.2,4,6,3,1,"1",NA,NA,86
"5","Tyreek Hill","WR","KC",21,0.89,1.9,19.5,22.8,9.79,10.4,10.6,5,5,6,2,"2",NA,NA,33
"6","Darren Waller","TE","LVR",16.9,1.97,4.73,15,19.3,9.6,8.8,10.5,6,9,7,2,"2",NA,NA,89
"7","James Robinson","RB","JAC",19.2,1.1,0.15,18.5,19.8,9.37,10,8.4,7,7,18,3,"2",NA,NA,69
"8","Derrick Henry","RB","TEN",19,0.185,0.718,18.9,21.6,9.22,10.4,10.1,8,4,8,4,"3",NA,NA,16
"9","Alvin Kamara","RB","NO",18.3,0.0198,0.483,18,19.9,8.5,9.46,8.44,9,8,17,5,"4",NA,NA,1
"10","Aaron Jones","RB","GB",17.8,0.523,1.16,17.2,19.2,8.02,8.67,7.82,10,10,22,6,"5",NA,NA,36
"11","DK Metcalf","WR","SEA",19.1,1.82,0.108,17.5,22.3,7.89,8.41,10.1,11,11,9,3,"3",NA,NA,89
"12","Keenan Allen","WR","LAC",19,2.61,0.179,16.9,21.2,7.79,7.83,8.95,12,13,11,4,"3",NA,NA,94
"13","Stefon Diggs","WR","BUF",18.8,1.72,0.478,16.7,23,7.61,7.6,10.7,13,14,4,5,"3",NA,NA,83
"14","DeAndre Hopkins","WR","ARI",18.4,1.76,0.127,16.5,21,7.13,7.35,8.75,14,15,13,6,"3",NA,NA,85
"15","Adam Thielen","WR","MIN",18.2,1.22,0.247,17.1,20.9,7,7.95,8.68,15,12,14,7,"4",NA,NA,61
"16","Myles Gaskin","RB","MIA",16.6,0.855,0.777,15.7,18.7,6.86,7.18,7.32,16,16,25,7,"6",NA,NA,58
"17","Allen Robinson","WR","CHI",18,1.59,0.189,16.1,21,6.76,6.99,8.8,17,18,12,8,"4",NA,NA,78
"18","A.J. Brown","WR","TEN",17.8,1.9,0.262,16.2,20.4,6.57,7.06,8.11,18,17,21,9,"4",NA,NA,92
"19","Michael Thomas","WR","NO",17.5,1.1,0.27,16.2,19.9,6.31,7.06,7.67,19,17,24,10,"4",NA,NA,54
"20","Patrick Mahomes","QB","KC",25.4,0.505,2.84,24.5,26.6,6.22,6.15,6.35,20,26,36,1,"1",NA,NA,18
"21","Miles Sanders","RB","PHI",15.9,0.773,0.246,14.7,18.3,6.08,6.23,6.86,21,23,29,8,"7",NA,NA,48
"22","Robert Woods","WR","LAR",17.3,0.904,0.159,15.7,20,6.04,6.6,7.8,22,21,23,11,"4",NA,NA,35
"23","Tyler Lockett","WR","SEA",17.1,1.02,0.218,15.8,18.8,5.88,6.67,6.53,23,20,33,12,"5",NA,NA,47
"24","Antonio Gibson","RB","WAS",15.6,1.24,0.191,14.3,17.5,5.84,5.86,6.08,24,27,39,9,"7",NA,NA,78
"25","Calvin Ridley","WR","ATL",16.9,1.17,0.185,15.3,18.5,5.66,6.21,6.29,25,24,37,13,"5",NA,NA,57
"26","Nick Chubb","RB","CLE",15.4,1.23,0.329,14.3,17.6,5.65,5.83,6.13,26,28,38,10,"7",NA,NA,76
"27","Justin Jefferson","WR","MIN",16.7,0.726,0.147,15.9,18.7,5.47,6.83,6.43,27,19,34,14,"5",NA,NA,19
"28","Chris Carson","RB","SEA",15.1,0.251,0.145,14.7,15.9,5.32,6.17,4.49,29,25,48,11,"7",NA,NA,19
"29","Cooper Kupp","WR","LAR",16.6,1.03,0.0795,15.4,20.7,5.32,6.33,8.48,28,22,15,15,"5",NA,NA,50
"30","Brandin Cooks","WR","HOU",16.5,1.51,0.159,14.8,21.7,5.25,5.69,9.46,30,29,10,16,"5",NA,NA,71
"31","Devontae Booker","RB","LVR",15,2.11,0.245,13.3,18.1,5.17,4.77,6.64,31,35,32,12,"8",NA,NA,99
"32","Terry McLaurin","WR","WAS",16.3,1.51,0.594,14,19.5,5.09,4.87,7.21,32,34,26,17,"6",NA,NA,72
"33","Wayne Gallman","RB","NYG",14.7,0.789,0.0272,12.9,15.5,4.93,4.46,4.11,33,38,52,13,"8",NA,NA,51
"34","Raheem Mostert","RB","SF",14.7,1.15,0.285,13.5,16.3,4.9,5.02,4.88,34,32,44,14,"8",NA,NA,72
"35","Hunter Henry","TE","LAC",12.2,1.11,0.448,10.4,15.6,4.87,4.17,6.78,35,41,31,3,"2",NA,NA,80
"36","David Montgomery","RB","CHI",14.4,0.304,0.15,12.2,15,4.62,3.71,3.6,36,48,57,15,"8",NA,NA,22
"37","DeVante Parker","WR","MIA",15.7,1.41,0.104,14.1,18,4.49,5.01,5.76,37,33,41,18,"6",NA,NA,67
"38","Ezekiel Elliott","RB","DAL",14.3,0.786,0.205,12.3,15.1,4.47,3.86,3.67,38,45,56,16,"9",NA,NA,49
"39","T.J. Hockenson","TE","DET",11.8,0.976,0.752,10.9,17.2,4.42,4.72,8.45,39,36,16,4,"3",NA,NA,69
"40","Deebo Samuel","WR","SF",15.6,1.59,0.426,13.8,20.6,4.39,4.7,8.4,40,37,19,19,"6",NA,NA,79
"41","Jonathan Taylor","RB","IND",14,1.78,0.109,12.1,15.7,4.26,3.58,4.26,41,51,50,17,"9",NA,NA,90
"42","David Johnson","RB","HOU",13.9,1.64,0.591,12.3,15.9,4.15,3.79,4.52,42,47,47,18,"10",NA,NA,87
"43","Julio Jones","WR","ATL",15.2,0.417,0.0913,14.7,15.8,3.96,5.57,3.56,43,30,59,20,"6",NA,NA,10
"44","Diontae Johnson","WR","PIT",15.1,0.918,0.324,14.2,20.4,3.87,5.07,8.13,44,31,20,21,"7",NA,NA,40
"45","Evan Engram","TE","NYG",11,0.311,0.377,10.6,11.8,3.67,4.38,3,45,39,61,5,"4",NA,NA,29
"46","Kenyan Drake","RB","ARI",13.3,0.643,0.384,12.6,15.2,3.56,4.07,3.74,46,43,55,19,"10",NA,NA,40
"47","Amari Cooper","WR","DAL",14.8,2.73,0.223,12.5,19,3.55,3.41,6.79,47,52,30,22,"7",NA,NA,96
"48","Russell Wilson","QB","SEA",22.5,0.834,1.05,21.9,23.8,3.38,3.62,3.58,48,50,58,2,"2",NA,NA,50
"49","Jarvis Landry","WR","CLE",14.6,1.03,0.604,13.4,19.1,3.32,4.3,6.91,49,40,28,23,"8",NA,NA,49
"50","Dallas Goedert","TE","PHI",10.6,0.356,0.98,10.1,13.9,3.29,3.9,5.15,50,44,43,6,"5",NA,NA,40
"51","Nyheim Hines","RB","IND",13,0.6,0.539,12.3,18.4,3.18,3.83,6.96,51,46,27,20,"11",NA,NA,37
"52","D.J. Chark","WR","JAC",14,0.716,0.153,13.2,16.4,2.72,4.1,4.17,52,42,51,24,"8",NA,NA,18
"53","Clyde Edwards-Helaire","RB","KC",12.4,1.41,0.144,10.8,13.9,2.64,2.35,2.46,53,57,65,21,"11",NA,NA,82
"54","Nelson Agholor","WR","LVR",13.8,2.81,0.114,11,17.1,2.57,1.88,4.83,54,65,45,25,"8",NA,NA,97
"55","Giovani Bernard","RB","CIN",12.3,1.26,0.0133,9.78,13.6,2.49,1.29,2.17,55,77,69,22,"11",NA,NA,79
"56","Damien Harris","RB","NE",12.3,1.58,0.336,10.3,14.3,2.48,1.85,2.9,56,68,63,23,"11",NA,NA,85
"57","JuJu Smith-Schuster","WR","PIT",13.7,0.912,0.0862,12.8,16.8,2.45,3.64,4.59,57,49,46,26,"8",NA,NA,38
"58","Marvin Jones","WR","DET",13.6,1.19,0.648,12.2,18.3,2.37,3.13,6.03,58,54,40,27,"9",NA,NA,60
"59","Deshaun Watson","QB","HOU",21.5,0.652,0.43,20.1,23.2,2.34,1.82,2.92,59,69,62,3,"2",NA,NA,38
"60","Robert Tonyan","TE","GB",9.64,0.356,0.0576,8.12,13.2,2.31,1.92,4.46,60,62,49,7,"5",NA,NA,37
"61","Eric Ebron","TE","PIT",9.58,0.593,0.356,8.63,10.1,2.25,2.44,1.32,61,55,79,8,"6",NA,NA,51
"62","Melvin Gordon","RB","DEN",11.9,0.343,0.221,10.4,15.2,2.14,1.9,3.81,62,64,54,24,"12",NA,NA,27
"63","Kareem Hunt","RB","CLE",11.7,0.846,1.06,10.5,12.4,1.92,1.97,0.934,63,60,87,25,"13",NA,NA,57
"64","Josh Allen","QB","BUF",21.1,1.01,0.208,19.3,22.7,1.91,1.05,2.41,64,85,68,4,"3",NA,NA,53
"65","Hayden Hurst","TE","ATL",9.23,0.156,0.0107,8.49,9.41,1.89,2.29,0.64,65,58,92,9,"6",NA,NA,11
"66","Noah Fant","TE","DEN",9.22,0.66,0.00183,8.06,9.9,1.88,1.87,1.13,66,66,83,10,"6",NA,NA,63
"67","Jordan Reed","TE","SF",9.21,0.193,0.104,8.38,9.47,1.88,2.18,0.698,67,59,90,11,"6",NA,NA,14
"68","Austin Hooper","TE","CLE",9.11,0.193,0.433,7.07,10.1,1.78,0.872,1.33,68,89,78,12,"7",NA,NA,14
"69","Chase Claypool","WR","PIT",13,1.53,0.281,10.5,14.7,1.72,1.4,2.42,69,74,67,28,"9",NA,NA,74
"70","Kyler Murray","QB","ARI",20.9,1.78,0.336,19.4,22.4,1.7,1.13,2.12,70,83,70,5,"3",NA,NA,88
"71","Dolphins","DST","MIA",6.56,0.148,0.115,6.42,6.92,1.52,1.75,1.44,71,70,76,1,"1",NA,NA,17
"72","Tyler Boyd","WR","CIN",12.7,0.107,0.0624,12.4,12.9,1.44,3.26,0.686,72,53,91,29,"9",NA,NA,3
"73","Steelers","DST","PIT",6.44,0.356,0.0733,6,7.29,1.41,1.33,1.81,73,76,72,2,"2",NA,NA,69
"74","Denzel Mims","WR","NYJ",12.6,3.73,0.0682,8.34,17.7,1.38,-0.777,5.48,74,130,42,30,"9",NA,NA,99
"75","Aaron Rodgers","QB","GB",20.5,0.57,0.00947,19.8,21.6,1.36,1.51,1.31,75,72,80,6,"3",NA,NA,24
"76","Taysom Hill","QB","NO",20.5,1.2,0.23,19.4,21.9,1.35,1.08,1.64,76,84,74,7,"3",NA,NA,56
"77","Mike Gesicki","TE","MIA",8.68,0.341,0.377,8.05,9.04,1.34,1.86,0.265,77,67,101,13,"7",NA,NA,31
"78","Seahawks","DST","SEA",6.37,0.89,0.25,5.36,7.13,1.33,0.688,1.65,78,93,73,3,"3",NA,NA,90
"79","Michael Pittman","WR","IND",12.6,3.08,0.0275,9.12,18.6,1.31,0,6.37,79,106,35,31,"9",NA,NA,99
"80","Darius Slayton","WR","NYG",12.5,1.54,0.303,10.9,15.3,1.28,1.75,3.09,80,71,60,32,"9",NA,NA,76
"81","Lamar Jackson","QB","BAL",20.3,2.4,0.0838,12.9,22.1,1.12,-5.38,1.9,81,250,71,8,"3",NA,NA,94
"82","Packers","DST","GB",6.12,0.208,0.0767,5.91,6.46,1.08,1.24,0.972,82,79,86,4,"4",NA,NA,41
"83","Justin Herbert","QB","LAC",20.2,0.571,1.04,19,20.8,1.04,0.731,0.531,83,92,96,9,"4",NA,NA,26
"84","Ravens","DST","BAL",6.04,0.119,0.14,5.82,6.77,1.01,1.14,1.28,84,82,81,5,"5",NA,NA,3
"85","Jakobi Meyers","WR","NE",12.2,0.769,0.194,10.3,13.2,0.977,1.18,1,85,81,85,33,"10",NA,NA,25
"86","Jordan Akins","TE","HOU",8.3,1.11,0.0575,7.02,10.1,0.968,0.831,1.34,86,90,77,14,"7",NA,NA,77
"87","Anthony Firkser","TE","TEN",8.24,0.615,0.116,7.66,9.39,0.91,1.46,0.618,87,73,94,15,"8",NA,NA,57
"88","Chiefs","DST","KC",5.9,0.297,0.5,5.03,6.5,0.868,0.356,1.01,88,101,84,6,"6",NA,NA,59
"89","James White","RB","NE",10.6,0.207,0.0548,10.4,10.9,0.863,1.94,-0.498,89,61,116,26,"13",NA,NA,18
"90","Latavius Murray","RB","NO",10.6,2.04,0.0635,8.49,12.9,0.808,0,1.45,90,106,75,27,"13",NA,NA,94
"91","Kyle Rudolph","TE","MIN",8.13,2.54,0.00983,6.19,10,0.794,0,1.26,91,106,82,16,"8",NA,NA,97
"92","Dalton Schultz","TE","DAL",8.12,0.537,0.247,6.64,9.64,0.784,0.443,0.872,92,97,89,17,"8",NA,NA,49
"93","Sterling Shepard","WR","NYG",12,0.0882,0.177,9.51,12.1,0.783,0.394,-0.119,93,99,109,34,"10",NA,NA,1
"94","Todd Gurley","RB","ATL",10.5,1.44,0.49,7.98,13.9,0.744,-0.507,2.45,94,124,66,28,"14",NA,NA,84
"95","Corey Davis","WR","TEN",11.8,0.371,0.31,11.5,12.2,0.606,2.36,0,95,56,106,35,"10",NA,NA,7
"96","Trey Burton","TE","IND",7.87,1.01,0.2,6.73,9.38,0.537,0.534,0.607,96,95,95,18,"8",NA,NA,71
"97","Saints","DST","NO",5.4,0.208,0.03,5.18,5.9,0.368,0.508,0.415,97,96,99,7,"7",NA,NA,41
"98","Logan Thomas","TE","WAS",7.67,0.345,0.338,7.17,8.9,0.338,0.975,0.125,98,86,103,19,"9",NA,NA,34
"99","Bills","DST","BUF",5.37,0.608,0.02,4.67,5.9,0.338,0,0.415,99,106,99,8,"8",NA,NA,83
"100","Colts","DST","IND",5.35,0.341,0.318,5.09,5.74,0.318,0.423,0.259,100,98,102,9,"9",NA,NA,66
"101","Cole Beasley","WR","BUF",11.5,0.483,0.169,11,12.3,0.296,1.91,0.0864,101,63,105,36,"10",NA,NA,11
"102","Frank Gore","RB","NYJ",10,1.01,0.254,9.31,10.8,0.254,0.821,-0.62,102,91,123,29,"14",NA,NA,66
"103","Jamison Crowder","WR","NYJ",11.4,0.922,0.0317,10.3,12.9,0.127,1.23,0.623,103,80,93,37,"10",NA,NA,42
"104","Tim Patrick","WR","DEN",11.3,0.754,0.0555,10.5,16.3,0.095,1.37,4.09,104,75,53,38,"10",NA,NA,21
"105","Jerry Jeudy","WR","DEN",11.3,1.78,0.0395,9.12,13.1,0.0395,-0.0013,0.88,105,107,88,39,"10",NA,NA,86
"106","Ryan Tannehill","QB","TEN",19.2,0.341,0.203,18.8,19.7,0,0.542,-0.53,106,94,119,10,"4",NA,NA,3
"107","J.K. Dobbins","RB","BAL",9.79,0.825,0.135,8.86,10.8,0,0.375,-0.599,106,100,121,30,"14",NA,NA,54
"108","Keke Coutee","WR","HOU",11.2,0.0593,0.368,10.1,11.7,0,0.953,-0.528,106,87,118,40,"11",NA,NA,1
"109","Zach Ertz","TE","PHI",7.33,1.04,0.0672,6.24,8.77,0,0.0467,0,106,104,106,20,"9",NA,NA,74
"110","Giants","DST","NYG",5.03,0.163,0.132,4.2,5.21,0,-0.469,-0.275,106,123,111,10,"10",NA,NA,28
"111","Jimmy Graham","TE","CHI",7.26,0.252,0.106,5.04,7.55,-0.0672,-1.16,-1.22,107,147,145,21,"9",NA,NA,23
"112","Falcons","DST","ATL",4.9,0.593,0.0475,3.88,5.58,-0.132,-0.792,0.095,108,132,104,11,"11",NA,NA,79
"113","Kerryon Johnson","RB","DET",9.65,0.274,0.025,9.4,9.97,-0.135,0.92,-1.46,109,88,148,31,"14",NA,NA,21
"114","Benny Snell","RB","PIT",9.63,2.07,0.16,5.35,11.9,-0.16,-3.14,0.499,110,192,97,32,"14",NA,NA,96
"115","Tyler Higbee","TE","LAR",7.16,0.378,1.14,4.97,8.01,-0.173,-1.23,-0.76,111,148,128,22,"10",NA,NA,43
"116","49ers","DST","SF",4.85,0.126,0.02,4.72,5.24,-0.18,0.043,-0.25,112,105,110,12,"12",NA,NA,7
"117","Titans","DST","TEN",4.83,0.222,0.0325,4.62,5.07,-0.2,-0.0525,-0.415,113,109,113,13,"13",NA,NA,52
"118","Derek Carr","QB","LVR",19,0.558,0.148,17.8,19.6,-0.203,-0.446,-0.671,114,121,124,11,"4",NA,NA,21
"119","Bears","DST","CHI",4.8,0.188,0.035,4.36,4.99,-0.232,-0.308,-0.5,115,116,117,14,"14",NA,NA,34
"120","Vikings","DST","MIN",4.77,0.964,0.055,4,5.48,-0.267,-0.676,0,116,126,106,15,"15",NA,NA,93
"121","Jamaal Williams","RB","GB",9.47,1.88,0.038,6.29,11.4,-0.319,-2.19,0,117,165,106,33,"14",NA,NA,91
"122","Chargers","DST","LAC",4.71,0.371,0.01,4.26,5.08,-0.322,-0.412,-0.409,118,119,112,16,"15",NA,NA,72
"123","Rams","DST","LAR",4.7,0.297,0.0275,4.4,4.9,-0.332,-0.268,-0.585,119,113,120,17,"16",NA,NA,62
"124","Kirk Cousins","QB","MIN",18.8,0.492,0.122,18.3,19.3,-0.35,0,-0.944,120,106,132,12,"4",NA,NA,15
"125","J.D. McKissic","RB","WAS",9.43,1.32,0.193,7.98,11.9,-0.357,-0.508,0.496,121,125,98,34,"15",NA,NA,81
"126","Lions","DST","DET",4.67,1.11,0.0725,3.67,5.48,-0.36,-1.01,-0.01,122,142,107,18,"17",NA,NA,97
"127","CeeDee Lamb","WR","DAL",10.9,0.683,0.0835,8.95,11.6,-0.368,-0.167,-0.676,123,112,125,41,"11",NA,NA,17
"128","Raiders","DST","LVR",4.6,1.33,0.195,3.79,5.41,-0.433,-0.882,-0.075,124,134,108,19,"18",NA,NA,99
"129","Christian Kirk","WR","ARI",10.8,0.411,0.114,10.4,11.5,-0.451,1.26,-0.708,125,78,127,42,"11",NA,NA,8
"130","Cam Newton","QB","NE",18.7,0.587,0.133,16.1,20.3,-0.472,-2.21,0,126,166,106,13,"4",NA,NA,29
"131","Devin Singletary","RB","BUF",9.24,0.171,0.094,8.2,9.43,-0.55,-0.285,-2,127,114,160,35,"15",NA,NA,12
"132","Sammy Watkins","WR","KC",10.7,1.66,0.0138,8.97,14.8,-0.565,-0.146,2.55,128,111,64,43,"11",NA,NA,81
"133","Mike Williams","WR","LAC",10.7,1.28,0.0214,9.08,11.7,-0.579,-0.0333,-0.495,129,108,115,44,"11",NA,NA,62
"134","Tee Higgins","WR","CIN",10.6,1.86,0.0111,8.15,12.6,-0.6,-0.966,0.367,130,138,100,45,"11",NA,NA,90
"135","Ben Roethlisberger","QB","PIT",18.5,0.471,0.298,17.2,19.1,-0.606,-1.09,-1.12,131,144,140,14,"5",NA,NA,9
"136","Breshad Perriman","WR","NYJ",10.6,1.15,0.0593,9.47,11.8,-0.611,0.35,-0.478,132,102,114,46,"11",NA,NA,56
"137","Cowboys","DST","DAL",4.4,0.4,0.005,3.58,4.87,-0.628,-1.09,-0.612,133,145,122,20,"18",NA,NA,76
"138","Patriots","DST","NE",4.4,0.208,0.03,3.72,4.64,-0.632,-0.952,-0.847,134,136,129,21,"19",NA,NA,41
"139","Chase Edmonds","RB","ARI",9.14,0.457,0.598,8.09,9.64,-0.644,-0.395,-1.78,135,117,159,36,"16",NA,NA,31
"140","Bengals","DST","CIN",4.37,0.163,0.045,4.23,4.57,-0.662,-0.441,-0.912,136,120,130,22,"20",NA,NA,28
"141","Marquise Brown","WR","BAL",10.6,0.486,0.336,6.3,11.1,-0.671,-2.81,-1.18,137,183,142,47,"11",NA,NA,12
"142","Browns","DST","CLE",4.32,0.141,0.01,3.7,4.48,-0.708,-0.967,-1.01,138,139,135,23,"20",NA,NA,14
"143","Cardinals","DST","ARI",4.32,0.148,0.17,4.21,4.44,-0.717,-0.462,-1.04,139,122,137,24,"21",NA,NA,24
"144","Commanders","DST","WAS",4.14,0.193,0.205,3.93,4.55,-0.888,-0.742,-0.934,140,128,131,25,"22",NA,NA,38
"145","Jared Goff","QB","LAR",18.3,0.659,0.461,17.5,19.1,-0.904,-0.783,-1.11,141,131,139,15,"5",NA,NA,41
"146","Brandon Aiyuk","WR","SF",10.2,0.809,0.0612,6.49,11.1,-1.01,-2.62,-1.18,142,174,143,48,"11",NA,NA,31
"147","T.Y. Hilton","WR","IND",10.2,1.3,0.207,7.6,11.6,-1.07,-1.51,-0.692,143,154,126,49,"12",NA,NA,64
"148","Texans","DST","HOU",3.94,0.682,0.06,3.11,4.51,-1.09,-1.56,-0.971,144,155,134,26,"23",NA,NA,86
"149","Jaguars","DST","JAC",3.88,0.133,0.065,3.72,3.99,-1.15,-0.951,-1.49,145,135,149,27,"24",NA,NA,10
"150","Jets","DST","NYJ",3.82,0.148,0.015,3.71,3.94,-1.22,-0.962,-1.54,146,137,151,28,"24",NA,NA,17
"151","Broncos","DST","DEN",3.8,0.0815,0.1,3.39,3.89,-1.23,-1.28,-1.59,147,149,152,29,"25",NA,NA,1
"152","Zack Moss","RB","BUF",8.54,0.322,0.203,8.18,9.99,-1.24,-0.301,-1.43,148,115,147,37,"16",NA,NA,24
"153","Hunter Renfrow","WR","LVR",9.97,0.638,0.094,9.21,10.6,-1.27,0.0947,-1.61,149,103,153,50,"12",NA,NA,15
"154","Tyler Eifert","TE","JAC",6.02,0.646,0.174,4.89,6.75,-1.31,-1.3,-2.02,150,151,161,23,"10",NA,NA,60
"155","Eagles","DST","PHI",3.7,0.282,0,3.38,3.96,-1.33,-1.29,-1.53,151,150,150,30,"25",NA,NA,55
"156","Philip Rivers","QB","IND",17.8,0.795,0.614,16.3,19,-1.36,-1.96,-1.28,152,161,146,16,"6",NA,NA,44
"157","Keelan Cole","WR","JAC",9.87,0.798,0.24,9.06,10.6,-1.37,-0.0609,-1.69,153,110,154,51,"12",NA,NA,28
"158","Adrian Peterson","RB","DET",8.34,0.743,0.237,7.52,9.12,-1.45,-0.97,-2.3,154,140,166,38,"16",NA,NA,46
"159","Jared Cook","TE","NO",5.85,0.3,0.0883,5.42,7.76,-1.48,-0.774,-1.01,155,129,136,24,"10",NA,NA,26
"160","Mark Andrews","TE","BAL",5.76,0,0.352,0.768,7.68,-1.57,-5.43,-1.09,156,253,138,25,"11",NA,NA,1
"161","Josh Reynolds","WR","LAR",9.63,0.756,0.172,7.48,10.5,-1.61,-1.64,-1.77,157,159,158,52,"12",NA,NA,22
"162","Carlos Hyde","RB","SEA",8.1,0.615,0.141,7.5,8.83,-1.68,-0.984,-2.59,158,141,170,39,"16",NA,NA,39
"163","Allen Lazard","WR","GB",9.46,1.67,0.432,7.68,11.1,-1.78,-1.44,-1.13,159,153,141,53,"12",NA,NA,82
"164","Duke Johnson","RB","HOU",7.96,0.46,0.774,7.48,8.61,-1.82,-1.01,-2.81,160,143,177,40,"17",NA,NA,33
"165","Drew Sample","TE","CIN",5.41,0.208,0.0608,5.09,5.61,-1.92,-1.1,-3.16,161,146,183,26,"11",NA,NA,20
"166","Matt Ryan","QB","ATL",17.2,1.26,0.221,15.2,18.5,-1.98,-3.06,-1.75,162,190,157,17,"6",NA,NA,62
"167","Gerald Everett","TE","LAR",5.35,0.474,0.389,2.8,5.84,-1.99,-3.39,-2.93,163,193,178,27,"11",NA,NA,46
"168","Baker Mayfield","QB","CLE",17,0.0207,0.334,16.9,17,-2.2,-1.39,-3.21,164,152,184,18,"7",NA,NA,1
"169","Travis Fulgham","WR","FA",9.03,0.549,0.062,8.26,10.5,-2.21,-0.859,-1.74,165,133,156,54,"13",NA,NA,14
"170","Anthony Miller","WR","CHI",8.97,0.912,0.068,6.72,9.9,-2.27,-2.4,-2.34,166,169,167,55,"13",NA,NA,39
"171","Jalen Reagor","WR","PHI",8.97,0.191,0,8.43,9.19,-2.27,-0.682,-3.06,166,127,179,55,"13",NA,NA,4
"172","Gabriel Davis","WR","BUF",8.9,0.297,0.0686,8.72,9.08,-2.34,-0.396,-3.16,167,118,182,56,"13",NA,NA,6
"173","Jacob Hollister","TE","SEA",4.96,0.801,0.315,4.11,5.66,-2.38,-2.09,-3.11,168,163,181,28,"12",NA,NA,66
"174","Damiere Byrd","WR","NE",8.83,1.81,0.0649,7.16,11,-2.41,-1.96,-1.22,169,162,144,57,"13",NA,NA,88
"175","Laviska Shenault","WR","JAC",8.77,2.11,0.0497,7.49,10.1,-2.48,-1.63,-2.19,170,157,162,58,"13",NA,NA,93
"176","Mitchell Trubisky","QB","CHI",16.6,1.35,0.629,13.7,18,-2.53,-4.59,-2.21,172,230,163,19,"7",NA,NA,71
"177","Michael Gallup","WR","DAL",8.72,1.38,0.116,7.5,10,-2.53,-1.62,-2.21,171,156,164,59,"13",NA,NA,65
"178","Darrell Henderson","RB","LAR",7.19,0.833,0.188,5.76,8.09,-2.6,-2.72,-3.33,173,178,190,41,"18",NA,NA,55
"179","Rashard Higgins","WR","CLE",8.6,0.773,0.262,7.48,9.45,-2.64,-1.64,-2.8,174,158,176,60,"13",NA,NA,26
"180","Will Dissly","TE","SEA",4.64,2,0.192,2.54,6.48,-2.69,-3.65,-2.29,175,198,165,29,"12",NA,NA,94
"181","Phillip Lindsay","RB","DEN",7,0.703,0.0337,6.26,8.7,-2.78,-2.23,-2.73,176,167,172,42,"18",NA,NA,45
"182","Jerick McKinnon","RB","SF",6.97,0.999,0.143,5.8,8.11,-2.82,-2.69,-3.32,177,177,187,43,"18",NA,NA,63
"183","Luke Willson","TE","SEA",4.45,2,0.153,3.24,5.66,-2.88,-2.96,-3.1,178,187,180,30,"12",NA,NA,91
"184","Golden Tate","WR","NYG",8.34,1.04,0.0985,6.77,9.51,-2.9,-2.35,-2.74,179,168,173,61,"13",NA,NA,51
"185","Cam Akers","RB","LAR",6.82,1.14,0.369,4.32,8.08,-2.96,-4.17,-3.35,180,214,191,44,"18",NA,NA,70
"186","Danny Amendola","WR","DET",8.24,1.07,0.484,7.21,9.46,-3,-1.91,-2.78,181,160,174,62,"14",NA,NA,53
"187","Darren Fells","TE","HOU",4.3,0.593,0.102,3.33,4.9,-3.03,-2.87,-3.87,182,184,200,31,"12",NA,NA,54
"188","Chris Herndon","TE","NYJ",4.2,1.13,0.101,2.66,5.45,-3.14,-3.54,-3.32,183,196,188,32,"13",NA,NA,83
"189","Matthew Stafford","QB","DET",16,0.449,0.0827,14.5,17.8,-3.16,-3.8,-2.48,184,208,169,20,"7",NA,NA,6
"190","Ross Dwelley","TE","SF",4.09,0.0504,0.0315,3.54,5.49,-3.24,-2.65,-3.28,185,176,186,33,"13",NA,NA,3
