"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","CAR",23.7,1.66,1.89,22,25.4,12.4,13.1,13,1,1,1,1,"1",NA,NA,77
"2","Davante Adams","WR","GB",22.3,1.78,1.78,20.6,24.2,11,10.8,10.9,2,4,4,1,"1",NA,NA,70
"3","Alvin Kamara","RB","NO",21.8,0.508,0.0878,20.6,24.2,10.5,11.6,11.8,3,3,2,2,"1",NA,NA,23
"4","Ezekiel Elliott","RB","DAL",21.7,0.862,1.33,20.6,23.7,10.5,11.7,11.3,4,2,3,3,"2",NA,NA,50
"5","Travis Kelce","TE","KC",17.4,0.919,1.97,16.1,19.6,9.82,9.85,10.5,5,6,5,1,"1",NA,NA,57
"6","Julio Jones","WR","ATL",20.5,2.79,0.331,16.6,23.4,9.2,6.76,10,6,17,7,2,"1",NA,NA,94
"7","Derrick Henry","RB","TEN",20.4,0.598,0.377,19.1,22.6,9.14,10.1,10.2,7,5,6,4,"3",NA,NA,30
"8","DeAndre Hopkins","WR","ARI",20.2,1.57,2.38,18.7,22.3,8.87,8.88,8.97,8,8,9,3,"2",NA,NA,67
"9","Saquon Barkley","RB","NYG",20,1.97,1.71,18.3,21.3,8.76,9.31,8.86,9,7,11,5,"4",NA,NA,90
"10","Mark Andrews","TE","BAL",15.4,0.341,2.04,14.3,18.4,7.85,8.12,9.32,10,10,8,2,"2",NA,NA,17
"11","Dalvin Cook","RB","MIN",18.3,0.756,0.546,17.5,21.3,7.05,8.56,8.93,11,9,10,6,"4",NA,NA,40
"12","Lamar Jackson","QB","BAL",26.1,0.941,2.81,24.7,29.2,6.68,6.84,8.21,12,15,13,1,"1",NA,NA,49
"13","Josh Jacobs","RB","LVR",17.8,1.05,0.436,16.4,20,6.5,7.47,7.58,13,11,19,7,"5",NA,NA,59
"14","Tyreek Hill","WR","KC",17.8,0.834,0.0881,16.6,21.3,6.49,6.8,7.95,14,16,15,4,"2",NA,NA,27
"15","Adam Thielen","WR","MIN",17.7,2.8,0.0594,15.5,21.6,6.41,5.69,8.22,15,23,12,5,"2",NA,NA,96
"16","Calvin Ridley","WR","ATL",17.7,1.45,0.453,16.2,20.8,6.35,6.39,7.49,16,20,20,6,"2",NA,NA,60
"17","Aaron Jones","RB","GB",17.3,1.52,0.0563,16.4,18.6,6.07,7.47,6.14,17,12,35,8,"5",NA,NA,76
"18","Clyde Edwards-Helaire","RB","KC",17.3,0.895,0.376,16.3,20.2,6.01,7.35,7.81,18,13,16,9,"5",NA,NA,53
"19","Amari Cooper","WR","DAL",17.2,1.92,0.594,14.9,21.6,5.89,5.13,8.2,19,25,14,7,"3",NA,NA,77
"20","Zach Ertz","TE","PHI",13.4,1.17,0.232,12.4,16.1,5.81,6.16,7.08,20,21,22,3,"3",NA,NA,69
"21","Kenyan Drake","RB","ARI",16.9,1.23,0.638,16.2,18.7,5.63,7.21,6.33,21,14,32,10,"6",NA,NA,64
"22","Darren Waller","TE","LVR",13.1,3.11,1.05,11,16.4,5.58,4.83,7.4,22,32,21,4,"4",NA,NA,97
"23","Mike Evans","WR","TB",16.6,3.16,0.202,13.8,19.4,5.3,4.04,6.07,23,42,36,8,"3",NA,NA,97
"24","Allen Robinson","WR","CHI",16.4,1.52,0.257,14.8,21.1,5.1,4.96,7.71,24,31,18,9,"3",NA,NA,63
"25","Joe Mixon","RB","CIN",16.3,0.164,0.04,15.4,18.6,5,6.43,6.15,25,18,34,11,"6",NA,NA,3
"26","Austin Ekeler","RB","LAC",16.2,0.857,0.449,15.4,18.1,4.96,6.4,5.69,26,19,39,12,"7",NA,NA,49
"27","Robert Woods","WR","LAR",16.2,0.733,0.123,14.8,20.2,4.84,5.03,6.86,27,28,24,10,"4",NA,NA,23
"28","Tyler Lockett","WR","SEA",16,1.91,0.393,14,19.8,4.72,4.17,6.46,28,40,28,11,"4",NA,NA,76
"29","Jared Cook","TE","NO",12.1,1.45,0.384,10.9,16,4.53,4.67,6.99,29,34,23,5,"5",NA,NA,74
"30","Jonathan Taylor","RB","IND",15.8,0.894,0.433,15,18.9,4.51,6.05,6.53,30,22,27,13,"7",NA,NA,51
"31","Stefon Diggs","WR","BUF",15.7,1.97,0.134,14.2,21.1,4.32,4.35,7.76,31,35,17,12,"4",NA,NA,80
"32","JuJu Smith-Schuster","WR","PIT",15.5,0.549,0.0518,13.2,19.8,4.19,3.38,6.39,32,51,31,13,"4",NA,NA,19
"33","Dallas Goedert","TE","PHI",11.7,0.682,0.267,10.1,14.1,4.15,3.87,5.11,33,45,44,6,"5",NA,NA,49
"34","D.J. Moore","WR","CAR",15.5,1.14,0.123,13.9,17.6,4.14,4.09,4.23,34,41,58,14,"4",NA,NA,44
"35","Melvin Gordon","RB","DEN",15.3,0.702,0.077,14.4,17.1,4.07,5.44,4.7,35,24,53,14,"7",NA,NA,34
"36","Cooper Kupp","WR","LAR",15.3,0.247,0.145,14.8,19.4,4.01,4.98,6.05,36,30,37,15,"4",NA,NA,1
"37","Nick Chubb","RB","CLE",15.3,0.507,0.101,14,16.5,4,5.02,4.07,37,29,61,15,"7",NA,NA,21
"38","Raheem Mostert","RB","SF",15.2,1.16,0.1,14,18.9,3.89,5.06,6.43,38,26,30,16,"7",NA,NA,63
"39","Chris Herndon","TE","NYJ",11.4,1.62,0.253,9.05,15.2,3.88,2.85,6.2,39,61,33,7,"5",NA,NA,83
"40","Josh Allen","QB","BUF",23.3,3.6,0.825,20.4,27,3.87,2.52,6.01,41,65,38,2,"1",NA,NA,99
"41","DK Metcalf","WR","SEA",15.2,1.17,0.218,13.5,18,3.87,3.71,4.64,40,46,54,16,"5",NA,NA,46
"42","Chris Carson","RB","SEA",15.1,0.726,0.209,14,17,3.79,5.05,4.57,42,27,55,17,"8",NA,NA,37
"43","Terry McLaurin","WR","WAS",15,1.05,0.15,14,18.3,3.65,4.2,4.93,43,38,49,17,"5",NA,NA,36
"44","T.J. Hockenson","TE","DET",11.2,1.2,0.03,10.2,15.5,3.63,4.02,6.45,44,43,29,8,"5",NA,NA,71
"45","Hunter Henry","TE","LAC",11.2,0.326,0.325,10.4,11.6,3.6,4.2,2.54,45,37,73,9,"6",NA,NA,14
"46","David Johnson","RB","HOU",14.8,0.394,0.044,13.7,19.3,3.59,4.73,6.84,46,33,25,18,"8",NA,NA,14
"47","Todd Gurley","RB","ATL",14.8,0.623,0.398,13.2,16.5,3.54,4.26,4.13,47,36,59,19,"8",NA,NA,31
"48","T.Y. Hilton","WR","IND",14.8,0.89,0.323,13.4,18.8,3.5,3.56,5.45,48,48,42,18,"5",NA,NA,29
"49","Jonnu Smith","TE","TEN",10.8,0.47,0.487,8.76,14.7,3.27,2.55,5.63,49,64,40,10,"7",NA,NA,34
"50","Michael Gallup","WR","DAL",14.5,2.14,0.08,12,17.4,3.18,2.18,4.07,50,67,60,19,"5",NA,NA,84
