"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"1","Dak Prescott","DAL","QB","2555260","robust",304.0275,5.33736000000003,1.89,0.14826,0.6,0.103782,18.7208333333333,0.444780000000001,0.222464522960791,0.0369598034833374,0.25,0.07413,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Patrick Mahomes","KC","QB","2558125","robust",287.9,8.1543,1.975,0.14826,0.55,0.14826,21.0754166666667,1.77912,0.112636141165039,0.0226426857825726,0.0975,0.00741300000000001,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Russell Wilson","SEA","QB","2532975","robust",282.6225,20.0299260000001,2.45,0.14826,0.4,0.14826,24.8983333333333,0.449722000000002,0.10576367204392,0.0170904403446323,0.11,0.029652,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Matt Ryan","ATL","QB","310","robust",299.6,10.97124,1.8325,0.14826,0.8,0,7.6925,0.252042,0.0502138730047619,0.0728616475325599,0.225,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Matthew Stafford","DET","QB","79860","robust",277.5,16.842336,1.8075,0.29652,0.75,0.14826,9.62916666666667,0.135905,0.05,0.0725639918456076,0.2125,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Carson Wentz","PHI","QB","2555259","robust",266.86,12.513144,1.905,0.0741300000000002,0.75,0.088956,12.04,0.978516,0.1,0.0254318606019248,0.35,0.07413,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Aaron Rodgers","GB","QB","2506363","robust",263,8.8956,1.825,0.14826,0.315,0.0593040000000001,11.8675,0.59304,0.1,0,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Ben Roethlisberger","PIT","QB","2506109","robust",280.2,4.13645400000003,1.95,0.133434,0.8,0,4.98416666666667,1.307159,0.0872814718365716,0,0.0875,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Drew Brees","NO","QB","2504775","robust",272.955,2.66868000000002,1.95,0.044478,0.6,0.118608,2.2175,0.244629,0.05,0.0740700364004044,0.09875,0.0037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Kyler Murray","ARI","QB","2562382","robust",270.05,7.413,1.825,0.14826,0.8,0,46.8645833333333,4.00302,0.508800505172427,0.14826,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Ryan Fitzpatrick","MIA","QB","2506581","robust",275,5.9304,1.73,0.0889560000000001,1,0,16.3,2.500652,0.100767221570507,0.00227496540086783,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Gardner Minshew","JAC","QB","2562796","robust",265,10.3782,2,0,0.75,0.14826,22.4625,0.593040000000003,0.05,0.0712975218340611,0.333333333333333,0.04942,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Jared Goff","LAR","QB","2555334","robust",262.6825,9.19211999999998,1.65,0.29652,0.9,0,8.50583333333333,1.77912,0.1,0,0.1875,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Philip Rivers","IND","QB","2506121","robust",256.94,10.82298,1.9,0.00741300000000001,0.905,0.14826,2.649,0.59304,0.00273643031784841,0,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Tom Brady","TB","QB","2504211","robust",266.75,1.4826,1.75,0.177912,0.55,0.133434,2.64833333333333,0.536207,0.0946547491716574,0.0158497377562015,0.1875,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Joe Burrow","CIN","QB","2563722","robust",257.6,5.9304,1.6,0.29652,0.81,0,20.86,0.948864000000001,0.141252124720548,0.0870995998893152,0.466666666666667,0.2471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Justin Herbert","LAC","QB","2565045","robust",244.5,12.00906,1.6,0.340998,1,0,19.525,5.003775,0.175,0.0386332489853251,0.366666666666667,0.09884,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Baker Mayfield","CLE","QB","2560800","robust",246.15,8.18395200000001,1.8,0.103782,0.95,0.0593040000000001,8.176,1.4410872,0.05,0.036581912776512,0.09875,0.00185325,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Daniel Jones","NYG","QB","2562299","robust",236,5.72283600000002,1.4,0.177912,1,0,20.265,1.875489,0.0936626536945076,0.018791499265046,0.533333333333333,0.04942,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Teddy Bridgewater","CAR","QB","2543465","robust",251.715,5.50785900000001,1.095,0.14826,0.865,0.07413,9.795,2.1512526,0.00709856957087126,0,0.166666666666667,0.04942,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Josh Allen","BUF","QB","2560955","robust",237.48,6.30105000000002,1.7,0.126021,0.8,0.088956,39.648,3.2261376,0.4,0.0368386071906172,0.366666666666667,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Lamar Jackson","BAL","QB","2560757","robust",231.745,19.57032,1.96,0.14826,0.5,0.237216,63.97125,1.4826,0.520478381425086,0.0755484966016637,0.266666666666667,0.04942,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Deshaun Watson","HOU","QB","2558063","robust",245,5.57457600000001,1.15,0.22239,0.895,0.155673,28.635,2.2416912,0.332222648386256,0.051891,0.133333333333333,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Kirk Cousins","MIN","QB","2532820","robust",233.335,22.239,1.4,0.266868,0.815,0.252042,7.4575,0.5300295,0.0463368055555555,0.0686989479166667,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Ryan Tannehill","TEN","QB","2532956","robust",238.73,9.97789800000001,1.85,0.185325,0.6,0.14826,14.7,1.008168,0.101498183070697,0.037065,0.166666666666667,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Cam Newton","NE","QB","2495455","robust",249.45,3.04674300000001,1.685,0.29652,0.8,0.229803,44.601,2.52042,0.70962616388948,0.155395875291271,0.133333333333333,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Derek Carr","LVR","QB","2543499","robust",251.5,2.77246200000001,1.2,0.140847,0.7,0.118608,4.303,0.593040000000001,0.05,0.0582911644426162,0.266666666666667,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Mitchell Trubisky","CHI","QB","2558008","robust",235,20.0151,1.495,0.014826,0.84,0.14826,19.63625,1.319514,0.14011951671608,0.0887788045167391,0.13,0.044478,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Nick Mullens","SF","QB","2558979","robust",241.26,11.475324,1.6,0.266868,0.89,0.163086,3.915,2.794701,0.01125,0,0.133333333333333,0.04942,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
