"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Dalvin Cook","RB","MIN",23.4,0.106,2.45,22.6,23.9,13.3,14.2,12.9,1,1,3,1,"1",NA,NA,3
"2","Travis Kelce","TE","KC",18.9,1.89,2.94,16.8,20.8,12.9,11.8,13.1,2,2,2,1,"1",NA,NA,94
"3","Alvin Kamara","RB","NO",21,2.02,3.06,19.1,24.2,10.8,10.7,13.2,3,4,1,2,"2",NA,NA,99
"4","DeAndre Hopkins","WR","ARI",21.9,0.564,0.586,20.5,25,10.3,10.8,11.1,4,3,5,1,"1",NA,NA,15
"5","Darren Waller","TE","LVR",16,1.84,1.8,13.8,19.2,9.93,8.83,11.5,5,7,4,2,"2",NA,NA,91
"6","Davante Adams","WR","GB",21.3,1.95,1.1,18.3,24.1,9.72,8.52,10.2,6,8,8,2,"1",NA,NA,70
"7","Keenan Allen","WR","LAC",20.2,2.48,0.0555,18.1,24.5,8.62,8.3,10.6,7,9,6,3,"2",NA,NA,93
"8","Tyreek Hill","WR","KC",20.2,1.95,1.35,18.6,23.3,8.57,8.85,9.38,8,6,10,4,"3",NA,NA,72
"9","Mark Andrews","TE","BAL",14.2,1.56,1.46,12.6,16.4,8.13,7.61,8.71,9,12,11,3,"3",NA,NA,83
"10","Aaron Jones","RB","GB",17.9,0.169,0.338,17.5,18.1,7.77,9.03,7.13,10,5,20,3,"2",NA,NA,8
"11","Mike Davis","RB","CAR",17.6,1.64,0.761,15.9,21.4,7.44,7.48,10.5,11,13,7,4,"3",NA,NA,94
"12","DK Metcalf","WR","SEA",18.8,2.5,0.0863,16.8,22,7.21,7.01,8.08,12,17,14,5,"3",NA,NA,94
"13","Terry McLaurin","WR","WAS",18.7,1.6,0.215,16.9,21.8,7.13,7.1,7.92,13,16,15,6,"3",NA,NA,63
"14","Julio Jones","WR","ATL",18.5,0.919,0.195,16.5,21.8,6.91,6.67,7.86,14,19,16,7,"3",NA,NA,35
"15","Tyler Lockett","WR","SEA",18.3,2.07,1.21,15.7,20.6,6.72,5.89,6.67,15,23,23,8,"4",NA,NA,79
"16","Kyler Murray","QB","ARI",26.3,1.17,0.375,24.9,28.5,6.69,6.72,8.36,16,18,12,1,"1",NA,NA,79
"17","Josh Jacobs","RB","LVR",16.8,0.686,0.196,16.3,18.8,6.68,7.83,7.84,17,10,17,5,"4",NA,NA,47
"18","T.J. Hockenson","TE","DET",12.7,4.6,1.99,8.38,17.3,6.67,3.42,9.56,18,51,9,4,"4",NA,NA,99
"19","Derrick Henry","RB","TEN",16.6,0.659,0.172,15.8,17.5,6.48,7.37,6.51,19,14,26,6,"4",NA,NA,45
